,"Cinema, Spectators per inhabitant, No., 2022","Cinema, Occupancy rate, %, 2022","Art facilities, Rooms average capacity  , No., 2021","Live shows, Spectators per inhabitant, No., 2022","Live shows, Mean value of tickets sold, €, 2022","Periodical publications Ʇ , Proportion of copies offered , %, 2022"
Portimão,x,x,1480.8,1.8,32.1,…
São Brás de Alportel,x,x,342,0.3,10.5,//
Silves,x,x,150,0.4,7.9,…
Tavira,x,x,//,5,10.2,…
Vila do Bispo,x,x,414,…,…,//
Vila Real de Santo António,x,x,287,0.4,9.8,…
R. A. Açores,0.4,7.4,388,1,12.1,17.4
Santa Maria,x,x,//,7.6,17.5,…
Vila do Porto,x,x,//,7.6,17.5,…
São Miguel,x,x,387.7,1,10.6,15.7
Lagoa (R.A.A.),x,x,176,0.3,5,//
Nordeste,x,x,//,…,…,//
Ponta Delgada,x,x,511.8,0.7,10.6,15.1
Povoação,x,x,//,0,//,//
Ribeira Grande,x,x,257.7,…,…,…
Vila Franca do Campo,x,x,//,5.3,//,…
Terceira,x,x,389.3,0.6,14.8,20.3
Angra do Heroísmo,x,x,468,…,…,…
Vila da Praia da Vitória,x,x,350,…,…,…
Graciosa,x,x,//,…,…,//
Santa Cruz da Graciosa,x,x,//,…,…,//
São Jorge,x,x,//,0.9,4.5,…
Calheta (R.A.A.),x,x,//,2,10,//
Velas,x,x,//,0.2,2.7,…
Pico,x,x,//,1.4,//,2.1
Lajes do Pico,x,x,//,4,//,…
Madalena,x,x,//,0.3,//,…
São Roque do Pico,x,x,//,0,//,…
Faial,x,x,//,…,…,…
Horta,x,x,//,…,…,…
Flores,x,x,//,0.4,//,//
Lajes das Flores,x,x,//,…,…,//
Santa Cruz das Flores,x,x,//,…,…,//
Corvo,x,x,//,0,//,//
Corvo,x,x,//,0,//,//
R. A. Madeira,0.6,6,477,0.9,13.7,42.6
Calheta (R.A.M.),x,x,194,1,6,//
Câmara de Lobos,x,x,152.3,0.7,6,…
Funchal,x,x,766.6,1.4,14.8,42.4
Machico,x,x,131.6,0.4,3.9,…
Ponta do Sol,x,x,180,3.3,4.6,//
Porto Moniz,x,x,//,0.1,44.1,//
Ribeira Brava,x,x,//,0.4,//,//
Santa Cruz,x,x,500,0.2,10,//
Santana,x,x,//,ә,//,//
São Vicente,x,x,//,0.2,//,//
Porto Santo,x,x,260,1.1,6.4,//
