,"Average number of students enrolled by computer, Total (N.º)","Average number of students enrolled by computer, Primary education, 1st cycle (N.º)","Average number of students enrolled by computer, Primary education, 2nd cycle (N.º)","Average number of students enrolled by computer, Secondary education, Lower (N.º)","Average number of students enrolled by computer, Secondary education, Upper (N.º)","Average number of students enrolled by computer connected to the internet, Total, Upper (N.º)","Average number of students enrolled by computer connected to the internet, Primary education, 1st cycle (N.º)","Average number of students enrolled by computer connected to the internet, Primary education, 2nd cycle (N.º)","Average number of students enrolled by computer connected to the internet, Secondary education, Lower (N.º)","Average number of students enrolled by computer connected to the internet, Secondary education, Upper (N.º)"
Portugal,x,x,x,x,x,x,x,x,x,x
Continente,4.5,5.8,4.5,4.3,3.8,4.9,6.4,4.7,4.6,4.1
Norte,4.3,5.3,4.2,4.1,3.9,4.7,5.7,4.5,4.5,4.2
Alto Minho,3.6,4.2,3.9,3.6,3,4.3,4.7,4.5,4.2,3.9
Arcos de Valdevez,4.1,6.3,4.1,4.3,3,4.4,7,4.1,4.3,3.4
Caminha,3.7,5.5,4.6,4.3,2.3,3.9,6.2,4.8,4.6,2.4
Melgaço,2.1,6.6,1.8,1.8,1.4,2.2,6.9,1.8,1.9,1.5
Monção,2.8,2.4,4.2,3.2,2.5,3,2.8,4.3,3.3,2.5
Paredes de Coura,2.8,2.1,4.3,4.3,2.4,2.8,2.1,4.3,4.3,2.4
Ponte da Barca,2.7,4,4,2.8,1.8,2.8,4,4,2.8,1.9
Ponte de Lima,4.1,4.2,3.8,3.8,4.4,5,4.6,4,4.1,7.9
Valença,5.2,7.2,5.7,5.7,3,11,7.3,122.5,120.7,4.8
Viana do Castelo,3.7,4.6,3.7,3.5,3.4,4.9,5.4,4.7,4.2,5.5
Vila Nova de Cerveira,3.2,2.7,4.1,4.1,2.5,3.2,2.8,4.1,4.1,2.5
Cávado,4.2,5.7,3.9,3.7,3.9,4.5,6.3,4,4,4.1
Amares,6,7.4,5.2,5.5,5.7,6,7.4,5.2,5.5,5.7
Barcelos,4.3,5.3,4.3,3.8,3.8,5,6,4.5,4.5,4.7
Braga,4.6,6.3,4.2,4.1,4.2,4.8,7,4.4,4.2,4.3
Esposende,3.7,5.5,3.2,3.2,3.3,3.8,5.8,3.3,3.2,3.3
Terras de Bouro,1.7,2.3,1.4,1.5,2,1.7,2.3,1.4,1.5,2
Vila Verde,3.4,5.4,3,3,2.9,3.4,5.7,3,3,2.9
Ave,4.3,4.5,4.3,4.1,4.2,4.5,4.8,4.5,4.3,4.4
Cabeceiras de Basto,6.4,5.1,6.3,6.3,9.4,9.6,6.6,13.3,13.5,9.4
Fafe,4.8,7.1,4.2,3.8,4.9,5.2,8,4.5,4.1,4.9
Guimarães,4.6,4.8,4.1,4,5.5,4.8,5,4.2,4.1,5.7
Mondim de Basto,2.4,2.2,2.5,2.5,2.5,2.4,2.2,2.5,2.5,2.5
Póvoa de Lanhoso,3.1,2.4,3.8,3.7,3.4,3.3,2.5,3.8,3.7,3.9
Vieira do Minho,2.6,1.7,3.4,3.4,3.4,2.8,1.7,4,4,4
Vila Nova de Famalicão,4.3,6,4.6,4.2,3.3,4.5,7.1,4.6,4.2,3.4
Vizela,3.6,2.3,5.1,5,4.4,3.6,2.3,5.1,5,4.5
A. M. Porto,4.6,5.6,4.6,4.6,4,5,6,5,5,4.3
Arouca,4.7,6.7,3.3,4.4,4.5,4.8,7.3,3.4,4.4,4.5
Espinho,4.8,6.2,4.2,5,4.4,4.9,6.4,4.4,5.1,4.4
Gondomar,4.7,5.2,5.1,4.6,4.1,5.1,5.6,5.7,5.1,4.2
Maia,5.1,4.7,5.1,5.3,5.5,5.5,5.1,5.7,5.8,5.7
Matosinhos,4.7,6.2,5.1,4.6,3.4,5.2,7,5.3,5,4
Oliveira de Azeméis,3.4,4.9,2.9,2.9,3.3,3.6,5.5,3,3,3.3
Paredes,5.9,9.5,4.5,5.1,5.2,5.9,9.6,4.5,5.1,5.2
Porto,4.8,6.1,4.8,4.9,4,5,6.4,5,5.2,4.3
Póvoa de Varzim,5.3,6.4,4.9,5,5.1,6.7,7.1,8.2,7.6,5.2
Santa Maria da Feira,2.8,2.4,3,3.2,2.8,3,2.5,3.3,3.4,3
Santo Tirso,3.9,5.7,3.8,4.3,3,4.8,5.7,4.2,5.6,4.1
São João da Madeira,4.8,6.6,4.6,4.8,4.1,5.5,7.6,4.9,5.3,4.8
Trofa,6.3,5.8,4.5,6.8,8.8,7.1,6.1,5.4,7.7,10.9
Vale de Cambra,6.6,9,5.9,5.8,5.9,6.6,9,5.9,5.8,5.9
Valongo,4.9,5.4,4.8,4.4,4.8,5.1,5.5,5,4.7,5
Vila do Conde,5.4,11.2,4.7,4.5,3.8,5.6,12.4,4.8,4.6,3.8
Vila Nova de Gaia,5.2,7.3,5.8,4.7,3.9,5.7,8.2,6.2,5.2,4.4
Alto Tâmega,3.5,5.2,2.7,3.2,3.2,3.9,6.6,3,3.5,3.4
Boticas,5.8,//,3.4,3.4,//,5.8,//,3.4,3.4,//
Chaves,3.7,6.1,2.3,3.8,3.6,4.5,10.3,2.8,4.3,3.8
Montalegre,1.8,2.1,1.8,1.7,1.8,2,2.1,2,2,2
Ribeira de Pena,4.2,14.1,3.5,3.5,3,4.4,33.8,3.5,3.5,3
Valpaços,4.5,8.5,4.5,3.7,3.3,4.6,8.5,5,3.7,3.3
Vila Pouca de Aguiar,2.8,2.8,2.9,2.9,2.8,3.1,2.9,3.1,3.1,3.1
Tâmega e Sousa,5.1,5.6,4.7,4.9,5.1,5.5,6.3,4.9,5.2,5.4
Amarante,8.1,11,8.9,7.4,7,8.2,11.7,8.9,7.4,7
Baião,5.1,5.6,4.7,4.6,5.7,6.2,6.5,6.5,6.3,5.7
Castelo de Paiva,7.6,10.2,6.1,6,9.1,7.9,11,6.3,6.1,9.8
Celorico de Basto,4.4,14.8,5.3,5,2.2,4.8,15.2,6.1,5.6,2.4
Cinfães,3.7,8.8,3.1,2.9,3.1,3.7,9,3.1,2.9,3.2
Felgueiras,4.8,4.8,5,5,4.5,5.3,6.5,5.1,5.2,4.5
Lousada,4.8,3.9,4.2,5.6,6.3,4.8,4,4.2,5.6,6.3
Marco de Canaveses,5.6,8.7,4.8,4.9,5,5.9,10.5,4.8,4.9,5.1
Paços de Ferreira,5.1,6.5,3.9,4.5,5.7,6.1,8.1,4.2,5.3,7.7
Penafiel,4.4,3.8,4.5,4.3,5.2,4.5,4,4.6,4.4,5.4
Resende,4.7,3.7,4.4,5.4,5.5,5,4.3,4.4,5.6,5.7
Douro,3.2,5.2,2.8,2.9,2.8,3.6,5.8,3.1,3.3,3
Alijó,2.3,5.5,1.3,1.9,2.5,2.3,5.5,1.3,1.9,2.5
Armamar,4.4,7.6,3.8,3.7,3.7,4.4,7.6,3.8,3.8,3.8
Carrazeda de Ansiães,1.2,0.9,1.4,1.4,1.4,1.3,0.9,1.5,1.5,1.5
Freixo de Espada à Cinta,3.2,12,2,2,//,3.3,13.7,2,2,//
Lamego,3.6,3.3,2.6,3.8,4.3,3.9,3.9,3,4.1,4.3
Mesão Frio,2.3,3.1,2,2,2.1,2.3,3.4,2,2,2.1
Moimenta da Beira,3.6,8.9,3,3,3,3.7,8.9,3,3,3.1
Murça,3.5,4.4,3,3.1,3.5,3.5,4.4,3,3.1,3.5
Penedono,1.8,2.9,1.6,1.5,//,1.8,2.9,1.6,1.5,//
Peso da Régua,3.3,8.2,3.2,4.4,2.2,4.1,82.5,3.2,5.1,2.5
Sabrosa,3.4,29.2,2.5,2.5,2.5,58.6,29.2,93,77,134
Santa Marta de Penaguião,3.3,9.6,2,2,//,3.3,9.6,2,2,//
São João da Pesqueira,2,5.9,2.3,2,1.1,2.1,6.3,2.4,2.1,1.2
Sernancelhe,2.6,3.8,4,3.8,1.7,2.6,3.8,4,3.8,1.7
Tabuaço,2.1,2.1,2.2,2.1,2.1,3.1,3.1,3,3.1,3
Tarouca,1.8,10.1,1.3,1.3,1.3,3.5,10.1,2.6,2.7,2.7
Torre de Moncorvo,2.5,5,2,2,2,2.6,5,2,2.1,2.1
Vila Nova de Foz Côa,2.1,2.3,2,2,2,2.1,2.3,2.1,2,2.1
Vila Real,5.5,10.6,6.6,4.8,3.9,5.5,10.6,6.6,4.8,3.9
Terras de Trás-os-Montes,2.7,3.4,2.2,2.5,2.6,2.9,3.8,2.4,2.6,2.7
Alfândega da Fé,1.8,9.9,1.3,1.3,1.3,1.8,9.9,1.3,1.3,1.3
Bragança,2.8,2.9,2.2,2.8,3.3,3.2,3.6,2.7,2.9,3.4
Macedo de Cavaleiros,2.8,2.7,3,3.1,2.6,3,2.8,3.2,3.3,2.7
Miranda do Douro,1.3,2.2,1.2,1.1,1,1.3,2.2,1.2,1.1,1
Mirandela,4.7,4.5,3.8,5.2,4.9,4.7,4.6,3.8,5.3,4.9
Mogadouro,1.7,3.2,1.3,1.4,1.3,1.8,3.5,1.5,1.5,1.5
Vila Flor,2.1,7.4,1.5,1.6,1.6,2.1,10.8,1.5,1.6,1.6
Vimioso,2.2,5.1,1.5,1.5,//,2.7,5.1,2,2,//
Vinhais,3.1,4.1,2.8,2.8,2.9,3.1,4.1,2.8,2.8,2.9
Centro,4.2,5.5,4.2,4,3.5,4.5,6,4.5,4.2,3.7
Oeste,5.3,6.5,5.5,5.3,4.3,5.6,7.4,5.8,5.5,4.4
Alcobaça,4.3,6.5,4,4.1,3.4,4.4,6.6,4,4.2,3.4
Alenquer,6.1,6.5,6.2,6.2,5.4,6.4,7,6.6,6.5,5.4
Arruda dos Vinhos,4.5,3.1,6.8,5.5,4.5,5.5,4.2,8.6,6.5,5
Bombarral,6.1,9.3,5.3,5.3,5.4,6.4,9.5,5.7,5.6,5.7
Cadaval,3.1,3.6,2.8,2.8,2.8,3.3,4.3,2.8,2.8,2.8
Caldas da Rainha,6.1,7.9,8.5,6.2,4.5,6.8,9.8,9.5,6.8,4.9
Lourinhã,6.2,11.8,7.2,6.7,2.8,6.2,12,7.2,6.7,2.8
Nazaré,5.8,5.4,8.2,7.6,4.5,7.4,10.2,9.6,8.7,4.6
Óbidos,9.2,8.1,7.9,11.5,11.1,9.3,8.3,8.2,11.5,11.1
Peniche,4.4,7.9,4.4,4,2.7,4.4,8.1,4.4,4,2.7
Sobral de Monte Agraço,6.6,11.7,5.5,5.4,5.5,6.6,12.1,5.5,5.4,5.5
Torres Vedras,5.5,6.2,5.4,5.5,5,5.6,6.7,5.6,5.6,5
Região de Aveiro,4.7,5.4,5,4.5,4.1,5,5.6,5.2,4.9,4.3
Águeda,4.4,5.3,4.9,3.9,3.7,4.5,5.5,5.4,4,3.7
Albergaria-a-Velha,7.2,14,7.8,5.6,5.5,7.3,14.5,7.9,5.7,5.5
Anadia,5.8,5.4,6,6,6,5.9,5.7,6.2,6,6.1
Aveiro,5.3,6.7,5.5,4.6,4.8,5.4,6.8,5.7,4.7,4.8
Estarreja,4.1,4.5,3.9,3.6,4.3,4.1,4.5,3.9,3.6,4.3
