,"%, Gini coefficient, Gross reported income, Tax Households","No., Inequality of income distribution (P80/P20), Gross reported income, Tax Households","No., Inequality of income distribution (P90/P10), Gross reported income, Tax Households","%, Gini coefficient, Gross reported income less personal income paid tax, Tax Households","No., Inequality of income distribution (P80/P20), Gross reported income less personal income paid tax, Tax Households","No., Inequality of income distribution (P90/P10), Gross reported income less personal income paid tax, Tax Households"
Vila Viçosa,38,2.8,5.3,34.6,2.6,4.6
Algarve,45.6,3.7,9,41.4,3.4,7.9
Albufeira,46.3,3.9,9.7,42.4,3.6,8.6
Alcoutim,//,//,//,//,//,//
Aljezur,45.4,3.6,9.1,41.3,3.3,8
Castro Marim,42.1,3.4,7.3,38.8,3.2,6.5
Faro,47,4,10.1,42.4,3.5,8.4
Lagoa,45,3.7,8.9,41.2,3.4,7.9
Lagos,46.2,3.7,9.4,41.9,3.4,8.3
Loulé,47.4,3.7,9.3,42.8,3.4,8.2
Monchique,40.6,3,6.9,37.3,2.8,6.1
Olhão,43.1,3.4,8.2,39.3,3.1,7.2
Portimão,45.1,3.8,8.8,41,3.4,7.7
São Brás de Alportel,44.8,3.6,8.8,40.8,3.3,7.6
Silves,42.2,3.4,7.8,38.7,3.2,7
Tavira,45.5,3.6,8.5,41.4,3.3,7.5
Vila do Bispo,44.2,3.5,9.1,40.4,3.3,8.1
Vila Real de Santo António,42.5,3.4,8,38.9,3.2,7.1
R. A. Açores,45,3.5,8,41.8,3.3,7.1
Santa Maria,50.1,3.9,9.3,46.1,3.6,8.1
Vila do Porto,50.1,3.9,9.3,46.1,3.6,8.1
São Miguel,46,3.7,8.4,42.7,3.4,7.4
Lagoa (R.A.A.),45.8,3.5,7.9,42.5,3.3,7.1
Nordeste,39.6,3,5.8,37.4,2.9,5.4
Ponta Delgada,46.4,3.8,8.7,42.9,3.4,7.6
Povoação,41.1,3.2,6.4,38.9,3.1,6
Ribeira Grande,43.4,3.4,7.7,40.8,3.3,7.1
Vila Franca do Campo,43.8,3.2,7.8,41.1,3.1,7.2
Terceira,43.6,3.3,7.7,40.6,3.1,6.9
Angra do Heroísmo,44.8,3.5,8,41.5,3.2,7.1
Vila da Praia da Vitória,41.3,3.1,7.1,38.7,2.9,6.5
Graciosa,42.8,3.3,7,40,3.2,6.4
Santa Cruz da Graciosa,42.8,3.3,7,40,3.2,6.4
São Jorge,41.3,3.2,7.3,39,3.1,6.7
Calheta (R.A.A.),39.6,3.1,6.6,37.5,3,6.2
Velas,42.2,3.2,7.5,39.7,3,6.7
Pico,41.8,3.1,6.7,39.1,3,6.2
Lajes do Pico,40.5,3,6.2,37.9,2.8,5.7
Madalena,41.4,3,6.6,38.7,2.9,6.1
São Roque do Pico,43.9,3.4,8.3,41,3.2,7.4
Faial,44.1,3.4,7.6,41,3.2,6.7
Horta,44.1,3.4,7.6,41,3.2,6.7
Flores,43.1,3.3,7.2,40.4,3.2,6.5
Lajes das Flores,//,//,//,//,//,//
Santa Cruz das Flores,//,//,//,//,//,//
Corvo,//,//,//,//,//,//
Corvo,//,//,//,//,//,//
R. A. Madeira,45.3,3.6,8.8,41.6,3.3,7.7
Calheta (R.A.M.),45.2,3.7,10.3,42.3,3.6,9.4
Câmara de Lobos,39,2.9,6.4,36.8,2.8,6.1
Funchal,47.2,3.8,9.6,42.9,3.4,8.2
Machico,40.7,3.2,7.3,38.2,3,6.6
Ponta do Sol,43.6,3.5,8.5,40.9,3.4,7.9
Porto Moniz,//,//,//,//,//,//
Ribeira Brava,40.3,3.1,6.8,37.8,3,6.3
Santa Cruz,42.9,3.5,8.4,39.9,3.3,7.5
Santana,39.4,2.9,6.2,37.1,2.8,5.7
São Vicente,42.4,3.5,8,39.6,3.3,7.2
Porto Santo,44.5,3.7,8.7,40.7,3.3,7.4
