,"%, Gini coefficient, Gross reported income, Taxable person","No., Inequality of income distribution (P80/P20), Gross reported income, Taxable person","No., Inequality of income distribution (P90/P10), Gross reported income, Taxable person","%, Gini coefficient, Gross reported income less personal income paid tax, Taxable person","No., Inequality of income distribution (P80/P20), Gross reported income less personal income paid tax, Taxable person","No., Inequality of income distribution (P90/P10), Gross reported income less personal income paid tax, Taxable person"
Portugal,41.4,3.1,6.5,36.1,2.8,5.4
Continente,41.4,3.1,6.5,36,2.8,5.4
Norte,40.6,3,6.2,35.5,2.7,5.3
Alto Minho,38.7,2.9,6.2,34.5,2.7,5.4
Arcos de Valdevez,39.6,2.9,7.2,35.9,2.7,6.5
Caminha,41.8,3.1,7.4,36.9,2.8,6.3
Melgaço,37.9,2.8,6.9,34.1,2.7,6.1
Monção,37.9,2.8,6.3,34,2.6,5.6
Paredes de Coura,36.3,2.6,5.5,32.8,2.5,4.9
Ponte da Barca,38.4,2.8,6.8,35.2,2.7,6.2
Ponte de Lima,37.1,2.7,5.2,33.2,2.5,4.7
Valença,35.1,2.6,5.4,31.7,2.5,4.9
Viana do Castelo,38.7,3,6.1,34.1,2.7,5.2
Vila Nova de Cerveira,36.5,2.7,5.7,32.7,2.5,5.1
Cávado,39.3,2.9,5.8,34.4,2.6,5
Amares,36.2,2.7,5.3,32.2,2.5,4.7
Barcelos,34.9,2.5,4.5,30.7,2.3,4
Braga,40.8,3.2,6.4,35.5,2.8,5.3
Esposende,40.6,3,6.1,35.5,2.7,5.2
Terras de Bouro,36.6,2.8,6,33.1,2.7,5.4
Vila Verde,36,2.7,5.4,32.5,2.5,4.9
Ave,36.3,2.5,4.8,31.9,2.3,4.2
Cabeceiras de Basto,37.2,2.7,6.1,33.8,2.6,5.4
Fafe,37.3,2.6,5.8,33.4,2.5,5.1
Guimarães,36.4,2.4,4.6,31.6,2.2,4
Mondim de Basto,37.6,2.8,6.4,34.2,2.6,5.7
Póvoa de Lanhoso,36.5,2.7,5.5,33,2.5,5
Vieira do Minho,37.8,2.8,6.2,34.3,2.7,5.5
Vila Nova de Famalicão,35.5,2.5,4.8,31,2.3,4.1
Vizela,32.8,2.2,4,28.8,2.1,3.6
A. M. Porto,41.7,3.1,6.4,36.2,2.8,5.3
Arouca,35.8,2.6,5,31.9,2.5,4.4
Espinho,41,3.1,6.3,35.7,2.8,5.2
Gondomar,37.6,2.9,5.6,33.1,2.6,4.7
Maia,40.2,3.3,6.5,35,2.8,5.3
Matosinhos,42.2,3.3,6.8,36.5,2.9,5.5
Oliveira de Azeméis,35.3,2.5,4.6,30.9,2.3,4
Paredes,38.1,2.8,6.2,34.3,2.7,5.5
Porto,48.7,4.3,9.5,42,3.6,7.3
Póvoa de Varzim,40.6,3.1,6.7,35.9,2.8,5.7
Santa Maria da Feira,37.4,2.7,5.1,32.8,2.5,4.4
Santo Tirso,35.9,2.5,4.6,31.3,2.3,4
São João da Madeira,39,2.8,5.6,34,2.5,4.7
Trofa,35.6,2.6,4.8,31.1,2.3,4.1
Vale de Cambra,35.9,2.7,4.8,31.6,2.4,4.2
Valongo,36.8,2.9,5.6,32.6,2.6,4.7
Vila do Conde,39.6,2.9,5.8,34.6,2.6,4.9
Vila Nova de Gaia,41.1,3.1,6.3,35.8,2.8,5.2
Alto Tâmega,40.8,3.1,7.7,36.9,2.9,6.8
Boticas,38.4,2.7,6.7,35.2,2.6,6.2
Chaves,41.5,3.4,8.1,37.3,3.1,6.9
Montalegre,40.5,3.2,8,37,3,7.2
Ribeira de Pena,37.9,2.8,6.1,34.5,2.6,5.5
Valpaços,39,2.9,6.9,35.9,2.8,6.2
Vila Pouca de Aguiar,39.3,2.9,7,35.8,2.7,6.3
Tâmega e Sousa,36.9,2.7,5.5,33.1,2.5,4.9
Amarante,39.7,2.9,6.5,35.7,2.7,5.7
Baião,35.8,2.7,5.3,32.5,2.5,4.8
Castelo de Paiva,34.1,2.5,4.5,30.9,2.4,4.1
Celorico de Basto,37,2.6,5.7,33.5,2.5,5.2
Cinfães,38.1,2.7,6.3,35,2.5,5.8
Felgueiras,34.7,2.4,4.6,30.8,2.3,4.2
Lousada,34.8,2.6,5,31.4,2.4,4.5
Marco de Canaveses,38.3,2.7,6,34.7,2.6,5.3
Paços de Ferreira,35.2,2.5,4.8,31.4,2.4,4.3
Penafiel,37.7,2.8,5.6,33.6,2.6,4.9
Resende,42.2,3.1,7.7,38.8,2.9,7
Douro,40.6,3.2,7.2,36.3,2.9,6.2
Alijó,37.7,2.8,6.2,34.3,2.6,5.6
Armamar,38.6,2.7,6.1,35,2.6,5.4
Carrazeda de Ansiães,38.9,3,6.8,35.4,2.8,6
Freixo de Espada à Cinta,33.9,2.6,4.4,30.4,2.4,3.9
Lamego,41.7,3.3,7.7,37.3,3,6.5
Mesão Frio,37.7,2.7,5.6,33.9,2.5,5
Moimenta da Beira,38.8,2.9,6.8,35.1,2.7,5.9
Murça,39.2,2.9,7,35.7,2.7,6.3
Penedono,//,//,//,//,//,//
Peso da Régua,39.1,3,6.4,34.9,2.8,5.6
Sabrosa,35,2.6,4.9,31.7,2.4,4.4
Santa Marta de Penaguião,39.5,3,7.4,36.4,2.8,6.7
São João da Pesqueira,38.9,2.9,6.2,35.1,2.7,5.5
Sernancelhe,34.9,2.7,4.9,31.6,2.5,4.4
Tabuaço,38.5,2.8,6.1,35,2.6,5.6
Tarouca,37,2.8,6.4,33.6,2.7,5.6
Torre de Moncorvo,38.4,3,6.5,34.6,2.7,5.7
Vila Nova de Foz Côa,40.1,3.1,7.7,36.1,2.9,6.6
Vila Real,41.2,3.6,7.5,36.5,3.1,6.1
Terras de Trás-os-Montes,40.6,3.3,7.3,36.4,3,6.3
Alfândega da Fé,39.2,3,6.5,35.5,2.8,5.7
Bragança,40.1,3.4,7.1,35.5,3,5.9
Macedo de Cavaleiros,42.2,3.2,7.9,38.3,3,6.9
Miranda do Douro,37,2.9,6,33.2,2.7,5.2
Mirandela,40.3,3.3,7,36.1,3,6
Mogadouro,39.9,3,7,36,2.8,6.2
Vila Flor,39.7,2.9,6.5,36,2.7,5.8
Vimioso,37.9,2.9,6.5,34.4,2.7,5.8
Vinhais,37,2.7,6,33.9,2.6,5.5
Centro,38.1,2.9,5.5,33.4,2.6,4.7
Oeste,38,2.9,5.7,33.5,2.6,4.8
Alcobaça,35,2.5,4.8,30.9,2.3,4.1
Alenquer,35.8,2.7,5.2,31.5,2.5,4.4
Arruda dos Vinhos,39.5,3.2,6,34.4,2.8,5
Bombarral,38,2.9,6,33.7,2.7,5.2
Cadaval,37,2.9,5.4,32.9,2.6,4.7
Caldas da Rainha,39.9,3,6.4,35.2,2.8,5.5
Lourinhã,39,3,6.2,34.6,2.8,5.4
Nazaré,37.1,2.7,5.7,33,2.5,5
Óbidos,39.3,2.9,6.2,34.9,2.7,5.3
Peniche,37.2,2.8,5.6,32.9,2.5,4.8
Sobral de Monte Agraço,37.7,2.9,5.6,33,2.6,4.7
Torres Vedras,39.1,3,5.9,34.2,2.7,5
Região de Aveiro,38.2,2.9,5.6,33.4,2.6,4.8
Águeda,36.2,2.6,4.8,31.7,2.4,4.2
Albergaria-a-Velha,34.5,2.6,4.7,30.5,2.4,4.1
Anadia,38.5,2.8,5.2,33.7,2.5,4.4
Aveiro,40,3.2,6.6,34.7,2.8,5.3
Estarreja,35.8,2.8,5.2,31.9,2.5,4.6
Ílhavo,38.9,3,6.2,34,2.6,5.2
Murtosa,39.1,3.2,7.4,35.1,3,6.4
Oliveira do Bairro,34.5,2.6,4.8,30.7,2.4,4.2
Ovar,37.8,2.8,5.5,33.1,2.5,4.6
Sever do Vouga,34.4,2.7,4.7,30.6,2.5,4.1
Vagos,37.4,2.8,5.4,33.1,2.7,4.7
Região de Coimbra,39.8,3,6,34.6,2.7,5
Arganil,34.2,2.5,4.6,30.8,2.3,4.1
Cantanhede,37.4,3,5.8,33.3,2.7,5
Coimbra,42.3,3.5,7.1,36.4,3,5.6
Condeixa-a-Nova,35.9,2.9,5.4,31.5,2.6,4.5
Figueira da Foz,38.5,3,5.9,33.6,2.7,4.9
Góis,32.8,2.5,4.2,29.4,2.3,3.8
Lousã,35.2,2.7,5.1,31.1,2.4,4.3
Mealhada,35.6,2.8,5,31.5,2.5,4.4
Mira,39,3,6.3,34.7,2.8,5.4
Miranda do Corvo,34.2,2.6,4.5,30.3,2.4,4
Montemor-o-Velho,33.7,2.6,4.6,29.7,2.4,4
Mortágua,35.4,2.6,4.9,31.7,2.5,4.4
Oliveira do Hospital,33.5,2.5,4.3,29.9,2.4,3.8
Pampilhosa da Serra,30.9,2.3,3.8,27.5,2.1,3.4
Penacova,33,2.6,4.5,29.8,2.4,4.1
Penela,36.4,2.6,4.5,31.4,2.4,3.9
Soure,32.4,2.5,4.4,28.7,2.3,3.8
Tábua,35.5,2.5,4.6,31.4,2.4,4.1
Vila Nova de Poiares,34,2.6,4.9,30.5,2.4,4.3
Região de Leiria,36.2,2.7,5.1,31.8,2.5,4.4
Alvaiázere,34.8,2.5,4.8,31.2,2.3,4.2
Ansião,34.5,2.7,4.6,30.8,2.5,4
