,"Quintiles of gross reported income by tax household, 1st quintile, €","Quintiles of gross reported income by tax household, 2nd quintile, €","Quintiles of gross reported income by tax household, 3rd quintile, €","Quintiles of gross reported income by tax household, 4th quintile, €","Distribution of the number of tax households by gross reported income class, Less than  5 000 €, No.","Distribution of the number of tax households by gross reported income class, From 5 000 to less than 10 000 €, No.","Distribution of the number of tax households by gross reported income class, From 10 000 to less than 13 500 €, No.","Distribution of the number of tax households by gross reported income class, From  13 500 to less than 19 000 €, No.","Distribution of the number of tax households by gross reported income class, From  19 000 to less than 32 500 €, No.","Distribution of the number of tax households by gross reported income class, 32 500 € or more, No."
Vila da Praia da Vitória,8386,11129,16413,26141,897,2230,1975,1513,2054,1325
Graciosa,7133,10252,14508,23773,205,592,395,287,359,246
Santa Cruz da Graciosa,7133,10252,14508,23773,205,592,395,287,359,246
São Jorge,7063,10175,13933,22434,501,1211,869,649,764,439
Calheta (R.A.A.),6820,10012,13430,21307,217,502,376,259,315,140
Velas,7396,10256,14535,23605,284,709,493,390,449,299
Pico,7606,10437,14842,23615,708,1956,1426,1134,1291,825
Lajes do Pico,7698,10414,14576,22857,196,604,442,355,379,226
Madalena,7938,10646,15297,23880,315,845,662,531,617,387
São Roque do Pico,6935,10055,14154,23885,197,507,322,248,295,212
Faial,8348,11209,17057,28097,669,1727,1425,1168,1504,1229
Horta,8348,11209,17057,28097,669,1727,1425,1168,1504,1229
Flores,7137,10477,14685,23810,200,493,393,283,325,216
Lajes das Flores,//,//,//,//,//,//,//,//,//,//
Santa Cruz das Flores,//,//,//,//,//,//,//,//,//,//
Corvo,//,//,//,//,//,//,//,//,//,//
Corvo,//,//,//,//,//,//,//,//,//,//
R. A. Madeira,7499,10632,15511,26949,13776,29141,21290,16875,21220,17303
Calheta (R.A.M.),5921,9548,12903,21988,727,1241,730,573,640,446
Câmara de Lobos,6684,9630,12387,19444,1811,4138,2934,1960,1928,905
Funchal,8073,11319,17194,30717,5821,12154,9107,7713,10035,10036
Machico,7280,10220,14154,23051,1047,2451,1792,1410,1531,953
Ponta do Sol,6028,9548,12518,21189,545,996,647,427,499,322
Porto Moniz,//,//,//,//,//,//,//,//,//,//
Ribeira Brava,7004,9935,13406,21680,618,1486,1023,777,825,448
Santa Cruz,8079,11408,17644,28618,2124,4191,3372,2735,4275,3121
Santana,6877,9666,12451,20039,362,913,583,395,436,203
São Vicente,6154,9548,12721,21422,//,//,//,//,//,//
Porto Santo,8422,12209,17883,31549,286,603,529,490,587,589
