,"Gross reported income per taxable person, €","Median value of gross reported income per taxable person, €","Personal income paid tax per taxable person, €","Gross reported income less personal income paid tax per taxable person, €","Personal income paid tax in the overall gross reported income, %"
Flores,12874,10119,969,11905,7.5
Lajes das Flores,12714,//,989,11725,7.8
Santa Cruz das Flores,12980,//,955,12025,7.4
Corvo,14001,//,1106,12895,7.9
Corvo,14001,//,1106,12895,7.9
R. A. Madeira,13874,10270,1388,12486,10
Calheta (R.A.M.),11227,8947,877,10350,7.8
Câmara de Lobos,10238,8835,540,9698,5.3
Funchal,16100,11373,1980,14120,12.3
Machico,11455,9446,758,10697,6.6
Ponta do Sol,11060,8909,776,10284,7
Porto Moniz,11226,//,812,10414,7.2
Ribeira Brava,11057,9213,704,10353,6.4
Santa Cruz,14063,11172,1243,12819,8.8
Santana,10434,8769,600,9834,5.7
São Vicente,10936,8915,768,10167,7
Porto Santo,15573,11812,1732,13840,11.1
