,"Quintiles of gross reported income less personal income paid tax by tax household, 1st quintile, €","Quintiles of gross reported income less personal income paid tax by tax household, 2nd quintile, €","Quintiles of gross reported income less personal income paid tax by tax household, 3rd quintile, €","Quintiles of gross reported income less personal income paid tax by tax household, 4th quintile, €","Distribution of the number of tax households by gross reported income less personal income paid tax class, Less than  5 000 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, From 5 000 to less than 10 000 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, From 10 000 to less than 13 500 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, From  13 500 to less than  19 000 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, From  19 000 to less than  32 500 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, 32 500 € or more, No."
Vila Flor,6223,9037,11768,19168,399,927,462,348,403,141
Vimioso,6199,8973,11724,18802,282,733,323,270,294,100
Vinhais,6016,8890,11237,18227,540,1478,611,487,532,167
Centro,7724,10215,14530,23083,109363,323761,197661,174979,210844,102808
Oeste,7449,9879,13982,22352,19896,56171,32597,28635,33487,15850
Alcobaça,7794,9983,13731,21442,2572,8749,5314,4546,5110,1912
Alenquer,7934,10514,15022,23438,2061,6192,4046,3611,4512,2026
Arruda dos Vinhos,8514,11215,17053,27417,572,1729,1161,1128,1439,1029
Bombarral,6984,9475,13061,20893,723,2029,1120,919,1023,452
Cadaval,6984,9481,13470,20897,736,2088,1056,1042,1105,428
Caldas da Rainha,6992,9635,13770,22202,3310,8086,4530,4023,4629,2388
Lourinhã,6984,9614,13450,21533,1539,4130,2346,2018,2256,1023
Nazaré,6854,9490,13135,20265,986,2461,1427,1252,1276,497
Óbidos,6999,9571,13570,21754,697,1857,998,884,987,521
Peniche,7467,9706,13733,21588,1491,4214,2363,2148,2396,1013
Sobral de Monte Agraço,7638,10103,14755,23781,537,1537,888,803,993,528
Torres Vedras,7446,9824,14005,22974,4672,13099,7348,6261,7761,4033
Região de Aveiro,7716,10303,14648,23403,18862,52438,33547,28939,35611,17977
Águeda,7997,10002,13845,21956,2139,7521,4514,3747,4381,1872
Albergaria-a-Velha,7959,10346,14390,22318,1173,3583,2333,2132,2440,906
Anadia,7285,9796,13474,21432,1470,4474,2661,2189,2424,1087
Aveiro,8270,11297,16900,27462,3999,9861,7069,6349,8730,6065
Estarreja,7480,10238,14230,22431,1381,3757,2509,2098,2562,1044
Ílhavo,7656,10587,15345,24501,2140,5168,3447,3035,3964,2197
Murtosa,6101,9320,13346,21444,759,1342,749,668,824,369
Oliveira do Bairro,7581,9980,14068,22300,1116,3416,2017,1701,2175,853
Ovar,7673,10182,14413,22741,2879,8152,5084,4489,5302,2521
Sever do Vouga,7546,9921,13299,20914,546,1757,1162,890,966,372
Vagos,7028,9592,13071,20646,1260,3407,2002,1641,1843,691
Região de Coimbra,8003,10648,15592,24834,20421,59721,37492,34321,44279,25043
Arganil,7285,9328,12636,18966,577,1897,927,888,796,264
Cantanhede,6949,9637,13504,21987,2062,5063,2963,2425,2991,1313
Coimbra,8764,12038,18752,30278,5926,16295,11403,11039,16057,13078
Condeixa-a-Nova,8555,11500,16984,26568,671,1908,1355,1312,1774,1054
Figueira da Foz,8111,10953,16124,25343,2930,7607,5146,4768,6594,3425
Góis,7290,9337,12552,18940,204,673,354,308,300,81
Lousã,7794,10448,15200,22952,799,2307,1382,1343,1739,676
Mealhada,7995,10612,15075,23669,919,2659,1760,1638,2032,904
Mira,6683,9545,13256,21270,738,1793,1053,874,945,460
Miranda do Corvo,7624,9998,13817,21320,555,1787,1093,962,1077,380
Montemor-o-Velho,8342,10825,15371,23533,931,3273,2220,2062,2575,1053
Mortágua,7615,9694,13129,20265,462,1458,877,692,775,267
Oliveira do Hospital,7363,9315,12604,19396,892,3430,1627,1514,1475,470
Pampilhosa da Serra,7634,9498,12959,18898,115,655,318,329,287,62
Penacova,7024,9578,12925,20136,701,2214,1278,1031,1194,297
Penela,7215,9315,12674,20345,264,998,467,368,463,159
Soure,8368,10753,15032,23059,665,2385,1679,1425,1874,674
Tábua,6825,9226,11837,18216,614,2116,931,850,749,235
Vila Nova de Poiares,7000,9402,12471,20118,396,1203,659,493,582,191
Região de Leiria,8073,10583,14901,23417,13354,39687,26984,24077,29043,13023
Alvaiázere,6927,9251,12015,18418,326,1104,535,456,433,133
Ansião,7513,9624,13033,20132,519,1890,1067,900,925,306
Batalha,8277,10677,15003,23151,668,2180,1460,1336,1661,643
Castanheira de Pêra,//,//,//,//,//,//,//,//,//,//
Figueiró dos Vinhos,6985,9314,12168,19011,287,1010,458,415,409,134
Leiria,8372,11040,15894,25234,5805,16504,11862,10683,13889,7329
Marinha Grande,8362,11095,15535,24096,1931,5091,3912,3769,4439,1957
Pedrógão Grande,6716,9031,11454,17800,//,//,//,//,//,//
Pombal,7782,10189,13988,21545,2476,7128,4821,4088,4684,1592
Porto de Mós,8006,10173,13985,21684,1014,3555,2257,1935,2195,796
