,"Quintiles of gross reported income by tax household, 1st quintile, €","Quintiles of gross reported income by tax household, 2nd quintile, €","Quintiles of gross reported income by tax household, 3rd quintile, €","Quintiles of gross reported income by tax household, 4th quintile, €","Distribution of the number of tax households by gross reported income class, Less than  5 000 €, No.","Distribution of the number of tax households by gross reported income class, From 5 000 to less than 10 000 €, No.","Distribution of the number of tax households by gross reported income class, From 10 000 to less than 13 500 €, No.","Distribution of the number of tax households by gross reported income class, From  13 500 to less than 19 000 €, No.","Distribution of the number of tax households by gross reported income class, From  19 000 to less than 32 500 €, No.","Distribution of the number of tax households by gross reported income class, 32 500 € or more, No."
Baixo Alentejo,7620,10282,14696,24432,5840,15857,9985,8471,9713,6799
Aljustrel,8295,11027,16196,26834,329,1152,827,690,830,631
Almodôvar,6854,9822,14201,25510,369,1101,591,454,569,474
Alvito,//,//,//,//,//,//,//,//,//,//
Barrancos,//,//,//,//,//,//,//,//,//,//
Beja,8262,11233,17006,28579,1556,4084,2793,2493,3299,2742
Castro Verde,8840,11805,18309,31523,223,759,515,530,616,625
Cuba,6720,9747,13685,22267,317,624,392,333,349,229
Ferreira do Alentejo,6490,9249,12944,20272,541,1225,672,588,581,292
Mértola,7354,9595,12890,20188,328,1026,593,480,488,204
Moura,7066,9678,13101,21040,706,1799,1108,862,881,506
Ourique,6863,9756,13449,21513,296,750,448,385,383,221
Serpa,7032,9575,12882,20630,762,2082,1221,941,998,500
Vidigueira,7536,9915,13532,21879,272,769,498,396,399,234
Lezíria do Tejo,7575,10437,14917,24543,12289,33108,21388,18928,21662,14207
Almeirim,6713,9704,13517,22755,1434,3336,2057,1613,1815,1143
Alpiarça,6890,9773,13514,22160,404,1110,663,547,559,351
Azambuja,7849,10788,15356,24596,1019,2782,1965,1740,2079,1213
Benavente,7778,10651,15624,25826,1549,3915,2552,2328,2832,1920
Cartaxo,7928,11015,15984,25365,1174,3002,2106,2040,2469,1476
Chamusca,7573,9887,13058,19928,344,1459,918,693,671,290
Coruche,7546,10250,14134,22382,781,2594,1642,1491,1486,782
Golegã,8059,10665,14849,23363,213,779,549,463,517,315
Rio Maior,7147,9940,13964,22833,1255,3202,1973,1696,1825,1074
Salvaterra de Magos,7341,10278,14638,23447,1156,3056,1898,1846,1891,1154
Santarém,7745,10756,15917,27028,2960,7873,5065,4471,5518,4489
Alto Alentejo,7608,10209,14308,23510,5427,15948,10093,8466,9564,5754
Alter do Chão,8124,10442,14317,21425,140,455,322,299,274,137
Arronches,7641,10119,13709,22209,//,//,//,//,//,//
Avis,7456,9836,13298,20232,207,652,389,347,316,140
Campo Maior,8502,11454,15896,25585,325,931,776,655,835,449
