,"%, Gini coefficient, Gross reported income, Tax Households","No., Inequality of income distribution (P80/P20), Gross reported income, Tax Households","No., Inequality of income distribution (P90/P10), Gross reported income, Tax Households","%, Gini coefficient, Gross reported income less personal income paid tax, Tax Households","No., Inequality of income distribution (P80/P20), Gross reported income less personal income paid tax, Tax Households","No., Inequality of income distribution (P90/P10), Gross reported income less personal income paid tax, Tax Households"
Portugal,45.8,3.5,8.3,41.3,3.2,7.1
Continente,45.8,3.5,8.3,41.3,3.2,7.1
Norte,44.8,3.3,7.8,40.4,3,6.8
Alto Minho,42.7,3.3,7.4,39.1,3.1,6.6
Arcos de Valdevez,42.3,3.3,7.5,39,3.2,6.9
Caminha,45.2,3.5,8.5,41,3.3,7.3
Melgaço,40.7,3.2,7.5,37.4,3,6.8
Monção,41.7,3.2,7.3,38.3,3,6.5
Paredes de Coura,39.3,3,5.9,36.4,2.9,5.6
Ponte da Barca,42,3.3,7.3,39.1,3.2,6.6
Ponte de Lima,40.7,3,6.4,37.5,2.8,5.8
Valença,39.7,3.1,7,36.8,2.9,6.3
Viana do Castelo,43.4,3.4,7.7,39.6,3.1,6.7
Vila Nova de Cerveira,40.5,3,7.1,37.3,2.9,6.4
Cávado,43.9,3.2,7.4,39.8,2.9,6.4
Amares,40.2,2.9,6.6,36.9,2.7,6
Barcelos,39.6,2.7,5.8,36.2,2.6,5.3
Braga,45.7,3.6,8.5,41.4,3.2,7.1
Esposende,45,3.2,7.3,40.5,3,6.4
Terras de Bouro,39.9,3.1,7.2,36.9,2.9,6.6
Vila Verde,39.9,2.9,6.5,36.9,2.7,6
Ave,41,2.8,6.2,37.3,2.7,5.6
Cabeceiras de Basto,40.4,3,6.8,37.4,2.8,6.2
Fafe,41.3,2.9,6.7,38,2.8,6.1
Guimarães,41.4,2.7,5.8,37.3,2.6,5.2
Mondim de Basto,39.7,3,6.9,36.8,2.9,6.3
Póvoa de Lanhoso,39.5,2.8,6.4,36.3,2.6,5.9
Vieira do Minho,41,3.2,7.3,37.9,3,6.6
Vila Nova de Famalicão,40.8,2.9,6.1,37.1,2.7,5.4
Vizela,37.6,2.4,5,34.5,2.4,4.6
A. M. Porto,46.1,3.5,8.2,41.4,3.1,7
Arouca,38.9,2.8,5.8,35.8,2.7,5.4
Espinho,45.7,3.4,8.2,41,3,6.9
Gondomar,42.6,3.2,7.5,38.9,3,6.5
Maia,45.5,3.7,8.7,41.1,3.3,7.3
Matosinhos,46.6,3.7,8.8,41.8,3.3,7.3
Oliveira de Azeméis,40.9,2.9,5.9,37.1,2.7,5.3
Paredes,41.9,3,8.1,38.8,2.9,7.4
Porto,53.2,4.8,12.8,47.4,4,10.2
Póvoa de Varzim,45,3.4,8.3,40.8,3.2,7.2
Santa Maria da Feira,41.9,3,6.7,38.2,2.8,6
Santo Tirso,40.7,2.7,5.6,36.9,2.5,5
São João da Madeira,44.2,3.2,7.3,39.9,3,6.4
Trofa,40.6,2.9,6.2,36.9,2.7,5.5
Vale de Cambra,40.9,3,6.2,37.3,2.8,5.5
Valongo,42.1,3.3,7.4,38.6,3,6.5
Vila do Conde,44.2,3.3,7.5,40,3,6.5
Vila Nova de Gaia,45.5,3.5,8.2,41,3.1,7
Alto Tâmega,43.6,3.5,8.1,40.1,3.2,7.3
Boticas,41.7,3.2,7.1,38.8,3,6.8
Chaves,45,3.8,9,41.2,3.4,7.9
Montalegre,41.8,3.2,7.3,38.5,3,6.6
Ribeira de Pena,40.6,3.1,7,37.6,3,6.4
Valpaços,41.2,3.1,7.5,38.2,3,6.9
Vila Pouca de Aguiar,41.9,3.2,7.4,38.7,3,6.7
Tâmega e Sousa,40.6,2.9,6.8,37.4,2.8,6.3
Amarante,43.2,3.1,8,39.6,3,7.3
Baião,38.2,2.8,6.1,35.4,2.7,5.7
Castelo de Paiva,37.7,2.7,5.8,35,2.6,5.4
Celorico de Basto,39.4,2.9,6.3,36.4,2.8,5.8
Cinfães,41.5,3.1,8.3,38.6,2.9,7.6
Felgueiras,38.9,2.6,5.7,35.7,2.5,5.3
Lousada,39.1,2.8,6.6,36.3,2.7,6.1
Marco de Canaveses,41.8,3.1,8.4,38.8,3,7.7
Paços de Ferreira,39.3,2.6,5.8,36.1,2.6,5.4
Penafiel,41.7,3,7,38.3,2.8,6.4
Resende,44,3.2,9.9,40.9,3.1,9.2
Douro,44.4,3.5,8.3,40.6,3.3,7.3
Alijó,40.8,3.1,7.1,37.8,3,6.5
Armamar,42.1,3.1,7.1,38.9,3,6.5
Carrazeda de Ansiães,42,3.2,7.1,38.7,3,6.5
Freixo de Espada à Cinta,39.3,3,5.7,36.2,2.9,5.1
Lamego,45.5,3.7,9,41.6,3.4,7.7
Mesão Frio,40.3,3,6.4,37.1,2.9,5.9
Moimenta da Beira,41.3,3.2,7.5,38.1,3,6.7
Murça,42,3.3,7.6,38.9,3.1,6.8
Penedono,//,//,//,//,//,//
Peso da Régua,43,3.4,7.6,39.3,3.2,6.8
Sabrosa,39.2,3,5.9,36.2,2.8,5.4
Santa Marta de Penaguião,42.5,3.2,8.1,39.7,3.1,7.5
São João da Pesqueira,42.6,3.2,6.9,39.1,3.1,6.4
Sernancelhe,39.1,2.8,5.8,36,2.7,5.4
Tabuaço,41.5,3.3,7.2,38.4,3.1,6.4
Tarouca,40.8,3.1,7.1,37.8,3,6.5
Torre de Moncorvo,41.5,3.3,6.8,38.2,3.1,6.1
Vila Nova de Foz Côa,42.6,3.5,8.7,39.3,3.3,7.8
Vila Real,46.1,4,9.5,42,3.6,8
Terras de Trás-os-Montes,44.5,3.7,8.4,40.8,3.4,7.4
Alfândega da Fé,42.5,3.3,7.3,39.1,3.1,6.6
Bragança,45.3,3.9,9.2,41.3,3.5,7.8
Macedo de Cavaleiros,44.5,3.5,8.8,41,3.3,7.7
Miranda do Douro,42.9,3.4,7.3,39.1,3.1,6.6
Mirandela,44.2,3.6,8.6,40.5,3.3,7.6
Mogadouro,43.7,3.4,8,40.1,3.2,6.8
Vila Flor,42.4,3.2,7.9,39.1,3.1,7.1
Vimioso,41.8,3.2,6.9,38.5,3,6.2
Vinhais,39.9,3.2,6.1,37.1,3,5.6
Centro,42.8,3.3,7.1,38.9,3,6.2
Oeste,42.9,3.3,7.3,39.1,3,6.3
Alcobaça,39.9,2.9,5.8,36.4,2.8,5.3
Alenquer,41.5,3.2,6.8,37.9,3,5.9
Arruda dos Vinhos,45.3,3.6,8.1,40.9,3.2,6.9
Bombarral,42.1,3.2,7,38.4,3,6.3
Cadaval,41.7,3.2,6.9,38.2,3,6.2
Caldas da Rainha,44.6,3.4,8.3,40.6,3.2,7.3
Lourinhã,42.9,3.3,7.5,39.1,3.1,6.6
Nazaré,41.6,3.2,7.3,38.1,3,6.6
Óbidos,44.7,3.3,7.8,40.7,3.1,6.9
Peniche,41.4,3.1,6.9,37.9,2.9,6.1
