,"Tax Households, No.","Taxable person, No.","Gross reported income, thousands euros","Taxable income, thousands euros","Personal income paid tax, thousands euros","Gross reported income less personal income paid tax, thousands euros"
Oliveira do Bairro,11278,16244,189289,129096,16516,172773
Ovar,28427,40423,506072,354564,52646,453426
Sever do Vouga,5693,8247,91292,60620,7746,83547
Vagos,10844,15624,174078,117800,16317,157761
Região de Coimbra,221277,315826,4367600,3155669,535384,3832216
Arganil,5349,7715,78099,49861,5385,72713
Cantanhede,16817,24421,279100,190433,26732,252368
Coimbra,73798,102865,1817716,1399332,289137,1528579
Condeixa-a-Nova,8074,11778,164030,118616,18182,145848
Figueira da Foz,30470,43224,602877,440854,72415,530463
Góis,1920,2720,27925,17694,1988,25936
Lousã,8246,11861,144976,100890,13940,131036
Mealhada,9912,14336,178301,124234,17202,161099
Mira,5863,8399,96995,66878,9757,87238
Miranda do Corvo,5854,8540,95126,63336,7959,87166
Montemor-o-Velho,12114,17933,217690,150473,20299,197391
Mortágua,4531,6515,71540,47992,6060,65480
Oliveira do Hospital,9408,13685,139818,88441,10015,129803
Pampilhosa da Serra,1766,2531,25870,16250,1729,24142
Penacova,6715,9913,100219,64551,7310,92909
Penela,2719,3868,41962,27423,3575,38387
Soure,8702,12749,151774,104111,13501,138273
Tábua,5495,7827,80946,49729,6105,74841
Vila Nova de Poiares,3524,4946,52637,34570,4095,48542
Região de Leiria,146168,207495,2658020,1874803,279422,2378598
Alvaiázere,2987,4204,42521,27201,3244,39277
Ansião,5607,8084,86773,56839,6898,79875
Batalha,7948,11468,141284,97797,13316,127968
Castanheira de Pêra,1407,1988,19856,12187,1395,18461
Figueiró dos Vinhos,2713,3812,39755,25763,3227,36527
Leiria,66072,93574,1305235,946517,153774,1151461
Marinha Grande,21099,29408,394174,282106,42574,351599
Pedrógão Grande,1794,2503,24508,15485,1787,22722
Pombal,24789,35835,408244,278209,35911,372334
Porto de Mós,11752,16619,195671,132699,17296,178375
