,Total de despesas em atividades culturais e criativas (Euros),"Despesas correntes, Total (Euros)","Despesas correntes, das quais, Património, Total  (Euros)","Despesas correntes, das quais, Património, Museus (Euros)","Despesas correntes, das quais, Bibliotecas e arquivos, Total (Euros)","Despesas correntes, das quais, Bibliotecas e arquivos, Bibliotecas (Euros)","Despesas correntes, das quais, Artes do espetáculo, Total (Euros)","Despesas correntes, das quais, Artes do espetáculo, Música (Euros)","Despesas correntes, das quais, Artes do espetáculo, Multidisciplinares (Euros)","Despesas correntes, das quais, Artes do espetáculo, Construção e manutenção de recintos de espetáculos (Euros)","Despesas correntes, das quais, Atividades interdisciplinares, Total (Euros)","Despesas correntes, das quais, Atividades interdisciplinares, Apoio a entidades culturais e criativas (Euros)"
Arruda dos Vinhos,764587,747608,31353,368,54090,53574,145678,21308,116482,94,325844,290468
Bombarral,193827,148280,57372,55874,399,399,7756,0,0,7756,75375,0
Cadaval,351892,347725,30225,17925,115000,95000,47000,40000,3000,0,125000,120000
Caldas da Rainha,2336741,2041063,403073,399432,148618,148618,867815,58819,0,808996,610469,86329
Lourinhã,1060321,774401,129547,42500,296812,186198,88413,13906,0,12000,92380,92380
Nazaré,1318596,1262952,147150,72287,161542,153595,162794,62280,13269,54943,544137,242050
Óbidos,157601,157601,106605,106605,50996,30058,0,0,0,0,0,0
Peniche,830045,778172,119387,102868,62128,62128,89903,60095,0,0,449981,71314
Sobral de Monte Agraço,1182151,896893,154725,154725,267153,267153,181745,85487,12638,61092,206400,60480
Torres Vedras,3423969,3423969,1216769,1150921,522938,521470,567876,191327,62477,0,735284,729710
Região de Aveiro,22128645,20361170,2993259,2874973,3041259,2477935,9507342,2749494,2526263,1133583,4081377,1305884
Águeda,2351070,2203101,101677,12539,156036,156036,1389469,0,810172,579297,534885,507430
Albergaria-a-Velha,1733995,1696473,36882,15896,422692,293694,1062051,242695,34655,120590,129107,129107
Anadia,1367521,1054771,73262,73262,162104,162104,558513,444192,0,0,85500,85500
Aveiro,6132256,5762131,1270204,1262042,797710,591334,2175330,982884,194502,2560,1430634,145370
Estarreja,1506236,1374467,171499,171499,186078,186078,651424,190254,0,15534,297927,66119
Ílhavo,3173507,2902359,887856,887856,450264,273173,1445794,14448,1341473,1578,0,0
Murtosa,1252673,944652,100081,100081,119456,68597,42119,23290,900,17929,651792,20158
Oliveira do Bairro,883544,819354,90015,90015,222938,222938,426218,56576,60851,145924,66950,66950
Ovar,2429290,2309845,189413,189413,249614,249614,1109027,292456,83710,250171,599332,0
Sever do Vouga,587398,582862,72370,72370,183974,183974,217538,72840,0,0,94347,94347
Vagos,711155,711155,0,0,90393,90393,429859,429859,0,0,190903,190903
Região de Coimbra,28415606,25216649,3800420,2332882,5093121,4136764,8559015,3648269,1017316,2142767,5476774,3552316
Arganil,752288,685323,110600,63072,250912,197065,224961,164973,0,45544,50800,50800
Cantanhede,1342691,1303149,364094,176349,332121,228572,435972,235061,0,0,163457,0
Coimbra,10680486,9206601,871099,628588,1431119,1232512,3530747,1544102,47666,1540711,2680252,2095655
Condeixa-a-Nova,1268640,1158192,458058,310887,301300,301300,335070,188734,132113,0,43552,43552
Figueira da Foz,3489314,3330239,554415,547879,683744,417678,1496488,708264,31384,406763,552039,152658
Góis,1018091,985269,557589,1428,91039,91039,70657,0,0,48831,38625,3180
Lousã,1535160,1003866,260528,233914,173806,173806,299035,0,0,71849,70914,70914
Mealhada,686319,618222,6900,0,205504,107159,121470,76607,11298,0,75000,75000
Mira,575890,569390,146621,146621,114518,74861,253292,164469,29666,0,51359,51359
Miranda do Corvo,411624,305553,0,0,146307,99138,105309,105309,0,0,24404,24404
Montemor-o-Velho,563821,515482,96229,0,178364,99146,55505,49797,0,0,118924,118924
Mortágua,658894,546152,11589,11589,142439,142439,265315,36567,181987,25008,80193,1500
Oliveira do Hospital,802644,754715,78070,76631,204831,204831,133701,0,133701,0,250512,118520
Pampilhosa da Serra,1046535,1025719,42409,42409,30879,30879,538870,327041,141283,0,285802,94150
Penacova,997998,910145,38114,20449,224089,170025,403658,3948,187129,0,180940,19190
Penela,1020009,841272,93739,32822,83800,82431,69463,0,0,4061,570321,417501
Soure,823775,715933,40244,40244,279418,264952,158234,36723,119089,0,225465,203794
Tábua,285706,285706,5459,0,177714,177714,35294,0,0,0,0,0
Vila Nova de Poiares,455721,455721,64663,0,41217,41217,25974,6674,2000,0,14215,11215
Região de Leiria,18136259,13566245,2263001,1365864,2111703,1718017,3482852,1497769,665346,738095,4278875,2759680
Alvaiázere,675057,675057,151000,151000,133278,133278,390779,134255,0,80529,0,0
Ansião,550162,528597,33972,0,139584,133658,69724,23312,0,33637,242882,69792
Batalha,988124,919914,69933,68419,71540,71540,160587,128637,11685,0,549380,10375
Castanheira de Pêra,197082,197082,41478,41478,43577,43103,79696,23576,0,5535,0,0
Figueiró dos Vinhos,823078,745098,186573,186573,209898,178300,93450,62115,18435,0,37671,37671
Leiria,6330751,4128356,896009,553866,479672,479672,557503,0,412404,145099,1991428,1565921
Marinha Grande,2801717,2130959,221996,110585,258514,107469,1076415,804231,168879,12928,425843,84439
Pedrógão Grande,541408,521907,0,0,137685,98292,197553,79776,37503,76807,32750,32750
Pombal,4020687,2652327,537320,197832,345858,227623,834842,241867,16440,383560,492165,451976
Porto de Mós,1208193,1066948,124720,56111,292097,245082,22303,0,0,0,506756,506756
Viseu Dão Lafões,11061113,10144344,1230363,864452,2520457,2207015,3164148,933106,984290,492536,2212339,1450785
Aguiar da Beira,474855,279897,0,0,124688,124688,114768,90749,0,0,0,0
Carregal do Sal,330107,330107,60021,60021,82270,82270,77605,0,77605,0,110198,110198
Castro Daire,621873,459373,17258,12170,190740,169312,2992,0,0,0,170617,170617
Mangualde,730654,730654,1537,0,374241,294515,297330,111683,115114,39035,0,0
Nelas,159150,154243,0,0,71475,68250,41980,7300,12050,0,23124,23124
Oliveira de Frades,399900,399900,64163,55467,169422,151562,99979,63388,6900,0,58425,35650
Penalva do Castelo,525715,524310,0,0,296894,296894,94480,0,94480,0,119820,80288
Santa Comba Dão,529523,414070,5451,0,129801,129801,184932,27942,55791,0,92407,7500
São Pedro do Sul,755029,704475,96399,0,90019,90019,171035,71436,36025,31503,270431,187341
Sátão,799679,614577,15018,605,99828,99828,36939,0,0,0,415416,415416
Tondela,941940,926812,25245,5518,223093,193333,336341,176891,0,0,283693,283693
Vila Nova de Paiva,323792,323792,0,0,48550,24620,192650,89938,97760,0,40100,40100
Viseu,3596551,3498510,801359,624494,494760,359068,1332441,293401,394009,396259,430400,62347
Vouzela,872345,783624,143912,106177,124676,122855,180676,378,94556,25739,197708,34511
Beira Baixa,9831450,7912045,1122240,739571,909576,724167,2438407,1515984,481653,144673,1887970,1281953
Castelo Branco,4394379,3896859,499707,457551,338785,292399,1636731,968633,337403,140947,723509,722929
Idanha-a-Nova,1908876,1730741,391115,203622,146512,87652,314842,167658,66243,3726,415227,213198
Oleiros,399363,364741,0,0,51021,51021,128293,100125,18450,0,87860,87860
Penamacor,1164437,658675,62321,62321,67094,23336,82172,13513,59557,0,350523,5500
Proença-a-Nova,933613,720802,31647,77,212210,181768,148926,139965,0,0,263581,205196
Vila Velha de Ródão,1030782,540227,137450,16000,93954,87991,127443,126090,0,0,47270,47270
Médio Tejo,19274111,16183558,2243190,1561881,3364672,2602100,4706796,1283953,1982854,349653,3967575,2074120
Abrantes,3713206,2790291,734311,570031,699181,620861,43575,0,0,17944,1221009,305366
Alcanena,558508,549438,113462,113462,147009,147009,193183,11182,31288,0,84530,84530
Constância,786026,737377,60988,60988,152902,84671,373571,0,322797,4674,143837,143837
Entroncamento,729667,675995,0,0,96489,74279,169190,93565,22330,1410,370956,210932
Ferreira do Zêzere,457899,453795,13490,7872,107073,107073,127502,44087,54091,10403,204024,8246
Mação,1439429,1041274,117791,117791,124943,116461,128262,83900,38000,0,83169,83169
Ourém,2779432,2691190,278721,173126,172616,122524,1416083,0,923858,245478,386752,325013
Sardoal,1285390,938145,126875,0,207684,177154,325789,96590,51572,41993,107584,41463
