,Total de despesas em atividades culturais e criativas (Euros),"Despesas correntes, Total (Euros)","Despesas correntes, das quais, Património, Total  (Euros)","Despesas correntes, das quais, Património, Museus (Euros)","Despesas correntes, das quais, Bibliotecas e arquivos, Total (Euros)","Despesas correntes, das quais, Bibliotecas e arquivos, Bibliotecas (Euros)","Despesas correntes, das quais, Artes do espetáculo, Total (Euros)","Despesas correntes, das quais, Artes do espetáculo, Música (Euros)","Despesas correntes, das quais, Artes do espetáculo, Multidisciplinares (Euros)","Despesas correntes, das quais, Artes do espetáculo, Construção e manutenção de recintos de espetáculos (Euros)","Despesas correntes, das quais, Atividades interdisciplinares, Total (Euros)","Despesas correntes, das quais, Atividades interdisciplinares, Apoio a entidades culturais e criativas (Euros)"
Alpiarça,494732,490525,173833,173833,171214,149119,90311,90311,0,0,23500,23500
Azambuja,790014,790014,76123,62962,275806,275806,213096,35200,159200,0,103240,103240
Benavente,2159735,2074545,231029,231029,420076,420076,1081654,3614,668354,405972,322745,322745
Cartaxo,516307,470004,84157,84157,66187,66187,315454,15302,0,159252,0,0
Chamusca,900830,896188,18013,0,167520,167520,690005,269707,49710,29213,0,0
Coruche,934261,903068,177952,136690,100069,48475,159598,0,93025,0,187037,56173
Golegã,849368,347585,56234,56234,85678,85678,6748,6248,0,0,46262,46262
Rio Maior,1213619,996421,80768,25960,165003,130698,150270,10533,85680,0,467910,75117
Salvaterra de Magos,1349498,925773,324714,188238,147860,101602,68037,21000,0,26362,376495,107925
Santarém,3072886,2536414,333467,91526,296330,272370,1134091,437940,346963,0,624506,480059
Alto Alentejo,11901319,8859995,1911527,1127169,1375483,1289118,3038979,1362853,1140226,114224,1695190,595062
Alter do Chão,642919,637747,204001,70897,47037,45343,41195,0,0,17328,306945,29842
Arronches,250865,212252,39650,39650,474,474,94081,70202,0,0,47080,47080
Avis,828499,828499,160641,27616,74400,74400,399634,265838,54875,26661,82816,48583
Campo Maior,610402,588340,75255,75255,89291,89291,300412,14541,195576,0,0,0
Castelo de Vide,804039,669449,135083,128933,126107,126107,256897,0,256897,0,112880,44770
Crato,782962,164113,20253,20253,88247,88247,0,0,0,0,52730,52730
Elvas,3077911,1400411,380917,107112,29827,29827,441527,0,390868,34903,291070,140823
Fronteira,391344,390717,32441,27558,27496,22920,212543,117722,75960,0,113387,20110
Gavião,285306,285306,68132,54094,67599,67599,132026,22500,103388,0,10000,10000
