,Total de despesas em atividades e equipamentos desportivos (Euros),"Despesas correntes , Total (Euros)","Despesas correntes , das quais, Atividades desportivas  (Euros)","Despesas correntes , das quais, Associações desportivas (Euros)","Despesas correntes , das quais, Construção e manutenção de infraestruturas desportivas (Euros)","Despesas de capital, Total, Construção e manutenção de infraestruturas desportivas (Euros)","Despesas de capital, das quais, Atividades desportivas  (Euros)","Despesas de capital, das quais, Associações desportivas (Euros)","Despesas de capital, das quais, Construção e manutenção de infraestruturas desportivas (Euros)"
Portugal,367740235,273437668,99761265,79422360,51372973,94302567,3287204,17183220,47656662
Continente,357221935,266083322,97745688,75893508,51146551,91138613,3274838,16472657,46712034
Norte,134759400,97419980,41455307,27529534,12026877,37339420,2509066,7658140,21037837
Alto Minho,9322651,6314645,1778938,2749419,1290673,3008006,0,462584,2031628
Arcos de Valdevez,1891674,1343652,299322,307105,576113,548022,0,88041,134677
Caminha,270053,270053,63640,206413,0,0,0,0,0
Melgaço,1673664,58000,0,58000,0,1615664,0,0,1615664
Monção,553544,508175,326068,107097,29287,45369,0,41578,0
Paredes de Coura,315109,277971,55495,124262,98214,37138,0,0,10978
Ponte da Barca,240039,240039,125352,81600,33087,0,0,0,0
Ponte de Lima,1462834,1285746,0,442994,553972,177088,0,0,18549
Valença,620130,368370,38100,330270,0,251760,0,0,251760
Viana do Castelo,1714136,1403171,430243,972928,0,310965,0,310965,0
Vila Nova de Cerveira,581468,559468,440718,118750,0,22000,0,22000,0
Cávado,9543622,8067540,5868736,1847919,82927,1476082,38482,382542,457720
Amares,226657,226657,226657,0,0,0,0,0,0
Barcelos,3186141,2206935,1107813,1021723,0,979206,0,9000,408820
Braga,3974297,3935815,3935815,0,0,38482,38482,0,0
Esposende,1319060,919536,549405,369746,0,399524,0,373542,0
Terras de Bouro,61000,61000,0,61000,0,0,0,0,0
Vila Verde,776467,717597,49046,395450,82927,58870,0,0,48900
Ave,16160901,12910555,6637373,3321911,2608129,3250346,1841290,935419,214142
Cabeceiras de Basto,347000,320800,94000,196300,25000,26200,15700,0,10500
Fafe,1672251,1605988,370360,724976,466193,66263,0,0,0
Guimarães,5102286,2972372,2158124,793325,16564,2129914,1820089,0,148325
Mondim de Basto,168548,166048,113550,52498,0,2500,0,2500,0
Póvoa de Lanhoso,1107131,918990,107340,223322,558373,188141,501,100591,55317
Vieira do Minho,210559,205559,125559,80000,0,5000,5000,0,0
Vila Nova de Famalicão,6870797,6038469,3629093,1009968,1149799,832328,0,832328,0
Vizela,682329,682329,39347,241522,392200,0,0,0,0
A. M. Porto,62386437,46457304,18972185,10141837,4612476,15929133,110938,4327312,9983644
Arouca,1997783,1299363,163189,131779,637139,698420,4130,0,88521
Espinho,1534706,172813,363,172450,0,1361893,0,0,1361893
Gondomar,3410029,2725553,1148048,1171558,184589,684476,0,371000,313476
Maia,9014782,8045572,2932652,1688118,1733529,969210,0,18352,751835
Matosinhos,8875260,7908538,6558629,1335378,14301,966722,0,414065,500085
Oliveira de Azeméis,1021453,637995,90729,486452,20591,383458,3901,0,167632
Paredes,2307707,873089,134608,591632,109678,1434618,0,827450,607168
Porto,14203334,10165914,1766620,0,0,4037420,0,0,4037420
Póvoa de Varzim,3172378,2743923,1262355,1415895,0,428455,0,0,0
Santa Maria da Feira,540876,438450,438450,0,0,102426,102426,0,0
Santo Tirso,442484,442484,277791,131880,15750,0,0,0,0
São João da Madeira,1657409,1630610,1233309,370502,26799,26799,0,0,26799
Trofa,494319,360958,256856,70239,906,133361,0,132361,1000
Vale de Cambra,1204626,975650,307162,92824,430931,228976,481,129695,96534
Valongo,3598151,1560687,1470491,0,90138,2037464,0,0,2030235
Vila do Conde,1322305,1271259,20579,996998,132790,51046,0,50000,1046
Vila Nova de Gaia,7588835,5204446,910354,1486132,1215335,2384389,0,2384389,0
Alto Tâmega,7096900,4929883,1927779,1483532,528881,2167017,57163,205000,1204449
Boticas,306000,249000,142000,26000,37500,57000,32000,0,0
Chaves,1142812,1034280,318238,435875,208220,108532,25163,65000,10346
Montalegre,1642105,1146594,690411,447100,0,495511,0,0,424791
