,Total expenditures on sports activities and equipments (Euros),"Current expenditures, Total (Euros)","Current expenditures, of which, Sports activities (Euros)","Current expenditures, of which, Sports associations (Euros)","Current expenditures, of which, Construction and maintenance of sports infrastructures (Euros)","Capital expenditures, Total, Construction and maintenance of sports infrastructures (Euros)","Capital expenditures, of which, Sports activities (Euros)","Capital expenditures, of which, Sports associations (Euros)","Capital expenditures, of which, Construction and maintenance of sports infrastructures (Euros)"
Mogadouro,714784,484024,123968,46000,149956,230760,0,0,224617
Vila Flor,415114,359728,1621,52500,135320,55386,0,0,0
Vimioso,81275,81275,20000,61035,0,0,0,0,0
Vinhais,220052,215417,83357,81000,33913,4635,0,0,4635
Centro,87917581,60915006,17507460,17767798,16213527,27002575,364592,3270775,10181281
Oeste,9554568,6723905,1572971,2321309,2221087,2830663,78207,130908,2022234
Alcobaça,1780638,535949,16080,396728,121175,1244689,0,0,1103309
Alenquer,681010,390141,25480,174506,74675,290869,0,0,1803
Arruda dos Vinhos,245636,238251,42075,58801,98160,7385,4489,0,2480
Bombarral,329600,329600,0,0,305452,0,0,0,0
Cadaval,48653,48653,0,48653,0,0,0,0,0
Caldas da Rainha,1664427,1563458,62122,777384,524149,100969,0,100969,0
Lourinhã,337495,272837,61135,152500,34202,64658,4420,0,60238
Nazaré,1825401,1509473,635796,197717,599449,315928,0,29939,285989
Óbidos,387800,387800,360450,27350,0,0,0,0,0
Peniche,879643,589480,94129,0,368936,290163,69298,0,217613
Sobral de Monte Agraço,356296,246327,151438,0,94889,109969,0,0,109969
Torres Vedras,1017969,611936,124266,487670,0,406033,0,0,240833
Região de Aveiro,14046724,8035924,833799,2809647,3501867,6010800,55835,1296539,1403374
Águeda,1091911,1078402,161427,469971,411963,13509,0,0,13509
Albergaria-a-Velha,2305532,1152328,38188,197416,521935,1153204,0,0,0
Anadia,135727,13407,0,0,0,122320,5535,0,31192
Aveiro,4203407,1040999,227633,445730,366283,3162408,0,631551,552759
Estarreja,1111451,919880,216227,347001,176119,191571,0,0,153414
Ílhavo,1264902,730099,13873,0,684467,534803,0,459742,75061
Murtosa,372495,308648,104710,64526,0,63847,50300,13547,0
Oliveira do Bairro,949453,596807,0,93226,446627,352646,0,78955,273691
Ovar,1326141,1235078,0,763764,471314,91063,0,9394,81669
Sever do Vouga,721337,617987,1020,157421,423159,103350,0,103350,0
Vagos,564368,342289,70721,270592,0,222079,0,0,222079
Região de Coimbra,18075154,13137989,6020339,3664776,1574889,4937165,97056,347361,1599625
Arganil,379772,379772,214392,62475,102905,0,0,0,0
Cantanhede,1036933,1002759,51972,193085,622961,34174,3690,0,10503
Coimbra,5037301,3502037,2491222,1010815,0,1535264,0,0,1049283
Condeixa-a-Nova,1220414,1136753,814786,287408,0,83661,83661,0,0
Figueira da Foz,2188569,1296681,318690,289715,287069,891888,9705,36500,20629
Góis,241573,189773,33378,9529,89686,51800,0,51800,0
Lousã,538752,458489,60745,397744,0,80263,0,0,13817
Mealhada,931280,555904,390904,165000,0,375376,0,0,375376
Mira,780723,341095,177120,65887,98088,439628,0,8852,17853
Miranda do Corvo,411685,377049,7260,77160,0,34636,0,34636,0
Montemor-o-Velho,1673447,888678,206746,89314,0,784769,0,1111,0
Mortágua,698399,583399,368941,0,160721,115000,0,115000,0
Oliveira do Hospital,644104,609945,26599,393752,112750,34159,0,34159,0
Pampilhosa da Serra,209984,209984,158084,51900,0,0,0,0,0
Penacova,766624,661063,265329,217163,17832,105561,0,0,104312
Penela,156229,127101,77156,36239,12611,29128,0,20291,1632
Soure,630706,295038,46602,175800,0,335668,0,45012,30
Tábua,432017,425827,241261,114300,70266,6190,0,0,6190
Vila Nova de Poiares,96642,96642,69152,27490,0,0,0,0,0
Região de Leiria,10978870,6753170,1868774,1755154,2101919,4225700,44905,472308,2912265
Alvaiázere,187674,187674,130454,57220,0,0,0,0,0
Ansião,454629,454629,0,67405,359818,0,0,0,0
Batalha,880485,374136,278877,95259,0,506349,0,2980,484897
Castanheira de Pêra,63500,13500,13500,0,0,50000,0,0,0
Figueiró dos Vinhos,338802,293897,293897,0,0,44905,44905,0,0
Leiria,4800745,2569450,267698,565619,1054503,2231295,0,0,2211686
Marinha Grande,1403432,1135841,310068,495910,222135,267591,0,199222,55453
Pedrógão Grande,137524,137524,1594,50021,50325,0,0,0,0
Pombal,2151304,1099485,393841,309573,272153,1051819,0,196365,160229
Porto de Mós,560775,487034,178845,114147,142985,73741,0,73741,0
Viseu Dão Lafões,10809684,7646028,2274760,2758522,1502766,3163656,0,290484,507008
Aguiar da Beira,138143,113143,0,48143,35000,25000,0,0,25000
Carregal do Sal,302691,302691,195669,107022,0,0,0,0,0
Castro Daire,411276,278216,69038,209178,0,133060,0,0,133060
Mangualde,77940,77940,610,29796,42515,0,0,0,0
Nelas,377529,377529,0,250050,12479,0,0,0,0
Oliveira de Frades,790367,395091,160729,60000,98583,395276,0,0,43826
Penalva do Castelo,320505,320505,110,208730,53104,0,0,0,0
Santa Comba Dão,244469,182515,156257,24195,0,61954,0,26931,8092
São Pedro do Sul,1000339,660235,7279,245136,401147,340104,0,0,213104
Sátão,632357,485230,318,217703,254971,147127,0,0,0
Tondela,1041066,975220,394235,372221,70334,65846,0,0,51670
Vila Nova de Paiva,231997,231997,175747,56250,0,0,0,0,0
Viseu,4714307,2779708,826997,822095,500891,1934599,0,210373,24746
Vouzela,526698,466008,287771,108003,33742,60690,0,53180,7510
Beira Baixa,5857372,3891283,1356888,1416721,321838,1966089,1963,214371,368249
Castelo Branco,2924578,2052343,565400,583516,306519,872235,0,158452,32914
Idanha-a-Nova,1072462,741583,218660,452000,15319,330879,0,0,323164
Oleiros,347388,331894,171616,160278,0,15494,0,15494,0
Penamacor,324610,192522,100522,92000,0,132088,0,0,12171
Proença-a-Nova,1000351,384958,142075,128927,0,615393,1963,40425,0
Vila Velha de Ródão,187983,187983,158615,0,0,0,0,0,0
Médio Tejo,11407892,8765423,1130469,1359691,3661295,2642469,0,336911,951795
Abrantes,2312733,1995647,370307,26539,18192,317086,0,0,0
Alcanena,1231255,491238,12919,65296,398087,740017,0,23600,94080
Constância,401265,394909,39465,34190,319202,6356,0,856,830
Entroncamento,1463296,506369,2952,73801,311814,956927,0,0,788877
Ferreira do Zêzere,360042,346764,227063,76245,21096,13278,0,13278,0
Mação,48225,27946,7318,20628,0,20279,0,0,15482
Ourém,1103552,752679,27492,272572,337876,350873,0,298363,0
Sardoal,268490,208035,12350,18858,7490,60455,0,0,19830
Sertã,1311684,1186295,171426,297828,547586,125389,0,0,32696
Tomar,1143822,1143822,79136,172247,816682,0,0,0,0
Torres Novas,1323192,1271383,26100,261160,717768,51809,0,814,0
Vila de Rei,157378,157378,37312,28327,11173,0,0,0,0
Vila Nova da Barquinha,282958,282958,116629,12000,154329,0,0,0,0
Beiras e Serra da Estrela,7187317,5961284,2449460,1681978,1327866,1226033,86626,181893,416731
Almeida,654916,429932,316422,72187,35225,224984,0,0,224984
Belmonte,216040,129130,18589,110541,0,86910,0,65803,0
Celorico da Beira,123084,108112,21269,28000,48808,14972,0,0,0
