,"Beneficiárias/os, HM, Nº","Beneficiárias/os, H, Nº","Beneficiárias/os, M, Nº","Dias processados, HM, Nº","Dias processados, H, Nº","Dias processados, M, Nº","Valores processados, HM, milhares de euros","Valores processados, H, milhares de euros","Valores processados, M, milhares de euros"
Portugal,173517,80567,92950,12783040,2674902,10108138,375779,103836,271943
Continente,164774,76330,88444,12162723,2541572,9621151,358706,99184,259521
Norte,58129,27436,30693,4256211,925899,3330312,120093,33294,86799
Alto Minho,3295,1553,1742,237266,49970,187296,6224,1592,4631
Arcos de Valdevez,249,119,130,18642,3982,14660,458,123,336
Caminha,226,102,124,16138,3099,13039,418,90,328
Melgaço,64,25,39,4675,810,3865,91,20,70
Monção,194,85,109,14842,3115,11727,373,103,270
Paredes de Coura,120,56,64,9115,1741,7374,214,46,169
Ponte da Barca,138,64,74,9557,1822,7735,214,48,166
Ponte de Lima,638,304,334,47549,10462,37087,1309,331,978
Valença,163,74,89,11094,2003,9091,275,67,208
Viana do Castelo,1367,662,705,95784,20776,75008,2608,702,1906
Vila Nova de Cerveira,136,62,74,9870,2160,7710,265,64,201
Cávado,7216,3428,3788,538021,122705,415316,15460,4303,11157
Amares,334,170,164,24213,6059,18154,620,203,417
Barcelos,1927,915,1012,144159,34209,109950,3688,1074,2615
Braga,3496,1658,1838,260035,58302,201733,8336,2303,6033
Esposende,537,249,288,39298,9019,30279,1107,295,812
Terras de Bouro,75,35,40,5155,925,4230,118,21,97
Vila Verde,847,401,446,65161,14191,50970,1591,408,1183
Ave,7496,3652,3844,548047,129857,418190,14620,4232,10388
Cabeceiras de Basto,227,103,124,18364,3539,14825,417,104,313
Fafe,757,366,391,55924,13014,42910,1358,367,991
Guimarães,2945,1443,1502,214843,52007,162836,5723,1577,4146
Mondim de Basto,69,36,33,4708,1137,3571,97,31,65
Póvoa de Lanhoso,321,144,177,23635,4788,18847,555,140,415
Vieira do Minho,131,61,70,9851,2000,7851,224,55,169
Vila Nova de Famalicão,2585,1276,1309,185724,45029,140695,5331,1706,3624
Vizela,461,223,238,34998,8343,26655,916,253,663
A. M. Porto,29233,13756,15477,2133707,458139,1675568,64989,18322,46667
Arouca,334,164,170,25664,5510,20154,593,161,433
Espinho,463,215,248,32530,6595,25935,959,302,657
Gondomar,2782,1278,1504,203088,41312,161776,5324,1399,3925
Maia,2428,1174,1254,177741,40194,137547,6031,1872,4159
Matosinhos,2884,1360,1524,205646,44239,161407,7151,2102,5049
Oliveira de Azeméis,1082,540,542,77073,18263,58810,2078,649,1429
Paredes,1546,731,815,111662,23989,87673,2698,723,1976
Porto,3578,1628,1950,266205,55134,211071,10288,2841,7447
Póvoa de Varzim,1053,497,556,76507,16194,60313,2028,526,1502
Santa Maria da Feira,2434,1160,1274,178137,39067,139070,4874,1332,3541
Santo Tirso,1068,521,547,78897,18677,60220,2170,708,1462
São João da Madeira,328,151,177,24222,5402,18820,700,224,476
Trofa,725,348,377,54336,12889,41447,1480,448,1032
Vale de Cambra,315,153,162,22897,5009,17888,600,183,418
Valongo,1749,820,929,127719,26449,101270,3631,950,2681
Vila do Conde,1397,640,757,100911,21028,79883,2994,816,2177
Vila Nova de Gaia,5067,2376,2691,370472,78188,292284,11390,3087,8304
Alto Tâmega,925,428,497,68279,13557,54722,1591,377,1213
Boticas,47,18,29,3745,642,3103,78,15,63
Chaves,458,210,248,33777,6684,27093,811,201,610
Montalegre,75,37,38,4839,1173,3666,108,31,77
Ribeira de Pena,76,38,38,5452,1149,4303,138,39,100
Valpaços,162,75,87,12173,2299,9874,245,49,197
Vila Pouca de Aguiar,107,50,57,8293,1610,6683,210,43,167
Tâmega e Sousa,6579,3093,3486,479031,102526,376505,10857,2949,7908
Amarante,740,353,387,54230,11489,42741,1285,348,938
Baião,229,98,131,16294,2532,13762,336,69,267
Castelo de Paiva,194,85,109,14337,2306,12031,296,59,237
Celorico de Basto,218,102,116,15603,3537,12066,334,90,245
Cinfães,229,103,126,15361,2948,12413,299,81,218
Felgueiras,998,491,507,70954,17583,53371,1651,466,1186
Lousada,909,430,479,67407,15722,51685,1532,459,1073
Marco de Canaveses,738,332,406,53991,10109,43882,1181,282,899
Paços de Ferreira,981,463,518,71498,15706,55792,1635,468,1168
Penafiel,1195,563,632,89156,18451,70705,2103,575,1527
Resende,148,73,75,10200,2143,8057,205,53,152
Douro,2187,988,1199,160519,31133,129386,3908,901,3007
Alijó,108,49,59,7885,1719,6166,182,56,126
Armamar,71,32,39,5574,875,4699,121,27,94
Carrazeda de Ansiães,54,23,31,3910,705,3205,72,15,57
Freixo de Espada à Cinta,44,18,26,2854,547,2307,51,11,40
Lamego,283,123,160,21645,3742,17903,525,99,426
Mesão Frio,48,23,25,3285,625,2660,68,15,53
Moimenta da Beira,123,56,67,8882,1550,7332,205,43,162
Murça,54,25,29,3980,982,2998,83,26,57
Penedono,30,13,17,2077,289,1788,46,7,39
Peso da Régua,198,93,105,14260,2862,11398,337,96,241
Sabrosa,50,21,29,3440,523,2917,85,15,71
Santa Marta de Penaguião,71,38,33,4697,940,3757,104,23,81
São João da Pesqueira,71,29,42,5017,937,4080,107,25,82
Sernancelhe,56,27,29,3508,825,2683,74,20,53
Tabuaço,45,19,26,3359,574,2785,61,11,49
Tarouca,92,42,50,7145,1377,5768,145,33,112
Torre de Moncorvo,58,26,32,3878,751,3127,75,17,59
Vila Nova de Foz Côa,53,20,33,3968,718,3250,82,23,60
Vila Real,678,311,367,51155,10592,40563,1485,340,1145
Terras de Trás-os-Montes,1198,538,660,91341,18012,73329,2444,617,1827
Alfândega da Fé,31,14,17,2582,413,2169,57,10,46
Bragança,483,224,259,36981,7855,29126,1145,317,829
Macedo de Cavaleiros,131,54,77,10386,1696,8690,215,62,153
Miranda do Douro,43,19,24,3289,605,2684,86,17,68
Mirandela,239,103,136,18005,3323,14682,500,93,407
Mogadouro,82,40,42,6073,1443,4630,124,37,87
Vila Flor,68,27,41,4997,973,4024,126,39,86
Vimioso,44,21,23,3242,666,2576,76,18,58
Vinhais,77,36,41,5786,1038,4748,115,23,92
Centro,34334,16353,17981,2497879,538764,1959115,67429,18777,48652
Oeste,6102,2866,3236,450748,92925,357823,12007,3236,8771
Alcobaça,867,411,456,62935,13569,49366,1673,447,1226
Alenquer,863,410,453,63490,13361,50129,1703,477,1226
Arruda dos Vinhos,270,127,143,19349,4317,15032,659,189,471
Bombarral,182,82,100,13984,2768,11216,357,82,276
Cadaval,152,69,83,10878,2067,8811,265,67,198
Caldas da Rainha,724,340,384,53807,10525,43282,1389,378,1010
Lourinhã,450,206,244,33981,6438,27543,811,235,575
Nazaré,241,105,136,19517,3370,16147,490,125,365
Óbidos,191,91,100,14094,3010,11084,374,90,283
Peniche,506,233,273,36797,7486,29311,867,222,646
Sobral de Monte Agraço,163,79,84,12007,2853,9154,366,106,260
Torres Vedras,1493,713,780,109909,23161,86748,3055,819,2236
