,"Total, N.º","Sexo, H, N.º","Sexo, M, N.º","Idade, Menos de 25 anos, N.º","Idade, 25-39 anos, N.º","Idade, 40-54 anos, N.º","Idade, 55 e mais anos, N.º","Valores processados, 55 e mais anos, milhares de euros"
Região de Coimbra,7709,3968,3741,2460,1204,2008,2037,9897
Arganil,143,87,56,28,16,33,66,188
Cantanhede,469,219,250,135,65,110,159,583
Coimbra,2994,1572,1422,939,519,835,701,4052
Condeixa-a-Nova,155,81,74,67,15,38,35,168
Figueira da Foz,1457,712,745,529,240,346,342,1839
Góis,76,47,29,17,12,17,30,75
Lousã,445,225,220,167,56,115,107,540
Mealhada,142,76,66,33,18,42,49,187
Mira,185,95,90,64,32,38,51,212
Miranda do Corvo,179,96,83,55,28,46,50,232
Montemor-o-Velho,287,153,134,114,44,72,57,336
Mortágua,77,35,42,18,10,22,27,88
Oliveira do Hospital,277,147,130,62,45,82,88,350
Pampilhosa da Serra,61,38,23,9,7,23,22,71
Penacova,129,70,59,26,13,24,66,180
Penela,52,28,24,19,5,9,19,74
Soure,207,106,101,59,32,52,64,289
Tábua,228,117,111,68,25,62,73,292
Vila Nova de Poiares,146,64,82,51,22,42,31,143
Região de Leiria,3766,1782,1984,1438,611,859,858,4571
Alvaiázere,127,52,75,47,11,36,33,154
Ansião,207,108,99,59,31,61,56,244
Batalha,97,44,53,43,11,22,21,121
Castanheira de Pêra,63,35,28,18,12,15,18,76
Figueiró dos Vinhos,131,69,62,41,25,32,33,166
Leiria,1364,630,734,531,225,310,298,1621
Marinha Grande,680,326,354,270,126,149,135,860
Pedrógão Grande,100,47,53,27,14,30,29,131
Pombal,728,357,371,296,121,146,165,882
Porto de Mós,269,114,155,106,35,58,70,317
Viseu Dão Lafões,5253,2615,2638,1911,782,1156,1404,6482
Aguiar da Beira,79,43,36,24,10,12,33,105
Carregal do Sal,144,74,70,37,12,35,60,169
Castro Daire,333,181,152,93,33,84,123,374
Mangualde,486,237,249,184,71,108,123,587
Nelas,262,133,129,97,36,66,63,328
Oliveira de Frades,44,19,25,15,5,9,15,47
Penalva do Castelo,153,80,73,48,19,35,51,170
Santa Comba Dão,181,92,89,57,22,34,68,224
São Pedro do Sul,152,76,76,43,14,25,70,176
