,"Total, Total (N.º)","Total, Pensionistas em  31 dez. (N.º)","Invalidez, Total (N.º)","Invalidez, Pensionistas em  31 dez. (N.º)","Velhice, Total (N.º)","Velhice, Pensionistas em  31 dez. (N.º)","Sobrevivência, Total (N.º)","Sobrevivência, Pensionistas em  31 dez. (N.º)"
Cascais,51981,49837,1727,1646,38229,36871,12025,11320
Lisboa,160377,152331,5336,5120,114895,109728,40146,37483
Loures,57736,55309,2260,2174,41607,40092,13869,13043
Mafra,18400,17589,1269,1225,12583,12095,4548,4269
Moita,19578,18685,1195,1153,13394,12845,4989,4687
Montijo,13401,12709,696,668,9300,8874,3405,3167
Odivelas,35306,33945,1527,1481,25851,25002,7928,7462
Oeiras,43766,41989,1290,1252,32598,31431,9878,9306
Palmela,17242,16418,870,846,12141,11640,4231,3932
Seixal,40933,39274,1803,1715,30033,28991,9097,8568
Sesimbra,12995,12421,636,613,9149,8787,3210,3021
Setúbal,35556,33888,1544,1483,25304,24254,8708,8151
Sintra,84932,81531,4266,4091,60284,58208,20382,19232
Vila Franca de Xira,32275,30934,1625,1570,22832,22007,7818,7357
Alentejo,255617,241818,17896,17473,171524,162932,66197,61413
Alentejo Litoral,32362,30658,1366,1331,22412,21330,8584,7997
Alcácer do Sal,4970,4710,201,199,3408,3239,1361,1272
Grândola,5156,4865,195,190,3622,3426,1339,1249
Odemira,8414,7942,414,405,5763,5465,2237,2072
Santiago do Cacém,9899,9406,368,356,6943,6629,2588,2421
Sines,3923,3735,188,181,2676,2571,1059,983
Baixo Alentejo,42398,39857,2608,2544,28140,26569,11650,10744
Aljustrel,3767,3550,250,244,2509,2380,1008,926
Almodôvar,2692,2543,107,103,1862,1773,723,667
Alvito,914,854,60,58,591,555,263,241
Barrancos,508,475,21,20,341,321,146,134
Beja,10396,9745,680,668,6920,6511,2796,2566
Castro Verde,2434,2279,112,110,1636,1539,686,630
Cuba,1591,1474,118,116,1053,978,420,380
Ferreira do Alentejo,3069,2894,197,191,2003,1895,869,808
Mértola,2998,2817,163,157,2012,1904,823,756
Moura,4716,4442,302,293,3047,2881,1367,1268
Ourique,2089,1977,88,87,1425,1352,576,538
Serpa,5244,4946,370,360,3440,3258,1434,1328
Vidigueira,1980,1861,140,137,1301,1222,539,502
Lezíria do Tejo,81594,77512,6683,6524,54158,51658,20753,19330
Almeirim,7844,7449,669,655,5214,4972,1961,1822
Alpiarça,2898,2746,239,237,1903,1803,756,706
Azambuja,6513,6206,381,369,4451,4258,1681,1579
Benavente,7976,7586,645,627,5268,5026,2063,1933
Cartaxo,7583,7217,597,576,5046,4837,1940,1804
Chamusca,3865,3634,343,333,2515,2373,1007,928
Coruche,8320,7855,474,461,5628,5350,2218,2044
Golegã,2216,2082,230,227,1435,1356,551,499
Rio Maior,6827,6516,638,622,4482,4295,1707,1599
Salvaterra de Magos,7978,7595,878,864,5141,4906,1959,1825
Santarém,19574,18626,1589,1553,13075,12482,4910,4591
Alto Alentejo,42043,39666,2618,2554,28376,26888,11049,10224
Alter do Chão,1426,1337,104,102,938,883,384,352
Arronches,1206,1117,62,62,784,729,360,326
Avis,1708,1592,75,72,1214,1147,419,373
Campo Maior,2604,2458,191,187,1707,1619,706,652
Castelo de Vide,1284,1224,55,55,898,857,331,312
Crato,1677,1575,77,75,1160,1091,440,409
Elvas,6512,6106,453,441,4300,4044,1759,1621
Fronteira,1328,1251,88,87,926,876,314,288
Gavião,1900,1796,132,127,1238,1171,530,498
Marvão,1358,1273,57,54,925,874,376,345
Monforte,1191,1119,61,60,808,760,322,299
Nisa,2995,2825,146,141,2049,1948,800,736
Ponte de Sor,6416,6121,550,542,4193,4010,1673,1569
Portalegre,8372,7937,477,460,5839,5569,2056,1908
Sousel,2066,1935,90,89,1397,1310,579,536
Alentejo Central,57220,54125,4621,4520,38438,36487,14161,13118
Alandroal,2436,2260,219,214,1584,1473,633,573
Arraiolos,2692,2551,179,176,1830,1743,683,632
Borba,3002,2853,328,324,1982,1883,692,646
Estremoz,5209,4898,355,343,3549,3347,1305,1208
Évora,16394,15582,1302,1271,11224,10732,3868,3579
Montemor-o-Novo,6604,6229,462,449,4483,4244,1659,1536
Mora,2267,2131,183,181,1519,1434,565,516
Mourão,824,776,72,72,536,504,216,200
Portel,2404,2280,226,222,1555,1480,623,578
Redondo,2423,2296,201,198,1584,1498,638,600
Reguengos de Monsaraz,3816,3615,333,329,2486,2366,997,920
Vendas Novas,4204,4007,295,287,2867,2742,1042,978
Viana do Alentejo,1968,1845,147,144,1288,1213,533,488
Vila Viçosa,2977,2802,319,310,1951,1828,707,664
Algarve,116985,111395,6647,6430,81010,77487,29328,27478
Albufeira,8556,8218,567,546,5875,5665,2114,2007
Alcoutim,1324,1230,53,52,921,858,350,320
Aljezur,1639,1536,89,89,1126,1052,424,395
Castro Marim,2144,2023,70,68,1533,1456,541,499
Faro,16153,15419,837,812,11467,11005,3849,3602
Lagoa,5943,5664,407,392,4076,3899,1460,1373
Lagos,7815,7421,446,430,5384,5130,1985,1861
Loulé,16697,15925,864,843,11653,11153,4180,3929
Monchique,2128,2022,104,100,1495,1432,529,490
Olhão,11399,10822,671,652,7774,7420,2954,2750
Portimão,15468,14855,1053,1025,10779,10379,3636,3451
São Brás de Alportel,2831,2668,149,140,1928,1830,754,698
Silves,10609,10060,678,659,7168,6827,2763,2574
Tavira,7375,6961,303,292,5075,4826,1997,1843
Vila do Bispo,1505,1433,85,80,1039,991,381,362
Vila Real de Santo António,5399,5138,271,250,3717,3564,1411,1324
R. A. Açores,51569,49038,7376,7166,28716,27338,15477,14534
Santa Maria,1012,974,181,176,506,488,325,310
Vila do Porto,1012,974,181,176,506,488,325,310
São Miguel,24066,22903,3976,3854,12314,11721,7776,7328
Lagoa (R.A.A.),2484,2361,410,389,1201,1154,873,818
Nordeste,1028,948,83,82,584,535,361,331
Ponta Delgada,12789,12233,2227,2163,6647,6359,3915,3711
Povoação,1143,1079,140,134,583,551,420,394
Ribeira Grande,4896,4652,873,850,2395,2269,1628,1533
Vila Franca do Campo,1726,1630,243,236,904,853,579,541
Terceira,14133,13433,1695,1654,8528,8109,3910,3670
Angra do Heroísmo,8874,8455,1089,1058,5335,5085,2450,2312
Vila da Praia da Vitória,5259,4978,606,596,3193,3024,1460,1358
Graciosa,1172,1095,125,121,666,629,381,345
Santa Cruz da Graciosa,1172,1095,125,121,666,629,381,345
São Jorge,2260,2140,237,227,1283,1223,740,690
Calheta (R.A.A.),976,931,73,70,591,566,312,295
Velas,1284,1209,164,157,692,657,428,395
Pico,4507,4289,641,627,2658,2530,1208,1132
Lajes do Pico,1536,1466,171,165,946,907,419,394
Madalena,2007,1909,319,314,1163,1104,525,491
São Roque do Pico,964,914,151,148,549,519,264,247
Faial,3478,3319,412,402,2193,2102,873,815
Horta,3478,3319,412,402,2193,2102,873,815
Flores,868,818,…,…,522,494,…,…
Lajes das Flores,334,314,...,…,206,197,…,…
Santa Cruz das Flores,534,504,75,74,316,297,143,133
Corvo,73,67,…,…,46,42,…,…
Corvo,73,67,…,…,46,42,…,…
