,"Valor médio anual das pensões, Total, €","Valor médio anual das pensões, Invalidez, €","Valor médio anual das pensões, Velhice, €","Valor médio anual das pensões, Sobrevivência, €","Valor médio de subsídios de desemprego  , HM, €","Valor médio de subsídios de desemprego  , H, €","Valor médio de subsídios de desemprego  , M, €","Valor médio de subsídios de doença, M, €","Número médio de dias de subsídios de desemprego  , HM, dias ","Número médio de dias de subsídios de desemprego  , H, dias ","Número médio de dias de subsídios de desemprego  , M, dias ","Número médio de dias de subsídios de doença, M, dias "
Mealhada,5184,5560,5827,3225,3220,3541,2967,1003,179,177,180,55
Mira,4399,4703,4899,2785,2737,2762,2717,932,162,158,165,51
Miranda do Corvo,4843,5269,5502,2966,2745,2817,2696,656,165,155,171,43
Montemor-o-Velho,5206,5980,5896,3189,3039,3351,2811,813,172,170,174,46
Mortágua,4199,4190,4745,2670,2866,3644,2438,606,172,199,157,41
Oliveira do Hospital,4665,5220,5322,2758,3112,3154,3070,778,185,175,195,51
Pampilhosa da Serra,4939,5070,5739,3116,3419,3487,3340,740,200,205,196,47
Penacova,4336,5324,4833,2731,2840,3004,2710,709,167,161,172,48
Penela,4350,5013,4917,2744,2568,3251,2078,640,143,158,132,38
Soure,5170,6233,5845,3206,3008,3139,2900,1005,172,166,177,56
Tábua,4559,4584,5173,2878,3118,3268,3000,670,195,195,195,45
Vila Nova de Poiares,4631,4843,5333,2818,3069,3143,3013,715,187,184,190,45
Região de Leiria,5359,6261,6025,3133,2890,3048,2790,1656,164,155,170,80
Alvaiázere,4180,5101,4727,2603,2334,2658,2123,1016,144,152,139,68
Ansião,4469,4877,5101,2702,2957,2870,3016,986,179,165,189,62
Batalha,5059,6006,5653,2892,2816,2940,2749,1395,158,149,162,76
Castanheira de Pêra,4659,5347,5289,2877,2961,2750,3133,1082,185,162,204,76
Figueiró dos Vinhos,4332,5034,4857,2817,2961,3192,2726,913,178,181,176,56
Leiria,5743,6523,6439,3300,2833,2916,2781,1546,159,144,169,74
Marinha Grande,6811,7992,7595,3868,3079,3305,2921,2730,170,163,174,112
Pedrógão Grande,4338,5122,4868,2956,2708,2485,2871,1034,178,158,193,67
Pombal,4454,5159,5014,2777,2924,3217,2741,1328,169,170,169,71
Porto de Mós,4997,5598,5651,2962,2782,3071,2623,1329,165,164,166,73
Viseu Dão Lafões,4456,4587,5048,2784,2930,3107,2799,980,174,170,177,60
Aguiar da Beira,3802,4426,4268,2463,3214,3646,2802,988,182,195,170,74
Carregal do Sal,4373,4944,4932,2803,2757,3040,2562,865,163,164,163,53
Castro Daire,4074,4337,4587,2640,2996,3294,2760,1174,176,169,181,80
Mangualde,4827,4911,5486,2970,3076,3219,2985,1005,186,177,192,58
Nelas,4600,4991,5216,2889,2957,3242,2721,1137,173,172,173,66
Oliveira de Frades,4609,4839,5316,2696,2985,2835,3122,1001,181,160,200,60
Penalva do Castelo,3996,4172,4480,2665,2908,2899,2915,1151,172,156,183,76
Santa Comba Dão,4709,4351,5395,2886,2706,2938,2523,1191,156,148,162,69
São Pedro do Sul,4244,4478,4804,2649,2992,3114,2913,870,188,173,197,57
Sátão,3838,4029,4304,2565,2953,3011,2913,888,183,179,186,58
Tondela,4389,4504,4980,2735,2830,2845,2820,952,166,154,175,59
Vila Nova de Paiva,3546,4645,3956,2405,2534,2605,2456,1138,149,149,149,75
Viseu,4699,4643,5309,2918,2934,3226,2718,927,172,177,168,54
Vouzela,4407,4702,5029,2623,2957,2877,3009,989,180,160,193,62
Beira Baixa,4594,5239,5194,2852,2991,3207,2827,859,180,178,182,52
Castelo Branco,4779,5397,5372,2963,2948,3180,2777,870,177,175,179,51
Idanha-a-Nova,4250,4590,4833,2727,3279,3173,3377,732,205,193,217,49
Oleiros,4165,4990,4708,2677,2532,3273,1861,728,153,180,129,49
Penamacor,3892,5065,4345,2532,2929,3494,2604,834,183,205,169,59
Proença-a-Nova,4284,4899,4901,2598,3205,3202,3208,964,188,168,209,58
Vila Velha de Ródão,5676,5713,6602,3278,3250,3554,3081,846,197,204,194,58
Médio Tejo,5212,5864,5907,3193,2899,3068,2768,1285,169,166,171,73
Abrantes,5296,5897,6038,3269,2934,3138,2719,1245,172,172,172,71
Alcanena,5302,5865,5925,3197,3013,3380,2743,1489,176,184,171,83
Constância,5716,6424,6605,3338,3159,3066,3220,1309,172,159,181,76
Entroncamento,6887,7256,7808,4270,2925,3239,2732,1147,169,165,171,59
Ferreira do Zêzere,4406,5324,4993,2648,2845,2758,2908,1521,172,161,181,86
Mação,4656,5138,5316,2940,2705,2693,2727,909,163,156,177,60
Ourém,4675,5446,5233,2878,2707,2829,2635,1193,156,149,161,68
Sardoal,4911,6034,5572,3002,3337,3430,3267,1282,194,190,197,81
Sertã,4452,4894,5141,2755,2928,3194,2773,977,172,170,174,60
Tomar,5206,5824,5894,3250,3060,3297,2857,1591,178,175,181,92
Torres Novas,5581,6256,6289,3341,2883,2883,2883,1333,166,156,172,74
Vila de Rei,4825,5827,5470,3011,2735,2673,2799,815,179,169,189,51
Vila Nova da Barquinha,5920,6320,6765,3607,2640,2798,2511,1084,159,155,163,64
Beiras e Serra da Estrela,4408,4871,4972,2766,2934,3036,2859,1194,175,168,180,74
Almeida,3888,4563,4381,2492,3211,3214,3208,1277,186,181,188,81
Belmonte,4353,4936,4867,2785,2661,3161,2363,990,160,173,152,70
Celorico da Beira,4057,4177,4577,2706,3032,3025,3040,1279,188,179,197,82
Covilhã,4796,4974,5426,2934,2838,2798,2869,1004,173,161,182,61
Figueira de Castelo Rodrigo,3843,5010,4337,2531,2315,2458,2220,1256,152,155,150,83
Fornos de Algodres,4045,4737,4551,2641,2420,1961,2642,1211,150,110,169,77
Fundão,4503,5049,5094,2881,3077,3080,3075,1173,187,168,200,72
Gouveia,4174,4547,4699,2597,3021,3342,2794,1098,174,176,172,70
Guarda,4575,5011,5186,2778,3012,3189,2884,1401,175,169,179,78
Manteigas,4266,4608,4760,2735,2772,2915,2666,1000,160,158,161,67
Mêda,3738,3984,4197,2577,2710,2917,2469,1106,170,164,177,80
Pinhel,3917,4386,4413,2508,3133,3372,2993,1291,192,195,190,91
Sabugal,3620,4488,4056,2396,3228,3592,2990,1360,188,193,185,89
Seia,4726,5135,5280,2969,2991,3150,2855,1286,174,176,171,81
Trancoso,3945,5095,4400,2580,2737,2924,2651,1130,167,157,171,76
A. M. Lisboa,7462,6400,8570,4338,3468,3544,3402,1304,184,177,190,61
Alcochete,6780,7447,7774,3794,3601,3674,3537,2537,185,176,192,113
Almada,6973,5833,7958,4260,3447,3544,3366,1353,188,181,193,64
Amadora,6928,6067,7885,4145,3256,3220,3285,925,181,170,190,49
Barreiro,7016,6841,7920,4392,3351,3455,3251,1673,184,176,192,75
Cascais,8597,6905,9828,4924,3895,4031,3790,1207,192,189,194,49
