,Total (€),"Profissão principal, Representantes do poder legislativo e de órgãos executivos, dirigentes, diretores/as e gestores/as executivos/as (€)","Profissão principal, Especialistas das atividades intelectuais e científicas (€)","Profissão principal, Técnicos/as e profissionais de nível intermédio (€)","Profissão principal, Pessoal administrativo  (€)","Profissão principal, Trabalhadores/as dos serviços pessoais, de proteção e segurança e vendedores/as (€)","Profissão principal, Agricultores/as e trabalhadores/as qualificados/as da agricultura, da pesca e da floresta (€)","Profissão principal, Trabalhadores/as qualificados/as da indústria, construção e artífices (€)","Profissão principal, Operadores/as de instalações e máquinas e trabalhadores/as da montagem (€)","Profissão principal, Trabalhadores/as não qualificados  (€)"
Portugal,1166.88,2553.33,1853.87,1555.44,1088.81,836.09,854.44,921.03,947.96,785.88
Continente,1170.25,2561.62,1857.37,1554.05,1088.81,836.95,853.06,920.4,946.99,783.76
Norte,1056.6,2185.98,1704.37,1393.89,1012.19,803.47,928.97,855.02,858.8,765.36
Alto Minho,978.08,1814.43,1609.55,1305.76,1011.42,761.22,881.37,863.64,884.49,755.87
Arcos de Valdevez,882.1,1856.33,1288.86,1162.69,1004.28,714.1,680.89,791.81,719.6,740.46
Caminha,880.94,1239.89,1346.53,1000.31,883.84,731.9,2211.89,748.72,829.02,707.08
Melgaço,858.09,1455.29,1509.08,1029.05,1032.5,702.91,858.34,742.23,782.44,697.7
Monção,860.2,1387.07,1181.48,1043.66,925.52,728.64,772.72,785.45,932.4,704.19
Paredes de Coura,891.1,1994.7,1483.64,1264.4,985.64,683.01,808.06,821.28,777.3,697.03
Ponte da Barca,846.94,1271.86,1185.48,1270.37,996.93,695.31,697.78,804.49,794.76,699.05
Ponte de Lima,895.63,1540.76,1199.08,1288.55,959.21,770,687.79,780.84,853.69,740.58
Valença,919.23,1536.35,1386.65,1184.84,1008.32,755.75,707.3,928.01,910.53,793.19
Viana do Castelo,1070.68,2119.05,1871.71,1340.89,1043.44,798.23,936.52,925.59,931.05,782.34
Vila Nova de Cerveira,1066.59,2276.21,1468.74,1762.93,1093.65,769.41,694.57,927.97,951.39,720.93
Cávado,988.7,1748.38,1562.73,1285.29,961.05,784.94,713.7,832.15,834.06,742.87
Amares,881.69,1215.31,1236.14,1006.26,888.49,693.17,698.65,774.21,1194.56,769.47
Barcelos,911.9,1699.64,1482.28,1169.4,947.18,760.43,732.7,819.23,778.33,731.81
Braga,1076.61,1974.44,1641.49,1369.68,975.5,818.01,705.59,871.58,895.09,754.28
Esposende,922.49,1599.14,1325.15,1176.65,983.36,735.97,674.63,811.16,815.09,741.82
Terras de Bouro,869.95,1242.48,1474.09,1307.55,939.52,663.62,685.33,964.01,692.11,665.09
Vila Verde,850.61,1184.15,1263.69,1072.31,921.61,722.42,705.04,755.67,810.15,714.5
Ave,952.13,1910.96,1531.64,1265.79,963.27,778.51,717.87,810.57,831.14,747.83
Cabeceiras de Basto,771.87,1096.45,1129.79,942.73,856.82,698.18,690.79,726.11,724.8,674.45
Fafe,827.76,1315.91,1270.79,1069.22,891.94,756.98,676.88,754.05,724.6,708.91
Guimarães,945.42,1940.28,1566.38,1255.31,960.79,803.28,724.63,802.27,772.01,728.32
Mondim de Basto,774.94,1052.66,1509.72,830.84,876.71,716.03,689.35,701.99,701.89,678.69
Póvoa de Lanhoso,840.01,1231.92,1365.9,997.35,874.32,735.69,707.97,734.76,806.93,697.45
Vieira do Minho,805.52,1322.36,1128.53,1035.79,981.77,720.2,666.79,708.23,777.97,685.8
Vila Nova de Famalicão,1036.83,2253.97,1607.03,1364.31,999.71,778.05,744,870.02,937.76,808.5
Vizela,843.03,1712.02,1213.8,1122.23,933.14,748.62,674.58,751.35,791.91,721.49
A. M. Porto,1164.59,2581.08,1798.58,1498.57,1051.54,834.76,1155.81,913.84,916.06,790.63
Arouca,888.79,1443.18,1287.55,1204.66,913.51,726.87,742.12,855.31,806.91,708.82
Espinho,976.95,2317.09,1396.82,1170.35,973.93,774.37,739.06,829.13,798.05,711.36
Gondomar,972.43,1806.07,1373.57,1225.5,930.24,807.97,656.55,828.48,869.65,755.37
Maia,1210.91,3213.78,1853.61,1507.29,1112.97,817.22,811.1,1005.59,896.24,821.95
Matosinhos,1284.59,2924.87,1855.74,1556.18,1103.59,864.35,880.97,1006.74,1236.6,804.25
Oliveira de Azeméis,1097.21,2521.8,1892.97,1553.25,1088.28,787.84,701.99,1020.42,878.12,801.2
Paredes,884.16,1600.11,1406.78,1146.85,880.5,749.07,753.11,758.33,810.63,745.02
Porto,1374.45,2894.09,1908.9,1751.78,1107.89,850.52,795.69,1008.15,1042.22,813.05
Póvoa de Varzim,976.62,1596.09,1471.26,1149.37,1000.29,787.15,1781.06,776.83,755.22,729.01
Santa Maria da Feira,1046.05,2476.29,1578.75,1414.42,1034.99,828.07,723.84,898.31,874.99,813.59
Santo Tirso,978.76,1957.82,1645.99,1238.32,990.05,776.44,680.52,812.56,836.74,780.78
São João da Madeira,1057.47,2735.68,1748.57,1413.35,1016.67,844.26,//,941.84,789.68,843.12
Trofa,1064.79,2353.75,2044.1,1157.77,914.43,829.57,649.62,894.78,892.79,768.41
Vale de Cambra,1107.94,2566.83,1796.24,1400.68,1036.44,765.78,722.92,999.06,977.12,761.03
Valongo,1039.12,1989.42,1634.56,1254.13,986.15,853.4,756.6,876.18,941.7,760.03
Vila do Conde,1102.42,2274.52,1695.41,1600.74,1013.23,845.12,1167.19,912.31,903.6,798.27
Vila Nova de Gaia,1132.74,2499.95,1703.16,1351.56,1025.56,854.36,997.52,918.36,961.21,760.88
Alto Tâmega,941.5,1516.81,1405.25,1489.63,914.93,736.99,720.9,827.57,904.84,753.58
Boticas,837.18,1578.01,1400.75,964.41,843.18,710.89,626.98,686.48,797.58,699.94
Chaves,943.99,1665.16,1370.09,1705.35,878.45,746.3,710.4,820.51,806.84,762.41
Montalegre,853.93,1143.2,1099.74,1109.94,1075.18,707.7,755.1,832.05,782.04,666.93
Ribeira de Pena,1184.22,2402.46,1640.23,1543.81,1154.19,804.19,919.89,933.16,1500.49,791.1
Valpaços,838.01,1194.57,1245.53,1147.48,900.5,713.57,661.46,734.45,893.49,706.96
Vila Pouca de Aguiar,966.84,1290.24,1720.07,1424.84,925.52,712.35,695.99,903.79,886.94,818.19
Tâmega e Sousa,858.44,1433.37,1450.6,1121.3,912.33,748.36,713.44,776.79,747.09,734.3
Amarante,878.15,1383.38,1349.62,1076.25,887.07,737.86,670.91,778.37,803.06,715.81
Baião,815.41,1009.75,1256.92,875.17,881.56,691.23,714.73,778.78,776.92,766.1
Castelo de Paiva,827.58,1320.74,1287.86,1095.33,968.77,730.59,713.04,749.64,749.18,731.08
Celorico de Basto,763.96,1119.46,1087.72,919.37,885.38,698.25,763.21,719.62,695.71,703.56
Cinfães,844.33,1051.41,1132.01,966.14,885.14,692.05,704.75,863.82,780.11,738.58
Felgueiras,845.4,1808.06,1311.59,1234.34,956.63,776.92,705.79,778.05,729.44,710.73
Lousada,821.67,1471.76,1243.09,1028.85,861.61,751.27,661.92,775.91,747.06,726.28
Marco de Canaveses,856.61,1452.07,1281.7,1008.27,886.18,727.16,713.85,824.69,787.76,728.09
Paços de Ferreira,846.31,1329.01,1232.88,1223.31,911.46,789.41,660.37,730.39,732.87,780.45
Penafiel,939.89,1533.52,1843.34,1167.6,924.24,749.55,751.89,784.66,760.99,718.35
Resende,785.88,1169.92,1075.9,881.83,913.38,683.72,698.85,710.09,709.98,685.15
Douro,936.21,1640.17,1557.39,1148.7,956.83,740.86,747.66,816.82,858.72,725.38
Alijó,886.1,1139.94,1529.68,1291.31,876.21,729.42,748.46,772.44,875.75,728.79
Armamar,844.29,1285.6,1405.84,853.46,1043.64,730.49,712.02,749.68,811.1,697.46
Carrazeda de Ansiães,843.33,1348.29,1347.31,1058.44,1030.69,697.87,789.12,713.44,920.22,690.26
Freixo de Espada à Cinta,857.49,1080.59,1472.87,903.28,1096.46,732.68,755.37,746.03,816.72,704.1
Lamego,897.59,1737.72,1308.09,1201.62,960.65,743.68,791.45,800.38,815.15,698.38
Mesão Frio,916.56,1345.62,1118.23,1293.75,882.69,669.66,632.24,1125.85,1172.48,718.36
Moimenta da Beira,810.47,1260.77,1130.75,898.79,890.53,687.75,711.13,732.22,783.64,703.76
Murça,900.96,1938.53,1233.1,1103.02,977.52,792.24,676.74,752.34,782.51,754.2
Penedono,771.39,985.52,976.64,928.23,989.59,699.24,677.04,707.05,726.43,654.15
Peso da Régua,981.5,1637.77,1514.72,1386.87,997.07,757.72,793.18,952.6,904.28,785.42
Sabrosa,928.92,1817.62,1328.09,1288.77,880.62,759.4,797.83,847.23,882.82,749.9
Santa Marta de Penaguião,850.92,1365.23,1061.93,1008.3,1016.76,709.16,723.17,697.41,775.36,675.91
São João da Pesqueira,874.92,1626.24,1250.2,1071.51,1058.58,723.18,732.43,785.25,782.43,746.84
Sernancelhe,804.13,1125.04,1090.08,1036.91,876.71,665.64,727.6,696.12,852.16,660.2
Tabuaço,923.64,1527.4,1284.87,1377.05,1122.12,717.91,852.95,802.58,802.88,670.43
Tarouca,857.35,1873.67,1328.93,1064.85,862.76,673.27,700.33,815.36,749.76,695.35
Torre de Moncorvo,852.52,1107.67,1396.74,1012.55,944.3,694.09,709.73,792.91,831.41,700.14
Vila Nova de Foz Côa,927.64,1540.73,1299.15,979.83,973.13,746.96,747.84,924.81,989.91,836.74
Vila Real,1037.51,2054.74,1856.9,1137.22,957.7,767.23,694.54,834.96,891.92,740.21
Terras de Trás-os-Montes,918.08,1395.93,1474.6,1163.9,945.75,737.85,754.51,810.72,819.13,715.19
Alfândega da Fé,815.9,1332.69,1156.4,889.53,955.25,747.98,724.2,732.38,710.97,663.65
Bragança,980.62,1523.66,1597.69,1246.45,936.73,760.03,696.48,839.15,834.56,723.6
Macedo de Cavaleiros,856.9,1356.54,1424.89,1109.72,885.42,709.01,673.14,760.39,754.46,715.58
