,"Rendimento bruto declarado por sujeito passivo, €","Valor mediano do rendimento bruto declarado por sujeito passivo, €","IRS liquidado por sujeito passivo, €","Rendimento bruto declarado deduzido do IRS liquidado por sujeito passivo, €","IRS liquidado no total de rendimento bruto declarado, %"
Tavira,11277,8400,1281,9996,11.4
Vila do Bispo,10910,8726,1157,9753,10.6
Vila Real de Santo António,10843,8530,1013,9830,9.3
R. A. Açores,12252,8999,1022,11230,8.3
Santa Maria,15087,9134,1868,13219,12.4
Vila do Porto,15087,9134,1868,13219,12.4
São Miguel,12272,8856,1058,11214,8.6
Lagoa (R.A.A.),10811,7877,864,9948,8
Nordeste,8624,6680,449,8175,5.2
Ponta Delgada,14358,10110,1408,12951,9.8
Povoação,8656,6765,490,8166,5.7
Ribeira Grande,10173,8004,659,9514,6.5
Vila Franca do Campo,9044,6577,555,8489,6.1
Terceira,12594,9454,1020,11575,8.1
Angra do Heroísmo,13141,9577,1135,12006,8.6
Vila da Praia da Vitória,11627,9238,815,10811,7
Graciosa,10221,8148,648,9573,6.3
Santa Cruz da Graciosa,10221,8148,648,9573,6.3
São Jorge,9865,8347,595,9270,6
Calheta (R.A.A.),8927,7738,476,8451,5.3
Velas,10577,8599,685,9892,6.5
Pico,10967,8721,699,10269,6.4
Lajes do Pico,10480,8505,624,9856,6
Madalena,11145,8968,703,10442,6.3
São Roque do Pico,11257,8563,788,10470,7
Faial,13266,9840,1142,12124,8.6
Horta,13266,9840,1142,12124,8.6
Flores,11144,8648,759,10385,6.8
Lajes das Flores,10566,//,708,9858,6.7
Santa Cruz das Flores,11512,//,791,10721,6.9
Corvo,12593,//,1114,11480,8.8
Corvo,12593,//,1114,11480,8.8
R. A. Madeira,12487,9291,1353,11135,10.8
Calheta (R.A.M.),9883,7707,867,9016,8.8
Câmara de Lobos,9099,7758,537,8561,5.9
Funchal,14470,10311,1885,12585,13
Machico,10224,8530,734,9489,7.2
Ponta do Sol,9737,7587,761,8977,7.8
Porto Moniz,9889,//,778,9111,7.9
Ribeira Brava,9854,8275,705,9149,7.2
Santa Cruz,12859,10266,1277,11582,9.9
Santana,8998,7493,543,8454,6
São Vicente,9776,7700,782,8994,8
Porto Santo,13815,10453,1639,12176,11.9
