,"Museus , Visitantes por museu , N.º","Museus , Proporção de visitantes escolares, %","Despesa total das câmaras municipais em atividades culturais e criativas por habitante, Proporção de visitantes escolares, €","Despesa total das câmaras municipais em atividades e equipamentos desportivos por habitante, Proporção de visitantes escolares, €","Despesa das câmaras municipais em cultura e desporto no total de despesas , Proporção de visitantes escolares, %"
Arganil,…,…,67.5,43.2,7.5
Cantanhede,4366,65.7,39.1,47.9,9.4
Coimbra,22670,15.4,75.2,51,14.4
Condeixa-a-Nova,66238,11.2,74.3,18.8,9.4
Figueira da Foz,29239,31.1,58.8,19.1,7.2
Góis,//,//,269.9,41,14.6
Lousã,1792,18.7,89.4,77.3,18.7
Mealhada,//,//,35.1,89.9,12.5
Mira,//,//,47,63.7,8.7
Miranda do Corvo,…,…,34.2,68.5,9.2
Montemor-o-Velho,//,//,22.8,76.7,12.9
Mortágua,//,//,73.5,100.7,14.2
Oliveira do Hospital,9458,5.6,41.4,44.5,8.5
Pampilhosa da Serra,…,…,257.8,48.6,10.6
Penacova,2632,10.4,77.1,79.2,12.7
Penela,3097,13.9,185,144.7,21.9
Soure,//,//,47.9,69.1,11.7
Tábua,//,//,25.1,38,5.1
Vila Nova de Poiares,//,//,65,15.6,6.3
Região de Leiria,14869,15,62.5,32.5,10.8
Alvaiázere,7433,44.7,107.2,31.4,10
Ansião,4845,…,47,61.1,8.9
Batalha,4975,49.3,62.1,33.9,11.6
Castanheira de Pêra,//,//,73.4,9.2,3.7
Figueiró dos Vinhos,…,…,157.2,80.7,12.2
Leiria,21448,7.4,48.6,24.1,9.7
Marinha Grande,20892,13.9,70.5,33.6,12.9
Pedrógão Grande,//,//,154.2,73.5,10.5
Pombal,6892,18,78.4,40,14.3
Porto de Mós,…,…,51.4,31.8,8.5
Viseu Dão Lafões,8628,10.5,43.6,43.1,8.3
Aguiar da Beira,//,//,89.7,88,9.4
Carregal do Sal,1713,33.2,36.4,40.7,6.5
Castro Daire,2360,…,45.6,49.7,7
Mangualde,//,//,39.9,9.8,3.8
Nelas,//,//,12.1,18.4,2.8
Oliveira de Frades,…,…,41.5,34.4,5.8
Penalva do Castelo,//,//,72.1,65.7,9.9
Santa Comba Dão,//,//,49.1,33.7,8.2
São Pedro do Sul,//,//,50,65.3,8.2
Sátão,//,//,72.5,65.7,12.2
Tondela,…,…,36.6,35,6.7
Vila Nova de Paiva,691,23.4,69.1,93.9,9.3
Viseu,11605,14.5,35.9,40,10.6
Vouzela,//,//,90.2,78,12
Beira Baixa,7515,24.6,121.4,62.8,13.6
Castelo Branco,…,…,83.8,41.6,15.4
Idanha-a-Nova,//,//,228.1,171,15.9
Oleiros,//,//,81.5,84.9,6.6
Penamacor,5865,20.5,244.1,74.8,15.8
Proença-a-Nova,…,…,131.4,70.3,10.3
Vila Velha de Ródão,//,//,299.3,57.5,12.5
Médio Tejo,11807,11.6,83.4,74.4,14.6
Abrantes,4066,9,109.3,105.6,24.2
Alcanena,…,…,44.5,117.8,12.4
Constância,…,…,204.3,140.1,16.4
Entroncamento,62706,10.8,34.6,33.6,8
Ferreira do Zêzere,//,//,58.2,59.6,9.8
Mação,5152,16.1,224.5,334.6,29.6
Ourém,…,…,61.3,47,12
Sardoal,//,//,361.6,172.1,19
Sertã,//,//,76.1,117.2,16.1
Tomar,20030,1.5,60.7,40.8,10.6
Torres Novas,3468,5.7,95,46.8,14
Vila de Rei,1194,22.6,188.1,96.6,11
Vila Nova da Barquinha,3157,13.1,38.9,48.7,8.3
Beiras e Serra da Estrela,10426,10.4,90.3,37.2,10
Almeida,9072,4.5,181.7,132.9,13.1
Belmonte,13076,4.8,87.2,12.4,6.6
Celorico da Beira,//,//,84.3,20.9,5.8
Covilhã,8507,13.4,36.3,25.3,7.5
Figueira de Castelo Rodrigo,//,//,73.6,11.3,3.9
Fornos de Algodres,//,//,41.8,31.9,5.1
Fundão,…,…,103,31,10.9
Gouveia,…,…,44.8,50.3,7.8
Guarda,7137,21.6,52.3,32.5,7.4
Manteigas,//,//,114.6,59,8.9
Mêda,//,//,158.3,20,8.1
Pinhel,//,//,428.1,41.9,26.8
Sabugal,5565,3.1,93,77.7,9.8
Seia,24380,9.8,106.9,41.9,14.2
Trancoso,7376,…,162.1,41.3,13.9
A. M. Lisboa,82932,6.8,47.8,18.5,6.6
Alcochete,1486,78,46.1,48.6,7.4
Almada,2834,54.3,70.1,23.8,13.2
Amadora,2804,51.1,20.7,11.7,5.9
Barreiro,//,//,18.6,15.9,4.5
Cascais,18594,13.3,15.6,11.2,2
Lisboa,87907,8,116.3,16.5,7.4
Loures,3197,15.5,26.9,8.2,4.2
Mafra,203688,23.5,31,4,4.1
Moita,//,//,27,33.2,8.8
Montijo,5765,…,52.1,11.1,7.6
Odivelas,//,//,20.9,30.8,7.7
Oeiras,…,…,23,17.6,3.3
Palmela,…,…,75.6,11.4,9.5
Seixal,19797,22.8,41.2,54.9,11.6
Sesimbra,204859,2.1,50.8,20.4,6
Setúbal,25584,6.1,42.2,18.7,6.3
Sintra,230666,1.9,18.3,9.5,4.7
Vila Franca de Xira,13447,41.8,38.4,28.3,10.7
Alentejo,11626,6.6,94.3,54.9,10.6
Alentejo Litoral,5343,15.4,116.1,68,11.3
Alcácer do Sal,//,//,125.2,178.3,14.9
Grândola,…,…,221.1,107.9,12.8
Odemira,//,//,22.8,32.5,4.4
Santiago do Cacém,11462,…,104.2,49.2,12.3
Sines,…,…,231.1,57.7,14.9
Baixo Alentejo,5839,9.5,127.5,56,10.7
Aljustrel,//,//,112.7,102.5,12.7
Almodôvar,2250,4.6,72.1,84.1,6.4
Alvito,//,//,83.3,89.9,5.6
Barrancos,477,25.2,929.3,60.3,19.8
Beja,1230,50.4,66.4,27.5,9.6
Castro Verde,…,…,170.5,79.5,10.8
Cuba,…,…,212.6,54.7,15.2
Ferreira do Alentejo,2850,19.9,56.9,35.6,4.5
Mértola,30931,6.2,251.2,79.5,11.6
Moura,13856,11.5,91.2,52.2,8.4
Ourique,//,//,137.7,36.6,7.3
Serpa,7967,3.4,196.2,58.1,17.8
Vidigueira,3378,15.8,142,103.1,14.2
Lezíria do Tejo,5529,21.4,54.4,43,9.4
Almeirim,4560,65.8,39.1,60.9,10
Alpiarça,8232,10.6,69.3,46.4,8.5
Azambuja,2400,83.3,35.7,23.1,6.3
Benavente,//,//,69.4,80.3,17.6
Cartaxo,1743,13.4,21.7,19.1,5.7
Chamusca,//,//,105.5,90.8,11.3
Coruche,4246,24.5,53.7,25.8,5.8
Golegã,…,…,157.6,30.2,13.6
Rio Maior,//,//,56,80.7,13.4
Salvaterra de Magos,//,//,59.9,29.4,12
Santarém,…,…,51.3,24.4,6.6
Alto Alentejo,6270,7.7,113.8,68.6,10.8
Alter do Chão,5852,2.1,204.3,102.3,13.9
Arronches,…,…,90.2,99.4,8
Avis,2523,6.9,217.7,323.3,20.7
Campo Maior,…,…,76.4,42.5,7.5
Castelo de Vide,//,//,251.4,177.8,17.3
Crato,//,//,240.9,74.8,10.2
Elvas,8770,7.1,150,10.5,15.9
Fronteira,1086,15.3,132.8,51.9,8.1
Gavião,//,//,84.6,84.6,6.7
Marvão,9177,3.3,60.8,14.4,2.8
Monforte,//,//,107.3,82.4,6.5
Nisa,4695,3.7,124.9,92.9,10.1
Ponte de Sor,//,//,94,74.4,11.3
Portalegre,6126,8.1,59.4,55.8,10.3
Sousel,…,…,57.8,78.1,6.6
Alentejo Central,25606,3.7,105.2,55.2,11
Alandroal,//,//,171,59.4,8.2
Arraiolos,11469,3.3,106.1,78.9,9.9
Borba,//,//,137.5,40.5,12.5
Estremoz,…,…,63.6,13,4.4
Évora,82854,0.7,66.6,20.1,8.2
Montemor-o-Novo,5469,1.6,142.6,71.4,13.9
Mora,4909,10.3,168.8,86.3,13.6
Mourão,10765,5.4,131.3,163.8,9.9
Portel,//,//,197.4,281.7,20.8
Redondo,…,…,167.6,48.5,14.9
Reguengos de Monsaraz,//,//,75.3,101,13.4
