,Total de despesas em atividades culturais e criativas (Euros),"Despesas correntes, Total (Euros)","Despesas correntes, das quais, Património, Total  (Euros)","Despesas correntes, das quais, Património, Museus (Euros)","Despesas correntes, das quais, Bibliotecas e arquivos, Total (Euros)","Despesas correntes, das quais, Bibliotecas e arquivos, Bibliotecas (Euros)","Despesas correntes, das quais, Artes do espetáculo, Total (Euros)","Despesas correntes, das quais, Artes do espetáculo, Música (Euros)","Despesas correntes, das quais, Artes do espetáculo, Multidisciplinares (Euros)","Despesas correntes, das quais, Artes do espetáculo, Construção e manutenção de recintos de espetáculos (Euros)","Despesas correntes, das quais, Atividades interdisciplinares, Total (Euros)","Despesas correntes, das quais, Atividades interdisciplinares, Apoio a entidades culturais e criativas (Euros)"
Centro,125985210.00000003,109818135.00000001,14773004.000000004,10301293,19783392.000000004,16686180.000000007,34667801.000000015,11470201.999999998,7678978.999999999,4622787.000000002,29559437,16170167.999999996
Oeste,14723486,13227579.999999996,2020734,1574833,2085179.0000000002,1906307,2607291,644970.0000000001,409066,663400,4757015,2335016
Alcobaça,2165077,2048551,108363,104248,158248,158248,422112,132367,190245,0,1232881,444305
Alenquer,1015373,1015108,280194,258894,348092,348092,58049,12650,35148,0,316430,70479
Arruda dos Vinhos,703590,703590,117275,0,63353,55210,29392,26374,0,0,227790,222760
Bombarral,162639,162639,76136,73219,22262,22182,8352,0,0,8352,53300,53300
Cadaval,256223,256223,15000,15000,95500,95500,27750,25000,1000,0,100000,100000
Caldas da Rainha,2076631,1918612,215993,196363,181207,181207,301157,37418,0,263739,974296,703837
Lourinhã,838887,735305,130398,47500,244537,134782,121953,20632,26902,12000,153507,153507
Nazaré,1293257,1252693,130113,73901,142649,134429,465423,243755,136284,62750,413502,119902
Óbidos,1210244,1204877,74213,74213,44810,26902,592024,1791,0,0,430780,0
Peniche,849007,786530,262108,232506,103512,68746,40171,12601,0,0,268079,105778
Sobral de Monte Agraço,1264118,990174,95750,0,249850,249850,167000,52000,15000,75000,393624,260000
Torres Vedras,2888440,2153278,515191,498989,431159,431159,373908,80382,4487,241559,192826,101148
Região de Aveiro,21500898,20014986,2741320,2495974.9999999995,2525368,2104341,10377506,2708370,2260635,1425669.0000000002,3516304,1620971
Águeda,2608792,2529185,29089,17488,156753,156753,1610655,0,763628,830239,714603,678388
Albergaria-a-Velha,1510298,1452965,15833,0,405065,269715,932982,229978,61594,104187,67068,67068
Anadia,1125925,1107665,174640,174640,175299,175299,551955,0,0,0,550,550
Aveiro,4728047,4712901,1219834,1001923,482942,374846,1965171,898555,168062,0,956119,307848
Estarreja,1664700,1483273,94719,94719,163047,163047,942102,175249,0,11505,205287,98320
Ílhavo,2945266,2720153,771351,771351,298868,198074,1526442,309409,1182196,0,0,0
Murtosa,590279,514265,64367,64367,128389,51602,121100,110117,9571,1412,169209,169209
Oliveira do Bairro,1355731,1301165,105666,105666,200306,200306,348452,79421,5203,185833,616935,0
Ovar,3428373,2687353,212147,212147,263650,263650,1454608,143692,70381,241343,581756,94811
Sever do Vouga,898256,860830,53674,53674,165626,165626,528388,366298,0,51150,42545,42545
Vagos,645231,645231,0,0,85423,85423,395651,395651,0,0,162232,162232
Região de Coimbra,24963814.999999996,23125218,2636513.0000000005,1852897,5066199,4447337,7401566.999999998,2558561,1181492,1269317,6209764,2982685
Arganil,866964,660922,76970,39375,265249,220714,201176,111580,22585,42424,55728,55728
Cantanhede,878306,828552,316395,148520,263405,238172,52188,18100,0,0,189062,189062
Coimbra,8454676,7987785,260180,257549,1750934,1750934,2581064,699159,319527,387719,2738325,1007840
Condeixa-a-Nova,883967,858040,249266,249266,138531,138531,432547,256795,133192,0,37696,37696
Figueira da Foz,3970126,3677751,734893,704421,684568,475460,1529978,579260,37563,608421,679639,128452
Góis,568491,509971,164423,7885,55961,55961,65990,0,0,29776,29367,7456
Lousã,1150791,962030,240637,226241,182077,182077,275788,0,0,67970,75370,75370
Mealhada,470347,462307,0,0,197149,80011,12641,9917,0,0,78500,78500
Mira,436766,435628,67144,67144,137665,101038,0,0,0,0,230328,230328
Miranda do Corvo,354171,349421,0,0,151941,112343,134482,134482,0,0,31245,31245
Montemor-o-Velho,563580,543902,69542,0,221481,132772,116869,26888,0,0,103676,103676
Mortágua,642443,586459,3036,0,110206,110206,263186,209393,0,31714,168806,3550
Oliveira do Hospital,1344820,1003480,72838,27082,205409,205409,41748,0,18915,22833,676858,135420
Pampilhosa da Serra,1301852,1301852,46404,46404,43695,43695,829008,274361,520492,0,255364,205322
Penacova,1004556,904745,70725,11614,193470,159288,453395,119234,17788,78460,133721,87925
Penela,739746,720160,123654,43170,103264,101668,25504,22437,0,0,438752,323342
Soure,515264,515264,24226,24226,164114,164114,160820,0,13524,0,162623,162623
Tábua,407913,407913,65445,0,140147,140147,124131,95102,2015,0,10560,10560
Vila Nova de Poiares,409036,409036,50735,0,56933,34797,101052,1853,95891,0,114144,108590
Região de Leiria,12229551,9562907,1436793,1017210,1870468,1531242,2282057,866913,173723.00000000003,409199,3357976.0000000005,2042086.9999999998
Alvaiázere,479540,413129,69810,60721,78559,74599,125512,103273,6775,7061,64408,64408
Ansião,564466,416542,29987,0,108477,100873,162613,119432,0,37105,80117,66037
Batalha,1131294,1131294,39229,39229,79712,79712,350084,314976,6070,0,435959,6805
Castanheira de Pêra,94517,90740,26705,0,36233,36233,27195,16333,0,10862,0,0
Figueiró dos Vinhos,338237,338237,127995,127995,175091,148557,32290,28170,0,0,0,0
Leiria,3783488,2390963,556384,366853,307196,307196,112834,0,0,112834,1414549,990793
Marinha Grande,1826048,1662698,209188,190447,201356,130012,670453,138784,107003,1197,542603,245635
Pedrógão Grande,308116,308116,0,0,118003,83701,73724,27489,0,43551,35000,35000
Pombal,2462511,1733814,261004,166544,523229,364064,671794,118456,53875,171163,172514,156613
Porto de Mós,1241334,1077374,116491,65421,242612,206295,55558,0,0,25426,612826,476796
Viseu Dão Lafões,12210897,10352838,1248848.0000000002,812564,2288682,1956959,3456609,1193478,883551.0000000001,531673,2178008,1527641
Aguiar da Beira,252961,216307,30565,0,82000,82000,80811,80811,0,0,0,0
Carregal do Sal,411772,247032,52456,52456,75021,75021,111712,111712,0,0,0,0
Castro Daire,725822,725822,25414,25414,263969,256071,74381,70000,0,0,335558,335558
Mangualde,548672,548672,35913,0,287851,215598,155628,124017,20927,0,44934,44934
Nelas,271767,271767,12000,0,61676,60925,77530,35937,0,0,52000,52000
Oliveira de Frades,420018,420018,49449,49449,162134,144913,1235,1235,0,0,198064,65987
Penalva do Castelo,638806,366140,0,0,126663,126663,211843,3778,47383,0,20752,2990
Santa Comba Dão,272961,261499,0,0,114413,114413,80963,17008,47325,0,65084,8027
São Pedro do Sul,1396893,548339,86228,0,81275,81275,98198,12191,2888,53377,228666,181999
Sátão,566489,566489,22375,0,74401,74401,0,0,0,0,431485,431485
Tondela,1350217,1136568,86314,86314,322960,218214,391868,226726,0,0,282890,157784
Vila Nova de Paiva,290671,290671,10,10,45963,22609,175633,86416,64275,20053,42197,42197
Viseu,4421049,4190273,718664,479422,472839,367984,1913717,421117,700753,437584,296097,116972
Vouzela,642799,563241,129460,119499,117517,116872,83090,2530,0,20659,180281,87708
Beira Baixa,8330117.000000001,7171208,1200414,609106,856812,676772,2489856,1369504,529106,82471,1124472,863394
Castelo Branco,3743008,3060556,491771,410564,318768,263299,1154078,694422,158402,76837,405598,403198
Idanha-a-Nova,2419806,2368418,472693,167614,137933,80585,822282,388598,211482,2134,395268,168195
Oleiros,191537,191537,0,0,37098,37098,134330,93894,0,0,19600,19600
Penamacor,472461,185617,27918,27918,58827,25341,25480,9166,0,0,29500,29500
