,Total de despesas em atividades culturais e criativas (Euros),"Despesas correntes, Total (Euros)","Despesas correntes, das quais, Património, Total  (Euros)","Despesas correntes, das quais, Património, Museus (Euros)","Despesas correntes, das quais, Bibliotecas e arquivos, Total (Euros)","Despesas correntes, das quais, Bibliotecas e arquivos, Bibliotecas (Euros)","Despesas correntes, das quais, Artes do espetáculo, Total (Euros)","Despesas correntes, das quais, Artes do espetáculo, Música (Euros)","Despesas correntes, das quais, Artes do espetáculo, Multidisciplinares (Euros)","Despesas correntes, das quais, Artes do espetáculo, Construção e manutenção de recintos de espetáculos (Euros)","Despesas correntes, das quais, Atividades interdisciplinares, Total (Euros)","Despesas correntes, das quais, Atividades interdisciplinares, Apoio a entidades culturais e criativas (Euros)"
Silves,3460937,2733921,670527,196857,330359,300000,281053,217379,0,31825,1406299,1020827
Tavira,3113791,3110683,768669,296333,358573,263635,1631339,410173,26500,1141142,290690,290690
Vila do Bispo,333876,278566,0,0,90954,57365,97906,97906,0,0,0,0
Vila Real de Santo António,1176913,1176913,66309,66284,649245,466920,115122,0,504,114167,295147,41020
R. A. Açores,13839882,11039219,604837,365973,923792,655552.0000000001,3559153.9999999995,912757.9999999999,926886.0000000001,470709.0000000001,4784911.000000001,2629723
Santa Maria,346773,193173,0,0,51179,51179,1130,1130,0,0,89098,0
Vila do Porto,346773,193173,0,0,51179,51179,1130,1130,0,0,89098,0
São Miguel,5979111,4580618,343658,238096.00000000003,474961,294812,1219649,441745.0000000001,283209,263307,2306450,1115330
Lagoa (R.A.A.),378697,329407,0,0,12553,12553,29270,21050,0,0,287584,32380
Nordeste,189898,189898,3672,3672,16369,16369,105195,97095,3783,4117,41428,41428
Ponta Delgada,2940622,2912649,105562,0,173658,65283,971599,321600,279426,259190,1476730,559626
Povoação,207971,94035,12637,12637,62578,62578,0,0,0,0,18820,18820
Ribeira Grande,1525323,319682,101728,101728,72162,34388,82413,0,0,0,58268,58268
Vila Franca do Campo,736600,734947,120059,120059,137641,103641,31172,2000,0,0,423620,404808
Terceira,3126150,2297660,104463,0,100308,57317,1207281,327883,578,54490,634860,266020
Angra do Heroísmo,2454569,1626079,104463,0,338,338,1207281,327883,578,54490,63249,6094
Vila da Praia da Vitória,671581,671581,0,0,99970,56979,0,0,0,0,571611,259926
Graciosa,530298,492267,31655,17707,40853,40853,1605,0,0,0,280280,263180
Santa Cruz da Graciosa,530298,492267,31655,17707,40853,40853,1605,0,0,0,280280,263180
São Jorge,700355,597580,82847,82847,24256,24256,46891,0,38869,1512,354511,171331
Calheta (R.A.A.),210049,207456,0,0,0,0,0,0,0,0,183180,0
Velas,490306,390124,82847,82847,24256,24256,46891,0,38869,1512,171331,171331
Pico,1845638,1644488,0,0,216591,171491,391693,40060,237133.99999999997,29857,778788,522197
Lajes do Pico,545386,396956,0,0,59215,59215,278077,18382,237134,0,25264,11800
Madalena,580560,566560,0,0,91887,91887,53300,0,0,0,292458,259247
São Roque do Pico,719692,680972,0,0,65489,20389,60316,21678,0,29857,461066,251150
Faial,1059846,981722,0,0,0,0,688448,99483,367096,121543,166721,130462
Horta,1059846,981722,0,0,0,0,688448,99483,367096,121543,166721,130462
Flores,230672,230672,42214,27323,7304,7304,2457,2457,0,0,168103,160103
Lajes das Flores,69706,69706,2561,2561,0,0,1100,1100,0,0,59953,51953
Santa Cruz das Flores,160966,160966,39653,24762,7304,7304,1357,1357,0,0,108150,108150
Corvo,21039,21039,0,0,8340,8340,0,0,0,0,6100,1100
Corvo,21039,21039,0,0,8340,8340,0,0,0,0,6100,1100
R. A. Madeira,8823733,8719740.000000002,1106202,880938.0000000001,1106454,1051580,3776538,1389069,512485.99999999994,317,1627716.9999999998,1592643
Calheta (R.A.M.),530844,530844,0,0,16072,16072,274732,65631,0,0,131900,131900
Câmara de Lobos,918478,905028,42463,42463,249525,227388,374125,0,369008,0,112002,112002
Funchal,4104474,4074815,497646,497646,502115,502115,2170118,561448,0,317,479677,476277
Machico,688621,686448,555740,340829,60116,60116,0,0,0,0,40039,40039
Ponta do Sol,739299,680588,453,0,27284,15447,340685,181461,143478,0,190851,159177
Porto Moniz,371354,371354,0,0,15320,15320,245334,245334,0,0,14000,14000
Ribeira Brava,168152,168152,0,0,64900,44000,14717,14717,0,0,76000,76000
Santa Cruz,319545,319545,0,0,124383,124383,1629,1629,0,0,104800,104800
Santana,93944,93944,0,0,0,0,36349,0,0,0,4200,4200
São Vicente,402157,402157,0,0,20756,20756,301681,301681,0,0,79720,79720
Porto Santo,486865,486865,9900,0,25983,25983,17168,17168,0,0,394528,394528
