,"Values paid, MF, thousand euros","Values paid, M, thousand euros","Values paid, F, thousand euros","Days subsidized , MF, No.","Days subsidized , M, No.","Days subsidized , F, No."
Portugal,1051759,483608,568150,59832628,25460822,34371806
Continente,991332,451926,539405,55934014,23468368,32465646
Norte,389878,179812,210066,22797125,9707777,13089348
Alto Minho,15057,7294,7763,871519,385366,486153
Arcos de Valdevez,846,394,452,53676,24456,29220
Caminha,1286,602,684,72081,29928,42153
Melgaço,235,108,127,14645,6227,8418
Monção,987,337,650,61252,19351,41901
Paredes de Coura,626,293,332,37526,17172,20354
Ponte da Barca,455,205,250,28635,12703,15932
Ponte de Lima,2338,1204,1134,136886,65484,71402
Valença,1062,446,616,65386,25910,39476
Viana do Castelo,6504,3370,3134,359543,165578,193965
Vila Nova de Cerveira,717,334,382,41889,18557,23332
Cávado,36153,16499,19654,2086578,883464,1203114
Amares,1455,622,832,86545,32640,53905
Barcelos,8933,4591,4342,520609,245107,275502
Braga,19200,8373,10827,1085191,445569,639622
Esposende,2572,1081,1492,149342,57299,92043
Terras de Bouro,737,334,403,49210,20126,29084
Vila Verde,3255,1498,1757,195681,82723,112958
Ave,52392,21517,30875,3143275,1198619,1944656
Cabeceiras de Basto,1161,605,556,68933,33561,35372
Fafe,6624,2820,3804,413775,166574,247201
Guimarães,22497,8965,13532,1355364,509185,846179
Mondim de Basto,424,224,201,27990,14927,13063
Póvoa de Lanhoso,2198,1061,1137,127965,52735,75230
Vieira do Minho,1298,700,598,76996,36411,40585
Vila Nova de Famalicão,14812,5870,8942,861850,310962,550888
Vizela,3378,1273,2106,210402,74264,136138
A. M. Porto,213646,100386,113261,12234075,5312878,6921197
Arouca,1544,659,886,93912,36801,57111
Espinho,3511,1673,1838,204344,91843,112501
Gondomar,21549,10684,10865,1279667,592005,687662
Maia,16390,7584,8805,883097,371265,511832
Matosinhos,23960,12156,11804,1282548,602142,680406
Oliveira de Azeméis,6034,2545,3490,354830,135804,219026
Paredes,9048,4015,5033,578871,233709,345162
Porto,26810,13318,13492,1460688,697266,763422
Póvoa de Varzim,7026,3390,3636,400362,172376,227986
Santa Maria da Feira,15849,7029,8820,937195,384212,552983
Santo Tirso,9171,3709,5462,551527,204981,346546
São João da Madeira,2968,1332,1637,177856,74372,103484
Trofa,5045,2034,3011,301218,110550,190668
Vale de Cambra,1484,559,924,85965,28132,57833
Valongo,12004,5525,6479,696263,290945,405318
Vila do Conde,10174,4741,5433,582587,243872,338715
Vila Nova de Gaia,41078,19432,21646,2363145,1042603,1320542
Alto Tâmega,5989,2841,3149,371977,166235,205742
Boticas,233,117,117,13668,6647,7021
Chaves,3258,1475,1783,204333,86776,117557
Montalegre,503,304,199,30915,17125,13790
Ribeira de Pena,346,155,191,21325,9003,12322
Valpaços,755,338,417,48320,21176,27144
Vila Pouca de Aguiar,894,451,442,53416,25508,27908
Tâmega e Sousa,43160,19391,23769,2671686,1088701,1582985
Amarante,5400,2729,2671,323612,148819,174793
Baião,1517,893,624,91988,49468,42520
Castelo de Paiva,1385,705,680,84383,38202,46181
Celorico de Basto,1299,672,627,80613,38150,42463
Cinfães,1805,1081,724,105793,57687,48106
Felgueiras,8040,3350,4691,500950,197350,303600
Lousada,5353,2142,3211,337612,124750,212862
Marco de Canaveses,5627,2525,3102,340301,131002,209299
Paços de Ferreira,5318,1978,3340,347894,122563,225331
Penafiel,6594,2908,3686,404733,155560,249173
Resende,821,408,413,53807,25150,28657
Douro,16508,8680,7828,984266,484385,499881
Alijó,830,469,361,50895,26949,23946
