,Total (€),"Profissão principal, Representantes do poder legislativo e de órgãos executivos, dirigentes, diretores/as e gestores/as executivos/as (€)","Profissão principal, Especialistas das atividades intelectuais e científicas (€)","Profissão principal, Técnicos/as e profissionais de nível intermédio (€)","Profissão principal, Pessoal administrativo  (€)","Profissão principal, Trabalhadores/as dos serviços pessoais, de proteção e segurança e vendedores/as (€)","Profissão principal, Agricultores/as e trabalhadores/as qualificados/as da agricultura, da pesca e da floresta (€)","Profissão principal, Trabalhadores/as qualificados/as da indústria, construção e artífices (€)","Profissão principal, Operadores/as de instalações e máquinas e trabalhadores/as da montagem (€)","Profissão principal, Trabalhadores/as não qualificados  (€)"
Aljezur,855.95,1104.08,1244.62,895.9,958.91,765.62,1542.14,817.14,912.24,753.83
Castro Marim,864.92,1308.64,1262.35,1091.01,964.16,779,778.79,814.06,894.12,742.75
Faro,1170.3,2118.61,1763.24,1550.3,1151.36,875.45,787.66,1004.29,977.98,856.83
Lagoa,1029.38,1951.69,1484.19,1379.02,1014.87,914.03,1229.38,938.74,931.75,788.72
Lagos,980.65,1730.81,1406.07,1181.96,1001.89,879.57,900.62,921.25,947.5,822.77
Loulé,1049.61,2086.2,1538.62,1340.51,1067.34,941.42,1011.51,961.47,1024.93,835.39
Monchique,887.89,1955.33,1227.09,1153.14,953.79,780.14,735.36,789.07,899.91,694.63
Olhão,959.95,1573.95,1359.19,1239.14,1002.89,813.67,1170.39,849.75,883.98,771.09
Portimão,1049.22,1904.55,1662.64,1675.54,998.4,872.58,826.63,891.21,1003.96,794.21
São Brás de Alportel,972.33,1278.87,1563.55,1057.35,959.3,787.52,783.77,831.45,973.56,806.27
Silves,953.07,1494.34,1567.26,1220.16,1010,820.61,829.31,840.86,901.81,774.13
Tavira,919.14,1569,1417.19,1197.74,962.92,813.68,795.5,854.28,900.19,766.92
Vila do Bispo,945.38,1728.99,1360.31,1208.94,980.7,865.3,984.68,866,871.36,756.87
Vila Real de Santo António,941.04,1497.91,1619.16,1127.91,981.2,799.71,1265.79,882.7,946.34,769.61
R. A. Açores,1100.47,2072.64,1785.26,1690.98,1112.93,848.38,941.13,900.35,969.88,829.78
Santa Maria,1492.53,1755.59,1565.83,3340.31,1423.52,850.64,700.08,1081.76,1113.71,833.78
Vila do Porto,1492.53,1755.59,1565.83,3340.31,1423.52,850.64,700.08,1081.76,1113.71,833.78
São Miguel,1117.89,2391.2,1812.17,1750.46,1118.87,860.51,970.23,900.7,943.92,815.12
Lagoa (R.A.A.),941.9,2105.82,1479.6,1244.73,958.99,794.54,715.74,791.19,897.3,773.4
Nordeste,860.78,1218.67,1365.46,1001.45,1021.57,809.15,778.68,721.33,766.08,715.31
Ponta Delgada,1205.46,2541.16,1866.58,1946.85,1166.78,885.87,1017.65,954.3,981.25,837.24
Povoação,924.33,2217.65,1415.76,1190.67,982.6,789.55,1474.63,838.81,788.39,742.86
Ribeira Grande,999.26,2143.96,1794.8,1362.35,1039.96,830.22,813.93,869.64,933.73,795.53
Vila Franca do Campo,895.25,1926.59,1343.82,1127.05,905.14,807.35,690.87,898.39,774.1,744.03
Terceira,1057.24,1704.31,1832.29,1290.68,1074.64,822.24,786.39,889.98,972.31,846.04
Angra do Heroísmo,1052.76,1621.37,1899.32,1260.66,1009.41,821.57,729.28,888.09,879.15,793.64
Vila da Praia da Vitória,1067.35,1956.54,1558.6,1353.3,1194.46,823.89,903.4,893.65,1166.94,951.81
Graciosa,1039.07,2134.91,1510.05,1554.02,1316.52,835.2,684.86,908.42,1038.51,852.35
Santa Cruz da Graciosa,1039.07,2134.91,1510.05,1554.02,1316.52,835.2,684.86,908.42,1038.51,852.35
São Jorge,976.85,1407.64,1413.25,1315.57,1121.15,858.78,709.22,833.75,1014.48,795.33
Calheta (R.A.A.),902.67,2245.37,1367.08,1045.06,1012.36,789.43,…,750.03,864.28,742.02
Velas,1015.69,1189.11,1453.99,1424.58,1173.6,895.35,686.08,891.57,1061.09,824.48
Pico,952.63,1263.3,1252.45,1258.7,1083.58,796.75,875.26,883.21,1014.28,830.99
Lajes do Pico,844.16,1203.79,995.68,1141.27,972.41,748.43,716.61,834.27,…,736.68
Madalena,952.98,1241.1,1323.96,1048.41,1117.56,824.21,1070.05,857.3,993.54,831.96
São Roque do Pico,1036.07,1455.39,1294.98,1687.55,1065.19,783.75,713.98,976.52,1066.2,898.82
Faial,1125.82,1834.65,1735.27,1809.36,1059.72,859.18,1407.56,925.68,1137.09,916.96
Horta,1125.82,1834.65,1735.27,1809.36,1059.72,859.18,1407.56,925.68,1137.09,916.96
Flores,1134.2,1259.75,1725.55,2106.87,1172.77,857.59,662.75,1023.19,1079.86,921.34
Lajes das Flores,1029.01,1057.62,1373.72,1892.02,915.24,933.07,…,715.89,1073.32,978.94
Santa Cruz das Flores,1178.4,1401.24,1921.02,2154.61,1303.96,835.54,657,1096.36,1083.59,884.39
Corvo,1089.12,…,1327.67,1477.15,1360.48,730.21,…,919.31,1167.68,893.6
Corvo,1089.12,…,1327.67,1477.15,1360.48,730.21,…,919.31,1167.68,893.6
R. A. Madeira,1130.18,2523.88,1818.85,1473.83,1107.34,850.4,811.9,1060.37,1080.13,863.59
Calheta (R.A.M.),1154.37,2400.54,2427.46,1554.09,1113.21,841.07,832.6,1097.99,1298,922.67
Câmara de Lobos,999.57,2098.78,1522.57,1453.76,1026.84,765.46,722.58,931.82,1006.51,833.71
Funchal,1171.47,2690.62,1844.85,1429.21,1090.88,867.37,861.36,1155.28,1112.41,844.17
Machico,1063.89,2213.05,1792.12,1350.38,1126.84,775.48,787.74,940.44,971.81,921.6
Ponta do Sol,881.12,1544.51,1084.15,1142.2,951.63,724.4,723.97,822.99,1043.22,801.25
Porto Moniz,826.72,2060.7,1815.77,1747.98,1058.62,724.47,…,903.33,738.51,759.38
Ribeira Brava,920.15,2013.33,1330.89,1176.84,936.97,769.37,777.83,855.74,834.94,897.3
Santa Cruz,1116.14,2174.24,1760.82,1796.2,1255.28,905.55,792.08,950.35,962.91,914.38
Santana,883.15,2377.24,1446.78,1141.44,1026.45,748.29,736.31,891.24,806.17,777.94
São Vicente,866.1,1836.64,1283.8,1128.5,1017.27,763.29,724.94,826.13,833.15,761.39
Porto Santo,1175.5,2087.99,1887.24,2246.18,1354.05,861.65,716.06,1454.62,1141.95,1020.25
