,Total (€),"Profissão principal, Representantes do poder legislativo e de órgãos executivos, dirigentes, diretores/as e gestores/as executivos/as (€)","Profissão principal, Especialistas das atividades intelectuais e científicas (€)","Profissão principal, Técnicos/as e profissionais de nível intermédio (€)","Profissão principal, Pessoal administrativo  (€)","Profissão principal, Trabalhadores/as dos serviços pessoais, de proteção e segurança e vendedores/as (€)","Profissão principal, Agricultores/as e trabalhadores/as qualificados/as da agricultura, da pesca e da floresta (€)","Profissão principal, Trabalhadores/as qualificados/as da indústria, construção e artífices (€)","Profissão principal, Operadores/as de instalações e máquinas e trabalhadores/as da montagem (€)","Profissão principal, Trabalhadores/as não qualificados  (€)"
Anadia,1017.35,1883.92,1495.65,1329.1,978.18,804.1,893.57,934.55,907.17,780.36
Aveiro,1243.33,2550.92,1842.9,1529.46,1104.73,885.44,845.01,1059.02,1133.18,834.62
Estarreja,1260.27,2419.45,1930.18,1666.96,1040.34,799.08,774.27,1061.45,1353.62,837.44
Ílhavo,1148.88,2618.08,1614.34,1458.89,1095.86,829.05,1660.83,948.2,974.76,873.19
Murtosa,924.03,1680.3,1365.62,1128.64,1101.8,744.79,829.47,823.69,865.18,760.29
Oliveira do Bairro,1047.8,2080.43,1568.72,1330.09,979.51,845.94,728.92,928.3,924.52,858.69
Ovar,1074.02,2342.49,1684.53,1405.72,1001.38,833.26,739.41,949.5,918.06,788.86
Sever do Vouga,1050.87,2092.61,1481.61,1242.33,989.29,829.55,830.52,1024.97,899.96,799.98
Vagos,1038.96,2022.67,1567.52,1283.27,1022.75,831.08,786.21,939.03,916.25,791.8
Região de Coimbra,1093.15,2035.35,1669.94,1308.73,1032.25,825.3,822.88,973.37,1049.7,804.61
Arganil,861.05,1234.68,1413.69,1071.13,970.5,765.21,764.76,810.06,794.07,718.95
Cantanhede,1083.32,2341.05,1464.23,1427.1,1024.53,812.76,757.98,1045.47,1027.97,896.6
Coimbra,1182.41,2160.39,1799.25,1303.98,1059.43,862.11,778.26,1030.21,1026.14,797.5
Condeixa-a-Nova,999.84,1829.72,1277.1,1100.57,1064.64,805.54,837.34,911.66,990.22,754.27
Figueira da Foz,1194.68,2246.18,1897.75,1488.86,1101.64,806.39,1017.87,1016.72,1286.93,895.21
Góis,822.93,1027.12,1318.13,938.91,906.1,734.49,773.87,755.08,866.12,725.78
Lousã,1000.71,1821.17,1439.98,1231.43,960.57,885.51,777.67,931.32,865.26,763.74
Mealhada,1106.84,2049.9,1534.31,1320.11,1015.9,834.14,787.21,955.94,1216.64,770.13
Mira,942.47,1847.1,1470.54,1003.96,959.9,753.35,771.61,840.38,822.27,791.03
Miranda do Corvo,881.43,1470.59,1232.77,980.77,943.47,759.03,774.91,875.55,856.66,752.63
Montemor-o-Velho,968.73,1755.48,1292.2,1281.67,985.1,780.07,774.78,890.57,1054.07,759.75
Mortágua,1037.77,2041.44,1321.24,1296.94,921.44,837.68,851.45,989.68,950.95,772.72
Oliveira do Hospital,902.46,1504.12,1316.94,1201.84,918.01,775.13,737.06,845.12,795.33,730.73
Pampilhosa da Serra,857.15,1076.66,1277.38,1193.8,949.32,776.93,712.78,844.72,828.28,725.61
Penacova,979.1,1593.28,1279.77,1289.28,925.8,756.21,941.75,1077.51,867.81,741.2
Penela,939.68,2019.6,1062.18,1193.67,885.56,730.86,778.98,853.59,926.92,743.91
Soure,1007.56,1565.3,1409.22,1326.28,1076.27,769.25,737.47,1080,1038.95,871.93
Tábua,919.13,2271.8,1307.66,1118.6,1085.66,786.99,742.35,779.29,862.85,766.86
Vila Nova de Poiares,956.53,2157.02,1378.17,1034.36,946.56,815.47,709.63,882.28,980.89,722.89
Região de Leiria,1121.98,1989.61,1575.51,1382.72,1037.83,860.82,799.75,1066.33,1061.68,833.52
Alvaiázere,887.94,1182.43,1170.29,1016.3,898.28,740.44,699.89,829.75,968.71,723.56
Ansião,939.72,1509.07,1311.15,1104.26,952.28,755.76,740.75,879.99,985.92,740.26
Batalha,1095.84,2040.52,1537.53,1415.16,1030.75,854.85,807.19,1034.76,1028.34,818.88
Castanheira de Pêra,937.71,1672.07,1325.35,1155.46,994.1,834.4,917.02,913.42,793.15,767.69
Figueiró dos Vinhos,871.62,1226.78,1200.81,1274.84,1025.61,714.34,757.69,770.18,922.34,701.36
Leiria,1125.7,2032.19,1616.23,1361.06,1022.96,895.38,823.27,1059.54,1024.02,822.35
Marinha Grande,1335.3,2763.57,1646.48,1608.5,1102.09,848.82,728.57,1336.22,1229.71,988.8
Pedrógão Grande,883.8,1397.5,1239.26,1027.09,894.46,753.7,813.29,834.54,838.64,702.91
Pombal,1024.95,1584.83,1445.82,1207.01,1020.12,817.67,777.04,933.52,1035.39,821.55
Porto de Mós,1087.96,1941.85,1590.83,1381.99,1153.21,838.79,793.08,990.98,1058.98,805.6
Viseu Dão Lafões,1025.08,1930.27,1601.4,1294.89,990.26,794.97,786.29,897.53,999.13,791.77
Aguiar da Beira,818.64,1064.32,997.71,994.44,888.4,713.33,760.69,793.03,871.12,661.92
Carregal do Sal,984.14,2577.59,1316.55,1268.94,960.16,833.8,929.37,828.49,835.36,842.73
Castro Daire,877,1257.71,1234.01,1102.55,1003.94,728.03,701.08,776.95,1018.67,679
Mangualde,1105.26,2146.03,1644.47,1325.29,1077.93,780.17,763.27,936.3,1200.42,808.54
Nelas,1098.19,3145.53,1475.06,1457.5,1125.9,783.87,903.38,1054.9,915.8,803.7
Oliveira de Frades,1155.69,2995.93,1943.3,1502.36,1057.76,847.48,818.98,949.58,943.7,911.6
Penalva do Castelo,906.68,1402.05,1266.52,1351.41,1045.54,696.39,706.84,849.68,982.84,799.94
Santa Comba Dão,923.48,1378.54,1204.46,1015.47,990.99,797.38,747.78,859.91,889.64,811.17
São Pedro do Sul,837.56,1456.93,1375.82,1060.48,906.67,728.9,788.16,766.85,814.78,723.4
Sátão,814.95,1169.25,1246.64,955.32,932.22,709.55,698.54,781.46,859.6,700.78
Tondela,1104.46,2448.03,1787.49,1570.03,1003.61,763.27,782.13,882.09,1035.64,852.27
Vila Nova de Paiva,833.66,1043.7,1090.36,1013.19,904.26,747.73,738.05,733.09,937.97,703.09
Viseu,1036.89,1787.94,1640.53,1210.88,962.76,826.87,793.36,904.05,951.84,773.04
Vouzela,937.21,2038.08,1344.16,1329.47,1025.64,749.33,739.33,916.01,854.7,752.78
Beira Baixa,995.38,1831.61,1540.96,1243.13,996.11,795.85,782.97,867.07,1003.07,792.06
Castelo Branco,994.62,1838.5,1565.81,1219.76,972.96,813.96,795.82,875.68,949.76,786.75
Idanha-a-Nova,906.71,1544.57,1369.53,1042.85,1107.81,736.7,759.6,804.1,779.35,817.37
Oleiros,945.86,1294.71,1222.09,1153,980.36,691.64,731.92,828.88,1200,739.91
Penamacor,908.38,1896.73,1398.59,1026.67,1097.82,746.75,827.65,765.07,798.44,735.7
Proença-a-Nova,946.81,1440,1545.61,1187.49,969.87,737.28,774.44,851.27,925.88,710.35
Vila Velha de Ródão,1251.25,2816.75,1707.76,1643.76,1150.74,743.28,843.18,952.7,1334.34,926.65
