,Total (N.º),"Nível de habilitações, Inferior ao 1º ciclo do ensino básico (N.º)","Nível de habilitações, 1º ciclo do ensino básico (N.º)","Nível de habilitações, 2º ciclo do ensino básico (N.º)","Nível de habilitações, 3º ciclo do ensino básico (N.º)","Nível de habilitações, Ensino secundário (N.º)","Nível de habilitações, Curso técnico superior profissional (N.º)","Nível de habilitações, Bacharelato (N.º)","Nível de habilitações, Licenciatura (N.º)","Nível de habilitações, Mestrado (N.º)","Nível de habilitações, Doutoramento (N.º)"
R. A. Açores,40333,227,4471,6931,12365,10773,124,268,4635,484,55
Santa Maria,796,…,88,110,266,227,…,…,91,…,0
Vila do Porto,796,…,88,110,266,227,…,…,91,…,0
São Miguel,24132,143,2569,4375,7149,6437,67,173,2849,344,26
Lagoa (R.A.A.),1871,24,226,403,611,401,14,5,159,25,3
Nordeste,386,5,45,95,125,74,…,0,37,…,0
Ponta Delgada,15503,54,1278,2411,4529,4639,44,139,2139,253,17
Povoação,800,6,112,141,294,190,…,0,48,…,…
Ribeira Grande,4549,36,736,1080,1265,948,…,26,397,51,…
Vila Franca do Campo,1023,18,172,245,325,185,0,3,69,…,…
Terceira,8493,58,1025,1351,2551,2249,27,55,1074,92,11
Angra do Heroísmo,5985,34,684,985,1793,1490,…,42,858,75,…
Vila da Praia da Vitória,2508,24,341,366,758,759,…,13,216,17,…
Graciosa,599,…,86,116,221,130,…,…,…,…,0
Santa Cruz da Graciosa,599,…,86,116,221,130,…,…,…,…,0
São Jorge,1240,…,160,196,439,314,…,…,102,10,0
Calheta (R.A.A.),446,…,54,69,151,120,…,…,40,5,0
Velas,794,…,106,127,288,194,…,…,62,5,0
Pico,1983,7,215,291,736,557,5,5,150,11,6
Lajes do Pico,391,…,46,60,145,98,…,…,31,…,0
Madalena,1108,…,124,149,419,320,…,…,83,…,3
São Roque do Pico,484,…,45,82,172,139,…,0,36,…,3
Faial,2542,6,250,395,802,732,18,15,290,22,12
Horta,2542,6,250,395,802,732,18,15,290,22,12
Flores,462,0,68,85,174,97,…,…,…,3,0
Lajes das Flores,119,0,15,28,41,22,…,0,…,0,0
Santa Cruz das Flores,343,0,53,57,133,75,0,…,…,3,0
Corvo,86,0,10,12,27,30,0,0,7,0,0
Corvo,86,0,10,12,27,30,0,0,7,0,0
R. A. Madeira,47547,277,5408,6776,13086,14879,23,460,5968,576,38
Calheta (R.A.M.),1810,6,349,312,541,447,0,6,143,3,0
Câmara de Lobos,2532,29,392,462,815,602,0,18,199,15,0
Funchal,30764,188,3242,3976,7861,9955,11,354,4636,468,29
Machico,2451,6,313,372,771,695,…,29,239,17,…
Ponta do Sol,643,…,105,111,194,190,…,…,…,…,0
Porto Moniz,287,0,36,74,81,83,0,…,…,0,0
Ribeira Brava,1468,…,185,294,428,388,5,…,136,21,…
Santa Cruz,5420,31,518,828,1731,1781,…,38,439,46,…
Santana,493,7,65,82,131,167,0,5,36,0,0
São Vicente,484,…,66,79,141,155,…,…,36,…,0
Porto Santo,1195,…,137,186,392,416,0,…,57,…,0
