,Total (N.º),"Escalão de pessoal, 1 - 9 (N.º)","Escalão de pessoal, 10 - 19 (N.º)","Escalão de pessoal, 20 - 49 (N.º)","Escalão de pessoal, 50 - 99 (N.º)","Escalão de pessoal, 100 - 249 (N.º)","Escalão de pessoal, 250 - 499 (N.º)","Escalão de pessoal, 500 e mais (N.º)"
Sines,5948,670,254,863,504,1248,30,2379
Baixo Alentejo,20106,6071,2199,3164,2111,2044,1211,3306
Aljustrel,1710,374,117,257,248,113,529,72
Almodôvar,825,305,113,158,50,90,10,99
Alvito,202,52,14,78,48,0,0,10
Barrancos,221,94,30,34,49,10,0,4
Beja,6688,1951,838,782,697,876,384,1160
Castro Verde,2877,338,105,191,368,223,0,1652
Cuba,397,133,58,38,163,0,0,5
Ferreira do Alentejo,1380,478,155,246,70,125,275,31
Mértola,803,376,101,161,0,150,0,15
Moura,1815,730,230,440,89,180,0,146
Ourique,814,323,64,169,104,102,0,52
Serpa,1724,712,253,400,149,175,13,22
Vidigueira,650,205,121,210,76,0,0,38
Lezíria do Tejo,45104,10222,5403,6672,4558,5131,3680,9438
Almeirim,3064,1002,439,462,404,123,98,536
Alpiarça,1138,191,96,195,63,105,480,8
Azambuja,8076,643,362,656,626,872,542,4375
Benavente,6106,1454,690,944,732,874,844,568
Cartaxo,2778,836,399,522,431,362,…,…
Chamusca,1487,418,252,245,176,121,213,62
Coruche,2635,926,457,379,288,181,137,267
Golegã,807,247,167,80,48,226,0,39
Rio Maior,4518,1114,654,999,373,318,259,801
Salvaterra de Magos,2783,915,455,635,409,262,…,…
Santarém,11712,2476,1432,1555,1008,1687,1092,2462
Alto Alentejo,16360,4625,1811,2794,2120,1802,2021,1187
Alter do Chão,402,148,57,114,75,0,3,5
Arronches,403,102,40,123,133,0,0,5
Avis,787,185,109,61,72,96,260,4
Campo Maior,2243,240,136,216,160,343,964,184
Castelo de Vide,487,146,58,48,120,…,41,…
Crato,399,114,41,125,4,95,0,20
Elvas,2822,1061,386,527,485,90,57,216
Fronteira,421,220,48,37,94,0,0,22
Gavião,292,72,27,67,0,120,0,6
Marvão,309,151,22,80,24,…,0,…
Monforte,487,194,80,103,48,0,0,62
Nisa,657,240,40,217,44,89,0,27
Ponte de Sor,2271,562,284,331,351,324,259,160
Portalegre,3767,948,409,568,393,630,437,382
Sousel,613,242,74,177,117,0,0,3
Alentejo Central,29095,8241,3454,4803,3416,2972,1295,4914
Alandroal,600,216,88,162,5,30,…,…
Arraiolos,1081,392,119,327,207,5,0,31
Borba,942,372,116,106,105,118,0,125
Estremoz,2399,796,347,412,357,154,64,269
Évora,13174,2702,1434,1786,1453,1064,905,3830
Montemor-o-Novo,2775,1061,241,522,320,235,206,190
Mora,687,235,52,138,75,181,0,6
Mourão,198,107,41,37,3,4,0,6
Portel,615,235,57,228,3,85,…,…
Redondo,844,356,208,137,115,0,0,28
Reguengos de Monsaraz,1686,560,143,223,229,413,9,109
Vendas Novas,1990,524,258,395,98,477,15,223
Viana do Alentejo,634,281,95,83,156,12,0,7
Vila Viçosa,1470,404,255,247,290,194,0,80
Algarve,111242,28689,15355,16518,11539,13371,7229,18541
Albufeira,17408,3541,2480,2321,1817,3232,1336,2681
Alcoutim,300,91,68,55,74,0,7,5
Aljezur,850,391,193,100,141,…,…,19
Castro Marim,1000,324,140,186,252,…,…,15
Faro,16809,3481,1995,2419,1734,1633,916,4631
Lagoa,6732,1683,867,930,778,964,677,833
Lagos,7846,2658,1530,1321,767,556,426,588
Loulé,22568,5356,3126,3718,1964,2673,2023,3708
Monchique,654,296,119,158,69,4,0,8
Olhão,5845,1747,753,1161,783,611,110,680
Portimão,14230,3248,1631,1630,1364,1605,1234,3518
São Brás de Alportel,1583,646,236,267,120,98,34,182
Silves,5420,1896,917,760,795,457,7,588
Tavira,4940,1642,680,768,223,737,153,737
Vila do Bispo,1427,486,314,148,209,209,13,48
Vila Real de Santo António,3630,1203,306,576,449,526,270,300
R. A. Açores,40333,8699,5204,7147,4684,6036,1820,6743
Santa Maria,796,239,93,164,11,55,7,227
Vila do Porto,796,239,93,164,11,55,7,227
São Miguel,24132,4497,2940,4305,3223,3830,1193,4144
Lagoa (R.A.A.),1871,383,297,586,252,152,80,121
Nordeste,386,128,49,60,33,101,4,11
Ponta Delgada,15503,2844,1828,2608,2211,2119,658,3235
Povoação,800,164,84,111,62,317,8,54
Ribeira Grande,4549,718,528,825,613,887,344,634
Vila Franca do Campo,1023,260,154,115,52,254,99,89
Terceira,8493,1999,1196,1378,984,1061,440,1435
Angra do Heroísmo,5985,1433,803,898,588,854,330,1079
Vila da Praia da Vitória,2508,566,393,480,396,207,110,356
Graciosa,599,165,102,111,72,53,4,92
Santa Cruz da Graciosa,599,165,102,111,72,53,4,92
São Jorge,1240,326,166,339,67,209,15,118
Calheta (R.A.A.),446,84,79,201,0,71,0,11
Velas,794,242,87,138,67,138,15,107
Pico,1983,696,350,277,174,265,24,197
Lajes do Pico,391,143,92,81,53,7,0,15
Madalena,1108,359,175,124,77,234,5,134
São Roque do Pico,484,194,83,72,44,24,19,48
Faial,2542,655,260,442,130,541,129,385
Horta,2542,655,260,442,130,541,129,385
Flores,462,103,97,115,19,18,5,105
Lajes das Flores,119,54,25,24,0,8,5,3
Santa Cruz das Flores,343,49,72,91,19,10,0,102
Corvo,86,19,0,16,4,4,3,40
Corvo,86,19,0,16,4,4,3,40
R. A. Madeira,47547,9729,5635,8219,5640,5231,3333,9760
Calheta (R.A.M.),1810,281,271,129,53,231,146,699
Câmara de Lobos,2532,732,357,651,314,320,3,155
Funchal,30764,5763,3460,4772,3713,3242,2760,7054
Machico,2451,572,304,602,401,277,20,275
Ponta do Sol,643,257,99,44,82,0,139,22
Porto Moniz,287,61,74,140,0,0,0,12
Ribeira Brava,1468,358,208,253,222,216,0,211
Santa Cruz,5420,1104,599,1180,609,757,144,1027
Santana,493,167,78,54,129,10,0,55
São Vicente,484,201,73,190,0,0,0,20
Porto Santo,1195,233,112,204,117,178,121,230
