,"Quintiles of gross reported income less personal income paid tax by taxable person, 1st quintile, €","Quintiles of gross reported income less personal income paid tax by taxable person, 2nd quintile, €","Quintiles of gross reported income less personal income paid tax by taxable person, 3rd quintile, €","Quintiles of gross reported income less personal income paid tax by taxable person, 4th quintile, €","Distribution of the number of taxable persons by gross reported income less personal income paid tax class, Less than  5 000 €, No.","Distribution of the number of taxable persons by gross reported income less personal income paid tax class, From 5 000 to less than 10 000 €, No.","Distribution of the number of taxable persons by gross reported income less personal income paid tax class, From 10 000 to less than 13 500 €, No.","Distribution of the number of taxable persons by gross reported income less personal income paid tax class, From  13 500 to less than  19 000 €, No.","Distribution of the number of taxable persons by gross reported income less personal income paid tax class, From  19 000 to less than  32 500 €, No.","Distribution of the number of taxable persons by gross reported income less personal income paid tax class, 32 500 € or more, No."
Alentejo,5835,8400,10643,14893,70263,209391,98713,68697,47543,9209
Alentejo Litoral,5485,8191,10528,15170,11493,28427,12844,9247,6916,1718
Alcácer do Sal,5692,8048,10104,13975,1165,3679,1543,1079,581,109
Grândola,5446,8182,10401,14592,1508,3737,1763,1164,803,192
Odemira,4670,6998,9061,11900,5177,10513,3745,1933,1168,216
Santiago do Cacém,6338,9103,12219,18074,2433,7052,3801,3198,2866,795
Sines,6544,9356,12738,18238,1210,3446,1992,1873,1498,406
Baixo Alentejo,5708,8325,10546,15071,11820,32539,14527,10694,7855,1337
Aljustrel,6229,8820,11352,16020,694,2582,1278,1051,723,79
Almodôvar,5174,7681,10314,15651,935,2042,767,697,575,79
Alvito,//,//,//,//,//,//,//,//,//,//
Barrancos,//,//,//,//,//,//,//,//,//,//
Beja,6600,9151,12001,17405,2634,8149,4823,3792,3197,599
Castro Verde,6958,9301,12705,18487,475,1650,852,808,703,186
Cuba,5475,7852,9878,13900,509,1346,532,374,239,40
Ferreira do Alentejo,5498,7694,9614,13088,803,2438,939,585,344,43
Mértola,5218,7360,9157,12315,778,2151,740,423,240,31
Moura,4941,7330,9462,13115,1696,3629,1398,913,556,95
Ourique,5386,7985,9787,13978,563,1495,558,410,276,40
Serpa,5017,7361,9245,12727,1813,4202,1505,941,578,91
Vidigueira,5488,7912,9731,13458,560,1679,647,408,277,31
Lezíria do Tejo,5795,8367,10676,14875,23721,68800,32818,23321,15522,2913
Almeirim,5267,7680,9952,14002,2709,6726,2756,2022,1264,165
Alpiarça,5491,7633,9769,13666,754,2385,899,626,365,51
Azambuja,6041,8662,11043,14822,2006,5770,3336,2286,1331,174
Benavente,6145,8764,11188,15457,2758,7778,4364,3154,2008,438
Cartaxo,6241,8794,11160,15291,2115,6522,3603,2584,1621,292
Chamusca,5463,7471,9233,12204,979,3121,1080,574,335,51
Coruche,5562,7625,9659,13278,1858,6003,2338,1404,872,136
Golegã,6007,8365,10563,14425,522,1723,838,562,330,55
Rio Maior,5454,8059,10240,14000,2447,6299,2935,1969,1128,198
Salvaterra de Magos,5578,7882,10078,14057,2311,6716,2815,1965,1195,197
Santarém,6149,8763,11427,16677,5262,15757,7854,6175,5073,1156
Alto Alentejo,5748,8199,10271,14181,10996,33912,15181,9792,6399,1082
Alter do Chão,6086,8200,9851,13346,279,1117,432,256,161,25
Arronches,5485,8012,10104,13258,//,//,//,//,//,//
Avis,5658,7733,9655,12786,419,1378,589,298,148,13
Campo Maior,6493,9151,11257,14794,652,2091,1455,891,472,91
Castelo de Vide,5767,8359,10320,14128,323,1040,476,298,179,43
Crato,5787,8036,9712,12869,308,1187,459,254,153,11
Elvas,5786,8401,10554,14521,2091,6025,3054,1987,1274,237
Fronteira,5759,7714,9543,13314,288,1108,379,227,172,27
Gavião,5450,7734,9500,12655,387,1275,483,260,141,24
Marvão,5418,7815,9513,12411,392,1059,439,232,121,17
Monforte,//,//,//,//,//,//,//,//,//,//
Nisa,5487,7848,9873,13519,706,2127,881,542,354,37
Ponte de Sor,5044,7079,9151,12437,2231,5376,1909,1132,665,119
Portalegre,6420,8932,11492,16594,1818,6666,3298,2639,2144,375
Sousel,5459,7487,9228,12481,481,1618,531,307,177,24
Alentejo Central,6354,8717,10986,15185,12233,45713,23343,15643,10851,2159
Alandroal,5471,7506,9151,11801,597,1992,755,317,147,18
Arraiolos,6292,8400,10340,13719,514,2281,1077,637,347,36
Borba,6094,8042,9835,12950,527,2371,986,522,280,28
Estremoz,6313,8568,10602,14298,998,4097,2007,1147,816,129
Évora,7323,9795,12790,18281,3372,12728,8644,6921,5726,1423
Montemor-o-Novo,6155,8428,10465,14235,1234,4992,2264,1392,915,170
Mora,5977,8004,9656,12961,//,//,//,//,//,//
Mourão,//,//,//,//,//,//,//,//,//,//
Portel,5348,7463,9151,12144,648,2002,712,388,156,26
Redondo,5460,7576,9309,12753,688,2271,752,480,267,33
Reguengos de Monsaraz,5780,8137,10236,13884,981,3154,1459,948,492,80
Vendas Novas,6377,8737,11074,15104,980,3169,1742,1221,779,93
Viana do Alentejo,5902,8230,10132,13537,495,1654,747,424,278,25
Vila Viçosa,6400,8406,10352,13600,592,2592,1248,677,397,65
Algarve,5430,8248,10591,15001,57273,130256,62791,45207,31917,6822
Albufeira,5277,7904,10196,14202,6274,14011,6408,4302,2827,619
Alcoutim,//,//,//,//,//,//,//,//,//,//
Aljezur,4757,7212,9409,12830,832,1549,668,357,241,65
Castro Marim,5052,7566,9711,13750,904,2011,796,568,340,67
Faro,6150,9128,12278,18072,6927,16003,9472,7939,7030,1837
Lagoa,5434,8169,10350,14547,2826,6776,3129,2239,1426,285
Lagos,5444,8233,10378,14543,3890,9135,4371,2873,2038,441
Loulé,5252,8132,10453,14736,9897,20854,10094,7189,4787,1182
Monchique,5015,7081,9055,12306,//,//,//,//,//,//
Olhão,5410,8220,10519,14695,5083,11583,5798,4036,2744,400
Portimão,5643,8347,10773,15378,6827,16870,8227,6062,4374,915
São Brás de Alportel,5421,8400,10867,15732,1343,2804,1384,1117,830,138
Silves,5399,8121,10255,14081,4544,10896,5190,3556,1997,300
Tavira,5052,7682,9914,14189,3731,7827,3261,2292,1660,317
Vila do Bispo,5318,7986,9992,13529,708,1650,778,484,245,58
Vila Real de Santo António,5212,7926,9881,13883,2521,5754,2405,1664,1079,166
R. A. Açores,5344,8302,10707,16382,28407,61040,27714,20104,19422,5441
Santa Maria,5440,8704,11056,17890,645,1359,658,427,400,300
Vila do Porto,5440,8704,11056,17890,645,1359,658,427,400,300
São Miguel,5068,8036,10636,16549,17115,32462,14552,10421,10850,3247
Lagoa (R.A.A.),4577,6938,9552,14168,2237,3661,1392,909,820,277
Nordeste,4377,6158,8820,11686,810,1240,448,231,157,17
Ponta Delgada,6101,9140,12156,19596,6440,15986,8344,6601,7514,2490
Povoação,3973,6075,8604,11940,1123,1559,519,290,247,38
Ribeira Grande,4558,7094,9541,13652,4500,7496,3051,1892,1607,348
Vila Franca do Campo,3835,5789,8714,12254,2005,2520,798,498,505,77
Terceira,5869,8780,11147,16822,5619,14181,6856,5318,4844,1163
Angra do Heroísmo,5973,8820,11458,17630,3494,8758,4272,3416,3319,921
Vila da Praia da Vitória,5731,8565,10727,15596,2125,5423,2584,1902,1525,242
Graciosa,5080,7471,9956,14579,538,1171,495,298,289,51
Santa Cruz da Graciosa,5080,7471,9956,14579,538,1171,495,298,289,51
São Jorge,5094,7754,9734,13552,1146,2590,1047,637,497,70
Calheta (R.A.A.),4707,7205,9263,12162,548,1148,429,206,172,27
Velas,5370,8195,10147,14740,598,1442,618,431,325,43
Pico,5537,8070,9981,14514,1571,4259,1664,1106,916,183
Lajes do Pico,5441,7832,9670,13828,498,1385,470,315,262,46
Madalena,5770,8321,10256,14601,645,1936,834,539,413,79
São Roque do Pico,5124,7903,10002,15474,428,938,360,252,241,58
Faial,6284,9030,11632,17356,1275,3870,1953,1524,1347,362
Horta,6284,9030,11632,17356,1275,3870,1953,1524,1347,362
Flores,5263,7834,10187,15151,//,//,//,//,//,//
Lajes das Flores,//,//,//,//,//,//,//,//,//,//
Santa Cruz das Flores,//,//,//,//,//,//,//,//,//,//
Corvo,//,//,//,//,//,//,//,//,//,//
Corvo,//,//,//,//,//,//,//,//,//,//
R. A. Madeira,5455,8524,11058,16597,27083,57981,29034,21355,20037,4621
Calheta (R.A.M.),4283,6744,9364,13830,1543,2130,862,641,501,58
Câmara de Lobos,4767,7000,9130,12051,3974,8434,3111,1676,1006,116
Funchal,6055,9094,12321,19309,10338,23813,13216,10462,11616,3435
Machico,5199,7675,9919,13928,2340,5349,2275,1493,1115,105
Ponta do Sol,4304,6607,9152,13140,1161,1732,660,424,363,48
Porto Moniz,//,//,//,//,//,//,//,//,//,//
Ribeira Brava,4904,7464,9550,13415,1442,2915,1196,753,563,55
Santa Cruz,5982,9150,11969,17243,3909,8755,5558,4507,3676,605
Santana,4561,6658,9088,12120,980,1728,653,367,243,31
São Vicente,4538,6806,9151,13340,//,//,//,//,//,//
Porto Santo,6685,9341,12144,18198,446,1404,914,621,622,123
