,"Quintiles of gross reported income less personal income paid tax by tax household, 1st quintile, €","Quintiles of gross reported income less personal income paid tax by tax household, 2nd quintile, €","Quintiles of gross reported income less personal income paid tax by tax household, 3rd quintile, €","Quintiles of gross reported income less personal income paid tax by tax household, 4th quintile, €","Distribution of the number of tax households by gross reported income less personal income paid tax class, Less than  5 000 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, From 5 000 to less than 10 000 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, From 10 000 to less than 13 500 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, From  13 500 to less than  19 000 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, From  19 000 to less than  32 500 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, 32 500 € or more, No."
Sabugal,6471,9170,12237,18823,671,1639,918,751,733,238
Seia,7200,9300,12621,19535,1001,3916,1922,1675,1651,625
Trancoso,6605,8891,11826,18984,464,1460,614,540,539,227
A. M. Lisboa,7783,11068,16773,27373,152986,370372,232943,232673,305754,218607
Alcochete,8400,11649,18104,30575,781,2119,1346,1394,1810,1647
Almada,7671,10950,16361,26376,9581,22754,14713,14431,18694,12117
Amadora,7298,10242,14843,23792,10034,25560,15396,14486,17192,9500
Barreiro,8161,11107,15919,24262,3733,10215,7300,7252,8642,4318
Cascais,7667,11352,18069,30526,11538,25847,15312,15749,22073,19822
Lisboa,7597,11572,18629,32500,34104,71976,42283,44521,61108,63498
Loures,7882,10762,15776,25334,10068,27331,17382,16703,20793,12501
Mafra,7787,10970,16981,27952,4025,10431,5939,5992,8319,6109
Moita,7565,10281,14394,22069,3387,9198,6064,5625,6283,2471
Montijo,7337,10386,15647,25238,2980,7341,4196,4091,5370,3217
Odivelas,7604,10698,15978,25634,8156,20570,12287,12398,16117,9517
Oeiras,8597,13295,21093,34152,7504,17695,12112,13544,20875,20072
Palmela,7702,10836,16073,25853,3221,8298,5146,5185,6583,4022
Seixal,8045,11211,16543,25734,8006,20026,13636,13738,18239,9845
Sesimbra,7923,11248,16841,25980,2469,6247,4155,4183,5883,3058
Setúbal,7839,11053,16448,26255,6330,15185,10058,10018,12989,7980
Sintra,7571,10466,15092,24171,21144,53046,33865,31510,38831,20609
Vila Franca de Xira,8400,11490,16896,26092,5925,16533,11753,11853,15953,8304
Alentejo,7417,9853,13874,22079,36265,111246,64018,55508,64170,29693
Alentejo Litoral,6600,9168,12969,21480,6643,17040,8614,7243,8117,4511
Alcácer do Sal,7393,9741,13290,20353,566,1874,1084,969,949,370
Grândola,7037,9541,13366,21251,747,2088,1177,1017,1115,494
Odemira,5214,8124,10037,15493,3374,7305,2828,1800,1879,698
Santiago do Cacém,7785,10722,15984,26106,1276,3861,2295,2222,2748,1921
Sines,8021,10898,16155,26589,680,1912,1230,1235,1426,1028
