,"Gross reported income per inhabitant, €","Personal income paid tax per inhabitant, €","Gross reported income less personal income paid tax per inhabitant, €","Gross reported income per tax household, €","Median value of gross reported income per tax household, €","Personal income paid tax per tax household, €","Gross reported income less personal income paid tax per tax household, €"
Carregal do Sal,6571,551,6020,15392,11087,1292,14100
Castro Daire,5547,371,5176,13153,9705,881,12272
Mangualde,7621,682,6939,16603,12222,1486,15117
Nelas,7972,726,7246,16632,11878,1515,15117
Oliveira de Frades,7017,541,6476,15212,11348,1173,14038
Penalva do Castelo,6169,414,5755,14068,10507,944,13124
Santa Comba Dão,7741,652,7089,15742,11502,1325,14416
São Pedro do Sul,6743,560,6182,15009,10716,1248,13761
Sátão,6327,499,5827,14729,10601,1162,13566
Tondela,7434,650,6783,16150,11982,1413,14737
Vila Nova de Paiva,5751,468,5283,14778,10542,1202,13576
Viseu,9560,1152,8407,20161,13522,2430,17730
Vouzela,6810,530,6279,15039,11183,1171,13868
Beira Baixa,8764,913,7851,17549,12266,1828,15721
Castelo Branco,9642,1098,8544,19018,13165,2165,16853
Idanha-a-Nova,7477,574,6903,14365,10587,1103,13262
Oleiros,6686,501,6185,14386,10414,1078,13308
Penamacor,6471,503,5968,14156,10759,1100,13056
Proença-a-Nova,7013,603,6410,15157,10933,1303,13855
Vila Velha de Ródão,8442,734,7709,16077,12372,1397,14680
Médio Tejo,8410,814,7595,16988,12117,1645,15343
Abrantes,8541,837,7704,17115,12094,1677,15438
Alcanena,7928,634,7294,15085,11267,1206,13879
Constância,8766,834,7932,17953,13283,1709,16244
Entroncamento,9967,1186,8781,21257,15712,2529,18728
Ferreira do Zêzere,6697,444,6254,14091,10900,933,13158
Mação,7619,626,6994,15135,11165,1243,13892
Ourém,7852,687,7166,15894,11635,1390,14504
Sardoal,7854,696,7158,15468,11105,1370,14097
Sertã,6611,492,6120,13991,10102,1041,12950
Tomar,8772,932,7839,17258,11965,1835,15424
Torres Novas,9137,948,8189,18213,12917,1890,16323
Vila de Rei,6549,411,6138,14418,11089,904,13514
Vila Nova da Barquinha,9185,916,8269,19098,14236,1905,17193
Beiras e Serra da Estrela,7888,743,7145,16343,11487,1539,14803
Almeida,7888,685,7202,15408,11822,1339,14069
Belmonte,6859,535,6324,15137,11153,1180,13958
Celorico da Beira,6359,475,5884,14723,10968,1100,13623
Covilhã,8589,853,7735,17001,11731,1689,15312
Figueira de Castelo Rodrigo,6421,501,5920,14025,9867,1093,12932
Fornos de Algodres,5839,456,5383,14390,10797,1124,13266
Fundão,7588,662,6926,15532,11278,1354,14177
Gouveia,6917,564,6353,14850,10542,1212,13638
Guarda,9838,1150,8688,19829,13765,2319,17510
Manteigas,7288,544,6744,14256,10513,1063,13192
Mêda,6502,545,5957,14256,10393,1195,13061
Pinhel,6835,536,6299,14150,10240,1109,13041
Sabugal,6701,522,6179,14439,10875,1125,13315
Seia,7409,613,6796,15329,10943,1269,14060
Trancoso,6353,522,5831,14727,10282,1210,13517
A. M. Lisboa,11999,1874,10126,22636,14394,3535,19101
Alcochete,11616,1858,9759,25086,15413,4012,21075
Almada,11594,1656,9939,21233,14086,3032,18201
Amadora,9399,1122,8277,18654,12812,2226,16427
Barreiro,10583,1218,9365,19216,13943,2211,17005
Cascais,13532,2542,10990,26127,15331,4908,21219
