,Total de despesas em atividades e equipamentos desportivos (Euros),"Despesas correntes , Total (Euros)","Despesas correntes , das quais, Atividades desportivas  (Euros)","Despesas correntes , das quais, Associações desportivas (Euros)","Despesas correntes , das quais, Construção e manutenção de infraestruturas desportivas (Euros)","Despesas de capital, Total, Construção e manutenção de infraestruturas desportivas (Euros)","Despesas de capital, das quais, Atividades desportivas  (Euros)","Despesas de capital, das quais, Associações desportivas (Euros)","Despesas de capital, das quais, Construção e manutenção de infraestruturas desportivas (Euros)"
Alcácer do Sal,1011799,868617,45526,158100,664991,143182,0,48580,94602
Grândola,995158,934550,625694,145183,163673,60608,60608,0,0
Odemira,444292,444292,155039,289253,0,0,0,0,0
Santiago do Cacém,1117802,955429,493295,267464,194670,162373,0,109614,52759
Sines,701616,667484,469250,150712,47522,34132,0,0,27044
Baixo Alentejo,6100972,4316574,1105343,1391810,1005534,1784398,0,176087,838188
Aljustrel,849064,667944,3077,143044,482036,181120,0,0,175501
Almodôvar,315753,315753,156085,130007,29661,0,0,0,0
Alvito,202381,201161,24201,176960,0,1220,0,236,0
Barrancos,90200,82300,40800,41500,0,7900,0,0,0
Beja,1161209,636003,77635,265287,145134,525206,0,0,144879
Castro Verde,892795,399479,121881,162831,50787,493316,0,39785,396982
Cuba,209026,181837,136746,34625,2041,27189,0,4750,7901
Ferreira do Alentejo,70443,70443,0,15870,30883,0,0,0,0
Mértola,348927,293079,173313,95695,18021,55848,0,15923,34664
Moura,686099,360050,107633,102799,0,326049,0,115393,1716
Ourique,132661,132661,86049,39800,6812,0,0,0,0
Serpa,706781,558414,112614,139592,150360,148367,0,0,76545
Vidigueira,435633,417450,65309,43800,89799,18183,0,0,0
Lezíria do Tejo,8342503,7017613,1958986,1659104,2940973,1324890,103100,75480,693720
Almeirim,1284597,935638,0,315445,543849,348959,0,0,316721
Alpiarça,299003,278636,58818,23804,196014,20367,0,9586,10781
Azambuja,589417,416006,231718,27341,148418,173411,0,0,63187
Benavente,1159483,1159483,20200,437906,701377,0,0,0,0
Cartaxo,576970,527785,66609,0,335989,49185,0,0,41416
Chamusca,244669,166213,108215,57998,0,78456,0,36324,31022
Coruche,671776,250536,108715,141821,0,421240,103100,17300,171473
Golegã,99075,71511,23773,47738,0,27564,0,0,27564
Rio Maior,1694246,1549446,188609,147019,1012883,144800,0,0,1808
Salvaterra de Magos,500968,478024,351865,97169,0,22944,0,12270,0
Santarém,1222299,1184335,800464,362863,2443,37964,0,0,29748
Alto Alentejo,4793174,3547097,1664441,1096185,382570,1246077,35916,12000,780774
Alter do Chão,506004,112002,0,14812,69456,394002,0,0,335394
Arronches,225532,93169,5369,87800,0,132363,0,0,125739
Avis,176694,174694,108803,58035,1079,2000,0,2000,0
Campo Maior,262000,262000,260000,2000,0,0,0,0,0
Castelo de Vide,425545,371340,144633,18450,107023,54205,0,0,36905
Crato,525349,168795,87485,81310,0,356554,0,0,204631
Elvas,218264,194191,9480,153300,0,24073,0,10000,0
Fronteira,69369,39696,6070,32000,0,29673,0,0,29673
Gavião,79450,40450,0,40450,0,39000,0,0,0
Marvão,15238,15238,15238,0,0,0,0,0,0
Monforte,232158,232158,199493,32665,0,0,0,0,0
Nisa,378099,305412,48961,26510,37152,72687,35916,0,0
Ponte de Sor,886891,880687,481834,398853,0,6204,0,0,698
Portalegre,505464,392860,274579,110000,0,112604,0,0,25022
Sousel,287117,264405,22496,40000,167860,22712,0,0,22712
Alentejo Central,6620717,4773190,1371160,1276350,1194199,1847527,297753,69917,130886
Alandroal,183114,183114,152223,0,0,0,0,0,0
Arraiolos,663944,244518,149833,76285,2986,419426,0,14409,6959
Borba,104629,104048,42650,115,61010,581,0,0,0
Estremoz,286887,263379,158242,98507,6630,23508,0,23508,0
Évora,1096689,787203,223669,49859,44366,309486,196,0,0
Montemor-o-Novo,818224,802639,449495,305020,24111,15585,0,5000,0
Mora,213019,127746,79935,6971,10364,85273,0,0,0
Mourão,306326,294089,0,0,219600,12237,0,0,5020
Portel,1155854,450805,74641,97130,155065,705049,297557,0,3739
Redondo,239507,239507,0,208406,13245,0,0,0,0
Reguengos de Monsaraz,935513,820345,8296,215661,596388,115168,0,0,115168
Vendas Novas,161558,134410,28613,52180,2055,27148,0,0,0
Viana do Alentejo,266487,238409,2511,120765,58379,28078,0,27000,0
Vila Viçosa,188966,82978,1052,45451,0,105988,0,0,0
Algarve,25107790,18447264,4969809,4352186,7086671,6660526,125106,502357,2735715
Albufeira,3258318,2633874,702168,1061278,465624,624444,0,0,28986
Alcoutim,356112,277187,44526,39304,173565,78925,0,78925,0
Aljezur,292072,287155,19326,41833,206853,4917,0,0,4917
Castro Marim,104469,104469,0,0,0,0,0,0,0
Faro,2053638,1830002,22500,497431,1111555,223636,0,201754,5228
Lagoa,2191256,1721746,594982,287396,635916,469510,35667,32500,254417
Lagos,3060041,2929505,950080,615143,1166433,130536,0,0,42298
Loulé,5248010,3284267,56771,720047,1884782,1963743,0,0,9180
Monchique,228523,228523,191474,37049,0,0,0,0,0
Olhão,1216263,667544,414808,252736,0,548719,0,114873,91962
Portimão,799303,257782,257782,0,0,541521,73920,0,467601
São Brás de Alportel,694876,657837,544984,112853,0,37039,0,7044,14575
Silves,2003756,1409089,1100947,241722,35962,594667,11404,19237,511368
Tavira,2046079,748070,13132,425040,245349,1298009,0,0,1269740
Vila do Bispo,80794,76679,56325,20354,0,4115,4115,0,0
Vila Real de Santo António,1474280,1333535,4,0,1160632,140745,0,48024,35443
R. A. Açores,5976965,4129889,400760,2007747,390125,1847076,59000,376250,211438
Santa Maria,343267,263267,85446,53242,10519,80000,0,80000,0
Vila do Porto,343267,263267,85446,53242,10519,80000,0,80000,0
São Miguel,3136032,2152015,204958,647596,226826,984017,59000,5000,8685
Lagoa (R.A.A.),128190,128190,0,128190,0,0,0,0,0
Nordeste,124725,124725,0,61300,0,0,0,0,0
Ponta Delgada,1729874,1729874,75975,458106,226826,0,0,0,0
Povoação,88700,29700,29700,0,0,59000,59000,0,0
Ribeira Grande,965260,40243,0,0,0,925017,0,5000,8685
Vila Franca do Campo,99283,99283,99283,0,0,0,0,0,0
Terceira,1214225,800214,59346,668489,44755,414011,0,30200,163807
Angra do Heroísmo,979591,587115,20650,494086,44755,392476,0,30200,163807
Vila da Praia da Vitória,234634,213099,38696,174403,0,21535,0,0,0
Graciosa,273434,222085,0,163144,17665,51349,0,0,30665
Santa Cruz da Graciosa,273434,222085,0,163144,17665,51349,0,0,30665
São Jorge,78105,78105,38508,39597,0,0,0,0,0
Calheta (R.A.A.),20589,20589,0,20589,0,0,0,0,0
Velas,57516,57516,38508,19008,0,0,0,0,0
Pico,389055,208886,12266,195390,0,180169,0,174600,0
Lajes do Pico,123568,5368,3368,2000,0,118200,0,118200,0
Madalena,92669,87100,0,87100,0,5569,0,0,0
São Roque do Pico,172818,116418,8898,106290,0,56400,0,56400,0
Faial,483640,346110,236,188189,83253,137530,0,86450,8281
Horta,483640,346110,236,188189,83253,137530,0,86450,8281
Flores,58707,58707,0,52100,6607,0,0,0,0
Lajes das Flores,21038,21038,0,15100,5938,0,0,0,0
Santa Cruz das Flores,37669,37669,0,37000,669,0,0,0,0
Corvo,500,500,0,0,500,0,0,0,0
Corvo,500,500,0,0,500,0,0,0,0
R. A. Madeira,2506830,2378490,1078329,914973,9001,128340,0,6900,114050
Calheta (R.A.M.),201838,200832,0,200832,0,1006,0,0,0
Câmara de Lobos,217265,209474,44644,161836,542,7791,0,6900,891
Funchal,893671,893671,661674,0,0,0,0,0,0
Machico,316318,309934,3624,164078,494,6384,0,0,0
Ponta do Sol,278661,222027,113062,101000,7965,56634,0,0,56634
Porto Moniz,171520,171520,95280,76240,0,0,0,0,0
Ribeira Brava,165995,109470,109470,0,0,56525,0,0,56525
Santa Cruz,65670,65670,42285,23385,0,0,0,0,0
Santana,83692,83692,0,83692,0,0,0,0,0
São Vicente,92825,92825,7915,84910,0,0,0,0,0
Porto Santo,19375,19375,375,19000,0,0,0,0,0
