,"Taxa quinquenal de mortalidade 
infantil (2015/2019),  ‰, 2019 (‰)","Taxa quinquenal de mortalidade 
neonatal (2015/2019),  ‰, 2019 (‰)","Taxa de mortalidade por doenças do aparelho circulatório,  ‰, 2019 (‰)","Taxa de mortalidade por tumores malignos,  ‰, 2019 (‰)"
Vila Nova de Poiares,0,0,4,3.5
Região de Leiria,2.8,1.6,3.1,2.8
Alvaiázere,0,0,6.2,3.8
Ansião,0,0,5.1,3.6
Batalha,1.6,1.6,2.3,2.1
Castanheira de Pêra,20.8,20.8,6.1,4.6
Figueiró dos Vinhos,5.7,0,6.3,4.8
Leiria,3.3,1.7,2.3,2.3
Marinha Grande,2.6,1.9,2.4,2.9
Pedrógão Grande,0,0,5.8,5
Pombal,2.3,1.2,4.6,3
Porto de Mós,2.3,2.3,2.8,2.9
Viseu Dão Lafões,2.2,1,3.9,3.1
Aguiar da Beira,0,0,10.6,7.5
Carregal do Sal,0,0,4.2,2.6
Castro Daire,0,0,5.2,3.3
Mangualde,1.6,1.6,4.1,3.9
Nelas,0,0,4.1,2.5
Oliveira de Frades,2.8,0,4.5,2.4
Penalva do Castelo,5.1,5.1,3.9,2.8
Santa Comba Dão,0,0,4.8,3.3
São Pedro do Sul,0,0,5,2.3
Sátão,2.9,0,3.6,3.1
Tondela,2.7,2.7,4.5,3.2
Vila Nova de Paiva,0,0,7,3.2
Viseu,3,1.3,2.8,2.8
Vouzela,3.5,0,3.4,4
Beira Baixa,2.8,1.2,4.9,3.9
Castelo Branco,3.2,1.6,4,3.3
Idanha-a-Nova,0,0,7.2,4.9
Oleiros,0,0,4.4,5
Penamacor,11.6,0,7.5,7.3
Proença-a-Nova,0,0,6.5,4.1
Vila Velha de Ródão,0,0,7.3,4.1
Médio Tejo,2.6,1.7,4.6,3.4
Abrantes,6.6,2.8,4.8,3.9
Alcanena,2.3,2.3,4.6,4
Constância,0,0,4.2,1.5
Entroncamento,0,0,3,2.2
Ferreira do Zêzere,4.4,0,4.9,3.9
Mação,0,0,7.8,4
Ourém,3.2,3.2,4.1,2.9
Sardoal,0,0,4.8,3.2
Sertã,7.1,2.4,4.9,3.2
Tomar,1.8,1.8,4.7,3.6
Torres Novas,0.8,0.8,4.6,3.6
Vila de Rei,0,0,9.9,2.7
Vila Nova da Barquinha,0,0,4.7,4.4
