,"Local do parto, Total (N.º)","Local do parto, Domicílio (N.º)","Local do parto, Estabelecimento hospitalar (N.º)","Local do parto, Outro local (N.º)"
Portugal,83520,1095,81068,1357
Continente,79599,1056,77221,1322
Norte,26539,440,25717,382
Alto Minho,1476,27,1427,22
Arcos de Valdevez,108,2,105,1
Caminha,100,1,98,1
Melgaço,30,0,28,2
Monção,89,0,89,0
Paredes de Coura,55,0,54,1
Ponte da Barca,66,4,62,0
Ponte de Lima,289,7,274,8
Valença,72,2,70,0
Viana do Castelo,612,7,598,7
Vila Nova de Cerveira,55,4,49,2
Cávado,3314,27,3225,62
Amares,142,1,139,2
Barcelos,845,3,824,18
Braga,1675,14,1633,28
Esposende,258,3,247,8
Terras de Bouro,39,2,34,3
Vila Verde,355,4,348,3
Ave,3213,39,3083,91
Cabeceiras de Basto,110,5,104,1
Fafe,337,4,330,3
Guimarães,1260,19,1202,39
Mondim de Basto,29,0,29,0
Póvoa de Lanhoso,155,3,147,5
Vieira do Minho,74,0,73,1
Vila Nova de Famalicão,1052,4,1012,36
Vizela,196,4,186,6
A. M. Porto,13440,243,13046,151
Arouca,157,2,153,2
Espinho,211,6,203,2
Gondomar,1270,16,1243,11
Maia,1045,26,1007,12
Matosinhos,1359,22,1305,32
Oliveira de Azeméis,456,9,443,4
Paredes,680,11,658,11
Porto,1910,52,1845,13
Póvoa de Varzim,523,3,514,6
Santa Maria da Feira,1013,21,989,3
Santo Tirso,432,4,418,10
São João da Madeira,154,5,148,1
Trofa,318,7,307,4
Vale de Cambra,148,5,139,4
Valongo,769,21,747,1
Vila do Conde,630,6,617,7
Vila Nova de Gaia,2365,27,2310,28
Alto Tâmega,470,6,458,6
Boticas,19,0,19,0
Chaves,237,4,230,3
Montalegre,40,1,39,0
Ribeira de Pena,36,0,36,0
Valpaços,82,0,80,2
Vila Pouca de Aguiar,56,1,54,1
Tâmega e Sousa,2947,83,2832,32
Amarante,345,3,337,5
Baião,116,11,105,0
Castelo de Paiva,85,13,71,1
Celorico de Basto,99,2,95,2
Cinfães,107,5,102,0
Felgueiras,419,8,406,5
Lousada,371,6,359,6
Marco de Canaveses,363,9,352,2
Paços de Ferreira,431,14,413,4
Penafiel,542,8,529,5
Resende,69,4,63,2
Douro,1078,8,1057,13
Alijó,51,0,51,0
Armamar,33,0,33,0
Carrazeda de Ansiães,21,0,21,0
Freixo de Espada à Cinta,18,0,17,1
Lamego,137,3,132,2
Mesão Frio,26,0,24,2
Moimenta da Beira,59,1,57,1
Murça,28,0,28,0
Penedono,13,0,13,0
Peso da Régua,102,0,102,0
Sabrosa,22,0,22,0
Santa Marta de Penaguião,31,0,31,0
São João da Pesqueira,36,0,35,1
