,"Abono de família para crianças e jovens, Beneficiárias/os, N.º","Abono de família para crianças e jovens, Descendentes ou equiparadas/os, N.º","Abono de família para crianças e jovens, Valor processado, milhares de euros","Subsídio por assistência de 3ª pessoa, Beneficiárias/os, N.º","Subsídio por assistência de 3ª pessoa, Descendentes ou equiparadas/os, N.º","Subsídio por assistência de 3ª pessoa, Valor processado, milhares de euros"," Subsídio de funeral , Beneficiárias/os, N.º"," Subsídio de funeral , Valor processado, milhares de euros"
Ílhavo,2917,4404,2737,32,33,45,38,8
Murtosa,905,1411,834,14,14,18,14,3
Oliveira do Bairro,1926,2905,1731,15,16,19,17,4
Ovar,4082,5920,3512,55,55,71,46,11
Sever do Vouga,692,1053,603,6,6,8,12,3
Vagos,1845,2823,1687,13,13,17,25,5
Região de Coimbra,27193,39288,22245,387,403,520,386,86
Arganil,793,1140,640,10,10,11,11,2
Cantanhede,2159,3091,1705,29,31,41,27,6
Coimbra,7530,10954,6356,112,119,150,80,18
Condeixa-a-Nova,1041,1490,800,17,18,25,6,1
Figueira da Foz,3857,5625,3351,56,57,74,77,17
Góis,246,356,191,4,4,5,4,1
Lousã,1334,1958,1119,23,23,34,12,3
Mealhada,1265,1798,1022,14,14,19,18,4
Mira,760,1127,661,4,4,5,19,4
Miranda do Corvo,812,1144,629,15,15,20,18,4
Montemor-o-Velho,1571,2190,1201,18,20,26,28,6
Mortágua,559,812,433,10,10,13,12,3
Oliveira do Hospital,1516,2198,1239,16,16,22,9,2
Pampilhosa da Serra,182,267,141,...,...,...,13,3
Penacova,826,1162,584,10,10,13,20,4
Penela,332,482,247,...,...,...,...,...
Soure,951,1370,728,17,20,23,19,4
Tábua,911,1349,769,19,19,23,8,2
Vila Nova de Poiares,548,775,426,9,9,12,...,...
Região de Leiria,20253,30464,17638,325,334,434,216,48
Alvaiázere,402,602,340,4,4,5,6,2
Ansião,743,1135,664,17,17,22,17,4
Batalha,1190,1837,1024,18,18,24,8,2
Castanheira de Pêra,160,241,133,5,6,8,0,0
Figueiró dos Vinhos,350,506,323,...,...,...,...,...
Leiria,8994,13445,7787,145,148,191,100,22
Marinha Grande,2954,4281,2621,62,63,81,14,3
Pedrógão Grande,245,339,201,...,...,...,...,...
Pombal,3457,5348,2992,47,50,66,48,11
Porto de Mós,1758,2730,1553,21,22,28,16,4
Viseu Dão Lafões,18619,27608,15859,190,191,242,258,58
Aguiar da Beira,280,435,232,3,3,4,...,...
Carregal do Sal,681,1023,599,3,3,4,...,...
Castro Daire,1050,1557,868,11,11,15,11,2
Mangualde,1352,2013,1164,7,7,8,26,6
Nelas,930,1395,764,6,6,6,17,4
Oliveira de Frades,774,1158,665,7,7,9,4,1
Penalva do Castelo,514,797,433,6,6,7,12,3
Santa Comba Dão,750,1131,644,14,14,18,6,1
São Pedro do Sul,1110,1681,998,15,14,18,18,4
Sátão,815,1210,683,5,5,7,13,3
Tondela,1732,2506,1376,17,18,24,32,8
Vila Nova de Paiva,301,475,255,5,5,7,8,2
Viseu,7653,11239,6623,87,88,113,100,22
Vouzela,677,988,554,4,4,4,6,1
Beira Baixa,5364,8020,4824,65,66,83,82,18
Castelo Branco,3839,5689,3407,47,48,63,56,13
Idanha-a-Nova,553,837,534,6,6,7,7,2
Oleiros,183,266,134,5,5,6,...,...
Penamacor,225,340,225,3,3,3,8,2
Proença-a-Nova,366,590,338,4,4,4,5,1
Vila Velha de Ródão,198,298,184,0,0,0,...,...
Médio Tejo,16374,25199,15141,289,293,379,284,63
Abrantes,2346,3469,2120,44,44,59,42,9
Alcanena,984,1545,915,8,8,9,14,3
Constância,278,401,231,3,3,4,4,1
Entroncamento,1675,2603,1739,38,39,47,28,6
Ferreira do Zêzere,594,938,519,7,7,9,...,...
Mação,329,511,298,10,10,13,9,2
Ourém,3256,5215,2964,48,49,65,76,17
Sardoal,231,344,189,5,5,7,...,...
Sertã,1134,1758,1020,18,18,23,13,3
Tomar,2420,3656,2236,54,55,72,41,9
Torres Novas,2430,3649,2212,44,45,59,37,8
Vila de Rei,223,373,224,4,4,4,6,1
Vila Nova da Barquinha,474,737,476,6,6,7,9,2
Beiras e Serra da Estrela,14035,20827,11869,211,215,279,147,32
Almeida,272,395,215,5,5,6,...,...
Belmonte,458,674,385,9,9,11,6,1
Celorico da Beira,438,663,369,9,9,12,4,1
Covilhã,3344,4902,2853,44,45,57,42,9
Figueira de Castelo Rodrigo,375,572,331,4,4,6,6,1
Fornos de Algodres,285,434,264,...,...,...,3,1
Fundão,1884,2832,1597,35,36,49,42,9
Gouveia,773,1158,683,6,6,8,3,1
Guarda,2734,4023,2274,49,51,67,15,3
Manteigas,166,233,146,...,...,...,0,0
Mêda,298,457,246,5,5,7,...,...
Pinhel,486,705,368,7,7,9,6,1
Sabugal,566,859,494,8,8,10,...,...
Seia,1432,2117,1202,18,18,23,12,3
Trancoso,524,803,441,8,8,10,4,1
A. M. Lisboa,219184,329641,225989,3261,3348,4283,1827,419
Alcochete,1246,1874,1139,18,19,24,9,2
Almada,14059,21039,14746,172,175,222,107,25
Amadora,15392,23058,17098,281,294,370,100,22
Barreiro,6301,9344,6493,84,86,112,63,14
Cascais,13726,20648,13568,232,233,308,151,35
Lisboa,29656,46159,33407,602,630,803,349,89
Loures,17060,25802,17934,243,247,318,125,28
