,"Valores processados, HM, milhares de euros","Valores processados, H, milhares de euros","Valores processados, M, milhares de euros","Dias processados, HM, N.º","Dias processados, H, N.º","Dias processados, M, N.º"
Alto Alentejo,10736,4689,6047,645227,266374,378853
Alter do Chão,324,164,160,19421,9478,9943
Arronches,176,76,101,10493,4603,5890
Avis,437,134,303,27734,7652,20082
Campo Maior,1149,557,593,64788,29776,35012
Castelo de Vide,234,112,123,13364,6387,6977
Crato,246,96,150,15239,5747,9492
Elvas,2347,998,1349,138900,55959,82941
Fronteira,345,139,205,21016,7782,13234
Gavião,271,150,121,15205,7988,7217
Marvão,216,112,103,13313,6676,6637
Monforte,196,91,106,12755,5540,7215
Nisa,432,210,222,26934,12897,14037
Ponte de Sor,1772,759,1013,109126,42815,66311
Portalegre,2069,902,1167,123362,51966,71396
Sousel,521,189,332,33577,11108,22469
Alentejo Central,14434,6176,8259,823726,319854,503872
Alandroal,407,169,238,24681,8873,15808
Arraiolos,545,227,317,31066,11927,19139
Borba,579,205,374,36666,11667,24999
Estremoz,875,404,470,49547,21098,28449
Évora,5727,2628,3099,312807,131469,181338
Montemor-o-Novo,1041,470,571,58167,24021,34146
Mora,318,114,204,18711,5988,12723
Mourão,305,146,159,18554,8776,9778
Portel,767,291,476,47577,16467,31110
Redondo,626,199,427,38504,11986,26518
Reguengos de Monsaraz,1311,539,772,76700,27797,48903
Vendas Novas,925,397,527,51399,19617,31782
Viana do Alentejo,461,182,279,28147,10085,18062
Vila Viçosa,548,203,345,31200,10083,21117
Algarve,90313,39785,50527,5396606,2276069,3120537
Albufeira,17017,7762,9254,1035364,457382,577982
Alcoutim,133,69,65,7157,3167,3990
Aljezur,588,274,314,37167,16929,20238
Castro Marim,887,445,442,54279,25584,28695
Faro,10409,4806,5603,587598,258834,328764
Lagoa,4845,2063,2782,295389,122476,172913
Lagos,5770,2450,3321,352914,143747,209167
Loulé,14680,6420,8260,853739,358297,495442
Monchique,492,193,300,31346,11761,19585
Olhão,5644,2366,3278,334267,130528,203739
Portimão,13413,5959,7454,817492,344373,473119
São Brás de Alportel,1262,515,747,68446,26913,41533
Silves,7644,3237,4407,457029,186402,270627
Tavira,3309,1400,1909,201565,81374,120191
Vila do Bispo,988,441,548,59899,25853,34046
Vila Real de Santo António,3231,1386,1845,202955,82449,120506
R. A. Açores,23284,11897,11387,1437915,723850,714065
Santa Maria,561,243,319,36570,15421,21149
Vila do Porto,561,243,319,36570,15421,21149
São Miguel,13972,7257,6715,868060,448188,419872
Lagoa (R.A.A.),1532,880,651,96590,55426,41164
Nordeste,840,435,405,57720,30249,27471
Ponta Delgada,6121,3024,3097,359337,175815,183522
Povoação,1035,520,515,71657,35978,35679
Ribeira Grande,3286,1812,1474,210993,115149,95844
Vila Franca do Campo,1158,586,572,71763,35571,36192
Terceira,4555,2415,2140,266515,135462,131053
Angra do Heroísmo,3084,1660,1424,179051,93459,85592
Vila da Praia da Vitória,1471,756,715,87464,42003,45461
Graciosa,440,198,242,30294,13530,16764
Santa Cruz da Graciosa,440,198,242,30294,13530,16764
São Jorge,723,405,318,47280,26559,20721
Calheta (R.A.A.),223,141,82,14684,9364,5320
Velas,500,264,236,32596,17195,15401
Pico,1326,555,771,83489,34368,49121
Lajes do Pico,462,205,256,30336,13146,17190
Madalena,566,228,338,34556,13159,21397
São Roque do Pico,298,122,176,18597,8063,10534
Faial,1275,667,608,76552,39123,37429
Horta,1275,667,608,76552,39123,37429
Flores,390,141,250,26297,10167,16130
