,Total (N.º),"Sexo, H, Total (N.º)","Sexo, H, Novos beneficiários (N.º)","Sexo, M, Total (N.º)","Sexo, M, Novas beneficiárias (N.º)","Idade, Menos de 25 anos, Novas beneficiárias (N.º)","Idade, 25-29 anos, Novas beneficiárias (N.º)","Idade, 30-39
 anos, Novas beneficiárias (N.º)","Idade, 40-49 anos, Novas beneficiárias (N.º)","Idade, 50-54 anos, Novas beneficiárias (N.º)","Idade, 55 e mais anos, Novas beneficiárias (N.º)"
Portugal,352415,153090,73024,199325,91808,19486,38011,82340,87480,38531,86567
Continente,331324,142545,69001,188779,87589,18211,35312,77082,82343,35975,82401
Norte,129015,56283,26545,72732,33512,6871,13115,28319,30795,14302,35613
Alto Minho,5754,2631,1318,3123,1586,349,637,1387,1413,625,1343
Arcos de Valdevez,326,136,54,190,109,14,31,83,77,38,83
Caminha,442,176,87,266,122,16,43,121,105,50,107
Melgaço,90,38,20,52,25,5,14,16,21,14,20
Monção,370,114,52,256,141,15,37,95,103,32,88
Paredes de Coura,298,132,63,166,93,37,32,68,73,30,58
Ponte da Barca,178,77,29,101,53,11,19,36,52,18,42
Ponte de Lima,834,396,194,438,212,53,90,188,209,88,206
Valença,431,186,105,245,116,36,55,112,89,54,85
Viana do Castelo,2526,1260,648,1266,657,145,286,604,619,274,598
Vila Nova de Cerveira,259,116,66,143,58,17,30,64,65,27,56
Cávado,11861,5018,2475,6843,3239,510,1258,2715,2911,1207,3260
Amares,508,182,87,326,151,29,60,115,122,57,125
Barcelos,2913,1391,711,1522,740,143,301,544,680,300,945
Braga,6163,2528,1244,3635,1685,258,635,1554,1561,621,1534
Esposende,866,346,162,520,242,29,82,195,213,95,252
Terras de Bouro,303,121,51,182,101,8,37,56,73,38,91
Vila Verde,1108,450,220,658,320,43,143,251,262,96,313
Ave,17073,6587,3169,10486,5044,870,1486,3369,3917,1971,5460
Cabeceiras de Basto,369,172,75,197,82,12,53,85,76,36,107
Fafe,2102,820,369,1282,583,79,174,396,512,229,712
Guimarães,7139,2726,1333,4413,2145,355,601,1380,1602,829,2372
Mondim de Basto,136,66,21,70,34,8,12,28,32,14,42
Póvoa de Lanhoso,721,307,144,414,222,39,68,149,172,81,212
Vieira do Minho,447,196,72,251,132,22,43,90,99,55,138
Vila Nova de Famalicão,5029,1932,980,3097,1454,305,442,1038,1177,586,1481
Vizela,1130,368,175,762,392,50,93,203,247,141,396
A. M. Porto,69582,31203,14759,38379,17252,3982,7157,15499,16723,7772,18449
Arouca,521,191,87,330,188,41,65,127,122,39,127
Espinho,1150,544,266,606,265,87,121,252,274,125,291
Gondomar,7169,3394,1510,3775,1569,461,786,1588,1724,795,1815
Maia,5280,2291,1077,2989,1411,277,490,1222,1374,615,1302
Matosinhos,7328,3580,1626,3748,1642,374,722,1632,1786,803,2011
Oliveira de Azeméis,2067,822,421,1245,689,155,200,451,458,220,583
Paredes,3237,1317,635,1920,867,228,329,696,759,350,875
Porto,8168,3961,1853,4207,1874,401,895,1983,1888,897,2104
Póvoa de Varzim,2496,1189,643,1307,593,126,218,573,649,276,654
Santa Maria da Feira,5249,2186,1070,3063,1517,321,543,1093,1218,599,1475
Santo Tirso,2911,1105,530,1806,781,133,251,569,641,321,996
São João da Madeira,1015,423,206,592,289,60,87,222,247,127,272
Trofa,1840,686,331,1154,552,120,185,373,423,215,524
Vale de Cambra,519,172,85,347,150,31,60,110,138,40,140
Valongo,4071,1759,866,2312,1032,239,452,991,983,409,997
Vila do Conde,3573,1681,880,1892,810,202,360,783,883,422,923
Vila Nova de Gaia,12988,5902,2673,7086,3023,726,1393,2834,3156,1519,3360
Alto Tâmega,1947,856,379,1091,459,78,213,429,475,221,531
Boticas,83,41,25,42,22,5,13,17,15,10,23
Chaves,1066,444,184,622,251,36,105,255,276,117,277
Montalegre,157,86,32,71,36,9,21,27,35,21,44
Ribeira de Pena,117,52,30,65,37,5,14,26,30,5,37
Valpaços,242,96,38,146,61,11,29,63,49,29,61
Vila Pouca de Aguiar,282,137,70,145,52,12,31,41,70,39,89
Tâmega e Sousa,14845,6232,2847,8613,4141,798,1496,3058,3419,1640,4434
Amarante,1830,881,419,949,440,81,174,359,463,209,544
Baião,548,294,133,254,131,26,53,127,113,55,174
Castelo de Paiva,460,208,97,252,103,29,44,98,91,68,130
Celorico de Basto,435,202,76,233,118,19,50,114,128,31,93
Cinfães,643,369,179,274,132,39,68,111,143,75,207
Felgueiras,2604,1030,464,1574,750,137,247,520,545,284,871
Lousada,1993,699,308,1294,734,124,211,391,503,193,571
Marco de Canaveses,1861,750,347,1111,519,91,167,394,447,237,525
Paços de Ferreira,1921,717,324,1204,596,103,183,388,412,218,617
Penafiel,2272,948,446,1324,570,137,254,494,507,242,638
Resende,278,134,54,144,48,12,45,62,67,28,64
Douro,5466,2673,1110,2793,1187,214,581,1228,1298,590,1555
Alijó,272,150,60,122,49,11,46,57,58,27,73
Armamar,137,65,30,72,36,8,11,34,33,11,40
Carrazeda de Ansiães,129,56,22,73,31,…,…,35,38,18,25
Freixo de Espada à Cinta,60,25,11,35,14,…,…,18,10,7,16
Lamego,1073,567,243,506,201,36,108,233,259,119,318
Mesão Frio,108,49,18,59,20,3,9,22,25,16,33
Moimenta da Beira,232,100,43,132,59,14,34,47,57,21,59
Murça,130,55,20,75,34,4,16,28,29,14,39
Penedono,42,12,4,30,13,3,4,15,10,4,6
Peso da Régua,482,262,90,220,84,12,38,97,100,58,177
Sabrosa,147,69,23,78,32,6,18,22,37,21,43
Santa Marta de Penaguião,236,116,37,120,53,3,21,43,53,28,88
São João da Pesqueira,118,60,27,58,26,7,16,22,23,16,34
Sernancelhe,95,38,18,57,31,5,14,25,13,7,31
Tabuaço,142,72,31,70,26,8,18,30,29,14,43
Tarouca,250,132,67,118,61,22,40,45,59,27,57
Torre de Moncorvo,187,82,36,105,51,8,23,47,42,24,43
Vila Nova de Foz Côa,115,53,20,62,30,5,7,22,30,12,39
Vila Real,1511,710,310,801,336,54,141,386,393,146,391
Terras de Trás-os-Montes,2487,1083,488,1404,604,70,287,634,639,276,581
