,"Abono de família para crianças e jovens, Beneficiárias/os, N.º","Abono de família para crianças e jovens, Descendentes ou equiparadas/os, N.º","Abono de família para crianças e jovens, Valor processado, milhares de euros","Subsídio por assistência de 3ª pessoa, Beneficiárias/os, N.º","Subsídio por assistência de 3ª pessoa, Descendentes ou equiparadas/os, N.º","Subsídio por assistência de 3ª pessoa, Valor processado, milhares de euros"," Subsídio de funeral , Beneficiárias/os, N.º"," Subsídio de funeral , Valor processado, milhares de euros"
Terceira,4101,6268,4248,93,95,123,56,12
Angra do Heroísmo,2618,4047,2712,64,66,86,42,9
Vila da Praia da Vitória,1483,2221,1536,29,29,37,14,3
Graciosa,342,557,367,…,…,…,8,2
Santa Cruz da Graciosa,342,557,367,…,…,…,8,2
São Jorge,638,983,624,17,17,22,19,4
Calheta (R.A.A.),257,419,251,10,10,13,7,2
Velas,381,564,373,7,7,9,12,3
Pico,1030,1545,1033,25,26,34,…,…
Lajes do Pico,307,476,291,3,3,4,…,…
Madalena,479,713,499,14,15,20,…,…
São Roque do Pico,244,356,242,8,8,10,0,0
Faial,1019,1567,976,29,30,37,13,3
Horta,1019,1567,976,29,30,37,13,3
Flores,233,381,248,…,…,…,…,…
Lajes das Flores,91,154,96,…,…,…,…,…
Santa Cruz das Flores,142,227,152,…,…,…,…,…
Corvo,29,45,26,0,0,0,…,…
Corvo,29,45,26,0,0,0,…,…
R. A. Madeira,19435,29611,19346,436,448,571,207,45
Calheta (R.A.M.),851,1366,864,15,15,19,14,3
Câmara de Lobos,3574,5708,3723,77,83,104,11,2
Funchal,6980,10393,6978,172,177,228,93,20
Machico,1543,2263,1428,51,52,65,9,2
Ponta do Sol,769,1219,722,7,7,9,11,2
Porto Moniz,145,229,131,4,4,5,4,1
Ribeira Brava,1153,1797,1120,29,29,38,8,2
Santa Cruz,3294,4966,3329,58,58,77,40,9
Santana,445,677,445,11,11,13,11,2
São Vicente,338,512,327,9,9,11,…,…
Porto Santo,343,481,278,3,3,4,…,…
