,"Total, N.º","Sexo, H, N.º","Sexo, M, N.º","Idade, Menos de 25 anos, N.º","Idade, 25-39 anos, N.º","Idade, 40-54 anos, N.º","Idade, 55 e mais anos, N.º","Valores processados, 55 e mais anos, milhares de euros"
Portugal,267403,129500,137903,109862,42918,60704,53919,316811
Continente,239341,115412,123929,97168,37237,54726,50210,288077
Norte,103329,49307,54022,38378,15581,25432,23938,125960
Alto Minho,2803,1428,1375,867,360,667,909,3586
Arcos de Valdevez,222,121,101,41,20,51,110,299
Caminha,168,95,73,32,15,41,80,220
Melgaço,68,37,31,13,…,…,35,84
Monção,175,85,90,34,8,46,87,206
Paredes de Coura,55,32,23,4,…,…,36,79
Ponte da Barca,127,62,65,25,17,28,57,140
Ponte de Lima,333,147,186,68,24,95,146,411
Valença,274,137,137,115,30,59,70,317
Viana do Castelo,1306,668,638,523,239,286,258,1718
Vila Nova de Cerveira,75,44,31,12,…,…,30,113
Cávado,3417,1692,1725,1282,521,799,815,4037
Amares,199,99,100,82,26,49,42,215
Barcelos,476,242,234,161,58,105,152,616
Braga,2228,1106,1122,846,364,533,485,2647
Esposende,121,50,71,31,11,30,49,156
Terras de Bouro,66,42,24,21,6,26,13,58
Vila Verde,327,153,174,141,56,56,74,344
Ave,4752,2437,2315,1664,563,1248,1277,5723
Cabeceiras de Basto,432,224,208,152,44,121,115,488
Fafe,586,280,306,208,67,152,159,732
Guimarães,1280,680,600,448,156,344,332,1478
Mondim de Basto,198,105,93,61,18,57,62,201
Póvoa de Lanhoso,271,132,139,65,21,75,110,364
Vieira do Minho,324,178,146,84,31,101,108,396
Vila Nova de Famalicão,1561,784,777,625,217,367,352,1941
Vizela,100,54,46,21,9,31,39,123
A. M. Porto,66554,31304,35250,25405,10388,16242,14519,82823
Arouca,267,128,139,65,17,66,119,329
Espinho,1272,584,688,439,203,316,314,1624
Gondomar,7292,3450,3842,2919,1206,1745,1422,8497
Maia,4100,1894,2206,1631,602,973,894,4984
Matosinhos,6684,3058,3626,2584,1078,1559,1463,8346
Oliveira de Azeméis,688,323,365,234,89,169,196,887
Paredes,2782,1331,1451,986,350,715,731,3334
Porto,16704,8022,8682,6421,2864,4027,3392,21705
Póvoa de Varzim,1170,593,577,364,167,294,345,1589
Santa Maria da Feira,2485,1187,1298,838,339,642,666,3165
Santo Tirso,1452,720,732,496,195,378,383,1915
São João da Madeira,380,158,222,146,51,89,94,431
Trofa,710,290,420,256,95,186,173,783
Vale de Cambra,209,95,114,45,22,53,89,313
Valongo,3968,1769,2199,1577,554,993,844,4761
Vila do Conde,1177,594,583,449,167,299,262,1402
Vila Nova de Gaia,15214,7108,8106,5955,2389,3738,3132,18757
Alto Tâmega,2740,1490,1250,805,376,667,892,3298
Boticas,105,56,49,24,9,23,49,117
Chaves,1148,616,532,379,177,260,332,1544
Montalegre,216,135,81,44,18,58,96,236
Ribeira de Pena,221,123,98,52,20,53,96,227
Valpaços,636,337,299,192,104,151,189,654
Vila Pouca de Aguiar,414,223,191,114,48,122,130,521
Tâmega e Sousa,13202,5910,7292,4814,1720,3373,3295,14909
Amarante,1890,805,1085,701,237,486,466,2176
Baião,941,389,552,353,122,253,213,957
Castelo de Paiva,358,172,186,124,42,107,85,362
