,"Total, Total (N.º)","Total, Pensionistas em  31 dez. (N.º)","Invalidez, Total (N.º)","Invalidez, Pensionistas em  31 dez. (N.º)","Velhice, Total (N.º)","Velhice, Pensionistas em  31 dez. (N.º)","Sobrevivência, Total (N.º)","Sobrevivência, Pensionistas em  31 dez. (N.º)"
Portugal,2994757,2859703,188069,182292,2068179,1984647,738509,692764
Continente,2874173,2744946,174169,168840,1996349,1916099,703655,660007
Norte,1027792,984161,69632,67454,709344,682674,248816,234033
Alto Minho,73171,69657,5235,5026,50196,48017,17740,16614
Arcos de Valdevez,7542,7144,485,466,5101,4847,1956,1831
Caminha,5297,5045,306,292,3700,3549,1291,1204
Melgaço,2502,2361,129,121,1830,1745,543,495
Monção,6062,5750,300,286,4270,4063,1492,1401
Paredes de Coura,2877,2746,238,235,1952,1869,687,642
Ponte da Barca,3833,3662,368,359,2512,2403,953,900
Ponte de Lima,12393,11795,1083,1050,8317,7951,2993,2794
Valença,4073,3886,230,218,2767,2653,1076,1015
Viana do Castelo,25684,24509,1929,1844,17775,17052,5980,5613
Vila Nova de Cerveira,2908,2759,167,155,1972,1885,769,719
Cávado,102630,98702,9326,9087,69955,67524,23349,22091
Amares,4820,4555,460,448,3191,3035,1169,1072
Barcelos,31478,30325,3231,3162,20938,20221,7309,6942
Braga,43082,41536,3494,3395,30328,29371,9260,8770
Esposende,8315,8001,773,748,5561,5368,1981,1885
Terras de Bouro,2459,2338,175,167,1639,1568,645,603
Vila Verde,12476,11947,1193,1167,8298,7961,2985,2819
Ave,123561,118809,11040,10727,84719,81826,27802,26256
Cabeceiras de Basto,4476,4285,421,409,2824,2706,1231,1170
Fafe,15204,14604,1784,1744,9922,9560,3498,3300
Guimarães,46474,44720,3961,3833,32635,31584,9878,9303
Mondim de Basto,2205,2088,190,185,1444,1364,571,539
Póvoa de Lanhoso,5617,5349,519,503,3675,3510,1423,1336
Vieira do Minho,4239,4044,365,359,2745,2626,1129,1059
Vila Nova de Famalicão,39051,37635,3250,3156,27047,26176,8754,8303
Vizela,6295,6084,550,538,4427,4300,1318,1246
A. M. Porto,499769,479478,28601,27629,352442,340105,118726,111744
Arouca,6561,6230,487,473,4508,4297,1566,1460
Espinho,11224,10784,526,510,8094,7821,2604,2453
Gondomar,46760,44898,2863,2773,32617,31517,11280,10608
Maia,33710,32377,1748,1694,23952,23151,8010,7532
Matosinhos,50450,48445,2534,2443,36025,34792,11891,11210
Oliveira de Azeméis,21009,20210,1151,1117,15055,14542,4803,4551
Paredes,17860,17147,1654,1596,11375,10975,4831,4576
Porto,75963,72423,3374,3247,53918,51721,18671,17455
Póvoa de Varzim,16255,15590,1037,998,11106,10699,4112,3893
Santa Maria da Feira,39881,38404,2631,2531,28272,27390,8978,8483
Santo Tirso,24974,24056,1489,1445,18043,17467,5442,5144
São João da Madeira,6727,6468,392,379,4813,4662,1522,1427
Trofa,10143,9823,710,691,7110,6921,2323,2211
Vale de Cambra,7625,7326,500,490,5370,5180,1755,1656
Valongo,24508,23587,1694,1647,16983,16435,5831,5505
Vila do Conde,22462,21475,1398,1351,15444,14848,5620,5276
Vila Nova de Gaia,83657,80235,4413,4244,59757,57687,19487,18304
Alto Tâmega,30253,28705,1539,1503,20481,19504,8233,7698
Boticas,2055,1918,117,115,1403,1313,535,490
Chaves,11466,10902,605,589,7805,7455,3056,2858
Montalegre,4045,3834,192,183,2707,2578,1146,1073
Ribeira de Pena,1964,1866,132,130,1289,1228,543,508
Valpaços,6229,5900,268,265,4221,4007,1740,1628
Vila Pouca de Aguiar,4494,4285,225,221,3056,2923,1213,1141
Tâmega e Sousa,101988,97397,8649,8411,66332,63565,27007,25421
Amarante,13256,12622,887,861,8701,8320,3668,3441
Baião,5686,5400,420,413,3600,3421,1666,1566
Castelo de Paiva,4571,4389,397,387,3005,2898,1169,1104
Celorico de Basto,5269,5007,485,475,3426,3267,1358,1265
Cinfães,6056,5683,324,307,4119,3881,1613,1495
Felgueiras,13926,13346,1221,1188,9403,9052,3302,3106
Lousada,10156,9736,1056,1018,6426,6189,2674,2529
Marco de Canaveses,11660,11157,1024,998,7365,7064,3271,3095
Paços de Ferreira,11904,11448,1032,1005,7823,7542,3049,2901
Penafiel,16212,15505,1608,1566,10256,9846,4348,4093
Resende,3292,3104,195,193,2208,2085,889,826
Douro,59982,56980,3497,3381,40038,38198,16447,15401
Alijó,4170,3956,272,262,2712,2587,1186,1107
Armamar,2113,1996,96,94,1404,1333,613,569
Carrazeda de Ansiães,2309,2175,85,82,1548,1464,676,629
Freixo de Espada à Cinta,1368,1296,51,50,961,915,356,331
Lamego,7169,6810,366,352,4793,4563,2010,1895
Mesão Frio,1299,1222,88,85,841,793,370,344
Moimenta da Beira,3030,2857,127,120,2075,1974,828,763
Murça,2207,2111,125,122,1483,1425,599,564
Penedono,836,789,45,44,557,523,234,222
Peso da Régua,5037,4797,414,402,3220,3087,1403,1308
Sabrosa,2276,2165,177,169,1522,1458,577,538
Santa Marta de Penaguião,2624,2486,213,208,1670,1587,741,691
São João da Pesqueira,2152,2040,116,115,1413,1344,623,581
Sernancelhe,1798,1718,64,62,1212,1161,522,495
Tabuaço,1716,1632,91,87,1130,1081,495,464
Tarouca,2198,2084,100,97,1425,1356,673,631
Torre de Moncorvo,2950,2779,96,91,2070,1960,784,728
Vila Nova de Foz Côa,2141,1995,105,101,1418,1329,618,565
Vila Real,12589,12072,866,838,8584,8258,3139,2976
Terras de Trás-os-Montes,36438,34433,1745,1690,25181,23935,9512,8808
Alfândega da Fé,1826,1735,78,77,1281,1223,467,435
Bragança,9460,8917,614,594,6507,6182,2339,2141
Macedo de Cavaleiros,4993,4718,222,211,3414,3240,1357,1267
Miranda do Douro,2428,2297,99,99,1683,1599,646,599
Mirandela,6927,6585,257,248,4777,4563,1893,1774
Mogadouro,3285,3090,139,130,2247,2127,899,833
Vila Flor,2054,1928,77,77,1431,1355,546,496
Vimioso,1745,1608,80,77,1185,1100,480,431
Vinhais,3720,3555,179,177,2656,2546,885,832
Centro,722074,688007,45037,43864,497838,476449,179199,167694
Oeste,109451,104202,8311,8075,73768,70574,27372,25553
Alcobaça,18980,18178,1819,1786,12674,12186,4487,4206
Alenquer,12267,11648,875,846,8118,7741,3274,3061
