,"Taxa quinquenal de mortalidade 
infantil (2014/2018),  ‰, 2018 (‰)","Taxa quinquenal de mortalidade 
neonatal (2014/2018),  ‰, 2018 (‰)","Taxa de mortalidade por doenças do aparelho circulatório,  ‰, 2018 (‰)","Taxa de mortalidade por tumores malignos,  ‰, 2018 (‰)"
Penela,0,0,3.8,2.9
Soure,0,0,4.3,3.4
Tábua,2.6,0,3.8,3.1
Vila Nova de Poiares,0,0,4.7,3.7
Região de Leiria,2.8,2,3.2,2.6
Alvaiázere,5.7,5.7,7.2,2.8
Ansião,0,0,3.6,4.1
Batalha,1.6,1.6,2.6,1.8
Castanheira de Pêra,18.2,18.2,4.9,2.2
Figueiró dos Vinhos,0,0,6.9,5
Leiria,3,1.9,2.5,2.3
Marinha Grande,2.6,2.6,3.2,2.3
Pedrógão Grande,0,0,6.4,4.9
Pombal,2.9,1.7,4.2,3.2
Porto de Mós,2.4,2.4,2.7,2.4
Viseu Dão Lafões,2,1.3,3.9,2.9
Aguiar da Beira,0,0,9.6,3.6
Carregal do Sal,0,0,4.3,2.3
Castro Daire,0,0,5.8,4.3
Mangualde,3.3,3.3,3.8,3.6
Nelas,0,0,4.6,3.4
Oliveira de Frades,0,0,4.1,1.8
Penalva do Castelo,4.8,4.8,5,3.6
Santa Comba Dão,0,0,4.9,3.5
São Pedro do Sul,0,0,3.6,2.6
Sátão,3,0,4.4,2.6
Tondela,2.7,2.7,4.1,3.1
Vila Nova de Paiva,0,0,5.3,2.9
Viseu,2.8,1.5,3,2.5
Vouzela,0,0,3.5,3.5
Beira Baixa,2.7,1.5,4.8,3.9
Castelo Branco,2.6,1.5,3.6,3.7
Idanha-a-Nova,0,0,9,5.4
Oleiros,0,0,5.5,4.5
Penamacor,22.5,11.2,6.2,4.1
Proença-a-Nova,0,0,5.8,3.2
Vila Velha de Ródão,0,0,6.9,4.7
Médio Tejo,2.9,2.1,4.4,3.3
Abrantes,5.5,2.7,5.4,3.7
Alcanena,4.4,4.4,4.2,2.6
Constância,0,0,4,2.8
Entroncamento,0,0,2.5,2.2
Ferreira do Zêzere,0,0,3.6,3.7
Mação,0,0,8.9,4.4
Ourém,3.3,3.3,3,3
Sardoal,0,0,4.8,5.1
Sertã,6.7,2.2,4.9,3
Tomar,1.8,1.8,4.4,4.2
Torres Novas,2.5,2.5,5.1,3.1
Vila de Rei,0,0,8.7,1.8
Vila Nova da Barquinha,4.3,0,4.1,3.5
Beiras e Serra da Estrela,2.8,1.9,3.9,3.4
Almeida,0,0,7.3,4.8
Belmonte,5,0,3.6,3
Celorico da Beira,0,0,3.6,3.4
Covilhã,1.3,0.7,2.8,3.3
Figueira de Castelo Rodrigo,0,0,4.9,3.5
Fornos de Algodres,7.6,7.6,8,3.7
Fundão,4.8,3.6,3.4,2.8
Gouveia,0,0,4.2,5.2
Guarda,4.4,2.2,3.3,2.6
Manteigas,0,0,5.9,6.2
Mêda,0,0,5.4,3.4
Pinhel,4.5,4.5,3.7,3.6
Sabugal,7.4,7.4,7.1,4.2
Seia,1.4,1.4,4,4.3
Trancoso,0,0,3.7,2.3
A. M. Lisboa,3.4,2.2,3,2.7
Alcochete,3.5,2.3,2.1,2.1
Almada,3.3,1.9,3.7,3.4
Amadora,4.6,2.8,2.9,2.4
Barreiro,4.7,2.5,3.8,2.9
Cascais,3.5,2.4,2.9,2.7
Lisboa,3.1,1.9,4,3.6
Loures,4,2.2,3,2.4
Mafra,4.3,3.1,2.5,2.2
Moita,3.4,1.7,3.4,2.8
Montijo,6.2,3.8,3.1,2.3
Odivelas,2.7,1.7,2.6,2.3
Oeiras,3.8,2.9,2.5,2.8
Palmela,1.9,1.5,3.8,3
Seixal,2.5,2,2.6,2.3
Sesimbra,3.3,2.9,2.7,2.3
Setúbal,2.4,1.5,3.5,3
Sintra,3.6,2.5,2.2,2.1
Vila Franca de Xira,2.9,1.9,2.4,2.3
Alentejo,3.4,2.2,4.5,3.2
Alentejo Litoral,3.2,2.3,3.9,3.1
Alcácer do Sal,0,0,3.3,4.2
Grândola,3.9,3.9,4.5,2.9
Odemira,2.3,2.3,4.3,2.9
Santiago do Cacém,2.9,1,3.9,3.1
Sines,6.1,4.6,3,3
Baixo Alentejo,4,1.9,5.4,3.4
Aljustrel,8.9,6,4.4,3.7
Almodôvar,4.1,0,4.1,3.1
Alvito,0,0,6.5,3.3
Barrancos,14.1,0,6.6,2.4
Beja,1.8,1.2,4.8,2.2
Castro Verde,4,0,5.3,4.3
Cuba,26.6,21.3,6.7,4.3
Ferreira do Alentejo,0,0,5.2,4.8
Mértola,0,0,5.6,3.4
Moura,6.2,1.6,5.3,3.2
Ourique,0,0,8.9,5.1
Serpa,0,0,6.3,4.6
Vidigueira,4.4,0,4.7,3.4
Lezíria do Tejo,4.4,3.1,3.7,2.9
Almeirim,7.1,5.9,4.1,2.7
Alpiarça,4,0,4.9,3.7
Azambuja,2.4,1.2,3.2,2.5
Benavente,6.1,5.3,2.6,2.5
Cartaxo,1.1,1.1,3.8,2.6
Chamusca,3.8,3.8,4,3.5
Coruche,0,0,6.2,3.9
Golegã,4.8,0,6.8,3.1
Rio Maior,3.5,1.2,3.3,2.7
Salvaterra de Magos,0,0,4.7,2.3
Santarém,7.1,5.3,3,3.2
Alto Alentejo,2.7,1.9,5.3,3.4
Alter do Chão,0,0,6.5,5
Arronches,0,0,11.8,3.1
Avis,0,0,6.1,1.4
Campo Maior,0,0,4.5,3
Castelo de Vide,19,9.5,5.7,4
Crato,0,0,5.3,5
Elvas,2.6,2.6,4.8,3.1
Fronteira,0,0,4.7,3.7
Gavião,0,0,8.5,6.8
Marvão,0,0,6.8,4.5
Monforte,0,0,5.7,2.3
Nisa,0,0,5.3,4
Ponte de Sor,7.5,3.7,5.4,3.8
Portalegre,2.2,2.2,3.6,2.6
Sousel,0,0,7.6,3.6
Alentejo Central,1.9,1.2,4.7,3.3
Alandroal,0,0,6.1,2.3
Arraiolos,4.2,0,5,3.6
Borba,4.2,4.2,5.3,2.9
Estremoz,2.1,0,5,3.1
Évora,1.3,1.3,3.6,3.2
Montemor-o-Novo,0,0,5.6,3.9
Mora,0,0,8,4.5
Mourão,9.4,0,2.4,3.6
Portel,0,0,4.9,3.6
Redondo,4.2,4.2,5,3.3
Reguengos de Monsaraz,2.6,2.6,4.3,2.9
Vendas Novas,2.4,2.4,4.9,3.8
Viana do Alentejo,0,0,5.8,3.3
Vila Viçosa,3.8,0,5.4,2.6
Algarve,2.9,2.2,3.3,2.7
Albufeira,2.7,2.7,2.8,2.4
Alcoutim,0,0,7.9,5.7
Aljezur,0,0,3.2,2
Castro Marim,4.5,0,4.9,4.1
Faro,2.5,1.9,2.6,2.5
Lagoa,1,1,3.1,3.3
Lagos,1.6,1.6,3.2,3.1
Loulé,3.6,2.7,3.6,2.3
Monchique,5.8,5.8,5.4,3.3
Olhão,3.9,2.4,2.9,2.4
Portimão,3.5,3.5,2.7,2.4
São Brás de Alportel,2.2,0,3.4,2.6
Silves,2.7,1.4,3.6,2.8
Tavira,3,2,4.9,3.2
Vila do Bispo,4.2,4.2,3.7,3.1
Vila Real de Santo António,1.2,0,3.4,2.6
R. A. Açores,3.2,2,2.8,2.6
Santa Maria,0,0,4.3,2.8
Vila do Porto,0,0,4.3,2.8
São Miguel,2.9,2,2.3,2.2
Lagoa (R.A.A.),2.8,2.8,2.9,1.8
Nordeste,5.8,5.8,2.2,3.7
Ponta Delgada,2.7,1.5,2.3,2.5
Povoação,0,0,2.8,1.8
Ribeira Grande,3.1,2.6,1.6,2
Vila Franca do Campo,4.1,2.1,2.9,1.6
Terceira,3.8,2.1,3.2,2.7
Angra do Heroísmo,4.2,2.8,3.1,3
Vila da Praia da Vitória,3.3,1.1,3.4,2.2
Graciosa,5.3,0,4.9,4.7
Santa Cruz da Graciosa,5.3,0,4.9,4.7
São Jorge,3.1,0,3.3,2.9
Calheta (R.A.A.),0,0,4,4.3
Velas,4.9,0,3.3,2.9
Pico,1.7,1.7,4.4,3.9
Lajes do Pico,6.5,6.5,5.1,3.5
Madalena,0,0,4.6,3.9
São Roque do Pico,0,0,3.1,4.3
Faial,5,3.3,3.1,3.2
Horta,5,3.3,3.1,3.2
Flores,7.6,7.6,3.7,6.5
Lajes das Flores,0,0,6.1,3.4
Santa Cruz das Flores,11.1,11.1,3.7,6.5
Corvo,0,0,4.3,4.3
Corvo,0,0,4.3,4.3
R. A. Madeira,3.3,2.8,3.1,2.3
Calheta (R.A.M.),0,0,4.9,2
Câmara de Lobos,0.7,0.7,1.9,2
Funchal,3.9,3.9,3.4,2.6
Machico,4.7,4.7,2.9,3.1
Ponta do Sol,3.9,3.9,4.8,2.8
Porto Moniz,0,0,8.5,3.4
Ribeira Brava,2.3,2.3,3.3,1.8
Santa Cruz,4.7,2.6,2.2,1.6
Santana,5,0,4.9,3.2
São Vicente,0,0,3.7,2.3
Porto Santo,0,0,2.3,2.1
