,Total (N.º),"Main occupation, Managers (N.º)","Main occupation, Professionals (N.º)","Main occupation, Technicians and associate professionals (N.º)","Main occupation, Clerical support workers (N.º)","Main occupation, Service and sale workers (N.º)","Main occupation, Skilled agricultural, forestry, and fishery workers (N.º)","Main occupation, Craft and related trades workers (N.º)","Main occupation, Plant and machine operators, and assemblers (N.º)","Main occupation, Elementary occupations (N.º)"
Lagoa (R.A.A.),1871,76,113,154,216,314,48,367,135,448
Nordeste,386,16,35,21,35,124,19,45,22,69
Ponta Delgada,15503,558,1324,1608,2601,3870,232,1693,697,2920
Povoação,800,13,27,56,86,306,50,79,12,171
Ribeira Grande,4549,111,292,386,471,1050,136,907,470,726
Vila Franca do Campo,1023,17,44,60,164,308,26,196,34,174
Terceira,8493,289,795,815,1165,2247,156,1165,347,1514
Angra do Heroísmo,5985,218,648,572,767,1629,107,808,240,996
Vila da Praia da Vitória,2508,71,147,243,398,618,49,357,107,518
Graciosa,599,…,25,40,67,156,…,99,…,152
Santa Cruz da Graciosa,599,…,25,40,67,156,…,99,…,152
São Jorge,1240,65,60,88,158,385,9,212,68,195
Calheta (R.A.A.),446,16,29,23,51,129,4,106,20,68
Velas,794,49,31,65,107,256,5,106,48,127
Pico,1983,80,97,149,288,506,41,328,99,395
Lajes do Pico,391,16,23,25,43,121,12,77,5,69
Madalena,1108,56,48,74,185,263,25,156,63,238
São Roque do Pico,484,8,26,50,60,122,4,95,31,88
Faial,2542,72,238,244,381,692,33,322,108,452
Horta,2542,72,238,244,381,692,33,322,108,452
Flores,462,17,13,53,85,136,3,43,25,87
Lajes das Flores,119,5,6,9,24,38,0,4,5,28
Santa Cruz das Flores,343,12,7,44,61,98,3,39,20,59
Corvo,86,…,5,25,11,14,…,12,…,13
Corvo,86,…,5,25,11,14,…,12,…,13
R. A. Madeira,47547,1544,4533,4184,6506,14858,449,5493,2709,7260
Calheta (R.A.M.),1810,38,84,177,117,439,31,298,241,385
Câmara de Lobos,2532,90,120,214,241,710,46,550,196,365
Funchal,30764,1070,3703,2792,4508,9626,189,2931,1505,4431
Machico,2451,101,192,197,247,665,21,412,235,381
Ponta do Sol,643,13,18,34,182,171,19,104,34,68
Porto Moniz,287,5,4,17,30,172,…,8,…,49
Ribeira Brava,1468,24,111,119,123,590,3,191,71,236
Santa Cruz,5420,158,242,423,802,1587,120,840,346,900
Santana,493,12,16,48,41,221,…,33,…,100
São Vicente,484,11,22,37,54,178,6,61,21,94
Porto Santo,1195,22,21,126,161,499,7,65,43,251
