,"Total, MF (N.º)","Total, M (N.º)","Total, F (N.º)","Primary CAE: A, MF (N.º)","Primary CAE: A, M (N.º)","Primary CAE: A, F (N.º)","Secondary CAE: B - F, MF (N.º)","Secondary CAE: B - F, M (N.º)","Secondary CAE: B - F, F (N.º)","Tertiary CAE: G - U, MF (N.º)","Tertiary CAE: G - U, M (N.º)","Tertiary CAE: G - U, F (N.º)"
Portugal,2293329,1247676,1045653,46169,32835,13334,707498,482136,225362,1539662,732705,806957
Continente,2205449,1199385,1006064,44595,31499,13096,689118,466944,222174,1471736,700942,770794
Norte,804480,442598,361882,8607,6148,2459,348047,221670,126377,447826,214780,233046
Alto Minho,44842,23462,21380,809,569,240,20287,12511,7776,23746,10382,13364
Arcos de Valdevez,4160,1885,2275,52,40,12,2374,1197,1177,1734,648,1086
Caminha,1943,947,996,110,83,27,393,296,97,1440,568,872
Melgaço,861,358,503,16,13,3,244,161,83,601,184,417
Monção,2565,1292,1273,65,43,22,929,642,287,1571,607,964
Paredes de Coura,1060,482,578,29,24,5,521,258,263,510,200,310
Ponte da Barca,1241,656,585,42,38,4,328,293,35,871,325,546
Ponte de Lima,7742,4060,3682,158,87,71,4056,2244,1812,3528,1729,1799
Valença,2901,1424,1477,42,26,16,764,483,281,2095,915,1180
Viana do Castelo,19048,10612,8436,268,196,72,8426,5776,2650,10354,4640,5714
Vila Nova de Cerveira,3321,1746,1575,27,19,8,2252,1161,1091,1042,566,476
Cávado,98675,54292,44383,807,516,291,49192,30514,18678,48676,23262,25414
Amares,2865,1817,1048,119,62,57,1203,961,242,1543,794,749
Barcelos,31350,15689,15661,342,226,116,21144,10886,10258,9864,4577,5287
Braga,49065,28286,20779,130,88,42,19031,13482,5549,29904,14716,15188
Esposende,7070,4004,3066,79,49,30,3906,2598,1308,3085,1357,1728
Terras de Bouro,950,433,517,12,8,4,184,153,31,754,272,482
Vila Verde,7375,4063,3312,125,83,42,3724,2434,1290,3526,1546,1980
Ave,109435,58675,50760,733,563,170,66553,38430,28123,42149,19682,22467
Cabeceiras de Basto,2123,1178,945,53,…,…,833,…,…,1237,628,609
Fafe,9611,4643,4968,32,21,11,5630,2788,2842,3949,1834,2115
Guimarães,47495,25758,21737,380,302,78,29529,17227,12302,17586,8229,9357
Mondim de Basto,664,356,308,21,…,…,161,…,…,482,204,278
Póvoa de Lanhoso,3379,1586,1793,43,32,11,1642,857,785,1694,697,997
Vieira do Minho,1188,627,561,28,19,9,289,234,55,871,374,497
Vila Nova de Famalicão,38566,21540,17026,166,114,52,23936,14507,9429,14464,6919,7545
Vizela,6409,2987,3422,10,…,…,4533,…,…,1866,797,1069
A. M. Porto,415377,232764,182613,3139,2328,811,144391,97335,47056,267847,133101,134746
Arouca,4038,2486,1552,228,205,23,2279,1598,681,1531,683,848
Espinho,4418,2197,2221,5,…,…,1263,…,…,3150,1368,1782
Gondomar,17130,9808,7322,48,30,18,5999,4413,1586,11083,5365,5718
Maia,46308,27513,18795,100,48,52,13943,9634,4309,32265,17831,14434
Matosinhos,43690,24017,19673,119,89,30,9200,7078,2122,34371,16850,17521
Oliveira de Azeméis,19453,12195,7258,72,35,37,14282,9576,4706,5099,2584,2515
Paredes,16783,10322,6461,156,50,106,9738,6756,2982,6889,3516,3373
Porto,93242,46720,46522,86,60,26,8195,5814,2381,84961,40846,44115
Póvoa de Varzim,11755,6071,5684,743,580,163,3839,2336,1503,7173,3155,4018
Santa Maria da Feira,29124,17299,11825,59,40,19,16981,10723,6258,12084,6536,5548
Santo Tirso,15216,8019,7197,107,84,23,9676,5650,4026,5433,2285,3148
São João da Madeira,10365,5317,5048,…,…,0,…,…,…,4673,2309,2364
Trofa,11920,7438,4482,76,49,27,6726,4353,2373,5118,3036,2082
Vale de Cambra,6241,3800,2441,…,…,…,…,…,…,1555,614,941
Valongo,13274,7850,5424,68,60,8,5423,3817,1606,7783,3973,3810
Vila do Conde,19372,11471,7901,1132,901,231,8216,5352,2864,10024,5218,4806
Vila Nova de Gaia,53048,30241,22807,126,84,42,18267,13225,5042,34655,16932,17723
Alto Tâmega,11150,6136,5014,198,152,46,3946,3238,708,7006,2746,4260
Boticas,767,360,407,13,…,…,391,…,…,363,113,250
Chaves,5530,2950,2580,86,69,17,1549,1271,278,3895,1610,2285
Montalegre,932,510,422,32,…,…,314,…,…,586,218,368
Ribeira de Pena,1039,693,346,14,11,3,581,523,58,444,159,285
Valpaços,1377,688,689,17,12,5,362,301,61,998,375,623
Vila Pouca de Aguiar,1505,935,570,36,24,12,749,640,109,720,271,449
Tâmega e Sousa,84978,46675,38303,717,535,182,53240,31673,21567,31021,14467,16554
Amarante,8304,5085,3219,107,78,29,4348,3364,984,3849,1643,2206
Baião,2079,1144,935,65,39,26,1146,769,377,868,336,532
Castelo de Paiva,2538,1209,1329,61,51,10,1535,773,762,942,385,557
Celorico de Basto,2114,1099,1015,49,45,4,1183,708,475,882,346,536
Cinfães,2404,1727,677,22,18,4,1516,1393,123,866,316,550
Felgueiras,18439,9635,8804,113,81,32,13632,7187,6445,4694,2367,2327
Lousada,10732,5352,5380,55,40,15,7238,3461,3777,3439,1851,1588
Marco de Canaveses,9197,5946,3251,106,73,33,5666,4206,1460,3425,1667,1758
Paços de Ferreira,14681,7987,6694,15,11,4,9497,5244,4253,5169,2732,2437
Penafiel,13760,7115,6645,88,72,16,7250,4365,2885,6422,2678,3744
Resende,730,376,354,36,27,9,229,203,26,465,146,319
Douro,25533,13374,12159,1732,1174,558,6944,5301,1643,16857,6899,9958
Alijó,1354,690,664,153,113,40,344,224,120,857,353,504
Armamar,781,414,367,115,84,31,200,141,59,466,189,277
Carrazeda de Ansiães,531,259,272,36,23,13,112,83,29,383,153,230
Freixo de Espada à Cinta,272,176,96,21,15,6,92,83,9,159,78,81
Lamego,3374,1750,1624,150,101,49,917,702,215,2307,947,1360
Mesão Frio,345,166,179,33,24,9,86,77,9,226,65,161
Moimenta da Beira,1376,708,668,106,70,36,360,301,59,910,337,573
Murça,453,234,219,24,20,4,125,103,22,304,111,193
Penedono,278,141,137,28,17,11,65,60,5,185,64,121
Peso da Régua,1968,982,986,127,74,53,460,339,121,1381,569,812
Sabrosa,845,426,419,158,102,56,291,193,98,396,131,265
Santa Marta de Penaguião,463,210,253,60,44,16,133,100,33,270,66,204
São João da Pesqueira,961,532,429,292,210,82,233,164,69,436,158,278
Sernancelhe,714,411,303,18,…,…,257,…,…,439,178,261
Tabuaço,496,255,241,66,44,22,178,123,55,252,88,164
Tarouca,1004,653,351,17,…,…,472,…,…,515,235,280
Torre de Moncorvo,945,471,474,60,39,21,192,151,41,693,281,412
Vila Nova de Foz Côa,847,451,396,124,85,39,311,247,64,412,119,293
Vila Real,8526,4445,4081,144,79,65,2116,1589,527,6266,2777,3489
