,"Public primary education, 1st cycle, Total (N.º)","Public primary education, 1st cycle, of which, Regular education (N.º)","Public primary education, 1st cycle, of which, Artistic education (N.º)","Public primary education, 2nd cycle, Total, Artistic education (N.º)","Public primary education, 2nd cycle, of which, Regular education (N.º)","Public primary education, 2nd cycle, of which, Artistic education (N.º)","Public primary education, 2nd cycle, of which, Education and training courses (N.º)","Public lower secondary education, 2nd cycle, Total, Education and training courses (N.º)","Public lower secondary education, 2nd cycle, of which, Regular education (N.º)","Public lower secondary education, 2nd cycle, of which, Artistic education (N.º)","Public lower secondary education, 2nd cycle, of which, Vocational courses (N.º)","Public lower secondary education, 2nd cycle, of which, Education and training courses (N.º)"
Tarouca,249,249,0,133,133,0,0,195,195,0,0,0
Torre de Moncorvo,137,137,0,89,89,0,0,111,100,0,0,11
Vila Nova de Foz Côa,122,122,0,82,82,0,0,114,114,0,0,0
Vila Real,1478,1478,0,894,894,0,0,1419,1419,0,0,0
Terras de Trás-os-Montes,2543,2543,0,1557,1553,0,0,2422,2362,0,0,40
Alfândega da Fé,108,108,0,50,50,0,0,82,82,0,0,0
Bragança,856,856,0,576,576,0,0,885,885,0,0,0
Macedo de Cavaleiros,340,340,0,187,187,0,0,311,286,0,0,13
Miranda do Douro,147,147,0,71,71,0,0,147,147,0,0,0
Mirandela,561,561,0,372,372,0,0,529,502,0,0,27
Mogadouro,171,171,0,112,112,0,0,162,162,0,0,0
Vila Flor,140,140,0,77,77,0,0,130,130,0,0,0
Vimioso,73,73,0,41,41,0,0,63,63,0,0,0
Vinhais,147,147,0,71,67,0,0,113,105,0,0,0
Centro,68473,68473,0,36885,36580,269,0,57088,56361,288,0,324
Oeste,12494,12494,0,6335,6318,0,0,9519,9420,0,0,83
Alcobaça,1698,1698,0,999,999,0,0,1155,1120,0,0,35
Alenquer,1593,1593,0,893,876,0,0,1426,1392,0,0,18
Arruda dos Vinhos,647,647,0,75,75,0,0,0,0,0,0,0
Bombarral,398,398,0,218,218,0,0,384,384,0,0,0
Cadaval,400,400,0,206,206,0,0,355,355,0,0,0
Caldas da Rainha,1613,1613,0,946,946,0,0,1556,1556,0,0,0
Lourinhã,988,988,0,513,513,0,0,755,740,0,0,15
Nazaré,512,512,0,254,254,0,0,353,353,0,0,0
Óbidos,429,429,0,218,218,0,0,307,307,0,0,0
Peniche,1005,1005,0,565,565,0,0,835,835,0,0,0
Sobral de Monte Agraço,373,373,0,245,245,0,0,396,381,0,0,15
Torres Vedras,2838,2838,0,1203,1203,0,0,1997,1997,0,0,0
Região de Aveiro,12331,12331,0,6652,6646,0,0,10145,10094,0,0,39
Águeda,1564,1564,0,820,820,0,0,1273,1273,0,0,0
Albergaria-a-Velha,803,803,0,431,431,0,0,650,650,0,0,0
