,"Primary education, 1st cycle, Total (N.º)","Primary education, 1st cycle, of which, Regular education (N.º)","Primary education, 1st cycle, of which, Artistic education (N.º)","Primary education, 2nd cycle, Total, Artistic education (N.º)","Primary education, 2nd cycle, of which, Regular education (N.º)","Primary education, 2nd cycle, of which, Artistic education (N.º)","Primary education, 2nd cycle, of which, Education and training courses (N.º)","Lower secondary education, 2nd cycle, Total, Education and training courses (N.º)","Lower secondary education, 2nd cycle, of which, Regular education (N.º)","Lower secondary education, 2nd cycle, of which, Artistic education (N.º)","Lower secondary education, 2nd cycle, of which, Vocational courses  (N.º)","Lower secondary education, 2nd cycle, of which, Education and training courses (N.º)"
Tarouca,249,249,0,133,133,0,0,195,195,0,0,0
Torre de Moncorvo,137,137,0,89,89,0,0,111,100,0,0,11
Vila Nova de Foz Côa,122,122,0,82,82,0,0,114,114,0,0,0
Vila Real,1646,1646,0,972,972,0,0,1443,1443,0,0,0
Terras de Trás-os-Montes,2729,2729,0,1557,1553,0,0,2540,2362,0,68,90
Alfândega da Fé,108,108,0,50,50,0,0,82,82,0,0,0
Bragança,988,988,0,576,576,0,0,935,885,0,0,50
Macedo de Cavaleiros,340,340,0,187,187,0,0,311,286,0,0,13
Miranda do Douro,147,147,0,71,71,0,0,147,147,0,0,0
Mirandela,615,615,0,372,372,0,0,597,502,0,68,27
Mogadouro,171,171,0,112,112,0,0,162,162,0,0,0
Vila Flor,140,140,0,77,77,0,0,130,130,0,0,0
Vimioso,73,73,0,41,41,0,0,63,63,0,0,0
Vinhais,147,147,0,71,67,0,0,113,105,0,0,0
Centro,73182,73182,0,40786,40341,409,0,64110,62518,415,24,1038
Oeste,13130,13130,0,7440,7423,0,0,11818,11569,0,0,233
Alcobaça,1761,1761,0,999,999,0,0,1625,1590,0,0,35
Alenquer,1593,1593,0,893,876,0,0,1426,1392,0,0,18
Arruda dos Vinhos,647,647,0,443,443,0,0,747,688,0,0,59
Bombarral,398,398,0,218,218,0,0,384,384,0,0,0
Cadaval,400,400,0,206,206,0,0,355,355,0,0,0
Caldas da Rainha,1881,1881,0,1119,1119,0,0,1765,1765,0,0,0
Lourinhã,988,988,0,513,513,0,0,755,740,0,0,15
Nazaré,512,512,0,254,254,0,0,385,353,0,0,32
Óbidos,429,429,0,218,218,0,0,307,307,0,0,0
Peniche,1005,1005,0,565,565,0,0,863,835,0,0,28
Sobral de Monte Agraço,373,373,0,245,245,0,0,396,381,0,0,15
Torres Vedras,3143,3143,0,1767,1767,0,0,2810,2779,0,0,31
Região de Aveiro,12880,12880,0,7160,7154,0,0,11023,10810,0,0,201
Águeda,1643,1643,0,855,855,0,0,1305,1305,0,0,0
Albergaria-a-Velha,847,847,0,507,507,0,0,767,767,0,0,0
