,"Nurses per 1 000 inhabitants , No., 2022","Medical doctors per 1 000 inhabitants, No., 2022","Pharmacies and mobile medicine depots per 1000 inhabitants, No., 2022","Hospitalisations in hospitals per 1 000 inhabitants , No., 2021 Po","Surgeries (except minor surgeries) per day in hospitals, No., 2021 Po","Medical appointments in hospitals per inhabitant, No., 2021 Po","Beds (practised allotment) per 1 000 inhabitants in hospitals, No., 2021 Po","Annual bed-occupancy rate in hospitals, %, 2021 Po"
Proença-a-Nova,4,1.7,0.3,0,0,0,0,//
Vila Velha de Ródão,1.7,1.4,0.3,0,0,0,0,//
Médio Tejo,6.1,2.6,0.4,...,...,...,...,...
Abrantes,9.7,3,0.4,0,0,0,0,//
Alcanena,2.4,1.7,0.4,...,...,...,...,...
Constância,7,1,0.8,1.3,0,1,6.3,0.1
Entroncamento,4.5,3.5,0.2,...,...,...,...,...
Ferreira do Zêzere,1.9,0.6,0.5,0,0,0,0,//
Mação,1.9,0.8,0.8,0,0,0,0,//
Ourém,3,1.6,0.4,0,0,0,0,//
Sardoal,3.9,2.8,0.6,0,0,0,0,//
Sertã,3.5,1.4,0.3,0,0,0,0,//
Tomar,6.2,3.1,0.4,388,24,4.8,12.3,81.5
Torres Novas,12.7,4.3,0.3,0,0,0,0,//
Vila de Rei,6.2,2.1,0.3,0,0,0,0,//
Vila Nova da Barquinha,3.5,1.6,0.4,0,0,0,0,//
Beiras e Serra da Estrela,9.1,4.3,0.5,...,...,...,...,...
Almeida,6,3.3,0.4,0,0,0,0,//
Belmonte,4.7,2.1,0.3,0,0,0,0,//
Celorico da Beira,2.6,0.9,0.6,0,0,0,0,//
Covilhã,12.3,6,0.5,198.1,19.7,3.6,6.5,77.3
Figueira de Castelo Rodrigo,5.5,2.8,0.6,0,0,0,0,//
Fornos de Algodres,3.9,3.4,0.5,0,0,0,0,//
Fundão,3.5,2.9,0.4,0,0,0,0,//
Gouveia,4.2,2.2,0.6,0,0,0,0,//
Guarda,18.7,8,0.3,...,...,...,...,...
Manteigas,6.6,2.4,0.7,0,0,0,0,//
Mêda,5.1,1.8,0.2,0,0,0,0,//
Pinhel,6.4,2.7,0.6,0,0,0,0,//
Sabugal,3.4,1.3,0.8,0,0,0,0,//
Seia,7.2,3,0.5,0,0,0,0,//
Trancoso,4.5,2.7,0.7,0,0,0,0,//
A. M. Lisboa,7.7,6.9,0.3,127.2,820.8,2.4,3.8,77.3
Alcochete,2.1,3.8,0.3,0,0,0,0,//
Almada,7.6,4.9,0.3,107.4,45.1,1.8,3.4,84.5
Amadora,7.4,3.7,0.2,...,...,...,...,...
Barreiro,9.9,3.4,0.3,150.1,19.9,2.1,4.6,83
Cascais,4.9,8.3,0.2,94.9,56,2.1,2.8,78.6
Lisboa,20.7,18.1,0.5,400.7,498.4,8.1,10.1,73.8
Loures,4.4,3.8,0.3,...,...,...,...,...
Mafra,2.7,2.9,0.2,0,0,0,0,//
Moita,2.1,1.2,0.2,0,0,0,0,//
Montijo,3.2,2.6,0.2,0,0,0,0,//
Odivelas,2.6,3.8,0.2,0,0,0,0,//
Oeiras,5,10.9,0.3,...,...,...,...,...
Palmela,2.2,3.2,0.2,...,...,...,...,...
Seixal,3.2,2.5,0.2,0,0,0,0,//
Sesimbra,2.6,2,0.1,0,0,0,0,//
Setúbal,9.3,5.3,0.2,...,...,...,...,...
Sintra,2.8,2.7,0.2,9.2,6.4,0.3,3.1,87.6
Vila Franca de Xira,5.5,2,0.2,97.4,32.8,1.1,2.3,105.5
Alentejo,6.7,3.3,0.5,68.7,118.6,1,2.1,80.2
Alentejo Litoral,4.8,2.2,0.4,51.2,11.6,0.8,1.4,77.3
Alcácer do Sal,2.8,0.9,0.5,0,0,0,0,//
Grândola,2.4,1.8,0.4,0,0,0,0,//
Odemira,2,1.2,0.4,0,0,0,0,//
Santiago do Cacém,11,3.8,0.4,178.1,11.6,2.9,4.9,77.3
Sines,2.4,2.5,0.2,0,0,0,0,//
Baixo Alentejo,7.7,2.9,0.5,64,11.9,0.7,1.8,73.5
Aljustrel,3.1,1.6,0.6,0,0,0,0,//
Almodôvar,3.7,1.5,0.3,0,0,0,0,//
Alvito,2.2,2.7,0.9,0,0,0,0,//
Barrancos,3.4,0.7,0.7,0,0,0,0,//
Beja,17.3,6.2,0.4,220.2,11.9,2.4,6.3,73.5
Castro Verde,5.6,1.3,0.4,0,0,0,0,//
Cuba,5.6,2.3,0.7,0,0,0,0,//
Ferreira do Alentejo,3.8,0.9,0.8,0,0,0,0,//
Mértola,2.8,0.8,0.3,0,0,0,0,//
Moura,3.3,1.8,0.8,0,0,0,0,//
Ourique,2.5,1.2,1,0,0,0,0,//
Serpa,4.5,1.7,0.4,0,0,0,0,//
Vidigueira,4,1.5,0.4,0,0,0,0,//
Lezíria do Tejo,5.4,2.8,0.4,...,...,...,...,...
Almeirim,2.8,2.1,0.3,0,0,0,0,//
Alpiarça,2.4,1.4,0.4,0,0,0,0,//
Azambuja,1.8,1.1,0.3,0,0,0,0,//
Benavente,2.8,1.6,0.2,0,0,0,0,//
Cartaxo,2.8,2.3,0.3,0,0,0,0,//
Chamusca,4.2,1.3,1.1,0,0,0,0,//
Coruche,3.3,2,0.3,0,0,0,0,//
Golegã,3.9,1.7,0.6,0,0,0,0,//
Rio Maior,2.3,1.9,0.2,0,0,0,0,//
