,Total (N.º),Brasil  (N.º),Ucrânia (N.º),Cabo Verde (N.º),Roménia (N.º),Angola (N.º),Guiné Bissau (N.º),Reino Unido (N.º),Moldávia (N.º),China (N.º),São Tomé e Príncipe (N.º)
Celorico da Beira,103,19,2,1,3,4,0,32,0,5,0
Covilhã,1635,765,20,96,12,315,15,10,5,28,10
Figueira de Castelo Rodrigo,46,15,5,0,4,1,0,1,0,4,0
Fornos de Algodres,49,9,3,0,0,1,0,19,0,5,0
Fundão,920,168,27,7,18,8,41,181,1,18,14
Gouveia,211,13,5,12,2,5,0,39,0,11,1
Guarda,951,151,81,89,19,31,70,9,2,41,230
Manteigas,21,6,0,0,0,1,0,0,0,4,0
Mêda,46,5,4,1,3,0,0,0,0,9,0
Pinhel,70,14,14,0,6,4,0,0,0,13,0
Sabugal,108,21,3,3,9,9,0,6,0,7,0
Seia,364,60,2,11,2,5,4,50,0,9,23
Trancoso,83,17,4,5,5,0,0,2,0,17,1
A. M. Lisboa,298175,72309,9257,29301,13042,16442,15170,6678,2067,15950,7935
Alcochete,1098,262,69,8,349,37,5,19,6,24,5
Almada,13303,4584,328,1952,287,770,246,226,120,402,554
Amadora,21456,4438,611,6100,793,1391,2506,149,54,416,945
Barreiro,4147,1226,91,814,66,420,358,40,33,148,170
Cascais,30328,9260,1024,1058,1212,604,887,2033,350,1290,81
Lisboa,98151,16899,1570,2412,1976,2635,1212,2683,163,9513,847
Loures,19649,3669,825,2076,1046,1735,1722,129,152,512,2043
Mafra,4394,1922,332,39,269,70,15,176,102,132,16
Moita,3243,618,78,669,112,404,567,29,24,143,157
Montijo,4347,1420,191,75,1006,178,34,41,62,129,42
Odivelas,17696,4250,955,973,812,1879,1714,109,65,467,528
Oeiras,12320,4365,420,1640,427,419,229,209,117,581,84
Palmela,2669,705,195,93,500,84,25,93,72,171,20
Seixal,10050,3121,221,2056,286,800,355,87,66,250,1024
Sesimbra,2435,845,95,101,158,77,15,95,51,93,10
Setúbal,7507,2980,351,532,785,447,69,134,141,308,33
Sintra,37840,9034,1471,7930,2186,3942,4756,383,362,1118,1184
Vila Franca de Xira,7542,2711,430,773,772,550,455,43,127,253,192
Alentejo,31546,5965,2591,706,4543,498,427,1043,447,1684,81
Alentejo Litoral,11259,934,488,238,958,53,28,309,113,277,4
Alcácer do Sal,458,39,15,4,245,2,1,17,12,20,0
Grândola,676,149,18,8,97,6,1,4,4,144,0
Odemira,8157,274,324,12,249,7,9,251,75,37,0
Santiago do Cacém,1071,212,69,31,233,25,1,30,13,35,3
Sines,897,260,62,183,134,13,16,7,9,41,1
Baixo Alentejo,4014,622,315,163,893,66,269,307,38,221,12
Aljustrel,125,30,29,3,5,2,3,9,0,11,0
Almodôvar,200,43,12,5,18,1,2,23,0,6,0
Alvito,77,7,9,13,4,1,0,7,0,3,0
Barrancos,17,1,0,0,6,0,0,0,0,2,0
Beja,1495,293,130,93,176,47,235,10,19,103,3
Castro Verde,189,35,29,2,17,2,0,16,8,16,0
Cuba,163,22,16,15,69,5,2,2,0,5,0
Ferreira do Alentejo,596,31,12,0,366,2,3,57,6,14,0
Mértola,145,29,8,12,15,1,6,10,0,7,9
Moura,273,32,4,3,126,2,16,1,0,25,0
Ourique,319,17,12,0,4,1,0,169,3,9,0
Serpa,272,62,18,7,54,1,2,3,0,14,0
Vidigueira,143,20,36,10,33,1,0,0,2,6,0
Lezíria do Tejo,9271,2550,1313,100,1518,237,79,157,170,700,30
Almeirim,750,173,73,5,224,19,4,16,4,45,2
Alpiarça,331,33,34,3,176,7,0,4,0,7,1
Azambuja,953,374,214,18,63,25,8,16,16,22,2
Benavente,1939,566,223,17,275,57,9,15,66,391,7
Cartaxo,728,265,141,7,29,15,3,19,8,39,2
Chamusca,78,18,2,0,24,3,1,3,0,9,1
Coruche,298,71,45,7,33,2,1,5,3,25,0
Golegã,73,11,7,1,12,1,0,4,0,11,1
Rio Maior,1236,323,201,3,100,26,3,30,22,24,1
