,"Casamentos, Total (N.º)","Casamentos, Entre pessoas de sexo oposto, Total (N.º)","Casamentos, Entre pessoas de sexo oposto, dos quais, Só civis (N.º)","Casamentos, Entre pessoas de sexo oposto, dos quais, Católicos (N.º)","Casamentos, Entre pessoas do mesmo sexo, Masculino, Católicos (N.º)","Casamentos, Entre pessoas do mesmo sexo, Feminino, Católicos (N.º)","Casamentos dissolvidos, Entre pessoas do mesmo sexo, Total, Católicos (N.º)","Casamentos dissolvidos, Entre pessoas do mesmo sexo, por divórcio, Católicos (N.º)","Casamentos dissolvidos, Entre pessoas do mesmo sexo, por morte, Católicos (N.º)","População estrangeira a quem foi concedido título de residência, Entre pessoas do mesmo sexo, por morte, HM (N.º)","População estrangeira a quem foi concedido título de residência, Entre pessoas do mesmo sexo, por morte, H (N.º)","População estrangeira a quem foi concedido título de residência, Entre pessoas do mesmo sexo, por morte, M (N.º)","População estrangeira com estatuto de residente, Entre pessoas do mesmo sexo, por morte, HM (N.º)","População estrangeira com estatuto de residente, Entre pessoas do mesmo sexo, por morte, H (N.º)","População estrangeira com estatuto de residente, Entre pessoas do mesmo sexo, por morte, M (N.º)"
Portugal,33272,32595,22404,10037,358,319,66141,20421,45720,129155,68363,60792,588976,295874,293102
Continente,31348,30708,21098,9463,342,298,63048,19291,43757,127211,67410,59801,576540,289757,286783
Norte,11784,11650,6951,4647,72,62,22314,7411,14903,21960,11161,10799,77128,36559,40569
Alto Minho,747,739,408,328,4,4,1722,505,1217,1237,698,539,4774,2484,2290
Arcos de Valdevez,56,56,24,32,0,0,166,35,131,63,28,35,273,123,150
Caminha,41,40,28,11,1,0,120,40,80,93,56,37,421,219,202
Melgaço,22,22,18,4,0,0,70,9,61,22,13,9,108,45,63
Monção,37,37,22,15,0,0,156,30,126,133,77,56,568,308,260
Paredes de Coura,22,22,10,12,0,0,73,26,47,37,21,16,105,54,51
Ponte da Barca,46,44,26,18,1,1,82,21,61,28,15,13,97,46,51
Ponte de Lima,177,176,81,95,0,1,242,64,178,89,52,37,383,215,168
Valença,29,28,17,11,0,1,113,34,79,133,75,58,546,279,267
Viana do Castelo,287,284,162,120,2,1,632,232,400,567,320,247,1977,1040,937
Vila Nova de Cerveira,30,30,20,10,0,0,68,14,54,72,41,31,296,155,141
Cávado,1467,1453,791,657,12,2,2157,796,1361,3879,1997,1882,12995,6177,6818
Amares,91,90,49,41,1,0,117,42,75,77,39,38,271,126,145
Barcelos,384,381,180,198,3,0,589,232,357,339,189,150,1205,578,627
Braga,655,646,362,282,7,2,965,384,581,3145,1596,1549,10315,4880,5435
Esposende,148,148,78,70,0,0,181,50,131,188,104,84,673,344,329
Terras de Bouro,17,16,16,0,1,0,49,7,42,12,5,7,64,25,39
Vila Verde,172,172,106,66,0,0,256,81,175,118,64,54,467,224,243
Ave,1079,1070,647,419,5,4,2502,851,1651,1285,702,583,5163,2512,2651
Cabeceiras de Basto,46,46,23,23,0,0,88,19,69,14,8,6,140,71,69
Fafe,152,150,93,57,2,0,284,84,200,63,38,25,308,136,172
Guimarães,278,275,206,69,1,2,913,319,594,575,297,278,2267,1096,1171
Mondim de Basto,29,29,22,7,0,0,49,12,37,3,2,1,48,24,24
Póvoa de Lanhoso,59,58,54,4,0,1,134,44,90,67,38,29,228,112,116
Vieira do Minho,50,50,28,22,0,0,84,20,64,30,11,19,143,58,85
Vila Nova de Famalicão,393,391,183,204,1,1,833,313,520,492,284,208,1838,916,922
Vizela,72,71,38,33,1,0,117,40,77,41,24,17,191,99,92
A. M. Porto,5929,5843,3764,2046,43,43,10658,3831,6827,13175,6568,6607,44480,20819,23661
Arouca,50,50,39,11,0,0,127,33,94,35,25,10,123,71,52
Espinho,185,183,133,50,0,2,210,56,154,161,76,85,764,346,418
Gondomar,404,396,251,141,3,5,1032,401,631,646,290,356,2489,1143,1346
Maia,391,388,290,95,2,1,816,339,477,927,484,443,3177,1481,1696
Matosinhos,489,484,327,154,3,2,1071,402,669,1505,751,754,5022,2346,2676
Oliveira de Azeméis,162,161,76,84,1,0,426,134,292,169,93,76,843,377,466
Paredes,226,224,120,104,2,0,467,183,284,170,88,82,631,286,345
Porto,1121,1090,827,260,18,13,1578,484,1094,4677,2340,2337,14492,6939,7553
Póvoa de Varzim,350,346,240,105,2,2,345,123,222,489,225,264,1669,779,890
Santa Maria da Feira,389,388,226,160,0,1,796,268,528,348,161,187,1603,693,910
Santo Tirso,223,217,93,122,3,3,424,135,289,117,53,64,526,229,297
São João da Madeira,127,124,82,41,1,2,134,49,85,170,91,79,678,322,356
Trofa,160,159,83,76,0,1,202,70,132,150,84,66,523,250,273
Vale de Cambra,94,94,38,56,0,0,144,38,106,86,54,32,291,158,133
Valongo,360,359,217,134,1,0,561,238,323,351,173,178,1277,569,708
Vila do Conde,384,379,238,140,2,3,513,206,307,547,302,245,2121,1098,1023
Vila Nova de Gaia,814,801,484,313,5,8,1812,672,1140,2627,1278,1349,8251,3732,4519
Alto Tâmega,250,246,170,76,2,2,667,143,524,214,100,114,1182,544,638
Boticas,14,14,7,7,0,0,45,6,39,2,1,1,40,18,22
Chaves,126,122,81,41,2,2,254,75,179,153,72,81,638,272,366
Montalegre,35,35,24,11,0,0,84,19,65,15,6,9,101,53,48
Ribeira de Pena,19,19,12,7,0,0,52,7,45,10,5,5,86,56,30
Valpaços,33,33,28,5,0,0,138,21,117,19,8,11,169,65,104
Vila Pouca de Aguiar,23,23,18,5,0,0,94,15,79,15,8,7,148,80,68
Tâmega e Sousa,1539,1528,721,802,6,5,2485,756,1729,612,327,285,2379,1069,1310
Amarante,186,186,90,96,0,0,335,98,237,83,36,47,363,149,214
Baião,71,70,24,46,0,1,126,31,95,14,8,6,75,36,39
Castelo de Paiva,53,52,29,23,1,0,86,30,56,8,4,4,59,23,36
Celorico de Basto,50,50,30,20,0,0,119,21,98,9,6,3,80,32,48
Cinfães,46,46,28,18,0,0,163,35,128,22,9,13,79,36,43
Felgueiras,227,227,90,137,0,0,281,88,193,92,56,36,336,153,183
Lousada,180,179,60,119,0,1,275,93,182,78,46,32,241,117,124
Marco de Canaveses,187,187,84,102,0,0,320,111,209,113,63,50,323,146,177
Paços de Ferreira,253,249,135,113,3,1,311,103,208,77,39,38,310,134,176
Penafiel,244,240,131,106,2,2,383,125,258,110,57,53,461,215,246
Resende,42,42,20,22,0,0,86,21,65,6,3,3,52,28,24
Douro,547,545,325,218,0,2,1299,363,936,345,163,182,2363,1132,1231
Alijó,14,14,10,4,0,0,85,19,66,11,5,6,95,41,54
Armamar,7,7,7,0,0,0,37,7,30,6,2,4,53,23,30
Carrazeda de Ansiães,9,9,7,2,0,0,51,10,41,8,6,2,105,54,51
Freixo de Espada à Cinta,5,5,4,1,0,0,32,7,25,8,3,5,108,54,54
Lamego,88,87,36,51,0,1,171,51,120,16,5,11,137,44,93
Mesão Frio,25,25,24,1,0,0,29,5,24,4,2,2,18,9,9
Moimenta da Beira,38,38,19,18,0,0,49,8,41,19,10,9,136,76,60
Murça,15,15,9,6,0,0,31,5,26,5,2,3,46,16,30
Penedono,7,7,6,1,0,0,18,4,14,3,1,2,22,9,13
Peso da Régua,67,67,45,22,0,0,104,34,70,14,9,5,96,45,51
Sabrosa,11,11,5,6,0,0,41,12,29,7,4,3,33,14,19
Santa Marta de Penaguião,11,11,10,1,0,0,48,11,37,2,1,1,66,41,25
São João da Pesqueira,17,17,7,10,0,0,44,10,34,8,2,6,74,31,43
Sernancelhe,16,16,6,10,0,0,37,11,26,3,1,2,33,19,14
Tabuaço,21,21,12,9,0,0,36,6,30,1,0,1,27,13,14
Tarouca,21,20,13,7,0,1,55,22,33,5,1,4,53,29,24
Torre de Moncorvo,9,9,5,4,0,0,61,10,51,8,2,6,104,44,60
Vila Nova de Foz Côa,13,13,12,1,0,0,60,13,47,23,9,14,187,94,93
Vila Real,153,153,88,64,0,0,310,118,192,194,98,96,970,476,494
Terras de Trás-os-Montes,226,226,125,101,0,0,824,166,658,1213,606,607,3792,1822,1970
Alfândega da Fé,12,12,8,4,0,0,32,5,27,21,12,9,158,77,81
Bragança,84,84,48,36,0,0,223,46,177,920,465,455,2384,1170,1214
Macedo de Cavaleiros,33,33,18,15,0,0,111,22,89,56,27,29,189,85,104
Miranda do Douro,8,8,1,7,0,0,48,5,43,13,8,5,92,42,50
Mirandela,37,37,18,19,0,0,180,55,125,151,72,79,584,273,311
Mogadouro,21,21,13,8,0,0,78,14,64,5,1,4,74,30,44
Vila Flor,12,12,9,3,0,0,36,5,31,34,16,18,220,106,114
Vimioso,6,6,3,3,0,0,47,4,43,10,5,5,50,25,25
Vinhais,13,13,7,6,0,0,69,10,59,3,0,3,41,14,27
