,"Casamentos, Total (N.º)","Casamentos, Entre pessoas de sexo oposto, Total (N.º)","Casamentos, Entre pessoas de sexo oposto, dos quais, Só civis (N.º)","Casamentos, Entre pessoas de sexo oposto, dos quais, Católicos (N.º)","Casamentos, Entre pessoas do mesmo sexo, Masculino, Católicos (N.º)","Casamentos, Entre pessoas do mesmo sexo, Feminino, Católicos (N.º)","Casamentos dissolvidos, Entre pessoas do mesmo sexo, Total, Católicos (N.º)","Casamentos dissolvidos, Entre pessoas do mesmo sexo, por divórcio, Católicos (N.º)","Casamentos dissolvidos, Entre pessoas do mesmo sexo, por morte, Católicos (N.º)","População estrangeira a quem foi concedido título de residência, Entre pessoas do mesmo sexo, por morte, HM (N.º)","População estrangeira a quem foi concedido título de residência, Entre pessoas do mesmo sexo, por morte, H (N.º)","População estrangeira a quem foi concedido título de residência, Entre pessoas do mesmo sexo, por morte, M (N.º)","População estrangeira com estatuto de residente, Entre pessoas do mesmo sexo, por morte, HM (N.º)","População estrangeira com estatuto de residente, Entre pessoas do mesmo sexo, por morte, H (N.º)","População estrangeira com estatuto de residente, Entre pessoas do mesmo sexo, por morte, M (N.º)"
Nisa,9,9,4,5,0,0,76,8,68,14,6,8,92,46,46
Ponte de Sor,20,20,13,6,0,0,123,21,102,43,26,17,395,212,183
Portalegre,42,41,27,14,1,0,172,37,135,110,52,58,619,300,319
Sousel,9,9,9,0,0,0,53,8,45,20,9,11,99,53,46
Alentejo Central,504,499,337,160,3,2,1133,205,928,755,404,351,4897,2547,2350
Alandroal,17,17,15,2,0,0,43,5,38,11,7,4,119,72,47
Arraiolos,15,15,7,8,0,0,52,10,42,13,7,6,164,86,78
Borba,14,14,4,10,0,0,59,10,49,7,3,4,129,52,77
Estremoz,38,37,23,14,0,1,101,14,87,16,7,9,326,159,167
Évora,205,203,136,66,2,0,341,89,252,431,219,212,2282,1147,1135
Montemor-o-Novo,43,43,35,8,0,0,136,16,120,75,41,34,452,235,217
Mora,15,15,12,3,0,0,42,3,39,5,3,2,47,25,22
Mourão,16,16,12,4,0,0,17,3,14,9,4,5,51,31,20
Portel,12,12,8,4,0,0,32,2,30,13,11,2,129,74,55
Redondo,19,18,15,3,0,1,45,8,37,10,5,5,194,104,90
Reguengos de Monsaraz,46,45,31,13,1,0,84,12,72,30,17,13,307,184,123
Vendas Novas,20,20,16,4,0,0,80,11,69,109,64,45,451,255,196
Viana do Alentejo,13,13,8,5,0,0,50,11,39,12,8,4,108,60,48
Vila Viçosa,31,31,15,16,0,0,51,11,40,14,8,6,138,63,75
Algarve,1239,1205,1062,140,20,14,3013,774,2239,11993,6620,5373,105137,55689,49448
Albufeira,191,185,172,13,4,2,199,62,137,1913,1063,850,16433,8777,7656
Alcoutim,20,20,19,1,0,0,21,2,19,38,22,16,219,117,102
Aljezur,13,13,13,0,0,0,36,8,28,326,164,162,2192,1107,1085
Castro Marim,43,43,35,8,0,0,51,15,36,90,57,33,997,553,444
Faro,101,99,77,21,2,0,456,135,321,1342,789,553,9714,5262,4452
Lagoa,27,27,27,0,0,0,150,42,108,553,323,230,5459,2855,2604
Lagos,56,56,50,6,0,0,217,46,171,1137,591,546,11651,6021,5630
Loulé,145,143,111,32,2,0,507,126,381,1846,970,876,18707,9695,9012
Monchique,109,107,99,8,2,0,43,4,39,85,49,36,907,495,412
Olhão,50,48,40,7,0,2,268,68,200,676,358,318,5288,2808,2480
Portimão,53,52,48,4,0,1,399,126,273,1610,899,711,12014,6346,5668
São Brás de Alportel,222,212,200,11,7,3,72,17,55,124,64,60,1511,746,765
Silves,75,72,64,8,1,2,260,55,205,806,471,335,7231,3972,3259
Tavira,40,39,27,12,0,1,185,36,149,840,475,365,7238,3970,3268
