,"Proporção de casamentos entre portugueses/as e estrangeiros/as, %, 2021","População estrangeira a quem foi concedido título de residência por 100 habitantes, N.º, 2021","Índice de envelhecimento, N.º, 2021","Índice de renovação da população em idade ativa, N.º, 2021","Índice de dependência de idosas/os, N.º, 2021","Índice de longevidade, N.º, 2021","Relação de masculinidade, N.º, 2021","Relação de masculinidade dos estrangeiros a quem foi concedido título de residência , N.º, 2021","Idade média das mulheres ao nascimento do primeiro filho, anos, 2021","Idade média da mulher ao primeiro casamento, anos, 2021","Idade média do homem ao primeiro casamento, anos, 2021","Esperança de vida à nascença
, anos, 2019-2021","Esperança de vida aos 65 anos, anos, 2019-2021"
Vila Velha de Ródão,0,0.85,508.5,49.2,98.2,61.7,90.8,180,x,x,x,x,x
Médio Tejo,6,0.57,256.4,63,48.9,53.7,90.2,98.9,30,32.6,33.8,80.73,19.48
Abrantes,9.9,0.19,309.6,53.9,53.6,53,92.1,88.6,x,x,x,x,x
Alcanena,12.5,0.44,240.2,60.4,48,50.8,92.4,96.4,x,x,x,x,x
Constância,8.3,0.05,215,60.2,41.5,50.9,91.2,100,x,x,x,x,x
Entroncamento,0,1.03,144.7,72.8,32.6,53.6,88.7,79.5,x,x,x,x,x
Ferreira do Zêzere,4,0.59,302,60.7,57,55.2,89.6,119,x,x,x,x,x
Mação,22.2,0.33,556.3,48.8,82.7,61.7,91.7,75,x,x,x,x,x
Ourém,1.3,1.19,222.2,74.2,44,54.2,88.5,101.1,x,x,x,x,x
Sardoal,11.1,0.17,374.2,54.2,55,54.2,92.7,50,x,x,x,x,x
Sertã,5.4,0.66,295.8,58.6,54.3,54.1,93.1,164.9,x,x,x,x,x
Tomar,12.5,0.41,296.2,60.8,52.1,52.3,88.8,76.2,x,x,x,x,x
Torres Novas,0,0.3,239.9,62.1,47.6,52.7,91.1,126.7,x,x,x,x,x
Vila de Rei,0,0.36,431.3,66.3,78.5,62,87.7,300,x,x,x,x,x
Vila Nova da Barquinha,9.1,0.23,211.7,66.1,45.6,54.3,89.9,77.8,x,x,x,x,x
Beiras e Serra da Estrela,8.3,0.52,340.7,55.4,57.8,53.7,90.4,121.6,30.3,31.6,34,80.2,19.73
Almeida,0,0.25,723.2,45,87.3,59.5,88,114.3,x,x,x,x,x
Belmonte,0,0.35,317.1,52.9,57,56.2,90.8,175,x,x,x,x,x
Celorico da Beira,30,0.33,373.2,51.1,62.7,55.5,89.8,120,x,x,x,x,x
Covilhã,12.5,0.81,291.1,61.2,50.7,49.6,90.6,111.2,x,x,x,x,x
Figueira de Castelo Rodrigo,0,0.14,383.5,50.6,72.7,57.9,90.7,133.3,x,x,x,x,x
Fornos de Algodres,0,0.18,413.7,52,66.1,59,86.4,300,x,x,x,x,x
Fundão,3.3,0.68,325.8,55.1,57.1,53.7,92.6,120.7,x,x,x,x,x
Gouveia,4,0.2,425.6,49.5,72.7,54.9,87.9,140,x,x,x,x,x
Guarda,11.5,0.8,228.6,65.3,39.9,51,90.9,129.1,x,x,x,x,x
Manteigas,20,0.58,524.2,51.8,72.4,49.3,88,112.5,x,x,x,x,x
Mêda,0,0.06,469.8,45.5,72.6,57.4,90.4,0,x,x,x,x,x
Pinhel,0,0.11,506.9,46.2,71.9,57.2,91.7,350,x,x,x,x,x
Sabugal,0,0.11,594.5,43.2,93.6,60.7,89.4,160,x,x,x,x,x
Seia,6.8,0.28,358.1,50.9,62.4,51.1,89.7,69.4,x,x,x,x,x
Trancoso,0,0.21,408.9,49.1,65.1,56.7,90.3,350,x,x,x,x,x
A. M. Lisboa,20.4,1.89,152.5,88.8,34.2,49.2,88.7,113.5,30.5,34.8,36.4,80.75,19.6
Alcochete,4.9,1,111.6,85.6,26.9,48.4,92.6,100,x,x,x,x,x
Almada,22.7,1.55,176.8,81.7,38.8,50.5,88.2,101.5,x,x,x,x,x
Amadora,7.7,1.88,156.1,97.1,35.3,49.7,86.2,115.4,x,x,x,x,x
Barreiro,25.6,1.27,196.2,84.5,42.1,49.9,87.7,97,x,x,x,x,x
Cascais,26,2.3,159.5,75.3,36.5,48.8,87,100.1,x,x,x,x,x
Lisboa,28.4,3.42,177.8,98.9,37,54.2,87.1,125.5,x,x,x,x,x
Loures,10.8,1.65,150,90.4,35.1,48.8,89.2,114.5,x,x,x,x,x
Mafra,8.3,1.29,111.2,83,27.3,48.3,94,109.1,x,x,x,x,x
Moita,3.8,1.18,150,82.3,35.1,45,89.5,97.5,x,x,x,x,x
Montijo,3,1.61,116.5,93.2,28.8,48.6,94.7,158,x,x,x,x,x
Odivelas,x,2.2,138.2,95.5,33,47.2,89,132.7,x,x,x,x,x
