,"Densidade populacional 
┴, N.º/km2","Taxa de crescimento efetivo, %","Taxa de crescimento natural, %","Taxa de crescimento migratório, %","Taxa bruta de natalidade, ‰","Taxa bruta de mortalidade, ‰","Taxa bruta de nupcialidade, ‰","Taxa bruta de divórcio, ‰","Taxa de fecundidade geral, ‰","Taxa de fecundidade na adolescência, ‰","Índice sintético de fecundidade, N.º","Mulheres em idade fértil na população residente feminina, %","Nados-vivos fora do casamento, %","Proporção de casamentos católicos, %"
Lezíria do Tejo,55.4,-0.03,-0.76,0.73,7.2,14.8,2.8,1.7,35.8,5.7,1.44,38.4,68.6,26.1
Almeirim,99.2,-0.25,-0.87,0.61,7,15.7,2.2,1.8,34.2,x,x,39.2,68.4,16.7
Alpiarça,73.1,-0.47,-1.13,0.66,6,17.3,3.4,2,32.5,x,x,35.3,78.6,20.8
Azambuja,82.6,0.86,-0.67,1.53,6.9,13.6,2.2,1.4,34.6,x,x,40.2,68,33.3
Benavente,57.7,0.87,-0.45,1.32,7.3,11.8,3,1.8,32.3,x,x,43.7,70.9,8.1
Cartaxo,147.1,0.07,-0.78,0.86,6.2,14.1,2.3,1.8,30.4,x,x,39.3,75.9,19.6
Chamusca,11.4,-1.03,-1.43,0.4,4.6,18.8,0.6,0.9,26.2,x,x,33.6,74.4,75
Coruche,15.5,-1.08,-1.23,0.14,7.3,19.5,1.1,1.6,43.3,x,x,31.8,66.7,57.9
Golegã,63.9,-0.76,-1.13,0.37,7.9,19.2,7.4,1.7,41.6,x,x,36.2,72.1,33.3
Rio Maior,77.3,0.06,-0.41,0.47,8.9,13,1.9,1.9,44.3,x,x,39.1,62.8,17.5
Salvaterra de Magos,88.9,-0.14,-0.77,0.63,7.7,15.3,3.5,1.6,39.5,x,x,37.3,69.9,17.1
Santarém,106.4,-0.19,-0.71,0.53,7.2,14.3,3.8,1.9,35.8,x,x,37.9,66,35.6
Alto Alentejo,17.2,-1.06,-1.31,0.26,6.6,19.7,1.9,1.4,36.1,8.3,1.45,34.7,75.7,32
Alter do Chão,8.4,-0.69,-1.8,1.11,6.9,24.8,2.9,1.6,41.6,x,x,31.2,81,22.2
Arronches,8.9,-1.18,-1.99,0.82,5.3,25.3,2.1,0.7,32.5,x,x,32.6,66.7,0
Avis,6.3,-0.47,-1.49,1.02,7.3,22.3,2.1,1,41.4,x,x,33.8,89.3,62.5
Campo Maior,32.4,-0.75,-0.83,0.09,8.3,16.7,1.6,1.3,40.1,x,x,40.3,86.6,30.8
Castelo de Vide,11.7,-1.69,-2.05,0.35,5.4,25.9,1.6,1.7,33.8,x,x,30.5,64.7,0
Crato,8,-2.36,-2.73,0.37,3.1,30.4,2.5,1.3,21.5,x,x,26.7,60,50
Elvas,32.7,-0.93,-1.05,0.12,7.8,18.3,2.4,1.6,39.2,x,x,37.9,79,34
Fronteira,11.5,-0.98,-1.67,0.7,4.9,21.6,1.4,1,29,x,x,32.1,50,25
Gavião,11.4,-2.04,-2.22,0.18,4.1,26.3,3,0.3,30.3,x,x,25.5,57.1,20
Marvão,19.5,-1.42,-1.91,0.49,7.9,27,1.6,2.7,48.6,x,x,31.4,79.2,60
Monforte,7.1,-0.77,-1.1,0.33,6,17,2,0.3,30.2,x,x,37.9,72.2,33.3
Nisa,10.2,-2.12,-2.57,0.45,3.4,29.1,1.5,1.4,23.5,x,x,27.3,60,55.6
Ponte de Sor,18.1,-0.97,-1.14,0.17,5.7,17.1,1.3,1.4,32,x,x,34.3,83.9,30
Portalegre,49.8,-0.74,-0.78,0.04,6.9,14.8,1.9,1.7,35.9,x,x,36.8,63.2,34.1
Sousel,15.5,-1.17,-1.36,0.18,8.7,22.3,2.1,1.8,48.8,x,x,33.3,97.4,0
Alentejo Central,20.6,-0.57,-0.91,0.34,7.4,16.5,3.3,1.4,38,11.9,1.5,37.3,71.6,32.1
Alandroal,9.1,-1.36,-1.4,0.04,6.4,20.4,3.4,1,38.6,x,x,32.3,78.1,11.8
Arraiolos,9.7,-0.54,-1.1,0.56,6.8,17.8,2.3,1.5,36,x,x,36.8,73.3,53.3
Borba,44.3,-0.68,-0.98,0.29,8.2,18,2.2,1.5,46.6,x,x,34.3,60.4,71.4
Estremoz,24.6,-0.76,-1.02,0.26,8.3,18.5,3,1.1,45.8,x,x,34.7,72.6,37.8
Évora,41,-0.23,-0.5,0.27,7.9,13,3.8,1.7,37.5,x,x,40.2,67.4,32.5
Montemor-o-Novo,12.8,-0.9,-1.32,0.42,6.7,19.9,2.7,1,35.7,x,x,36,63.2,18.6
Mora,9.2,-2.24,-2.58,0.34,2.9,28.7,3.6,0.7,19.6,x,x,28.9,83.3,20
Mourão,8.5,-0.08,-0.76,0.67,13.1,20.7,6.7,1.2,76.7,x,x,34.7,83.9,25
Portel,9.5,-0.63,-0.99,0.36,7.3,17.2,2.1,0.3,39.6,x,x,36.1,69,33.3
Redondo,17,-0.7,-0.89,0.19,7.6,16.5,3,1.3,40.2,x,x,36.7,81.3,16.7
Reguengos de Monsaraz,21.3,-0.54,-0.94,0.4,8.6,18,4.7,1.2,44.4,x,x,37.4,84.7,28.9
Vendas Novas,50.6,-0.37,-0.9,0.53,5.7,14.7,1.8,1,29.1,x,x,37.4,79.7,20
Viana do Alentejo,13.5,-1.05,-1.63,0.58,5.8,22.1,2.4,2.1,29.8,x,x,37.2,77.4,38.5
Vila Viçosa,37.8,-0.58,-0.8,0.22,6.5,14.5,4.2,1.5,34.8,x,x,35.8,75,51.6
Algarve,93.2,-0.6,-0.37,-0.23,8.8,12.5,2.7,1.7,41.9,7.7,1.61,40.6,68.8,11.6
Albufeira,315,0.19,0.15,0.05,10.2,8.8,4.3,1.4,44.5,x,x,44.6,62.9,7
Alcoutim,4.3,-3.27,-2.71,-0.56,2.8,29.9,8,0.9,23.2,x,x,23.5,85.7,5
Aljezur,18.6,-0.81,-0.84,0.03,7.6,16,2.1,1.4,39.8,x,x,38,80.4,0
Castro Marim,21.3,-0.82,-0.78,-0.05,7.1,14.9,6.7,2.4,41.7,x,x,33.5,80.4,18.6
Faro,332.7,-0.55,-0.3,-0.25,8.8,11.8,1.5,2.1,39.3,x,x,42.2,70.7,21.2
Lagoa,268.6,-0.22,-0.15,-0.07,9.4,11,1.1,1.8,45.8,x,x,40.1,74.1,0
Lagos,156.3,-0.83,-0.48,-0.35,7.7,12.5,1.7,1.4,38.1,x,x,39,69,10.7
Loulé,94.3,-0.73,-0.38,-0.35,9.5,13.3,2,1.8,44.8,x,x,40.7,67,22.4
Monchique,13.6,-2.28,-1.56,-0.72,7.2,22.8,20.1,0.8,44.7,x,x,32.1,84.6,7.5
Olhão,339.3,-0.77,-0.4,-0.37,8.1,12.1,1.1,1.5,37.9,x,x,41.9,73.3,14.6
Portimão,327.8,-0.43,-0.25,-0.18,9.8,12.3,0.9,2.2,44.1,x,x,42.2,66.4,7.7
São Brás de Alportel,73.1,-0.54,-0.34,-0.2,9.1,12.5,19.8,1.6,44.3,x,x,39.2,68.6,5.2
Silves,55.4,-0.48,-0.5,0.02,8.5,13.5,2,1.5,42.1,x,x,39.6,66.4,11.1
Tavira,45,-1.24,-0.73,-0.51,7.2,14.6,1.5,1.4,40,x,x,35.4,68.3,30.8
Vila do Bispo,31.8,-0.6,-0.44,-0.16,10,14.4,9.3,1.1,51,x,x,37.9,78.9,0
Vila Real de Santo António,305.7,-0.82,-0.55,-0.27,7.4,13,2.2,1.4,36.9,x,x,38.6,67.1,23.7
R. A. Açores,101.8,-0.07,-0.14,0.06,8.6,10,3.5,2.5,36,10.7,1.32,46.6,54.2,30.7
Santa Maria,56,0.24,-0.09,0.33,10.3,11.3,1.7,1.5,44.6,x,x,44.5,71.4,44.4
Vila do Porto,56,0.24,-0.09,0.33,10.3,11.3,1.7,1.5,44.6,x,x,44.5,71.4,44.4
São Miguel,186.4,0.01,0.02,-0.01,9.2,9,3.6,2.6,36.7,x,x,48.9,52.6,28.8
Lagoa (R.A.A.),311.8,0.12,-0.08,0.2,9.5,10.3,8.3,2.1,36.6,x,x,50.9,41.5,13.6
Nordeste,43.2,-0.09,-0.66,0.57,6.2,12.8,4.8,2.2,28.7,x,x,42.5,63,25
Ponta Delgada,288.7,0.01,0.03,-0.02,9.2,9,2.7,3.3,36.8,x,x,48.1,54.9,39.2
Povoação,54.4,-0.28,-0.22,-0.05,7.8,10,3.6,2.4,33.2,x,x,45.6,46.7,25
Ribeira Grande,174.5,0.16,0.29,-0.13,10.5,7.7,2.7,2,40.7,x,x,51.3,52.3,29.4
Vila Franca do Campo,132.1,-0.39,-0.27,-0.12,6.9,9.6,4.9,0.6,28.3,x,x,48.8,54.9,29.4
Terceira,132.9,-0.21,-0.24,0.04,8,10.5,3.9,2.4,35.1,x,x,44.3,52.6,38
Angra do Heroísmo,141,-0.36,-0.28,-0.08,7.7,10.5,5,2.3,33.6,x,x,44.2,53.8,39.5
Vila da Praia da Vitória,120.8,0.05,-0.18,0.24,8.6,10.5,2,2.5,37.8,x,x,44.4,50.6,31.6
Graciosa,67.4,-0.17,-0.34,0.17,7.1,10.5,3.2,2.9,33.2,x,x,42,72.4,30.8
Santa Cruz da Graciosa,67.4,-0.17,-0.34,0.17,7.1,10.5,3.2,2.9,33.2,x,x,42,72.4,30.8
São Jorge,34.3,-0.48,-0.61,0.13,6.6,12.7,2.2,1.9,30.8,x,x,42.2,50.9,27.8
Calheta (R.A.A.),27.2,-0.35,-0.44,0.09,6.1,10.5,1.7,1.8,29.7,x,x,40.5,47.6,33.3
Velas,41.9,-0.57,-0.73,0.16,6.9,14.2,2.4,2,31.4,x,x,43.4,52.9,25
Pico,31.3,0.09,-0.34,0.44,7.3,10.7,3.6,2.2,33.7,x,x,42,55.4,18
Lajes do Pico,28,-0.07,-0.34,0.28,7.4,10.8,4.4,2,35.9,x,x,40.3,53.1,15.8
Madalena,43.1,0,-0.33,0.33,7.4,10.7,3.2,2,32.8,x,x,43.7,57.4,30
São Roque do Pico,22.8,0.49,-0.37,0.87,6.8,10.5,3.4,2.8,32.5,x,x,40.9,54.5,0
Faial,82.6,-0.57,-0.57,0,7.7,13.3,3.6,3.1,33.8,x,x,44.1,58.2,34
Horta,82.6,-0.57,-0.57,0,7.7,13.3,3.6,3.1,33.8,x,x,44.1,58.2,34
Flores,24.4,0.44,-0.58,1.02,8.4,14.3,1.7,4.4,38.9,x,x,44,79.3,0
Lajes das Flores,20.1,-0.21,-1.28,1.07,5,17.8,2.8,4.2,23.5,x,x,44.4,85.7,0
Santa Cruz das Flores,28.8,0.89,-0.1,0.99,10.8,11.8,1,4.3,49.2,x,x,43.8,77.3,0
Corvo,23.3,2.8,-0.25,3.05,12.7,15.2,7.6,2.5,54.9,x,x,48.1,80,0
Corvo,23.3,2.8,-0.25,3.05,12.7,15.2,7.6,2.5,54.9,x,x,48.1,80,0
R. A. Madeira,313.5,-0.03,-0.45,0.42,6.9,11.4,3.4,1.8,31.5,4.9,1.23,41.4,64.1,23.2
Calheta (R.A.M.),97.8,-0.45,-0.94,0.49,6.1,15.6,7.3,1.8,31.3,x,x,36.4,56.7,10.4
Câmara de Lobos,615.9,-0.15,-0.05,-0.1,8.4,8.9,2,1.8,35.2,x,x,45.6,72.2,45.3
Funchal,1388.4,-0.22,-0.57,0.35,6.8,12.5,3.1,1.8,31.7,x,x,39.8,66.9,26.8
Machico,286.3,-0.45,-0.43,-0.02,5.7,10,4.4,1.8,27.3,x,x,39.9,51.4,19.8
Ponta do Sol,181.5,0.2,-0.48,0.68,7.4,12.2,5.4,1.7,33.9,x,x,40.7,56.5,4.9
Porto Moniz,30.3,-0.32,-0.87,0.56,4,12.7,7.5,1.2,22.1,x,x,32.1,10,5.3
Ribeira Brava,193.8,-0.08,-0.46,0.38,7.2,11.8,3.8,1.6,32.4,x,x,41.1,43.5,29.8
Santa Cruz,524.2,0.98,-0.1,1.09,7.8,8.8,3.3,1.9,31.5,x,x,47.2,67,22.6
Santana,68.3,-0.87,-1.11,0.24,4.3,15.4,2.9,1.2,23.6,x,x,33.3,67.9,21.1
São Vicente,61.6,-0.66,-1.42,0.76,4.3,18.5,1.4,1.8,23.3,x,x,34.7,57.1,14.3
Porto Santo,121.3,0.33,-0.41,0.73,6.4,10.4,5.2,1.9,30.1,x,x,41.8,54.5,11.1
