,"Total, MF (N.º)","Total, M (N.º)","Total, F (N.º)","Primary CAE: A, MF (N.º)","Primary CAE: A, M (N.º)","Primary CAE: A, F (N.º)","Secondary CAE: B - F, MF (N.º)","Secondary CAE: B - F, M (N.º)","Secondary CAE: B - F, F (N.º)","Tertiary CAE: G - U, MF (N.º)","Tertiary CAE: G - U, M (N.º)","Tertiary CAE: G - U, F (N.º)"
Portugal,2287160,1248808,1038352,46869,34146,12723,695795,481799,213996,1544496,732863,811633
Continente,2200594,1200895,999699,45215,32762,12453,676586,465745,210841,1478793,702388,776405
Norte,802614,444087,358527,7865,5549,2316,335721,218890,116831,459028,219648,239380
Alto Minho,46086,24479,21607,730,504,226,20979,13343,7636,24377,10632,13745
Arcos de Valdevez,3852,1848,2004,56,37,19,2137,1186,951,1659,625,1034
Caminha,1820,882,938,106,72,34,320,265,55,1394,545,849
Melgaço,709,286,423,9,…,…,227,…,…,473,122,351
Monção,2831,1510,1321,65,41,24,1012,757,255,1754,712,1042
Paredes de Coura,1032,511,521,37,…,…,443,…,…,552,232,320
Ponte da Barca,1184,608,576,45,41,4,330,283,47,809,284,525
Ponte de Lima,7848,4210,3638,144,84,60,4032,2270,1762,3672,1856,1816
Valença,3041,1607,1434,43,28,15,1055,652,403,1943,927,1016
Viana do Castelo,20243,11159,9084,185,129,56,8961,6246,2715,11097,4784,6313
Vila Nova de Cerveira,3526,1858,1668,40,34,6,2462,1279,1183,1024,545,479
Cávado,100923,56029,44894,789,504,285,49454,31618,17836,50680,23907,26773
Amares,2782,1747,1035,125,65,60,1146,897,249,1511,785,726
Barcelos,30128,15262,14866,347,227,120,20096,10656,9440,9685,4379,5306
Braga,52829,30240,22589,111,79,32,20195,14526,5669,32523,15635,16888
Esposende,6653,3781,2872,95,…,…,3679,…,…,2879,1270,1609
Terras de Bouro,997,456,541,7,…,…,179,…,…,811,308,503
Vila Verde,7534,4543,2991,104,71,33,4159,2942,1217,3271,1530,1741
Ave,104228,57049,47179,787,607,180,62507,37569,24938,40934,18873,22061
Cabeceiras de Basto,1912,1090,822,68,61,7,691,463,228,1153,566,587
Fafe,8794,4386,4408,29,23,6,5052,2656,2396,3713,1707,2006
Guimarães,46222,24896,21326,416,342,74,27841,16454,11387,17965,8100,9865
Mondim de Basto,737,412,325,28,20,8,238,188,50,471,204,267
Póvoa de Lanhoso,3283,1563,1720,31,23,8,1583,840,743,1669,700,969
Vieira do Minho,1180,661,519,21,18,3,323,268,55,836,375,461
Vila Nova de Famalicão,36509,21425,15084,158,113,45,23017,14874,8143,13334,6438,6896
Vizela,5591,2616,2975,36,7,29,3762,1826,1936,1793,783,1010
A. M. Porto,413283,230923,182360,2426,1742,684,135684,92203,43481,275173,136978,138195
Arouca,4073,2519,1554,242,206,36,2394,1699,695,1437,614,823
Espinho,4359,2080,2279,…,…,…,…,…,…,3044,1256,1788
Gondomar,16658,9293,7365,77,48,29,5499,4036,1463,11082,5209,5873
Maia,44862,26951,17911,118,69,49,12989,9516,3473,31755,17366,14389
Matosinhos,44798,24418,20380,105,74,31,9025,6783,2242,35668,17561,18107
Oliveira de Azeméis,16709,10138,6571,68,34,34,11499,7488,4011,5142,2616,2526
Paredes,16569,10135,6434,98,40,58,9288,6522,2766,7183,3573,3610
Porto,96637,48726,47911,160,118,42,7536,5278,2258,88941,43330,45611
Póvoa de Varzim,12292,6304,5988,408,278,130,4173,2546,1627,7711,3480,4231
Santa Maria da Feira,28738,17070,11668,66,51,15,16257,10321,5936,12415,6698,5717
Santo Tirso,14675,8053,6622,125,104,21,9067,5451,3616,5483,2498,2985
São João da Madeira,8840,4439,4401,…,…,…,…,…,…,4291,1972,2319
Trofa,11847,7289,4558,105,67,38,6032,3832,2200,5710,3390,2320
Vale de Cambra,5929,3557,2372,14,10,4,4335,2963,1372,1580,584,996
Valongo,13671,8364,5307,71,63,8,5792,4283,1509,7808,4018,3790
Vila do Conde,19422,11265,8157,641,500,141,8143,5330,2813,10638,5435,5203
Vila Nova de Gaia,53204,30322,22882,118,74,44,17801,12870,4931,35285,17378,17907
Alto Tâmega,11047,5963,5084,180,132,48,3682,2975,707,7185,2856,4329
Boticas,807,407,400,27,24,3,404,254,150,376,129,247
Chaves,5738,2990,2748,47,30,17,1510,1236,274,4181,1724,2457
Montalegre,858,479,379,46,37,9,281,245,36,531,197,334
Ribeira de Pena,886,605,281,11,11,0,494,439,55,381,155,226
Valpaços,1297,623,674,18,14,4,335,271,64,944,338,606
Vila Pouca de Aguiar,1461,859,602,31,16,15,658,530,128,772,313,459
Tâmega e Sousa,85441,48268,37173,812,588,224,52788,33004,19784,31841,14676,17165
Amarante,8472,5397,3075,112,70,42,4504,3610,894,3856,1717,2139
Baião,2254,1392,862,67,41,26,1135,885,250,1052,466,586
Castelo de Paiva,2785,1224,1561,58,48,10,1652,776,876,1075,400,675
Celorico de Basto,2101,1151,950,51,46,5,1120,726,394,930,379,551
Cinfães,3114,2473,641,15,10,5,2311,2153,158,788,310,478
Felgueiras,17077,9059,8018,97,74,23,12707,6876,5831,4273,2109,2164
Lousada,9919,5351,4568,59,43,16,6457,3502,2955,3403,1806,1597
Marco de Canaveses,9151,6003,3148,105,81,24,5576,4228,1348,3470,1694,1776
Paços de Ferreira,14833,8227,6606,89,68,21,9268,5287,3981,5476,2872,2604
Penafiel,14887,7537,7350,104,74,30,7783,4716,3067,7000,2747,4253
Resende,848,454,394,55,33,22,275,245,30,518,176,342
Douro,26864,14070,12794,1635,1136,499,7168,5518,1650,18061,7416,10645
Alijó,1327,662,665,114,84,30,336,224,112,877,354,523
Armamar,805,458,347,155,110,45,191,164,27,459,184,275
Carrazeda de Ansiães,467,286,181,47,32,15,118,102,16,302,152,150
Freixo de Espada à Cinta,462,225,237,30,24,6,129,112,17,303,89,214
Lamego,3525,1834,1691,157,106,51,1026,776,250,2342,952,1390
Mesão Frio,414,211,203,21,14,7,126,111,15,267,86,181
Moimenta da Beira,1398,707,691,82,59,23,366,308,58,950,340,610
Murça,537,277,260,29,21,8,180,127,53,328,129,199
Penedono,307,160,147,56,30,26,68,62,6,183,68,115
Peso da Régua,1879,908,971,80,52,28,348,257,91,1451,599,852
Sabrosa,811,405,406,217,137,80,203,138,65,391,130,261
Santa Marta de Penaguião,406,206,200,59,41,18,104,79,25,243,86,157
São João da Pesqueira,963,533,430,202,150,52,258,192,66,503,191,312
Sernancelhe,829,499,330,27,21,6,322,268,54,480,210,270
Tabuaço,493,258,235,60,37,23,211,157,54,222,64,158
Tarouca,1141,760,381,36,33,3,456,385,71,649,342,307
Torre de Moncorvo,789,401,388,66,50,16,188,149,39,535,202,333
Vila Nova de Foz Côa,788,417,371,61,51,10,305,236,69,422,130,292
Vila Real,9523,4863,4660,136,84,52,2233,1671,562,7154,3108,4046
Terras de Trás-os-Montes,14742,7306,7436,506,336,170,3459,2660,799,10777,4310,6467
Alfândega da Fé,397,194,203,30,…,…,84,…,…,283,103,180
Bragança,5935,2988,2947,76,61,15,1586,1195,391,4273,1732,2541
Macedo de Cavaleiros,1704,863,841,100,69,31,309,248,61,1295,546,749
Miranda do Douro,834,401,433,34,20,14,215,166,49,585,215,370
Mirandela,3121,1494,1627,71,51,20,611,453,158,2439,990,1449
Mogadouro,971,518,453,48,34,14,207,173,34,716,311,405
Vila Flor,801,399,402,138,69,69,187,150,37,476,180,296
Vimioso,428,179,249,4,…,…,111,…,…,313,82,231
Vinhais,551,270,281,5,5,0,149,114,35,397,151,246
Centro,454146,251144,203002,12047,8239,3808,178269,124185,54084,263830,118720,145110
Oeste,70881,39184,31697,4417,3008,1409,23814,16453,7361,42650,19723,22927
Alcobaça,12263,6624,5639,507,334,173,5901,3964,1937,5855,2326,3529
Alenquer,9208,5911,3297,415,267,148,4244,3016,1228,4549,2628,1921
Arruda dos Vinhos,2836,1741,1095,39,24,15,724,542,182,2073,1175,898
Bombarral,1984,1016,968,275,154,121,377,304,73,1332,558,774
Cadaval,1997,1019,978,188,141,47,607,453,154,1202,425,777
Caldas da Rainha,10268,5203,5065,348,219,129,2465,1693,772,7455,3291,4164
Lourinhã,3999,2320,1679,498,370,128,1115,906,209,2386,1044,1342
Nazaré,2493,1196,1297,86,65,21,696,389,307,1711,742,969
