,Total (N.º),"Employees size class , 1 - 9 (N.º)","Employees size class , 10 - 19 (N.º)","Employees size class , 20 - 49 (N.º)","Employees size class , 50 - 99 (N.º)","Employees size class , 100 - 249 (N.º)","Employees size class , 250 - 499 (N.º)","Employees size class , 500 and over (N.º)"
Seixal,16281,4320,2488,2826,1374,1452,1608,2213
Sesimbra,5044,1708,877,1067,474,387,3,528
Setúbal,18511,3693,2228,2758,1547,2149,2039,4097
Sintra,52003,11875,6833,8722,5091,6800,3867,8815
Vila Franca de Xira,22930,3574,2322,3285,2525,3147,2069,6008
Alentejo,131584,31498,15031,21099,14014,16071,9972,23899
Alentejo Litoral,23469,4603,2360,3138,2711,3549,3024,4084
Alcácer do Sal,1910,667,339,486,140,171,65,42
Grândola,2148,672,282,288,317,259,54,276
Odemira,9080,1493,853,973,1298,1487,2103,873
Santiago do Cacém,4779,1145,562,645,480,621,532,794
Sines,5552,626,324,746,476,1011,270,2099
Baixo Alentejo,19219,5710,1919,3432,1700,1977,1179,3302
Aljustrel,1595,394,88,184,196,77,583,73
Almodôvar,775,298,78,120,101,49,32,97
Alvito,195,55,25,87,…,0,0,…
Barrancos,170,59,24,72,…,11,0,…
Beja,7009,1944,695,944,813,983,241,1389
Castro Verde,2740,354,134,205,215,203,275,1354
Cuba,357,154,38,98,39,13,0,15
Ferreira do Alentejo,1118,446,156,330,28,100,0,58
Mértola,755,347,124,119,3,138,0,24
Moura,1622,646,179,512,82,62,…,…
Ourique,577,218,50,103,55,92,0,59
Serpa,1690,603,207,482,81,249,35,33
Vidigueira,616,192,121,176,65,0,…,…
Lezíria do Tejo,44251,9259,5418,6943,4971,5401,3137,9122
Almeirim,3173,905,394,632,519,175,55,493
Alpiarça,986,237,100,152,155,102,213,27
Azambuja,7986,528,380,747,603,1139,338,4251
Benavente,6185,1299,874,936,835,725,895,621
Cartaxo,2496,776,374,386,479,270,4,207
Chamusca,1400,458,189,262,158,61,219,53
Coruche,2487,788,460,414,277,156,148,244
Golegã,795,203,129,135,12,90,192,34
Rio Maior,4319,957,708,815,556,209,361,713
Salvaterra de Magos,2632,786,470,638,227,409,9,93
Santarém,11792,2322,1340,1826,1150,2065,703,2386
Alto Alentejo,15648,4188,2027,2746,1981,1757,1202,1747
Alter do Chão,413,134,64,68,109,28,0,10
Arronches,366,133,49,124,55,0,0,5
Avis,722,176,108,61,64,88,222,3
