,Total (€),"Employees size class , 1 - 9 (€)","Employees size class , 10 - 19 (€)","Employees size class , 20 - 49 (€)","Employees size class , 50 - 99 (€)","Employees size class , 100 - 249 (€)","Employees size class , 250 - 499 (€)","Employees size class , 500 and over (€)"
Carrazeda de Ansiães,919.82,818.21,914.27,1001.89,//,//,//,1485.66
Freixo de Espada à Cinta,932,838.54,898.47,958.41,914.44,878.16,//,1786.54
Lamego,984.52,848.66,899.07,1019.76,1043.55,992.89,899.07,1333.19
Mesão Frio,982.66,847.4,841.51,1264.36,…,816.43,1441.73,1725.51
Moimenta da Beira,920.82,874.57,888.96,934.8,957.51,817.25,858.3,1805.3
Murça,961.41,813.6,987.45,1077.85,845.07,1018.54,…,1076.38
Penedono,857.21,800.45,828.9,844.9,1116.84,//,//,1988.16
Peso da Régua,1042.77,838.13,940.17,971.07,1020.47,965.06,1130.19,1776.38
Sabrosa,1037.62,870.57,1079.27,1048.69,1142.41,2026.15,//,1351.93
Santa Marta de Penaguião,897.89,780.44,856.82,961.65,1045.72,…,//,2034.72
São João da Pesqueira,1015.81,896.73,1056,1161,896.68,1044.46,1190.7,1911.48
Sernancelhe,906.36,842.99,842.9,929.26,886.78,1277.58,1594.32,1536.7
Tabuaço,1023.68,857.04,1024.71,900.18,1310.29,1111.66,//,1417.47
Tarouca,908.15,829.02,840.28,1203.43,913.03,902.88,//,2292.38
Torre de Moncorvo,933.46,845.26,892.39,952.03,899.71,911.2,//,1666.29
Vila Nova de Foz Côa,992.61,832.96,908.94,1122.42,1039.88,997.55,889.93,1370.23
Vila Real,1140.47,863.76,997.47,1029.6,1048.78,1100.9,1080.78,1543.24
Terras de Trás-os-Montes,1021.88,861.87,949.14,988.97,1003.65,1045.21,1074.27,1464.45
Alfândega da Fé,925.34,846.58,916.66,947,808.01,//,//,1531.55
Bragança,1088.2,883.13,949.36,985.95,1041.22,1357.58,1105.89,1468.51
Macedo de Cavaleiros,979.76,833.44,1022.61,927.36,925.08,952.62,1074.17,1443.1
Miranda do Douro,934.9,834.44,876.42,1050.78,//,946.91,//,1498.34
Mirandela,1032.14,862.92,1041.3,1019.59,957.37,1194.42,1003.02,1435.39
Mogadouro,938.16,869.46,883.73,1035.09,955.16,875.04,…,1805.4
Vila Flor,979.21,879.9,856.37,933.32,1098.01,907.6,1196.7,1330.22
Vimioso,893.87,799.35,859.55,955.36,916.37,928.33,//,1573.42
Vinhais,889.96,851.32,795.72,965.93,802.15,1258.05,//,1503.48
Centro,1147.11,939.43,1052.11,1111.54,1184.91,1209.64,1343.79,1383.58
Oeste,1106.76,933.99,1059.21,1094.3,1167.68,1205.41,1338.15,1283.28
Alcobaça,1074.19,926.12,1022.68,1067.41,1139.26,1207.47,1660.17,1256.76
Alenquer,1239.69,957.51,1167.94,1190.61,1323.11,1333.51,1292.32,1464.66
Arruda dos Vinhos,1141.41,983.99,1153.12,1235.38,1051.68,1730.9,1075.41,1328.28
Bombarral,997.89,897.91,1019.9,1025.8,1068.71,930.25,//,1329.14
Cadaval,1043.26,860.61,1145.27,1039.9,1007.74,1005.43,1865.69,1741.42
Caldas da Rainha,1106.45,916.42,997.64,1081.91,1159.76,1042.29,1535.74,1258.24
Lourinhã,1077.03,961.46,1132.27,1010.48,1314.73,1045.69,1375.37,1477.24
