,"Educação pré-escolar, Total (N.º)","Educação pré-escolar, Público (N.º)","Educação pré-escolar, Privado  (N.º)","Ensino básico, 1º Ciclo, Total (N.º)","Ensino básico, 1º Ciclo, Público (N.º)","Ensino básico, 1º Ciclo, Privado  (N.º)","Ensino básico, 2º Ciclo, Total (N.º)","Ensino básico, 2º Ciclo, Público (N.º)","Ensino básico, 2º Ciclo, Privado  (N.º)","Ensino básico, 3º Ciclo, Total (N.º)","Ensino básico, 3º Ciclo, Público (N.º)","Ensino básico, 3º Ciclo, Privado  (N.º)"
Portugal,251060,135372,115688,373109,322736,50373,210064,185020,25044,342869,301866,41003
Continente,238618,128029,110589,353778,306605,47173,199517,175285,24232,324735,284977,39758
Norte,82552,47662,34890,118968,105095,13873,69268,61718,7550,114513,101157,13356
Alto Minho,5020,3408,1612,6957,6684,273,4027,3859,168,6659,6227,432
Arcos de Valdevez,367,188,179,529,529,0,272,270,2,511,492,19
Caminha,329,221,108,461,461,0,257,251,6,407,376,31
Melgaço,111,62,49,167,167,0,120,120,0,136,136,0
Monção,333,238,95,388,388,0,258,257,1,447,424,23
Paredes de Coura,159,70,89,234,234,0,144,144,0,244,230,14
Ponte da Barca,210,157,53,326,325,1,180,163,17,320,292,28
Ponte de Lima,915,862,53,1269,1266,3,738,736,2,1251,1210,41
Valença,318,318,0,432,432,0,231,231,0,358,358,0
Viana do Castelo,2088,1133,955,2865,2596,269,1666,1526,140,2695,2419,276
Vila Nova de Cerveira,190,159,31,286,286,0,161,161,0,290,290,0
Cávado,10637,6099,4538,14893,12643,2250,8422,7172,1250,13892,11887,2005
Amares,378,340,38,529,529,0,337,337,0,506,506,0
Barcelos,2671,2068,603,3796,3625,171,2159,1935,224,3571,3164,407
Braga,5444,2224,3220,7564,5594,1970,4311,3306,1005,7100,5638,1462
Esposende,914,507,407,1302,1302,0,673,673,0,1104,1077,27
Terras de Bouro,132,99,33,166,166,0,89,89,0,191,191,0
Vila Verde,1098,861,237,1536,1427,109,853,832,21,1420,1311,109
Ave,9995,4796,5199,13455,12626,829,7551,7135,416,12516,11634,882
Cabeceiras de Basto,360,262,98,512,512,0,294,282,12,560,520,40
Fafe,1128,464,664,1513,1389,124,904,838,66,1460,1296,164
Guimarães,3844,1608,2236,5018,4614,404,2710,2506,204,4639,4254,385
Mondim de Basto,114,66,48,170,170,0,108,108,0,170,170,0
Póvoa de Lanhoso,459,362,97,724,724,0,465,465,0,690,657,33
Vieira do Minho,195,176,19,311,311,0,179,179,0,294,294,0
Vila Nova de Famalicão,3304,1387,1917,4411,4110,301,2428,2294,134,3925,3690,235
Vizela,591,471,120,796,796,0,463,463,0,778,753,25
A. M. Porto,40643,21786,18857,59745,50508,9237,34780,30093,4687,56889,48939,7950
Arouca,468,374,94,737,737,0,434,434,0,720,700,20
Espinho,836,610,226,1055,1055,0,789,747,42,1576,1368,208
Gondomar,3340,2123,1217,4914,4249,665,2791,2440,351,4454,3940,514
Maia,3332,1688,1644,4821,4291,530,2879,2581,298,4373,4044,329
Matosinhos,3976,1900,2076,5732,4925,807,3129,2949,180,5436,4932,504
Oliveira de Azeméis,1349,779,570,1978,1872,106,1076,1076,0,1692,1692,0
Paredes,1852,1495,357,2849,2631,218,1861,1660,201,2879,2668,211
Porto,6762,1823,4939,10092,5997,4095,5763,3609,2154,9533,6035,3498
Póvoa de Varzim,1526,504,1022,2346,2122,224,1539,1410,129,2463,2317,146
Santa Maria da Feira,3131,1916,1215,4296,3958,338,2386,2140,246,3809,3487,322
Santo Tirso,1356,867,489,2108,1763,345,1338,1185,153,2212,1903,309
São João da Madeira,778,469,309,1234,1123,111,722,684,38,1198,1131,67
Trofa,799,631,168,1155,1078,77,673,630,43,1160,1024,136
