,"Docentes, Educação pré-escolar, Total (N.º)","Docentes, Educação pré-escolar, Público (N.º)","Docentes, Educação pré-escolar, Privado  (N.º)","Docentes, 1º ciclo do ensino básico, Total (N.º)","Docentes, 1º ciclo do ensino básico, Público (N.º)","Docentes, 1º ciclo do ensino básico, Privado  (N.º)","Docentes, 2º ciclo do ensino básico, Total (N.º)","Docentes, 2º ciclo do ensino básico, Público (N.º)","Docentes, 2º ciclo do ensino básico, Privado  (N.º)"
Albergaria-a-Velha,39,23,16,71,67,4,54,46,8
Anadia,43,21,22,68,61,7,48,39,9
Aveiro,134,55,79,219,205,14,191,183,8
Estarreja,43,24,19,69,65,4,51,51,0
Ílhavo,63,40,23,93,93,0,83,83,0
Murtosa,17,13,4,30,30,0,33,33,0
Oliveira do Bairro,40,21,19,64,64,0,43,43,0
Ovar,80,46,34,136,130,6,110,110,0
Sever do Vouga,13,11,2,26,26,0,16,16,0
Vagos,33,25,8,55,55,0,36,24,12
Região de Coimbra,650,369,281,1121,1023,98,813,761,52
Arganil,14,12,2,30,30,0,17,17,0
Cantanhede,53,36,17,95,90,5,63,59,4
Coimbra,219,74,145,377,300,77,257,215,42
Condeixa-a-Nova,18,14,4,36,36,0,32,32,0
Figueira da Foz,87,46,41,155,139,16,113,113,0
Góis,7,5,2,12,12,0,7,7,0
Lousã,22,18,4,38,38,0,34,34,0
Mealhada,29,18,11,51,51,0,30,30,0
Mira,15,12,3,30,30,0,12,12,0
Miranda do Corvo,18,13,5,30,30,0,24,24,0
Montemor-o-Velho,34,22,12,55,55,0,42,42,0
Mortágua,14,10,4,18,18,0,22,22,0
Oliveira do Hospital,39,28,11,58,58,0,44,44,0
Pampilhosa da Serra,5,2,3,10,10,0,12,12,0
Penacova,14,14,0,21,21,0,26,26,0
Penela,6,6,0,15,15,0,11,11,0
Soure,25,15,10,42,42,0,24,18,6
Tábua,19,16,3,27,27,0,26,26,0
Vila Nova de Poiares,12,8,4,21,21,0,17,17,0
Região de Leiria,445,311,134,824,774,50,563,502,61
Alvaiázere,6,6,0,15,15,0,12,12,0
Ansião,16,10,6,30,30,0,21,21,0
Batalha,25,17,8,38,38,0,27,27,0
Castanheira de Pêra,2,2,0,7,7,0,9,9,0
Figueiró dos Vinhos,8,6,2,10,10,0,9,9,0
Leiria,210,136,74,393,356,37,270,232,38
Marinha Grande,62,45,17,114,104,10,85,80,5
Pedrógão Grande,4,3,1,7,7,0,9,9,0
Pombal,77,60,17,137,136,1,79,68,11
Porto de Mós,35,26,9,73,71,2,42,35,7
Viseu Dão Lafões,469,368,101,844,812,32,679,659,20
Aguiar da Beira,10,10,0,14,14,0,10,10,0
Carregal do Sal,12,12,0,25,25,0,23,23,0
Castro Daire,24,21,3,46,46,0,35,35,0
Mangualde,28,21,7,52,52,0,37,37,0
Nelas,32,22,10,48,46,2,31,31,0
Oliveira de Frades,15,12,3,25,25,0,29,29,0
Penalva do Castelo,11,11,0,25,25,0,22,22,0
Santa Comba Dão,12,10,2,28,28,0,22,22,0
São Pedro do Sul,31,27,4,45,45,0,36,36,0
Sátão,22,20,2,38,38,0,28,28,0
Tondela,42,37,5,58,58,0,60,60,0
Vila Nova de Paiva,10,10,0,19,19,0,16,16,0
Viseu,203,140,63,390,360,30,299,279,20
Vouzela,17,15,2,31,31,0,31,31,0
Beira Baixa,114,60,54,214,201,13,183,183,0
Castelo Branco,78,36,42,151,138,13,131,131,0
Idanha-a-Nova,14,10,4,22,22,0,12,12,0
Oleiros,6,4,2,9,9,0,10,10,0
Penamacor,4,2,2,6,6,0,10,10,0
Proença-a-Nova,8,4,4,19,19,0,12,12,0
Vila Velha de Ródão,4,4,0,7,7,0,8,8,0
Médio Tejo,383,278,105,653,620,33,442,410,32
Abrantes,49,34,15,85,84,1,64,64,0
Alcanena,25,20,5,35,35,0,26,26,0
Constância,10,10,0,26,26,0,13,13,0
Entroncamento,45,29,16,67,53,14,56,49,7
Ferreira do Zêzere,12,10,2,18,18,0,17,17,0
Mação,7,7,0,10,10,0,13,13,0
Ourém,76,59,17,127,123,4,77,55,22
Sardoal,5,5,0,10,10,0,13,13,0
Sertã,26,18,8,33,33,0,24,21,3
Tomar,54,38,16,105,96,9,45,45,0
Torres Novas,55,32,23,110,105,5,70,70,0
Vila de Rei,6,5,1,8,8,0,6,6,0
Vila Nova da Barquinha,13,11,2,19,19,0,18,18,0
Beiras e Serra da Estrela,343,216,127,609,598,11,444,424,20
Almeida,9,9,0,13,13,0,12,12,0
Belmonte,12,8,4,16,16,0,9,9,0
Celorico da Beira,9,2,7,16,16,0,16,16,0
Covilhã,73,46,27,124,119,5,113,106,7
Figueira de Castelo Rodrigo,12,7,5,20,20,0,13,13,0
Fornos de Algodres,8,8,0,9,9,0,13,13,0
Fundão,41,25,16,76,76,0,53,46,7
Gouveia,24,15,9,42,42,0,27,27,0
Guarda,66,36,30,146,140,6,73,69,4
Manteigas,3,2,1,8,8,0,8,8,0
Mêda,7,5,2,11,11,0,10,10,0
Pinhel,11,7,4,22,22,0,16,16,0
Sabugal,16,12,4,21,21,0,16,14,2
Seia,38,24,14,64,64,0,44,44,0
Trancoso,14,10,4,21,21,0,21,21,0
A. M. Lisboa,4750,1950,2800,8409,6600,1809,6352,5171,1181
Alcochete,44,22,22,70,59,11,56,39,17
Almada,274,125,149,518,453,65,376,332,44
Amadora,244,103,141,484,418,66,374,326,48
Barreiro,129,67,62,230,205,25,187,178,9
Cascais,414,94,320,641,346,295,419,217,202
Lisboa,1205,370,835,1844,1062,782,1504,966,538
Loures,298,161,137,576,512,64,414,379,35
Mafra,139,102,37,266,251,15,157,133,24
Moita,86,60,26,184,176,8,139,139,0
Montijo,75,42,33,168,152,16,121,104,17
Odivelas,213,102,111,400,368,32,304,288,16
Oeiras,301,88,213,443,345,98,343,296,47
Palmela,93,50,43,209,171,38,154,128,26
Seixal,227,100,127,454,398,56,340,301,39
Sesimbra,79,50,29,149,142,7,130,130,0
Setúbal,183,60,123,359,317,42,302,268,34
Sintra,537,273,264,1048,890,158,743,676,67
Vila Franca de Xira,209,81,128,366,335,31,289,271,18
Alentejo,1212,828,384,2189,2142,47,1664,1630,34
Alentejo Litoral,157,111,46,280,280,0,202,193,9
Alcácer do Sal,15,12,3,30,30,0,31,31,0
Grândola,22,18,4,46,46,0,33,33,0
Odemira,40,28,12,80,80,0,52,43,9
Santiago do Cacém,47,35,12,76,76,0,48,48,0
Sines,33,18,15,48,48,0,38,38,0
Baixo Alentejo,218,162,56,415,411,4,329,319,10
Aljustrel,14,10,4,28,28,0,20,20,0
Almodôvar,12,10,2,27,27,0,17,17,0
Alvito,6,6,0,12,12,0,6,6,0
Barrancos,3,3,0,5,5,0,6,6,0
