,"Densidade populacional , N.º/km2","Taxa de crescimento efetivo, %","Taxa de crescimento natural, %","Taxa de crescimento migratório, %","Taxa bruta de natalidade, ‰","Taxa bruta de mortalidade, ‰","Taxa bruta de nupcialidade, ‰","Taxa bruta de divórcio, ‰","Taxa de fecundidade geral, ‰","Taxa de fecundidade na adolescência, ‰","Índice sintético de fecundidade, N.º","Mulheres em idade fértil na população residente feminina, %","Nados-vivos fora do casamento, %","Proporção de casamentos católicos, %"
Boticas,15.3,-1.45,-1.51,0.06,4,19.1,0.8,0.4,22.2,x,x,34.1,55,0
Chaves,66.3,-0.37,-0.83,0.46,6.1,14.3,2.5,1.6,30.1,x,x,38.4,58.2,7.3
Montalegre,11,-1.29,-1.54,0.26,4.5,19.9,1.3,1.8,26.2,x,x,32,47.5,0
Ribeira de Pena,27.5,-0.48,-0.9,0.42,6,15,2,1.5,30.9,x,x,37.8,63.9,0
Valpaços,26.7,-1.16,-1.59,0.43,5.6,21.4,1.2,1.1,32,x,x,32.2,56.1,0
Vila Pouca de Aguiar,27.1,-0.86,-1.25,0.39,4.7,17.2,1.1,1.2,24.1,x,x,36.8,55.4,15.4
Tâmega e Sousa,225.8,-0.57,-0.33,-0.24,7.2,10.5,1.8,1.6,30.3,4.4,1.13,45.3,41.8,29.4
Amarante,175.5,-0.6,-0.48,-0.12,6.6,11.4,1.9,1.5,28.8,x,x,43.3,45.4,29.1
Baião,106.4,-0.93,-0.58,-0.35,6.3,12.1,1.6,1.3,28.9,x,x,41.5,43.2,51.7
Castelo de Paiva,133.1,-0.98,-0.55,-0.43,5.6,11.1,2.4,1.5,25.4,x,x,42.4,43,24.3
Celorico de Basto,104.4,-0.72,-0.86,0.14,5.2,13.8,1.1,1.1,22.7,x,x,44,35.4,0
Cinfães,75.2,-1.34,-0.86,-0.48,5.9,14.5,1.2,2.2,28.5,x,x,39.6,45.8,38.1
Felgueiras,485,-0.52,-0.16,-0.37,7.5,9,1.7,1.6,30.8,x,x,45.9,37.5,31.6
Lousada,484.8,-0.37,-0.15,-0.23,8,9.5,1.8,1.4,31.7,x,x,48.4,39.5,33.7
Marco de Canaveses,253.9,-0.47,-0.22,-0.25,7.1,9.4,2.3,1.8,29.2,x,x,46.7,40.2,20
Paços de Ferreira,796.5,-0.32,-0.13,-0.19,7.7,9,1.2,1.9,32.3,x,x,46.9,45.7,35.8
Penafiel,327.1,-0.51,-0.25,-0.26,7.9,10.4,2.1,1.5,32.8,x,x,46.1,41.2,31
Resende,81.2,-1.14,-0.91,-0.23,6.8,16,2.6,0.8,31.8,x,x,41.3,47.8,23.1
Douro,47.1,-0.55,-0.86,0.31,5.8,14.4,1.6,1.4,27.5,4.6,1,39.8,53.9,16.8
Alijó,35.4,-0.93,-1.17,0.25,5.1,16.8,0.8,1.4,28.1,x,x,34.6,64.8,12.5
Armamar,48.8,-0.92,-1.25,0.33,5.7,18.3,1.4,0.9,28,x,x,38.3,39.4,50
Carrazeda de Ansiães,20.1,-0.99,-1.42,0.43,3.7,17.9,2,1.1,21.7,x,x,32.3,81,18.2
