,"Densidade populacional , N.º/km2","Taxa de crescimento efetivo, %","Taxa de crescimento natural, %","Taxa de crescimento migratório, %","Taxa bruta de natalidade, ‰","Taxa bruta de mortalidade, ‰","Taxa bruta de nupcialidade, ‰","Taxa bruta de divórcio, ‰","Taxa de fecundidade geral, ‰","Taxa de fecundidade na adolescência, ‰","Índice sintético de fecundidade, N.º","Mulheres em idade fértil na população residente feminina, %","Nados-vivos fora do casamento, %","Proporção de casamentos católicos, %"
Alcochete,155.3,0.74,-0.22,0.96,6.9,9.2,2.7,2.1,27.3,x,x,48.6,53.6,5.9
Almada,2409.2,-0.22,-0.32,0.09,9.7,12.9,1.5,1.8,44.9,x,x,40.4,66.1,5.9
Amadora,7799.8,0.76,0.06,0.7,10.5,9.9,0.6,1.5,48,x,x,40.7,67,12.7
Barreiro,2053.5,-0.56,-0.44,-0.11,9.5,13.9,1.9,2.2,45.4,x,x,38.8,70.5,3.6
Cascais,2196.5,0.16,-0.19,0.34,8.6,10.4,1.8,1.6,36.8,x,x,43.2,58.1,6.6
Lisboa,5093.4,0.02,-0.32,0.34,11.2,14.4,3.8,1.5,60.1,x,x,34.2,52.5,10.7
Loures,1285.4,0.6,0.01,0.59,10,9.9,1.3,1.5,44.8,x,x,42.2,64.8,5.7
Mafra,292.5,0.56,0.01,0.56,8.8,8.7,2,2,34.2,x,x,49.7,56.6,13.1
Moita,1161,-0.39,-0.24,-0.15,9.5,11.9,1.7,1.4,43.1,x,x,41.1,76.8,2.8
Montijo,166.6,0.83,-0.01,0.83,10.6,10.6,1.6,1.9,42,x,x,48.7,62,7.9
Odivelas,6141,0.76,0.16,0.59,10.7,9.1,x,1.2,46.4,x,x,43.3,57,x
Oeiras,3875,0.22,-0.2,0.42,8.3,10.3,1.7,1.3,38.2,x,x,40,58.7,3.4
Palmela,137.8,-0.29,-0.45,0.16,8.5,13,1.6,1.8,35.9,x,x,45.1,64.4,5
Seixal,1761.7,0.24,0.03,0.21,9.6,9.3,1.5,1.9,41.3,x,x,43.5,65.1,4.2
Sesimbra,265.5,0.19,-0.21,0.4,8.5,10.5,2.8,1.9,33.9,x,x,48.3,75.7,1.4
Setúbal,496.2,-0.74,-0.36,-0.38,9.3,12.9,3,2.2,42.5,x,x,40.9,69.2,2.4
Sintra,1230.7,0.38,0.18,0.2,9.9,8.2,1.5,1.6,42.4,x,x,43.9,67.4,5.7
Vila Franca de Xira,446.1,0,0.06,-0.06,9.5,8.9,1.1,1.9,39.7,x,x,45,62.7,11.5
Alentejo,22.1,-0.73,-0.84,0.11,7.6,16.1,1.6,1.4,37.5,11.9,1.43,38.9,67.4,9.3
Alentejo Litoral,17.5,-0.43,-0.67,0.24,8,14.7,1.4,1.3,41.4,7.9,1.52,37.8,63.7,4.5
Alcácer do Sal,7.7,-0.97,-0.9,-0.07,7,16,1.5,1.5,37.8,x,x,35.1,65.4,0
Grândola,17.7,-0.23,-0.85,0.62,7.4,15.9,1.3,1,39.4,x,x,39.5,69.4,5.3
Odemira,14.3,-0.37,-0.52,0.15,9.8,15,1,1,50.9,x,x,37.7,52.1,4.3
Santiago do Cacém,27,-0.53,-0.77,0.24,6.4,14.2,1.3,1.7,33.6,x,x,37.1,71.9,7.9
Sines,67.4,-0.06,-0.34,0.28,9.5,12.9,2.6,1.5,45.4,x,x,40.1,67.7,2.9
Baixo Alentejo,13.5,-0.87,-0.98,0.11,8.1,17.9,1.7,1.4,41.1,24.3,1.53,38.4,70,5
Aljustrel,17.8,-1.31,-1.26,-0.05,7,19.5,0.7,1.3,39.4,x,x,34.2,73.7,0
Almodôvar,8.6,-0.97,-1.14,0.16,6.1,17.5,0.6,1.3,31.8,x,x,37.3,70.7,0
Alvito,9.3,-0.36,-1.13,0.77,7.7,19,3.2,0.8,33.2,x,x,44.4,73.7,0
Barrancos,9.6,-0.68,-0.55,-0.12,8,13.5,2.5,1.2,37.8,x,x,41.9,61.5,25
Beja,29.1,-0.71,-0.82,0.11,8.6,16.8,2.3,1.7,43.2,x,x,38.7,66.6,5.1
Castro Verde,12.1,-0.85,-1.2,0.35,7.1,19.1,1.9,1.3,32.9,x,x,42.1,67.3,7.7
Cuba,26.4,-1.05,-1.44,0.39,9.2,23.6,1.5,0.2,40.6,x,x,43.9,83.3,42.9
Ferreira do Alentejo,12,-0.49,-0.92,0.43,8.7,17.9,2.7,1.4,44.1,x,x,38,69.1,0
Mértola,4.7,-1.53,-1.51,-0.02,4.9,20,1.5,0.8,32.9,x,x,28.6,70,0
Moura,14.2,-0.82,-0.65,-0.17,9.4,15.9,1.9,1.8,45.1,x,x,40.1,66.4,0
Ourique,6.9,-1.35,-1.53,0.17,6.3,21.6,1.5,1.3,32.4,x,x,37.4,69,14.3
Serpa,12.8,-0.89,-0.85,-0.04,8.7,17.2,0.9,1.3,44.8,x,x,37.7,71.8,0
Vidigueira,17.3,-0.66,-0.86,0.2,10.2,18.8,0.9,0.5,47,x,x,41,82.1,0
Lezíria do Tejo,55.4,-0.43,-0.66,0.24,7.6,14.2,1.7,1.5,36,6.8,1.4,40.4,64.8,10.5
Almeirim,101,-0.54,-0.64,0.1,8,14.3,1.6,1.4,36.5,x,x,41.1,58.7,5.6
Alpiarça,73.2,-1.05,-1.25,0.2,5.4,17.9,1.3,0.9,28,x,x,37.5,57.9,0
Azambuja,86.9,0.5,-0.34,0.85,7.9,11.3,1.4,1.7,40.5,x,x,41.7,69.8,6.5
Benavente,58.9,0.41,-0.11,0.53,9.4,10.5,2.1,1.9,37.7,x,x,47.5,66.3,4.8
Cartaxo,150.3,-0.26,-0.62,0.35,7.3,13.5,1.5,1.6,32.7,x,x,42.7,68.6,11.1
Chamusca,12.2,-1.42,-1.42,0,5.9,20.1,1.2,1.1,33.1,x,x,34.3,63,9.1
Coruche,15.4,-1.63,-1.42,-0.21,5.9,20.1,0.3,1.3,33.9,x,x,32.8,70.6,20
Golegã,62.7,-0.94,-1.02,0.08,6.8,16.9,3.2,1.7,31.5,x,x,39.8,66.7,0
Rio Maior,74.4,-0.45,-0.5,0.05,8.9,13.9,1.8,1.8,42.6,x,x,39.5,61.1,10.8
Salvaterra de Magos,86.8,-0.53,-0.75,0.23,6.9,14.4,2.1,1.1,31.3,x,x,41.5,71.2,13.6
Santarém,103.3,-0.58,-0.69,0.11,7.4,14.3,2.1,1.6,36.2,x,x,38.5,61.2,16.4
Alto Alentejo,17,-1.32,-1.22,-0.1,7.1,19.3,1.4,1.4,35.5,18.1,1.37,37.8,73.4,9.2
Alter do Chão,8.7,-0.92,-1.49,0.57,6.7,21.6,1.3,2.2,33.2,x,x,38.3,90.5,50
Arronches,8.8,-2.08,-2.65,0.57,4.3,30.8,0.4,0,19.8,x,x,40.9,50,0
Avis,6.9,-1.26,-1.59,0.33,5.9,21.8,1.4,0.5,29.8,x,x,37.9,76,0
Campo Maior,31.5,-1.05,-0.66,-0.38,10.3,17,0.9,1.7,47.9,x,x,41.3,81.5,14.3
Castelo de Vide,10.9,-1.03,-1.17,0.14,6.9,18.6,1,1.7,35.9,x,x,35.9,65,0
Crato,7.7,-2.3,-2.33,0.03,5.5,28.8,2.9,1.3,29.8,x,x,34.1,76.5,0
Elvas,32.1,-1.17,-0.87,-0.3,7.7,16.4,1.2,1.7,36,x,x,40.4,83.4,13
Fronteira,11.8,-1.39,-1.69,0.3,5.1,22,3.4,0.7,23.3,x,x,39.8,60,0
Gavião,10.8,-2.48,-2.48,0,4.3,29.2,1.9,0.9,26.4,x,x,31.2,78.6,0
Marvão,19,-2.25,-2.39,0.13,5,28.9,1.3,0.7,27.6,x,x,35.8,80,0
Monforte,7,-0.91,-0.95,0.03,9.5,18.9,1,0.7,40.5,x,x,43,78.6,33.3
Nisa,10.4,-1.7,-1.73,0.03,5.8,23.1,0.5,1.7,32.4,x,x,34.1,57.1,0
Ponte de Sor,17.7,-1,-0.84,-0.15,7.6,16.1,1.3,1,39.2,x,x,36.9,75.4,0
Portalegre,49,-1.16,-0.92,-0.24,7.4,16.6,1.9,2,38.5,x,x,36.7,62.6,14.6
Sousel,15.5,-1.92,-1.83,-0.09,4.3,22.7,0.9,0.5,23.3,x,x,35.9,57.9,0
Alentejo Central,20.4,-0.89,-0.87,-0.02,7.4,16.1,1.7,1.2,36.4,9,1.4,38.5,68,13.2
Alandroal,9,-1.98,-1.78,-0.2,6.1,23.9,1,0.4,35.8,x,x,32.6,66.7,0
Arraiolos,10,-0.86,-1.04,0.19,5.7,16.1,1.7,1,28,x,x,39,59,16.7
Borba,45.9,-1.01,-0.98,-0.03,6,15.8,0.4,0.9,30.6,x,x,37.3,77.5,0
Estremoz,24.5,-1,-0.96,-0.04,7.3,16.9,1.3,1,38.9,x,x,35.4,72.8,20
Évora,39.9,-0.51,-0.43,-0.08,8.4,12.6,2.4,1.5,39.5,x,x,39.6,61.6,14.9
Montemor-o-Novo,12.5,-1.33,-1.36,0.04,6.6,20.3,2.1,1.1,34.5,x,x,36.8,68.9,15.2
Mora,9.1,-2.5,-2.45,-0.05,5.4,29.9,0.2,0.7,31.3,x,x,32.8,77.3,0
Mourão,8.7,-0.7,-0.78,0.08,10.6,18.4,1.6,1.2,51,x,x,41.7,84.6,0
Portel,9.6,-0.91,-0.93,0.02,7.1,16.4,0.9,1,37.4,x,x,37.1,78,0
Redondo,17,-1.09,-0.95,-0.14,5.5,15,2.2,0.8,25.2,x,x,41.8,74.3,7.1
Reguengos de Monsaraz,21.4,-0.87,-0.83,-0.04,7.6,15.9,2.1,1.2,37.3,x,x,40,78.9,5
Vendas Novas,50.3,-0.61,-0.79,0.18,7.2,15.2,0.8,2,33.3,x,x,40.7,70.4,11.1
Viana do Alentejo,13,-0.74,-1.01,0.27,9.6,19.7,0.8,1.6,44.1,x,x,41.8,69.4,0
Vila Viçosa,38.8,-1.2,-1.09,-0.11,6.4,17.3,1.4,0.8,32.8,x,x,37.8,67.3,27.3
Algarve,87.7,-0.1,-0.25,0.15,9.9,12.3,1.9,1.6,44.9,8.6,1.75,41.8,68.8,4.7
Albufeira,298,0.94,0.35,0.59,11.8,8.3,1.9,1.9,51.3,x,x,44,58,5
Alcoutim,3.6,-3.87,-3.68,-0.19,5.2,42,4.7,0.5,38.4,x,x,26.3,90.9,0
Aljezur,17.3,0.07,-0.63,0.7,10.2,16.4,3.2,1.3,54.7,x,x,36.1,63.2,11.8
Castro Marim,20.6,-0.63,-0.85,0.23,8.7,17.2,6.3,1,42.6,x,x,39.1,63,5.1
Faro,301.3,0.04,-0.07,0.11,10.7,11.4,1,1.7,50.6,x,x,40.2,66.8,4.8
Lagoa,257.7,-0.08,-0.29,0.21,8.7,11.6,1.8,1.4,38.8,x,x,43.2,79.9,0
Lagos,142.1,-0.35,-0.55,0.2,7.7,13.2,1.4,1.5,33.9,x,x,42.9,69.7,5
Loulé,89.9,-0.02,-0.09,0.07,11.1,12,1.8,1.5,50.6,x,x,41.6,68.5,9
Monchique,12.6,-1.95,-1.47,-0.48,6.4,21.1,8.6,0.6,39.1,x,x,31.2,81.3,2.4
Olhão,337.6,-0.51,-0.3,-0.21,9.1,12.1,1,1.5,38.7,x,x,44.5,73.7,4.3
Portimão,305.4,0.21,-0.01,0.22,10.3,10.4,1,2,45.4,x,x,42.8,70.2,7.7
São Brás de Alportel,67.6,-0.42,-0.56,0.13,9.5,15.1,13,1.1,44.6,x,x,41.5,64.6,3.1
Silves,53.3,0.02,-0.33,0.35,10.1,13.4,1.4,1.4,48.5,x,x,40.7,69.7,6.3
Tavira,40,-0.97,-0.87,-0.1,7.9,16.6,1.1,1.8,37.8,x,x,39.5,72.2,3.7
Vila do Bispo,28.7,-0.14,-0.43,0.29,9.5,13.8,8.9,2.1,46.2,x,x,39.7,79.6,0
Vila Real de Santo António,304.3,-0.59,-0.53,-0.06,7.5,12.8,1.5,1.3,33.5,x,x,41.9,73.8,0
R. A. Açores,104.3,-0.25,-0.14,-0.11,8.7,10.1,2.3,2.4,34.5,11.3,1.23,48.6,51.8,8.2
Santa Maria,57.9,-0.07,-0.23,0.16,6.8,9.1,2.3,2.3,26.5,x,x,48.3,60.5,0
Vila do Porto,57.9,-0.07,-0.23,0.16,6.8,9.1,2.3,2.3,26.5,x,x,48.3,60.5,0
São Miguel,184.2,-0.13,0.05,0.18,9.3,8.8,2.4,2.6,35.8,x,x,50.4,48.4,8.2
Lagoa (R.A.A.),323.5,0.2,0.2,0,11,9,3.7,1.7,41.1,x,x,52.2,43.2,1.9
Nordeste,47.5,-0.89,-1.07,0.19,5.2,15.9,2.9,1,22.4,x,x,45.5,52,15.4
Ponta Delgada,291.3,-0.11,0.01,-0.12,9.2,9,2.1,3.3,36,x,x,49,52,8.8
Povoação,55.4,-0.52,-0.12,-0.41,8,9.1,3.2,2.2,31.4,x,x,47.8,51.1,21.1
Ribeira Grande,182.2,0.04,0.32,-0.28,9.9,6.7,2,2.3,36.8,x,x,53.5,43.7,4.7
Vila Franca do Campo,140.9,-0.61,-0.15,-0.45,8.4,9.9,3,1.8,31.9,x,x,51.4,46.7,12.1
Terceira,137.1,-0.45,-0.33,0.12,8.2,11.5,2.3,2.4,33.5,x,x,46.7,51.2,10.7
Angra do Heroísmo,140.8,-0.48,-0.28,-0.2,8.7,11.5,2.9,2.3,36.3,x,x,45.4,51.4,12.6
Vila da Praia da Vitória,131.6,-0.41,-0.41,0,7.4,11.5,1.3,2.4,29.2,x,x,48.9,51,3.7
Graciosa,68.9,-0.69,-0.64,-0.05,7.9,14.3,2.4,1,33,x,x,46.1,54.5,10
Santa Cruz da Graciosa,68.9,-0.69,-0.64,-0.05,7.9,14.3,2.4,1,33,x,x,46.1,54.5,10
São Jorge,33.8,-0.59,-0.55,0.05,8.1,13.6,1.9,1.7,36.3,x,x,43.8,67.2,18.8
Calheta (R.A.A.),25,-0.79,-0.76,-0.03,7.3,14.8,2.2,1.6,35.9,x,x,39.7,65.2,42.9
Velas,43.2,-0.47,-0.41,-0.06,8.7,12.8,1.8,1.8,36.5,x,x,46.4,68.2,0
Pico,30.7,-0.12,-0.42,-0.3,8.1,12.3,3.2,1.8,34.9,x,x,44.8,64.9,0
Lajes do Pico,28.8,-0.38,-0.51,0.13,7.8,12.9,1.8,2,34.3,x,x,43.3,62.9,0
Madalena,40,-0.17,-0.42,0.25,8.8,13.1,4.6,1.5,36.2,x,x,46.4,65.4,0
São Roque do Pico,23,0.34,-0.28,0.61,7.3,10.1,2.4,1.8,33,x,x,44,66.7,0
Faial,83.5,-0.54,-0.35,-0.19,7.1,10.6,1.5,1.2,29.5,x,x,46.7,64.1,9.5
Horta,83.5,-0.54,-0.35,-0.19,7.1,10.6,1.5,1.2,29.5,x,x,46.7,64.1,9.5
Flores,25.7,-0.03,-0.66,-0.63,6.9,13.5,1.1,1.4,30.1,x,x,46.1,68,0
Lajes das Flores,20.9,-0.07,-0.62,0.55,9.6,15.7,2.1,0.7,46.2,x,x,44.4,64.3,0
Santa Cruz das Flores,30.5,0,-0.69,0.69,5.1,12,0.5,1.8,20.9,x,x,47.1,72.7,0
Corvo,27.5,1.28,-1.07,2.36,4.3,15,0,2.1,25,x,x,39.7,100,0
Corvo,27.5,1.28,-1.07,2.36,4.3,15,0,2.1,25,x,x,39.7,100,0
R. A. Madeira,317,-0.13,-0.34,0.21,7.3,10.7,2.4,2,30.4,6.2,1.14,45,59.6,14.2
Calheta (R.A.M.),97.1,-0.31,-0.58,0.27,6.9,12.7,3.3,1.1,31.7,x,x,39.9,41.3,8.6
Câmara de Lobos,644.8,-0.11,0.23,-0.34,9.7,7.5,1.5,1.8,37.3,x,x,49.5,65.5,17.3
Funchal,1361.2,-0.26,-0.45,0.19,7.3,11.8,2.5,1.9,31.8,x,x,42.3,61.8,19.1
Machico,291.1,-0.56,-0.33,-0.23,6.6,9.8,2.9,1.9,29.4,x,x,42.7,51.9,8.8
Ponta do Sol,184.9,-0.45,-0.9,0.44,5.7,14.7,3.4,2,22.2,x,x,47.1,44.9,11.1
Porto Moniz,27.9,-1.29,-1.8,0.52,5.6,23.6,3.4,2.6,23.8,x,x,40.3,53.8,12.5
Ribeira Brava,188.8,-0.64,-0.84,0.2,6,14.4,1.5,2.3,24,x,x,45.6,51.4,33.3
Santa Cruz,561.4,0.81,0.07,0.74,7.4,6.7,2.3,2.5,28,x,x,51.1,60.2,8.7
Santana,69.6,-0.94,-0.94,0,4,13.5,1.9,1.6,20.1,x,x,36.6,55.6,0
São Vicente,64.9,-0.59,-1.01,0.43,8,18.1,1.8,3.1,37,x,x,39.8,46.3,0
Porto Santo,121.8,-0.1,-0.58,0.48,4.6,10.4,3.8,1.9,18.2,x,x,49.3,83.3,0
