,"Médicos, Total (N.º)","Médicos, Especialistas (N.º)","Médicos, Não especialistas (N.º)","Médicos por algumas especialidades médicas, Cirurgia geral (N.º)","Médicos por algumas especialidades médicas, Estomatologia (N.º)","Médicos por algumas especialidades médicas, Ginecologia e obstetrícia (N.º)","Médicos por algumas especialidades médicas, Medicina geral e familiar (N.º)","Médicos por algumas especialidades médicas, Oftalmologia (N.º)","Médicos por algumas especialidades médicas, Ortopedia (N.º)","Médicos por algumas especialidades médicas, Pediatria (N.º)","Médicos por algumas especialidades médicas, Psiquiatria (N.º)"
Barrancos,1,0,1,0,0,0,0,0,0,0,0
Beja,201,132,69,16,0,9,33,4,7,11,4
Castro Verde,7,4,3,0,0,0,2,1,0,0,0
Cuba,9,6,3,2,0,0,3,0,0,1,0
Ferreira do Alentejo,8,3,5,0,0,0,3,0,0,0,0
Mértola,6,2,4,0,0,0,2,0,0,0,0
Moura,26,8,18,0,0,0,6,0,0,0,0
Ourique,6,3,3,0,1,0,2,0,0,0,0
Serpa,22,9,13,0,0,0,3,0,0,0,1
Vidigueira,9,3,6,0,0,0,2,0,0,1,0
Lezíria do Tejo,659,414,245,24,5,25,132,9,21,24,4
Almeirim,47,30,17,2,1,2,10,0,1,4,0
Alpiarça,10,5,5,0,0,1,2,1,0,0,0
Azambuja,23,16,7,0,0,1,7,0,0,2,1
Benavente,45,25,20,2,0,0,6,1,2,0,0
Cartaxo,54,38,16,1,1,2,14,1,2,7,0
Chamusca,11,7,4,0,0,0,3,0,1,0,0
Coruche,33,20,13,0,1,1,10,0,1,0,0
Golegã,9,7,2,1,0,0,2,0,2,0,0
Rio Maior,38,16,22,1,0,1,6,0,0,2,0
Salvaterra de Magos,32,13,19,0,1,0,7,0,0,0,0
Santarém,357,237,120,17,1,17,65,6,12,9,3
Alto Alentejo,411,235,176,22,2,12,74,11,14,14,6
Alter do Chão,5,4,1,0,0,0,2,0,0,0,1
Arronches,5,4,1,0,0,0,2,0,1,1,0
Avis,5,2,3,0,0,0,2,0,0,0,0
Campo Maior,53,24,29,2,0,5,6,1,4,0,0
Castelo de Vide,11,4,7,1,0,0,1,0,0,1,0
Crato,5,2,3,0,0,0,0,0,2,0,0
Elvas,147,86,61,9,1,3,21,6,7,4,0
Fronteira,6,5,1,0,0,0,4,0,0,0,0
Gavião,2,2,0,0,0,0,1,0,0,0,0
Marvão,7,5,2,1,0,0,3,0,0,0,0
Monforte,7,4,3,0,1,0,3,0,0,0,0
Nisa,8,5,3,0,0,0,3,0,0,1,0
Ponte de Sor,27,10,17,0,0,0,7,0,0,0,0
Portalegre,119,76,43,9,0,4,17,4,0,7,5
Sousel,4,2,2,0,0,0,2,0,0,0,0
Alentejo Central,663,416,247,24,4,18,117,18,16,26,13
Alandroal,8,5,3,1,0,0,2,0,0,0,1
Arraiolos,9,5,4,0,0,0,1,1,0,0,0
Borba,12,9,3,0,0,0,8,0,0,1,0
Estremoz,34,12,22,0,0,0,6,0,0,0,0
Évora,496,330,166,20,4,16,72,17,16,25,9
Montemor-o-Novo,28,18,10,0,0,0,8,0,0,0,0
Mora,6,3,3,0,0,0,1,0,0,0,1
Mourão,1,1,0,0,0,0,1,0,0,0,0
Portel,6,1,5,0,0,0,1,0,0,0,0
Redondo,6,4,2,0,0,0,3,0,0,0,1
Reguengos de Monsaraz,13,10,3,1,0,1,5,0,0,0,1
Vendas Novas,19,9,10,2,0,0,6,0,0,0,0
Viana do Alentejo,6,1,5,0,0,0,0,0,0,0,0
Vila Viçosa,19,8,11,0,0,1,3,0,0,0,0
Algarve,1899,1055,844,60,8,69,276,37,47,72,23
Albufeira,96,46,50,1,0,1,20,2,0,3,0
Alcoutim,8,3,5,1,0,0,2,0,0,0,0
Aljezur,13,2,11,0,0,0,1,0,0,0,0
Castro Marim,13,3,10,0,0,0,3,0,0,0,0
Faro,680,428,252,28,2,40,79,16,16,30,11
Lagoa,83,37,46,1,0,2,9,4,1,2,1
Lagos,106,60,46,6,0,3,18,1,1,6,1
Loulé,191,97,94,3,2,5,28,2,5,8,2
Monchique,5,0,5,0,0,0,0,0,0,0,0
Olhão,108,62,46,2,0,1,21,3,5,4,1
Portimão,370,204,166,16,3,12,44,8,14,14,4
São Brás de Alportel,45,25,20,0,0,0,7,0,2,3,1
Silves,60,19,41,0,0,2,7,0,1,1,0
Tavira,70,37,33,1,1,2,18,0,2,1,1
Vila do Bispo,7,3,4,0,0,0,2,1,0,0,0
Vila Real de Santo António,44,29,15,1,0,1,17,0,0,0,1
R. A. Açores,902,514,388,24,10,28,128,11,19,27,18
Santa Maria,14,8,6,0,0,0,5,0,0,0,1
Vila do Porto,14,8,6,0,0,0,5,0,0,0,1
São Miguel,575,320,255,15,3,17,68,8,12,18,12
Lagoa (R.A.A.),34,20,14,0,0,2,5,0,1,1,0
Nordeste,7,4,3,0,1,0,1,0,0,0,0
Ponta Delgada,451,266,185,13,2,15,51,7,9,15,11
Povoação,11,5,6,0,0,0,3,0,0,0,1
Ribeira Grande,59,20,39,2,0,0,6,1,2,2,0
Vila Franca do Campo,13,5,8,0,0,0,2,0,0,0,0
Terceira,209,126,83,6,4,9,29,2,5,9,2
Angra do Heroísmo,152,99,53,5,4,8,17,2,5,6,2
Vila da Praia da Vitória,57,27,30,1,0,1,12,0,0,3,0
Graciosa,4,2,2,0,0,0,2,0,0,0,0
Santa Cruz da Graciosa,4,2,2,0,0,0,2,0,0,0,0
São Jorge,18,9,9,0,1,0,4,0,0,0,1
Calheta (R.A.A.),3,2,1,0,0,0,1,0,0,0,0
Velas,15,7,8,0,1,0,3,0,0,0,1
Pico,25,12,13,0,0,0,11,0,0,0,0
Lajes do Pico,12,4,8,0,0,0,3,0,0,0,0
Madalena,5,3,2,0,0,0,3,0,0,0,0
São Roque do Pico,8,5,3,0,0,0,5,0,0,0,0
Faial,50,36,14,3,2,2,8,1,2,0,2
Horta,50,36,14,3,2,2,8,1,2,0,2
Flores,5,0,5,0,0,0,0,0,0,0,0
Lajes das Flores,1,0,1,0,0,0,0,0,0,0,0
Santa Cruz das Flores,4,0,4,0,0,0,0,0,0,0,0
Corvo,2,1,1,0,0,0,1,0,0,0,0
Corvo,2,1,1,0,0,0,1,0,0,0,0
R. A. Madeira,1202,665,537,46,4,39,169,16,20,40,16
Calheta (R.A.M.),9,4,5,0,0,0,3,0,0,0,0
Câmara de Lobos,51,19,32,0,0,0,8,1,1,4,0
Funchal,875,526,349,36,3,34,117,15,15,28,12
Machico,42,16,26,1,0,0,7,0,0,0,0
Ponta do Sol,12,2,10,0,0,0,2,0,0,0,0
Porto Moniz,8,2,6,0,0,0,1,0,0,1,0
Ribeira Brava,28,6,22,0,0,0,1,0,0,0,1
Santa Cruz,153,81,72,9,1,5,25,0,3,7,3
Santana,7,2,5,0,0,0,2,0,0,0,0
São Vicente,6,4,2,0,0,0,1,0,1,0,0
Porto Santo,11,3,8,0,0,0,2,0,0,0,0
