Distrito,Municipio,Freguesia (Simpli),DTMN21,DTMNFR21,DTMNFRSEC21,SECNUM21,SSNUM21,SECSSNUM21,SUBSECCAO,Edifícios Clássicos Total,Edifícios Clássicos com 1 ou 2 Alojamentos,Edifícios Clássicos com 3 ou Mais Alojamentos,Edifícios Exclusivamente Residenciais,Edifícios com 1 ou 2 Pisos,Edifícios com 3 ou Mais Pisos,Edifícios Construídos Antes de 1945,Edifícios Construídos Entre 1946 e 1980,Edifícios Construídos Entre 1981 e 2000,Edifícios Construídos Entre 2001 e 2010,Edifícios Construídos Entre 2011 e 2021,Edifícios com Necessidade de Reparação,Alojamentos Total,Alojamentos Familiares,Alojamentos Familiares Habituais,Alojamentos Familiares Vagos ou Secundários,Alojamentos Habituais Acessíveis a Cadeiras de Rodas,Alojamentos Habituais com Estacionamento,Alojamentos Habituais Propriedade dos Ocupantes,Alojamentos Habituais Arrendados,Agregados Domésticos Privados Total,Agregados Domésticos de 1 ou 2 Pessoas,Agregados Domésticos de 3 ou Mais Pessoas,Núcleos Familiares Total,Núcleos Familiares com Filhos,Indivíduos Total,Indivíduos Masculinos,Indivíduos Femininos,Indivíduos de 0 a 14 Anos,Indivíduos de 15 a 24 Anos,Indivíduos de 25 a 64 Anos,Indivíduos com 65 ou Mais Anos,geom_Length,geom_Area
Coimbra,Oliveira do Hospital,Santa Ovaia e Vila Pouca da Beira,611,61126,61126001,1,12,112,6112600112,20,20,0,20,16,4,4,14,2,0,0,17,20,20,5,15,2,4,5,0,5,2,3,4,1,13,5,8,2,1,6,4,528.4685494625139,13862.11786690051
Coimbra,Oliveira do Hospital,Santa Ovaia e Vila Pouca da Beira,611,61126,61126001,1,13,113,6112600113,82,82,0,82,47,35,27,45,5,5,0,48,82,82,30,52,7,14,26,1,30,15,15,25,13,75,38,37,8,9,37,21,1838.157250642569,167708.6743213899
Coimbra,Oliveira do Hospital,Santa Ovaia e Vila Pouca da Beira,611,61126,61126001,1,14,114,6112600114,8,8,0,8,4,4,4,4,0,0,0,6,8,8,1,7,0,1,1,0,1,1,0,1,0,2,1,1,0,0,1,1,272.1189718144989,4146.894861123824
Coimbra,Oliveira do Hospital,Santa Ovaia e Vila Pouca da Beira,611,61126,61126001,1,15,115,6112600115,21,21,0,21,8,13,13,3,5,0,0,12,21,21,4,17,0,2,4,0,4,4,0,3,0,7,4,3,0,0,6,1,167.2460383973843,1848.788388442439
Coimbra,Oliveira do Hospital,Santa Ovaia e Vila Pouca da Beira,611,61109,61109001,1,3,103,6110900103,3,3,0,3,3,0,0,0,2,1,0,2,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6397.953957782169,1086370.864790842
Coimbra,Oliveira do Hospital,Avô,611,61103,61103001,1,25,125,6110300125,8,8,0,8,7,1,0,1,0,0,7,0,8,8,4,4,0,2,3,0,4,2,2,3,2,10,5,5,2,1,6,1,4060.441709056028,614443.1404291787
Coimbra,Oliveira do Hospital,Alvoco das Várzeas,611,61102,61102001,1,15,115,6110200115,18,18,0,18,16,2,0,5,6,7,0,6,23,23,10,13,4,5,7,3,10,6,4,9,2,23,14,9,0,2,11,10,2510.720532795999,145124.1725514977
Coimbra,Oliveira do Hospital,Alvoco das Várzeas,611,61102,61102001,1,16,116,6110200116,11,11,0,11,8,3,0,5,5,1,0,4,13,13,6,7,0,3,6,0,6,6,0,5,0,11,5,6,0,1,3,7,1812.662751279725,97377.23907491901
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122001,1,7,107,6112200107,22,22,0,22,17,5,5,4,7,4,2,1,22,22,11,11,3,10,11,0,11,5,6,9,3,27,15,12,2,2,9,14,1365.879183936823,93883.90951616978
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122001,1,8,108,6112200108,22,22,0,22,11,11,5,9,4,4,0,2,22,22,12,10,5,9,8,2,12,6,6,9,6,28,15,13,5,2,14,7,662.1842886048913,22682.95102724262
