,Total (N.º),"Profissão principal, Representantes do poder legislativo e de órgãos executivos, dirigentes, diretores/as e gestores/as executivos/as (N.º)","Profissão principal, Especialistas das atividades intelectuais e científicas (N.º)","Profissão principal, Técnicos/as e profissionais de nível intermédio (N.º)","Profissão principal, Pessoal administrativo  (N.º)","Profissão principal, Trabalhadores/as dos serviços pessoais, de proteção e segurança e vendedores/as (N.º)","Profissão principal, Agricultores/as e trabalhadores/as qualificados/as da agricultura, da pesca e da floresta (N.º)","Profissão principal, Trabalhadores/as qualificados/as da indústria, construção e artífices (N.º)","Profissão principal, Operadores/as de instalações e máquinas e trabalhadores/as da montagem (N.º)","Profissão principal, Trabalhadores/as não qualificados  (N.º)"
Avis,722,23,25,61,32,140,39,133,137,132
Campo Maior,2163,75,193,297,427,174,58,211,442,285
Castelo de Vide,467,19,22,77,46,150,10,25,46,72
Crato,279,19,11,31,29,77,25,19,36,32
Elvas,2647,110,190,243,344,676,139,269,246,430
Fronteira,349,14,16,26,39,79,46,29,20,80
Gavião,324,13,21,15,26,129,10,42,21,47
Marvão,403,32,29,50,20,128,11,30,3,100
Monforte,480,28,48,36,61,129,31,18,14,115
Nisa,587,12,39,23,40,203,25,89,16,140
Ponte de Sor,2222,93,141,185,198,552,76,403,133,441
Portalegre,3589,179,256,415,396,939,59,357,586,400
Sousel,637,29,36,36,63,149,20,77,53,171
Alentejo Central,28997,1138,2576,3034,2954,6590,886,4417,2741,4648
Alandroal,536,13,30,24,31,84,64,118,46,126
Arraiolos,1093,39,57,91,90,259,82,104,139,229
Borba,888,51,44,66,94,191,18,157,117,150
Estremoz,2442,123,163,199,293,637,52,305,253,416
Évora,13625,449,1590,1723,1405,3149,241,2359,1024,1681
Montemor-o-Novo,2807,154,216,192,257,658,140,355,291,541
Mora,678,33,47,58,47,135,20,52,53,233
Mourão,237,9,19,29,24,56,8,16,25,51
Portel,579,13,36,58,36,153,61,49,34,139
Redondo,750,25,38,62,99,108,82,74,75,187
Reguengos de Monsaraz,1303,54,79,127,137,385,39,117,108,256
Vendas Novas,2109,77,116,240,244,342,24,383,336,347
Viana do Alentejo,668,36,64,47,54,180,46,70,45,126
Vila Viçosa,1282,62,77,118,143,253,9,258,195,166
Algarve,103302,4371,7724,8995,13244,33832,2873,9492,4931,17812
Albufeira,14299,563,550,997,1901,5801,326,846,479,2835
Alcoutim,300,18,28,18,15,103,7,22,30,59
Aljezur,991,68,29,77,101,369,24,80,28,215
Castro Marim,1000,54,57,45,76,380,38,84,31,235
Faro,16462,618,2434,1945,2477,4317,357,1456,856,1987
Lagoa,6053,261,427,524,759,1956,283,524,157,1162
Lagos,7511,368,469,648,922,2453,190,780,246,1433
Loulé,21546,881,1123,1828,2649,7359,589,2097,997,4019
Monchique,588,33,34,31,51,180,27,74,78,80
Olhão,5777,252,360,501,707,1572,303,848,369,863
Portimão,12985,448,1224,1209,1557,4528,102,1073,657,2183
São Brás de Alportel,1499,100,151,112,196,370,11,252,126,181
Silves,5119,215,365,425,712,1375,241,512,499,775
Tavira,4622,205,279,371,547,1420,231,468,144,957
Vila do Bispo,1051,63,41,57,120,414,70,51,31,204
Vila Real de Santo António,3499,224,153,207,454,1235,74,325,203,624
R. A. Açores,40287,1262,3373,3786,5567,9835,599,5705,2208,7952
Santa Maria,816,21,16,156,108,221,5,121,34,134
Vila do Porto,816,21,16,156,108,221,5,121,34,134
São Miguel,23882,789,1900,2156,3391,5566,406,3305,1423,4946
Lagoa (R.A.A.),2130,61,172,168,257,392,41,367,168,504
Nordeste,404,17,30,22,36,138,22,56,19,64
Ponta Delgada,14655,563,1339,1460,2368,3424,149,1556,679,3117
Povoação,757,10,34,55,69,281,53,50,11,194
Ribeira Grande,4808,113,284,393,504,1030,128,974,493,889
