,"Docentes, Educação pré-escolar, Total (N.º)","Docentes, Educação pré-escolar, Público (N.º)","Docentes, Educação pré-escolar, Privado  (N.º)","Docentes, 1º ciclo do ensino básico, Total (N.º)","Docentes, 1º ciclo do ensino básico, Público (N.º)","Docentes, 1º ciclo do ensino básico, Privado  (N.º)","Docentes, 2º ciclo do ensino básico, Total (N.º)","Docentes, 2º ciclo do ensino básico, Público (N.º)","Docentes, 2º ciclo do ensino básico, Privado  (N.º)"
Portugal,16277,9243,7034,30178,26768,3410,23802,21279,2523
Continente,15007,8354,6653,27669,24540,3129,21994,19545,2449
Norte,5312,3273,2039,9990,9118,872,8038,7342,696
Alto Minho,324,237,87,605,590,15,551,540,11
Arcos de Valdevez,23,12,11,41,41,0,39,39,0
Caminha,25,18,7,45,45,0,38,38,0
Melgaço,7,5,2,19,19,0,12,12,0
Monção,22,18,4,40,40,0,38,38,0
Paredes de Coura,15,9,6,20,20,0,18,18,0
Ponte da Barca,13,10,3,19,19,0,23,23,0
Ponte de Lima,57,54,3,108,108,0,102,102,0
Valença,16,14,2,43,43,0,35,35,0
Viana do Castelo,131,84,47,240,225,15,229,218,11
Vila Nova de Cerveira,15,13,2,30,30,0,17,17,0
Cávado,646,416,230,1220,1113,107,906,811,95
Amares,20,18,2,42,42,0,41,41,0
Barcelos,181,147,34,335,323,12,240,215,25
Braga,315,154,161,577,485,92,429,360,69
Esposende,52,32,20,108,108,0,80,79,1
Terras de Bouro,11,9,2,14,14,0,16,16,0
Vila Verde,67,56,11,144,141,3,100,100,0
Ave,565,311,254,1096,1043,53,878,804,74
Cabeceiras de Basto,25,20,5,51,51,0,38,38,0
Fafe,76,42,34,134,125,9,117,107,10
Guimarães,213,105,108,382,362,20,326,304,22
Mondim de Basto,9,6,3,16,16,0,15,15,0
Póvoa de Lanhoso,31,25,6,56,56,0,53,53,0
Vieira do Minho,13,12,1,29,29,0,29,29,0
Vila Nova de Famalicão,167,80,87,358,342,16,238,213,25
Vizela,31,21,10,70,62,8,62,45,17
A. M. Porto,2520,1326,1194,4481,3890,591,3665,3233,432
Arouca,31,24,7,61,61,0,50,50,0
Espinho,44,32,12,74,74,0,83,75,8
Gondomar,220,138,82,362,330,32,300,283,17
Maia,195,102,93,332,308,24,297,272,25
Matosinhos,241,115,126,402,347,55,322,303,19
Oliveira de Azeméis,77,45,32,154,143,11,118,118,0
Paredes,106,83,23,219,204,15,195,186,9
Porto,438,114,324,751,481,270,657,451,206
Póvoa de Varzim,91,32,59,179,163,16,172,159,13
Santa Maria da Feira,181,115,66,335,312,23,240,224,16
Santo Tirso,97,62,35,170,151,19,145,123,22
São João da Madeira,45,28,17,88,81,7,64,60,4
Trofa,50,36,14,92,87,5,72,66,6
Vale de Cambra,32,30,2,45,45,0,39,39,0
Valongo,139,82,57,237,211,26,204,190,14
Vila do Conde,125,74,51,226,218,8,168,161,7
Vila Nova de Gaia,408,214,194,754,674,80,539,473,66
Alto Tâmega,137,101,36,297,285,12,213,212,1
Boticas,8,6,2,13,13,0,12,12,0
Chaves,79,56,23,180,168,12,106,105,1
Montalegre,7,7,0,14,14,0,18,18,0
