,"Densidade populacional , N.º/km2","Taxa de crescimento efetivo, %","Taxa de crescimento natural, %","Taxa de crescimento migratório, %","Taxa bruta de natalidade, ‰","Taxa bruta de mortalidade, ‰","Taxa bruta de nupcialidade, ‰","Taxa bruta de divórcio, ‰","Taxa de fecundidade geral, ‰","Taxa de fecundidade na adolescência, ‰","Índice sintético de fecundidade, N.º","Mulheres em idade fértil na população residente feminina, %","Nados-vivos fora do casamento, %","Proporção de casamentos católicos, %"
Portugal,113.5,0.44,-0.39,0.83,8,11.9,3.5,1.8,38,6.2,1.43,40.2,60.2,26.7
Continente,111.9,0.45,-0.39,0.84,8,11.9,3.5,1.7,38.2,6.1,1.44,40,60.2,26.7
Norte,170.6,0.59,-0.35,0.94,7.3,10.7,3.6,1.8,34.3,3.8,1.28,40.4,54.6,33.9
Alto Minho,104.7,0.15,-0.74,0.89,6.7,14.2,3.5,1.7,34.7,4.2,1.34,36.5,57.4,37.2
Arcos de Valdevez,46.2,0,-1.2,1.2,5.5,17.5,2.5,1.9,32.1,x,x,31.6,46.9,15.4
Caminha,118,1.04,-0.71,1.75,6.1,13.2,4,2.1,32.1,x,x,35.4,57.7,26.6
Melgaço,31.9,-1.18,-2.18,1.01,2.6,24.5,0.7,1.7,19.3,x,x,24.7,65,40
Monção,84.6,0.11,-1.11,1.22,6.6,17.7,3.3,1.4,38.5,x,x,31.8,67.8,35.6
Paredes de Coura,62.7,-0.17,-1.11,0.93,5.2,16.3,2,1.7,28.8,x,x,34.9,57.8,47.1
Ponte da Barca,60.9,0.4,-0.8,1.2,7.8,15.8,3.4,1.6,41.4,x,x,35.4,50,34.2
Ponte de Lima,128,-0.35,-0.64,0.28,7,13.4,3.9,1.8,33.6,x,x,39.4,46.3,43.8
Valença,118.7,0.71,-0.69,1.4,7.5,14.4,2.2,2,36.6,x,x,38.9,62.5,25.8
Viana do Castelo,269.9,0.11,-0.45,0.56,7.3,11.8,4,1.7,36.1,x,x,38.2,61.3,42.6
Vila Nova de Cerveira,84.6,1.86,-0.72,2.57,6.6,13.8,5.3,1,34,x,x,38.2,68.3,22.9
Cávado,339.8,0.84,-0.08,0.92,8,8.8,3.9,1.7,35.3,3.1,1.32,43.3,48.2,39.8
Amares,234.2,1.71,-0.26,1.97,6.5,9,4.2,2.2,29.4,x,x,42.7,46.3,30.4
Barcelos,307.5,-0.13,-0.19,0.06,7.2,9.1,3.7,1.7,32.5,x,x,42.5,48.6,44.7
Braga,1077.4,1.18,0.07,1.11,8.5,7.8,4,1.7,36.7,x,x,44.2,47.6,40
Esposende,380.3,1.52,0.05,1.47,9.4,8.9,3.4,1.8,41.8,x,x,43,51.2,41.3
Terras de Bouro,22.9,-0.09,-1.12,1.02,5.5,16.7,3.5,2.7,29.6,x,x,36.1,51.4,0
Vila Verde,207.5,1.07,-0.36,1.43,7.6,11.1,4.6,1.6,34.1,x,x,42.6,47.8,36
Ave,289.3,0.19,-0.15,0.34,7.7,9.3,2.9,1.7,35.8,3.3,1.35,41.4,50.8,33.4
Cabeceiras de Basto,64,-0.31,-0.77,0.46,6.2,13.9,3.7,1,29.3,x,x,41,60.4,38.6
Fafe,220.5,-0.13,-0.36,0.23,7.2,10.8,3.3,1.9,34.2,x,x,40,53.6,47.2
Guimarães,648.5,-0.13,-0.07,-0.07,7.7,8.4,2.6,1.7,35.6,x,x,41.5,49.9,16.4
Mondim de Basto,37.2,-0.36,-0.87,0.51,6.1,14.8,4.5,1.7,32.8,x,x,35.8,59,35.7
Póvoa de Lanhoso,165.6,0.86,-0.43,1.28,7.4,11.7,2.1,1.7,35,x,x,40.8,45.1,4.3
Vieira do Minho,55.3,-0.26,-0.85,0.59,5.6,14.1,4.3,1.7,30.6,x,x,35,52.2,42.3
Vila Nova de Famalicão,669.1,0.59,-0.02,0.62,8.2,8.4,3.2,1.7,37.4,x,x,42.2,48.9,47.7
Vizela,982.1,0.72,0.15,0.57,9,7.5,1.6,1.6,39.4,x,x,44.1,58.5,5.3
A. M. Porto,869.1,1.03,-0.28,1.31,7.5,10.2,3.8,1.8,34.5,3.8,1.27,41,57.1,27.9
Arouca,63.5,-0.65,-0.46,-0.2,6.7,11.3,2.9,1.2,33.3,x,x,38.8,50.4,56.7
Espinho,1508.9,1.07,-0.64,1.71,7.1,13.5,7.6,1.6,38.2,x,x,35.1,58.4,18.1
Gondomar,1265.2,0.74,-0.3,1.04,7.2,10.2,2,1.7,33.2,x,x,40.9,64.6,28.8
Maia,1688.3,1.76,-0.09,1.85,7.6,8.5,3.5,2.1,33.6,x,x,42.9,56,17.1
Matosinhos,2829.5,1.12,-0.31,1.43,7.2,10.2,2.6,1.8,33.8,x,x,39.9,58.7,25.3
Oliveira de Azeméis,414.8,0.3,-0.34,0.65,7,10.4,2.6,1.5,34,x,x,39.5,52.3,42.7
Paredes,544.4,0.43,-0.04,0.48,7.7,8.2,3,2,32.8,x,x,45.2,53.7,46.1
Porto,5808.6,1.93,-0.49,2.41,8.1,12.9,5.8,1.8,38,x,x,39.5,57.6,21
Póvoa de Varzim,803.3,1.41,-0.21,1.62,7.9,10.1,5,2,35.7,x,x,42.1,49.3,15.8
Santa Maria da Feira,640.8,0.71,-0.15,0.86,7.7,9.2,3.2,1.9,36.2,x,x,40.9,53.2,45.8
Santo Tirso,495.2,-0.05,-0.48,0.44,6.2,11.1,3.6,1.7,30.8,x,x,38.5,58.1,36
São João da Madeira,2932,2.13,-0.4,2.53,6.3,10.3,6.7,2.1,29.4,x,x,40.8,58.9,22.7
Trofa,548.1,1.18,-0.17,1.35,6.8,8.5,3.1,1.9,30.4,x,x,42.7,51.3,53.3
Vale de Cambra,144,-0.35,-0.77,0.41,5.9,13.6,4.4,1.9,31.8,x,x,35.9,53.2,36.6
Valongo,1307.7,1.62,-0.15,1.77,7.3,8.8,5.5,1.9,31.6,x,x,43.9,60.6,28.2
Vila do Conde,559.3,1.53,-0.1,1.63,7.8,8.8,5.3,2.4,35.6,x,x,42.2,52.7,25.9
Vila Nova de Gaia,1825.7,0.54,-0.27,0.81,7.6,10.3,3.1,1.7,35.2,x,x,41.1,59.1,28.1
Alto Tâmega,28.6,-0.4,-1.25,0.84,4.8,17.3,3.2,1.8,30,5.3,1.17,30.8,68.9,33.6
Boticas,15.2,-0.71,-1.14,0.43,6.5,17.9,2,0.8,40.7,x,x,30.4,71.9,40
Chaves,63.1,-0.32,-1.01,0.69,5.2,15.3,4.4,2.1,30.3,x,x,32.6,67.5,26.1
Montalegre,11.3,-0.76,-1.64,0.87,4.3,20.6,0.7,2,29.9,x,x,27.6,66.7,83.3
Ribeira de Pena,26.8,-0.6,-1.42,0.82,5.8,20,3.3,1,34.7,x,x,33.3,64.7,26.3
Valpaços,26.5,-0.24,-1.4,1.16,4.2,18.2,2.7,1.3,29.1,x,x,27.2,72.1,40
Vila Pouca de Aguiar,26.9,-0.37,-1.46,1.1,3.8,18.4,2.4,1.7,23.6,x,x,31,73.3,60.7
Tâmega e Sousa,222.8,-0.13,-0.25,0.11,7.2,9.7,3.8,1.7,32.7,2.9,1.24,42.6,46.9,47.9
Amarante,172.7,-0.05,-0.38,0.33,6.9,10.7,4,2,32.7,x,x,39.9,50.1,49.8
Baião,98.9,-1.03,-0.86,-0.17,4.3,12.9,3.1,1.1,20.8,x,x,39.1,50,51.9
Castelo de Paiva,133.8,-0.39,-0.36,-0.03,6.3,9.9,2.2,0.8,29.6,x,x,41,50.5,41.2
Celorico de Basto,97,-0.35,-0.72,0.36,5.8,13,2.5,1.5,28.8,x,x,38.6,44.1,47.7
Cinfães,73.4,-0.81,-0.75,-0.06,5.4,12.9,2.8,1.2,27.9,x,x,37.4,57.9,50
Felgueiras,478.6,-0.47,-0.05,-0.42,7.6,8.1,3.1,1.5,33.9,x,x,43.2,44.4,52.9
Lousada,498.4,0.55,0.02,0.53,8.5,8.3,3.6,1.6,35.4,x,x,46.1,47.4,62.4
Marco de Canaveses,244.6,-0.32,-0.32,0,6.8,10,4.8,2.5,29.9,x,x,43.5,42.6,42.1
