,"%, Gini coefficient, Gross reported income, Taxable person","No., Inequality of income distribution (P80/P20), Gross reported income, Taxable person","No., Inequality of income distribution (P90/P10), Gross reported income, Taxable person","%, Gini coefficient, Gross reported income less personal income paid tax, Taxable person","No., Inequality of income distribution (P80/P20), Gross reported income less personal income paid tax, Taxable person","No., Inequality of income distribution (P90/P10), Gross reported income less personal income paid tax, Taxable person"
Portugal,41.6,3.2,6.7,36.4,2.8,5.6
Continente,41.6,3.2,6.6,36.4,2.8,5.6
Norte,40.9,3,6.3,35.9,2.7,5.4
Alto Minho,39,2.9,6.3,34.8,2.7,5.5
Arcos de Valdevez,39.3,2.9,7,35.7,2.7,6.3
Caminha,42,3.1,7.3,37.2,2.9,6.2
Melgaço,38.2,2.9,7.3,34.5,2.7,6.4
Monção,38.6,2.8,6.8,34.8,2.6,6
Paredes de Coura,36.2,2.6,5.4,32.8,2.5,4.8
Ponte da Barca,39.1,2.8,6.9,35.8,2.7,6.3
Ponte de Lima,37.2,2.7,5.4,33.5,2.6,4.9
Valença,35.3,2.6,5.5,32,2.5,4.9
Viana do Castelo,39.1,3,6.3,34.6,2.8,5.3
Vila Nova de Cerveira,35.8,2.7,5.4,32.1,2.5,4.8
Cávado,39.7,2.9,6,35,2.6,5.1
Amares,36.4,2.7,5.4,32.7,2.5,4.7
Barcelos,35.1,2.5,4.6,31.1,2.3,4.1
Braga,41.2,3.2,6.6,36.2,2.8,5.4
Esposende,41.3,3,6.1,36.2,2.7,5.3
Terras de Bouro,36.6,2.8,6.1,33.3,2.6,5.4
Vila Verde,36.2,2.7,5.5,32.7,2.5,4.9
Ave,36.5,2.5,4.9,32.1,2.3,4.3
Cabeceiras de Basto,37.6,2.8,6.1,34.1,2.6,5.5
Fafe,37.4,2.6,5.8,33.6,2.5,5.2
Guimarães,36.7,2.4,4.6,31.9,2.2,4.1
Mondim de Basto,37.6,2.7,6.5,34.4,2.6,5.8
Póvoa de Lanhoso,36.2,2.7,5.4,32.6,2.5,4.9
Vieira do Minho,38.1,2.9,6.4,34.7,2.7,5.7
Vila Nova de Famalicão,35.7,2.5,4.8,31.3,2.3,4.1
Vizela,32.6,2.1,4,28.8,2,3.6
A. M. Porto,41.9,3.1,6.5,36.5,2.8,5.5
Arouca,35.6,2.6,4.9,31.9,2.5,4.4
Espinho,41.9,3.2,6.7,36.6,2.8,5.5
Gondomar,38,2.9,5.8,33.6,2.6,4.9
Maia,40.3,3.3,6.6,35.2,2.9,5.4
Matosinhos,42.2,3.3,6.9,36.7,2.9,5.6
Oliveira de Azeméis,35.8,2.5,4.7,31.4,2.3,4.1
Paredes,38.3,2.8,6.1,34.7,2.6,5.5
Porto,48.3,4.4,9.7,41.8,3.6,7.5
Póvoa de Varzim,41.1,3.1,6.9,36.4,2.9,6
Santa Maria da Feira,37.4,2.7,5.2,33,2.5,4.6
Santo Tirso,36.4,2.5,4.6,31.8,2.3,4
São João da Madeira,39.1,2.8,5.6,34.1,2.5,4.8
Trofa,35.6,2.5,4.8,31.3,2.3,4.2
Vale de Cambra,36.3,2.7,4.9,32.1,2.5,4.3
Valongo,37.1,2.9,5.7,32.9,2.6,4.9
Vila do Conde,39.9,2.9,5.9,35,2.7,5
Vila Nova de Gaia,41.2,3.1,6.5,36,2.8,5.4
Alto Tâmega,41.4,3.1,7.8,37.5,2.9,6.9
Boticas,38.8,2.7,6.8,35.6,2.6,6.2
Chaves,42.2,3.4,8.2,37.9,3.1,7
Montalegre,40.6,3.2,7.6,37,3,7
Ribeira de Pena,38.7,2.9,6.7,35.3,2.7,6
Valpaços,39.7,3,6.8,36.4,2.8,6.2
Vila Pouca de Aguiar,39.8,3,7.2,36.3,2.8,6.4
Tâmega e Sousa,37.1,2.6,5.6,33.5,2.5,5
Amarante,40,2.9,6.5,36.1,2.7,5.7
Baião,35.9,2.7,5.2,32.7,2.5,4.7
Castelo de Paiva,34.4,2.5,4.7,31.3,2.4,4.3
Celorico de Basto,36.9,2.6,5.7,33.6,2.5,5.3
Cinfães,39.3,2.8,6.7,36.2,2.7,6.1
Felgueiras,34.8,2.4,4.6,31.1,2.3,4.2
Lousada,34.9,2.5,5.2,31.7,2.4,4.7
Marco de Canaveses,38.5,2.7,6.3,35.1,2.6,5.7
Paços de Ferreira,35.6,2.5,4.9,32,2.4,4.5
Penafiel,37.8,2.7,5.6,33.9,2.6,5
Resende,42.3,3.1,8.5,38.9,3,7.8
Douro,41.2,3.2,7.6,37.1,3,6.5
Alijó,37.9,2.8,6.3,34.6,2.6,5.7
Armamar,39,2.7,6.1,35.5,2.6,5.5
Carrazeda de Ansiães,39.7,3,6.7,36.1,2.8,6
Freixo de Espada à Cinta,34.9,2.6,4.8,31.4,2.4,4.3
Lamego,42.6,3.4,8.3,38.2,3.1,7.1
Mesão Frio,38,2.8,5.9,34.5,2.6,5.4
Moimenta da Beira,38.7,2.9,6.7,35.1,2.7,5.9
Murça,39.9,2.9,7.3,36.5,2.8,6.5
Penedono,//,//,//,//,//,//
Peso da Régua,39.6,3.1,6.7,35.5,2.8,5.8
Sabrosa,35.8,2.6,5.4,32.4,2.5,4.8
Santa Marta de Penaguião,39.9,3,7.6,36.8,2.9,6.9
São João da Pesqueira,39.6,2.9,6.2,35.8,2.7,5.6
Sernancelhe,36.7,2.6,5.7,33.2,2.5,5.1
Tabuaço,39,2.8,6.8,35.6,2.7,6
Tarouca,37.8,2.8,6.7,34.4,2.7,5.9
Torre de Moncorvo,39,3,6.6,35.3,2.8,5.8
Vila Nova de Foz Côa,39.7,3.1,7.5,36,2.9,6.6
Vila Real,41.9,3.7,7.9,37.3,3.2,6.5
Terras de Trás-os-Montes,41.1,3.3,7.5,36.9,3.1,6.5
Alfândega da Fé,40,3,6.6,36.2,2.8,5.7
Bragança,40.6,3.4,7.2,35.9,3,6
Macedo de Cavaleiros,42.4,3.2,8.3,38.5,3,7.4
Miranda do Douro,39,2.9,6.3,34.7,2.7,5.5
Mirandela,40.7,3.3,7.4,36.6,3,6.4
Mogadouro,40.9,3.1,7.1,36.9,2.9,6.3
Vila Flor,40.3,3,6.3,36.6,2.8,5.6
